Date,Open,High,Low,Close,Volume,OpenInt
20100823,45.811,45.811,45.584,45.584,544,0
20100824,45.549,45.811,45.549,45.811,630,0
20100825,45.897,46.028,45.811,45.942,973,0
20100826,45.985,45.985,45.985,45.985,1204,0
20100827,45.985,45.985,45.985,45.985,230,0
20100830,46.028,46.683,46.028,46.683,1868,0
20100831,45.462,46.028,45.462,46.028,345,0
20100901,46.772,48.061,46.683,47.905,8076,0
20100902,47.992,47.992,47.992,47.992,1374,0
20100903,47.992,47.992,47.948,47.948,5272,0
20100907,47.948,48.428,47.948,48.428,688,0
20100908,47.992,48.428,47.992,47.992,7220,0
20100909,47.992,47.992,47.992,47.992,5901,0
20100910,47.992,47.992,47.992,47.992,7449,0
20100913,47.555,47.555,46.246,47.53,916,0
20100914,47.337,47.337,47.058,47.119,606,0
20100915,46.683,46.683,45.811,45.811,2234,0
20100916,46.664,46.664,46.664,46.664,803,0
20100920,46.011,46.011,46.003,46.003,345,0
20100923,47.119,47.337,47.119,47.337,1146,0
20100924,47.032,47.032,47.032,47.032,262,0
20100927,47.032,47.032,47.032,47.032,345,0
20100930,46.246,46.246,45.811,46.055,1146,0
20101001,46.945,46.945,46.945,46.945,230,0
20101006,46.726,46.726,45.82,45.82,688,0
20101007,45.811,46.692,45.811,46.692,1148,0
20101008,46.246,46.246,45.541,46.246,2430,0
20101011,46.597,46.597,45.462,45.462,2398,0
20101014,46.246,46.612,46.246,46.612,2075,0
20101015,46.664,46.664,46.664,46.664,803,0
20101018,46.683,46.91,46.683,46.91,282,0
20101019,46.919,46.919,46.919,46.919,1204,0
20101020,46.919,46.928,46.919,46.928,714,0
20101021,46.928,46.928,46.928,46.928,230,0
20101028,45.723,45.723,45.723,45.723,173,0
20101029,45.811,46.919,45.811,46.919,459,0
20101103,47.119,47.119,47.119,47.119,147,0
20101104,47.555,47.555,47.119,47.119,1490,0
20101105,47.992,47.992,47.992,47.992,459,0
20101108,47.992,47.992,47.119,47.119,1721,0
20101109,47.992,47.992,47.119,47.381,3782,0
20101112,47.381,47.381,47.356,47.356,916,0
20101117,47.119,47.992,47.119,47.992,345,0
20101123,47.207,47.207,47.207,47.207,230,0
20101126,47.992,47.992,47.992,47.992,803,0
20101203,47.773,47.773,47.773,47.773,459,0
20101207,47.992,47.992,47.992,47.992,1262,0
20101208,47.337,47.948,47.337,47.923,1305,0
20101209,47.73,47.73,47.73,47.73,492,0
20101210,47.992,47.992,47.992,47.992,459,0
20101214,47.73,47.73,47.555,47.555,803,0
20101215,48.428,48.428,47.818,47.818,767,0
20101216,46.815,46.815,46.815,46.815,230,0
20101217,46.772,46.772,46.772,46.772,230,0
20101220,47.992,47.992,47.818,47.992,1272,0
20101221,47.119,47.119,47.119,47.119,459,0
20101227,47.207,47.207,47.207,47.207,116,0
20101228,47.294,47.381,47.207,47.381,701,0
20101229,47.555,47.555,47.555,47.555,230,0
20101230,47.818,47.818,47.818,47.818,973,0
20101231,47.818,47.818,47.818,47.818,803,0
20110103,47.555,47.555,47.555,47.555,459,0
20110104,46.265,46.265,46.246,46.246,345,0
20110110,47.181,47.181,47.181,47.181,116,0
20110111,47.207,47.207,47.207,47.207,345,0
20110113,47.207,47.207,46.369,46.369,1582,0
20110114,45.844,45.844,45.844,45.844,230,0
20110119,45.811,45.811,45.811,45.811,230,0
20110121,45.374,45.811,45.374,45.811,459,0
20110124,46.099,46.099,46.099,46.099,116,0
20110125,45.811,46.028,45.374,46.028,1885,0
20110126,46.465,46.465,46.465,46.465,230,0
20110201,46.876,46.876,46.876,46.876,230,0
20110204,46.028,46.028,46.028,46.028,230,0
20110214,46.683,46.683,46.683,46.683,116,0
20110215,46.99,46.99,46.246,46.901,575,0
20110216,46.116,46.116,46.116,46.116,230,0
20110222,46.683,46.683,46.683,46.683,230,0
20110223,46.246,46.246,46.246,46.246,116,0
20110225,46.824,47.146,46.824,47.146,230,0
20110228,47.207,47.337,47.075,47.075,996,0
20110301,47.555,48.21,47.555,48.21,1228,0
20110303,48.21,48.21,48.21,48.21,116,0
20110307,48.428,48.428,48.428,48.428,116,0
20110314,47.659,47.659,47.659,47.659,230,0
20110315,47.635,47.635,47.425,47.425,1455,0
20110318,47.425,47.425,47.119,47.119,803,0
20110324,46.552,46.552,46.552,46.552,205,0
20110411,46.815,46.815,46.815,46.815,116,0
20110421,47.512,47.512,47.512,47.512,116,0
20110425,47.948,47.992,47.172,47.294,1834,0
20110427,46.815,47.172,46.815,47.172,345,0
20110429,46.597,46.597,46.552,46.552,345,0
20110504,46.422,47.644,46.422,47.451,1548,0
20110505,48.036,48.097,48.036,48.08,659,0
20110506,47.825,47.825,47.825,47.825,116,0
20110512,48.28,48.28,48.28,48.28,459,0
20110516,47.573,47.573,47.573,47.573,116,0
20110519,47.119,47.546,47.119,47.546,544,0
20110527,47.983,47.983,47.983,47.983,116,0
20110601,47.773,47.773,47.773,47.773,116,0
20110603,47.773,47.773,47.773,47.773,230,0
20110606,48.009,48.489,48.009,48.428,517,0
20110608,48.009,48.403,47.705,47.705,459,0
20110609,47.555,47.555,46.901,46.901,916,0
20110610,47.119,47.119,47.119,47.119,116,0
20110613,46.351,46.422,46.351,46.422,1452,0
20110614,46.508,46.508,46.508,46.508,575,0
20110615,46.597,46.597,46.597,46.597,197,0
20110616,46.246,46.246,45.4,45.4,575,0
20110620,45.811,45.811,45.811,45.811,116,0
20110621,45.383,45.383,45.383,45.383,230,0
20110622,46.064,46.238,46.064,46.071,345,0
20110629,46.246,47.11,46.246,47.11,1605,0
20110630,47.11,47.11,45.958,45.958,517,0
20110701,46.29,47.599,46.29,47.599,688,0
20110706,46.937,47.337,46.937,47.337,345,0
20110708,47.058,47.058,47.023,47.023,517,0
20110712,46.386,46.386,46.386,46.386,116,0
20110713,47.085,47.085,47.058,47.085,575,0
20110720,47.207,47.207,47.207,47.207,116,0
20110727,46.901,46.901,46.901,46.901,345,0
20110728,46.212,46.212,46.212,46.212,362,0
20110729,46.238,46.238,46.238,46.238,116,0
20110801,46.683,46.683,46.683,46.683,172,0
20110803,47.25,47.25,46.683,46.683,815,0
20110816,46.229,46.229,46.229,46.229,459,0
20110817,45.933,47.155,45.933,46.597,1347,0
20110819,46.674,47.337,46.674,47.294,688,0
20110823,47.119,47.119,47.119,47.119,116,0
20110826,46.649,47.119,46.649,46.657,402,0
20110831,47.773,47.773,47.337,47.337,546,0
20110906,48.253,48.489,48.236,48.489,526,0
20110907,48.175,48.201,48.175,48.201,345,0
20110908,49.031,49.039,49.031,49.039,402,0
20110909,49.45,49.45,49.45,49.45,202,0
20110912,49.545,49.545,48.995,48.995,648,0
20110913,48.969,49.021,48.969,49.021,384,0
20110916,48.516,48.516,48.516,48.516,116,0
20110920,48.061,48.061,48.061,48.061,116,0
20110922,47.607,47.607,47.607,47.607,202,0
20110923,46.891,46.891,46.884,46.884,230,0
20110927,47.032,47.032,46.5,46.657,575,0
20111020,47.042,47.042,47.042,47.042,116,0
20111027,46.597,46.597,46.597,46.597,116,0
20111031,47.014,47.014,47.014,47.014,230,0
20111102,47.11,47.11,47.11,47.11,230,0
20111104,47.721,47.721,47.721,47.721,202,0
20111107,47.451,47.451,47.433,47.433,459,0
20111108,47.555,47.555,47.555,47.555,116,0
20111110,46.98,46.98,46.98,46.98,230,0
20111114,47.294,47.294,47.294,47.294,177,0
20111128,46.858,46.858,46.588,46.588,345,0
20111129,46.16,46.16,45.889,46.038,575,0
20111130,45.768,46.16,45.768,46.16,758,0
20111201,46.246,46.246,46.246,46.246,230,0
20111202,46.683,46.928,46.683,46.928,459,0
20111205,47.103,47.555,47.103,47.555,644,0
20111206,47.555,47.555,46.858,46.858,230,0
20111207,47.564,47.564,47.416,47.564,287,0
20111208,47.381,47.81,46.246,47.81,2063,0
20111213,46.028,46.465,46.028,46.465,396,0
20111214,46.369,46.858,46.369,46.858,230,0
20111215,46.99,47.433,46.597,46.597,1031,0
20111216,46.492,48.132,46.492,48.132,1031,0
20111219,47.302,47.905,47.014,47.573,2049,0
20111220,47.607,47.644,46.404,47.644,875,0
20111221,47.644,47.644,45.985,46.726,688,0
20111222,47.739,47.834,46.98,47.834,575,0
20111223,47.644,47.644,46.028,46.282,1358,0
20111227,45.933,47.285,45.801,47.285,714,0
20111228,46.099,46.858,46.09,46.858,575,0
20111229,47.381,47.381,46.334,46.378,577,0
20111230,46.552,46.552,46.552,46.552,117,0
20120103,48.297,48.332,47.119,48.332,804,0
20120104,46.753,47.853,46.753,47.843,575,0
20120105,46.858,47.818,46.858,47.626,2291,0
20120106,46.011,47.356,46.011,47.268,2519,0
20120109,46.465,46.465,46.465,46.465,116,0
20120110,46.369,47.626,46.369,47.049,2981,0
20120111,46.203,47.049,46.09,46.246,5272,0
20120112,46.422,47.644,46.422,46.901,2826,0
20120113,46.404,47.46,46.342,46.683,3092,0
20120117,48.271,48.271,46.265,46.474,2866,0
20120118,46.597,46.839,46.508,46.683,2463,0
20120119,47.546,47.546,46.744,46.815,688,0
20120120,46.597,47.782,46.597,47.782,907,0
20120123,47.555,47.555,46.439,46.439,345,0
20120124,46.753,47.312,46.631,46.631,1088,0
