Date,Open,High,Low,Close,Volume,OpenInt
20050225,27.447,27.685,27.401,27.628,191613,0
20050228,27.59,27.829,27.529,27.751,178719,0
20050301,27.693,28.033,27.685,27.857,105154,0
20050302,27.794,28.004,27.794,27.94,133246,0
20050303,27.948,27.948,27.572,27.751,124827,0
20050304,27.785,27.911,27.712,27.902,112477,0
20050307,27.94,27.948,27.794,27.893,57824,0
20050308,27.893,27.921,27.722,27.81,78045,0
20050309,27.802,27.884,27.722,27.794,91380,0
20050310,27.785,28.004,27.785,27.911,241786,0
20050311,27.94,28.014,27.857,27.948,80996,0
20050314,27.921,28.042,27.777,27.985,205714,0
20050315,27.94,27.976,27.199,27.29,218395,0
20050316,27.336,27.492,27.098,27.118,122530,0
20050317,27.199,27.271,27.016,27.181,127124,0
20050318,27.181,27.191,26.788,26.835,249220,0
20050321,26.788,26.873,26.656,26.807,267252,0
20050322,26.807,27.051,26.807,26.959,278075,0
20050323,27.024,27.226,26.959,27.155,228449,0
20050324,27.155,27.326,27.127,27.209,143081,0
20050328,27.181,27.647,27.155,27.447,190632,0
20050329,27.401,27.656,27.401,27.59,191720,0
20050330,27.59,27.618,27.428,27.546,388472,0
20050331,27.492,27.492,27.262,27.28,216861,0
20050401,27.41,27.546,26.968,26.978,178499,0
20050404,26.997,27.226,26.816,27.137,151499,0
20050405,27.098,27.59,27.089,27.464,122859,0
20050406,27.474,27.722,27.447,27.492,174999,0
20050407,27.447,27.61,27.29,27.572,72142,0
20050408,27.794,27.82,27.546,27.6,72906,0
20050411,27.572,27.59,27.345,27.373,85150,0
20050412,27.326,27.647,27.28,27.572,202761,0
20050413,27.538,27.555,27.382,27.519,131607,0
20050414,27.492,27.722,27.447,27.538,138382,0
20050415,27.447,27.81,27.447,27.546,135866,0
20050418,27.474,27.618,27.217,27.382,129527,0
20050419,27.373,27.501,27.28,27.464,78152,0
20050420,27.501,27.581,27.217,27.253,132262,0
20050421,27.253,27.447,27.098,27.253,151059,0
20050422,27.199,27.401,27.033,27.253,162977,0
20050425,27.373,27.741,27.373,27.675,131607,0
20050426,27.675,27.802,27.538,27.546,185274,0
20050427,27.538,27.572,27.345,27.492,137617,0
20050428,27.492,27.538,27.155,27.199,182650,0
20050429,27.226,27.226,26.864,27.164,234574,0
20050502,27.164,27.29,27.024,27.118,224078,0
20050503,27.118,27.345,27.08,27.181,314148,0
20050504,27.181,27.373,27.155,27.226,324421,0
20050505,27.181,27.447,27.127,27.355,125264,0
20050506,27.392,27.447,27.127,27.245,154892,0
20050509,25.087,25.087,23.411,23.54,3039691,0
20050510,23.632,23.785,23.429,23.586,773341,0
20050511,23.586,23.704,23.465,23.614,449576,0
20050512,23.614,24.521,23.586,24.473,439846,0
20050513,24.521,24.846,24.446,24.738,417986,0
20050516,24.693,25.021,24.417,24.703,276105,0
20050517,24.645,24.645,24.272,24.502,195220,0
20050518,24.674,25.379,24.665,25.379,319501,0
20050519,25.304,25.552,25.177,25.432,159477,0
20050520,25.406,25.552,25.286,25.497,185602,0
20050523,25.397,25.552,25.241,25.507,238177,0
20050524,25.58,25.58,25.087,25.194,251405,0
20050525,25.241,25.259,24.92,25.031,187022,0
20050526,25.031,25.132,24.939,24.985,193798,0
20050527,25.013,25.087,24.746,24.985,221456,0
20050531,24.985,25.013,24.812,24.821,177949,0
20050601,24.738,25.132,24.738,25.132,190520,0
20050602,25.304,25.304,24.994,25.003,214350,0
20050603,24.966,25.185,24.839,24.93,177730,0
20050606,24.875,25.185,24.738,25.132,210963,0
20050607,25.158,25.233,24.958,24.958,206916,0
20050608,25.286,25.286,24.901,24.939,158821,0
20050609,24.976,24.976,24.645,24.711,228996,0
20050610,24.83,25.158,24.83,25.058,112151,0
20050613,25.013,25.259,24.958,25.078,184072,0
20050614,24.958,24.994,24.591,24.618,184619,0
20050615,24.738,24.83,24.521,24.636,132370,0
20050616,24.538,24.765,24.538,24.636,138925,0
20050617,24.765,24.775,24.572,24.6,258400,0
20050620,24.555,24.93,24.529,24.839,142207,0
20050621,24.839,25.031,24.591,24.693,146361,0
20050622,24.738,24.846,24.538,24.6,165380,0
20050623,24.655,24.684,24.289,24.307,94659,0
20050624,24.351,24.389,24.014,24.014,234023,0
20050627,24.087,24.38,23.986,24.022,265286,0
20050628,24.106,24.966,24.106,24.901,202433,0
20050629,24.901,25.122,24.901,24.985,196206,0
20050630,25.013,25.122,24.865,24.865,174999,0
20050701,24.738,25.139,24.738,25.021,108540,0
20050705,25.087,25.158,24.93,25.058,196534,0
20050706,25.039,25.039,24.618,24.793,260802,0
20050707,24.784,24.812,24.655,24.684,191508,0
20050708,24.784,25.185,24.784,25.177,196968,0
20050711,25.158,25.177,24.958,25.068,274796,0
20050712,25.132,25.35,25.105,25.259,350982,0
20050713,25.259,25.286,25.139,25.268,180791,0
20050714,25.259,25.562,25.233,25.37,288787,0
20050715,25.268,25.379,25.058,25.058,213583,0
20050718,25.185,25.332,25.097,25.122,121327,0
20050719,25.177,25.36,25.087,25.286,136853,0
20050720,25.039,25.314,25.031,25.268,171829,0
20050721,25.194,25.259,24.893,24.966,232381,0
20050722,24.966,25.442,24.966,25.415,226484,0
20050725,25.341,25.37,25.021,25.105,59902,0
20050726,25.223,25.415,25.158,25.158,79577,0
20050727,25.233,25.442,25.185,25.233,96519,0
20050728,25.168,25.451,25.168,25.425,149314,0
20050729,25.397,25.415,25.168,25.286,221892,0
20050801,25.314,25.58,25.294,25.415,189755,0
20050802,25.432,25.488,25.332,25.461,140566,0
20050803,25.415,25.516,25.379,25.415,74327,0
20050804,25.379,25.526,25.194,25.194,96953,0
20050805,25.122,25.314,25.049,25.058,112366,0
20050808,25.113,25.268,24.875,24.875,161118,0
20050809,24.591,25.177,24.361,24.966,507399,0
20050810,25.158,25.314,24.775,24.893,211945,0
20050811,24.893,25.241,24.893,25.087,114990,0
20050812,25.039,25.233,24.846,25.113,292283,0
20050815,25.113,25.132,24.939,25.068,218395,0
20050816,25.087,25.087,24.775,24.846,163410,0
20050817,24.793,24.911,24.711,24.719,178276,0
20050818,24.693,24.83,24.591,24.765,119798,0
20050819,24.765,24.765,24.446,24.473,140566,0
20050822,24.38,24.645,24.38,24.6,125591,0
20050823,24.618,24.618,24.529,24.572,106904,0
20050824,24.511,24.563,24.333,24.37,133899,0
20050825,24.37,24.618,24.281,24.454,153904,0
20050826,24.483,24.483,24.272,24.281,121550,0
20050829,24.263,24.547,24.228,24.538,120019,0
20050830,24.547,24.591,24.255,24.408,192599,0
20050831,24.408,24.511,24.307,24.483,239597,0
20050901,24.547,24.839,24.502,24.538,169755,0
20050902,24.618,24.684,24.408,24.502,108429,0
20050906,24.502,24.618,24.502,24.555,114881,0
20050907,24.582,24.6,24.473,24.572,148330,0
20050908,24.582,24.582,24.324,24.38,140460,0
20050909,24.38,24.502,24.314,24.38,163848,0
20050912,24.398,24.591,24.37,24.572,179046,0
20050913,24.427,24.502,24.2,24.307,174671,0
20050914,24.2,24.228,24.106,24.116,141331,0
20050915,24.106,24.342,24.106,24.324,115207,0
20050916,24.324,24.547,24.289,24.547,334697,0
20050919,24.547,24.563,24.087,24.154,136739,0
20050920,24.106,24.2,23.986,24.005,225717,0
20050921,23.614,23.969,23.512,23.558,412630,0
20050922,23.465,23.595,23.392,23.411,438645,0
20050923,23.411,23.474,23.293,23.402,173357,0
20050926,23.447,23.53,23.357,23.402,163848,0
20050927,23.503,23.503,23.092,23.136,337864,0
20050928,23.164,23.266,22.899,22.936,232381,0
20050929,22.955,23.154,22.908,23.154,202217,0
