Date,Open,High,Low,Close,Volume,OpenInt
20050225,33.584,34.255,33.584,34.255,10120,0
20050228,34.255,34.692,33.673,34.255,8061,0
20050301,34.255,35.303,34.255,34.843,11594,0
20050302,34.692,34.98,34.226,34.896,4803,0
20050303,34.692,34.867,34.491,34.692,93299,0
20050304,34.547,34.896,34.279,34.279,7991,0
20050307,34.255,34.98,34.255,34.98,10327,0
20050308,34.547,34.547,27.697,30.086,122248,0
20050309,29.155,29.446,27.405,29.446,76390,0
20050310,28.28,29.738,27.869,29.62,52996,0
20050311,29.62,30.321,29.125,29.155,17185,0
20050314,29.155,29.884,28.307,29.854,32242,0
20050315,29.738,29.884,29.008,29.096,16979,0
20050316,29.301,29.358,28.862,28.89,11387,0
20050317,28.862,29.155,28.862,28.89,3362,0
20050318,28.804,29.008,28.542,28.862,4836,0
20050321,28.862,29.096,28.28,28.28,6723,0
20050322,28.307,28.367,27.989,27.989,9227,0
20050323,27.989,28.542,27.989,27.989,10770,0
20050324,28.28,28.542,27.869,27.869,11387,0
20050328,27.901,28.28,27.901,28.016,4836,0
20050329,27.783,27.958,27.637,27.637,4630,0
20050330,27.637,27.725,26.85,26.996,20957,0
20050331,27.814,29.096,27.814,29.066,19793,0
20050401,29.096,29.096,27.989,28.28,14545,0
20050404,28.425,28.57,28.28,28.57,2228,0
20050405,28.484,29.155,28.484,28.862,7752,0
20050406,29.037,29.649,29.037,29.649,13308,0
20050407,29.591,29.62,29.301,29.301,2913,0
20050408,29.155,29.62,29.155,29.27,21849,0
20050411,29.301,29.301,28.396,28.979,4150,0
20050412,29.155,29.301,28.89,29.008,29224,0
20050413,29.155,29.155,28.89,29.008,28298,0
20050414,28.862,28.862,28.687,28.717,1611,0
20050415,29.008,29.301,28.979,29.27,5418,0
20050418,29.301,29.854,29.096,29.125,3123,0
20050419,28.832,29.155,28.454,29.155,4836,0
20050420,29.125,29.27,28.89,29.155,29945,0
20050421,29.446,30.028,29.387,29.767,8267,0
20050422,29.767,30.173,29.155,30.028,15299,0
20050425,30.028,30.173,29.884,30.028,3465,0
20050426,30.028,30.028,29.824,29.97,2847,0
20050427,29.943,30.438,29.738,30.438,29773,0
20050428,30.466,30.582,29.97,30.204,3775,0
20050429,30.263,30.321,30.173,30.321,10631,0
20050502,30.321,30.553,30.086,30.523,11454,0
20050503,30.523,30.553,29.884,30.321,11765,0
20050504,30.028,30.321,29.591,30.321,7855,0
20050505,30.321,30.321,30.321,30.321,2471,0
20050506,30.321,30.321,30.263,30.321,6415,0
20050509,30.321,30.523,30.29,30.35,35981,0
20050510,30.378,30.438,30,30.204,36427,0
20050511,30.233,30.321,29.97,30.059,11663,0
20050512,30.028,30.059,29.97,30.028,7445,0
20050513,29.912,30.466,29.241,29.767,3944,0
20050516,29.795,30.233,29.446,29.591,5180,0
20050517,29.738,29.767,29.503,29.591,15230,0
20050518,29.854,29.854,29.301,29.387,9090,0
20050519,29.738,29.738,29.155,29.241,54194,0
20050520,29.446,29.446,28.862,29.125,8815,0
20050523,29.155,29.475,29.008,29.037,11799,0
20050524,29.125,29.155,28.95,29.125,12039,0
