Date,Open,High,Low,Close,Volume,OpenInt
20140721,21.403,21.445,21.343,21.436,29550,0
20140722,21.403,21.436,21.325,21.335,38899,0
20140723,21.403,21.428,21.385,21.403,26085,0
20140724,21.403,21.403,21.403,21.403,11888,0
20140725,21.385,21.395,21.275,21.36,21019,0
20140728,21.395,21.395,21.36,21.395,7418,0
20140729,21.24,21.472,21.24,21.368,10302,0
20140730,21.275,21.42,21.275,21.36,17992,0
20140731,21.317,21.385,21.231,21.308,23096,0
20140801,21.223,21.275,21.147,21.147,14602,0
20140804,21.189,21.403,21.019,21.403,57009,0
20140805,21.11,21.403,21.101,21.403,46409,0
20140806,21.403,21.403,21.368,21.403,22405,0
20140807,21.36,21.403,21.335,21.403,22000,0
20140808,21.403,21.403,21.36,21.403,36535,0
20140811,21.335,21.403,21.335,21.403,18397,0
20140812,21.335,21.352,21.154,21.154,10745,0
20140813,21.403,21.403,21.403,21.403,2102,0
20140814,21.395,21.403,21.352,21.403,7755,0
20140815,21.403,21.403,21.395,21.403,8528,0
20140818,21.42,21.42,21.403,21.403,5608,0
20140819,21.403,21.403,21.403,21.403,14064,0
20140820,21.403,21.403,21.325,21.403,8312,0
20140821,21.403,21.403,21.403,21.403,3532,0
20140822,21.403,21.403,21.403,21.403,12791,0
20140825,21.403,21.403,21.395,21.403,13980,0
20140826,21.472,21.531,21.428,21.428,37855,0
20140827,21.412,21.455,21.412,21.455,5759,0
20140828,21.455,21.625,21.343,21.436,59744,0
20140829,21.403,21.445,21.343,21.428,6307,0
20140902,21.403,21.403,21.403,21.403,3173,0
20140903,21.325,21.445,21.325,21.368,14525,0
20140904,21.403,21.445,21.317,21.317,3720,0
20140905,21.18,21.428,21.171,21.352,4088,0
20140908,21.403,21.403,21.403,21.403,854,0
20140909,21.455,21.455,21.308,21.385,5807,0
20140910,21.368,21.368,21.06,21.189,49208,0
20140911,21.283,21.283,21.189,21.275,3302,0
20140912,21.147,21.147,20.854,21,18106,0
20140915,21.035,21.042,20.899,21.026,7126,0
20140916,21.138,21.138,21.019,21.101,1401,0
20140917,20.975,21.026,20.975,21.019,2686,0
20140918,21.161,21.171,21.101,21.147,2219,0
20140919,21.147,21.171,21.147,21.171,2084,0
20140922,21.154,21.189,21.05,21.189,3624,0
20140923,21.161,21.171,20.726,21.035,23361,0
20140924,21.019,21.019,20.906,21.019,16246,0
20140925,21.019,21.042,20.899,21.019,3152,0
20140926,20.975,21.019,20.838,21.019,6452,0
20140929,21.035,21.05,20.975,21.05,5653,0
20140930,21.189,21.265,21.101,21.154,9545,0
20141001,21.223,21.223,20.854,20.94,11914,0
20141002,21.035,21.207,21.026,21.207,9462,0
20141003,21.265,21.275,21.258,21.258,7126,0
20141006,21.101,21.231,21.079,21.231,1871,0
20141007,21.138,21.198,20.83,21.198,3737,0
20141008,21.198,21.198,21.198,21.198,1871,0
20141009,21.198,21.231,21.05,21.214,3095,0
20141010,21.398,21.537,21.146,21.484,12407,0
20141013,21.259,21.441,21.249,21.249,1955,0
20141014,21.007,21.389,20.885,21.058,18584,0
20141015,20.91,20.91,20.353,20.834,27974,0
20141016,20.527,21.161,20.527,21.161,13277,0
20141017,21.18,21.198,21.161,21.171,7932,0
20141020,21.207,21.207,20.875,21.161,5748,0
20141021,21.259,21.259,21.086,21.259,10261,0
20141022,21.302,21.302,21.223,21.259,11898,0
20141023,21.293,21.293,21.025,21.267,8369,0
20141024,21.302,21.772,21.302,21.772,16290,0
20141027,21.658,21.702,21.528,21.562,3687,0
20141028,21.371,21.789,21.371,21.763,17359,0
20141029,21.572,21.737,21.345,21.737,19690,0
20141030,21.746,21.746,21.398,21.615,3115,0
20141031,21.607,21.746,21.416,21.728,7245,0
20141103,21.737,21.737,21.545,21.572,5406,0
20141104,21.737,21.737,21.416,21.658,5420,0
20141105,21.441,21.737,21.441,21.737,8107,0
20141106,21.737,21.737,21.737,21.737,1445,0
20141107,21.737,21.763,21.693,21.763,4403,0
20141110,21.615,21.746,21.615,21.746,7191,0
20141111,21.746,21.772,21.441,21.528,18051,0
20141112,21.528,21.572,21.467,21.554,11349,0
20141113,21.537,21.702,21.493,21.667,118474,0
20141114,21.658,21.728,21.416,21.423,15568,0
20141117,21.528,21.615,21.441,21.484,9593,0
20141118,21.832,21.876,21.484,21.501,2795,0
20141119,21.528,21.589,21.441,21.528,4827,0
20141120,21.416,21.746,21.416,21.484,26241,0
20141121,21.537,21.615,21.511,21.537,15706,0
20141124,21.554,21.719,21.501,21.65,8829,0
20141125,21.658,21.702,21.562,21.589,6507,0
20141126,21.589,21.693,21.589,21.589,6764,0
20141128,21.65,21.65,21.589,21.623,5943,0
20141201,21.572,21.572,21.423,21.441,8962,0
20141202,21.615,21.615,21.416,21.459,8835,0
20141203,21.459,21.459,21.094,21.119,53303,0
20141204,21.31,21.31,20.711,21.146,17709,0
20141205,21.18,21.267,21.007,21.048,14902,0
20141208,21.223,21.223,20.875,20.971,7823,0
20141209,20.797,21.31,20.797,20.918,9600,0
20141210,20.926,21.137,20.788,21.048,8563,0
20141211,21.18,21.18,20.745,20.745,10231,0
20141212,21.007,21.007,20.885,21.007,1687,0
20141215,20.918,21.223,20.572,20.91,6970,0
20141216,20.946,20.964,20.946,20.946,4945,0
20141217,20.91,21.223,20.711,21.025,7916,0
20141218,20.964,21.562,20.788,20.875,65629,0
20141219,21.094,21.667,21.025,21.025,11696,0
20141222,21.31,21.545,21.31,21.528,3448,0
20141223,21.528,21.893,21.528,21.719,10042,0
20141224,21.711,22.111,21.711,21.753,3067,0
20141226,21.963,21.98,21.746,21.98,2617,0
20141229,21.789,21.893,21.789,21.893,3417,0
20141230,21.953,21.953,21.953,21.953,460,0
20141231,21.963,21.972,21.946,21.972,5566,0
20150102,21.963,22.189,21.953,22.102,9776,0
20150105,22.163,22.312,21.746,22.181,16948,0
20150106,22.093,22.223,22.05,22.181,9209,0
20150107,21.963,22.007,21.746,22.007,18972,0
20150108,21.989,22.007,21.832,22.007,2299,0
20150109,22.136,22.136,21.885,21.885,8973,0
20150112,21.885,22.007,21.885,21.928,7721,0
20150113,22,22.247,21.751,22.247,3186,0
20150114,21.911,22.008,21.805,21.954,11179,0
20150115,21.911,21.947,21.867,21.947,8427,0
20150116,22.062,22.078,21.938,21.947,11564,0
20150120,21.954,22.52,21.461,21.557,15218,0
20150121,22.309,22.309,21.735,21.867,20718,0
20150122,21.867,22.291,21.859,22.105,10840,0
20150123,22.035,22.177,22.035,22.177,5371,0
20150126,22.291,22.733,22.044,22.733,8507,0
20150127,21.928,22.326,21.928,22.229,7809,0
20150128,22.229,22.264,21.954,22.132,10499,0
20150129,22.044,22.264,22,22.22,15839,0
20150130,22.256,22.264,22.008,22.264,23695,0
20150202,22.661,22.661,22.256,22.256,5490,0
20150203,22.177,22.184,22.132,22.177,5402,0
20150204,22.096,22.15,22.088,22.15,1543,0
20150205,22.115,22.115,22.088,22.115,5320,0
20150206,22.088,22.123,21.964,21.964,8578,0
20150209,21.982,22.123,21.982,22.123,6898,0
20150210,22.123,22.212,22.044,22.044,5771,0
20150211,22.212,22.256,22.212,22.22,3282,0
20150212,22.088,22.088,22.088,22.088,2262,0
20150213,22.096,22.256,22.096,22.177,4176,0
20150217,22.264,22.264,22.062,22.062,6603,0
20150218,22.184,22.229,22.044,22.123,6601,0
20150219,22.14,22.202,22.14,22.184,1515,0
20150220,22.202,22.202,22.167,22.167,1999,0
20150223,22.132,22.256,22.132,22.247,6740,0
20150224,22.247,22.256,22.088,22.105,4135,0
20150225,22.096,22.247,22.088,22.088,6812,0
20150226,22.238,22.238,22.069,22.088,25143,0
20150227,22.15,22.177,22.016,22.132,16287,0
20150302,22.132,22.184,22.132,22.184,4076,0
20150303,22.088,22.177,22.088,22.115,6111,0
20150304,22.22,22.22,22.078,22.167,4754,0
20150305,22.123,22.22,22.078,22.212,11205,0
20150306,22.177,22.202,22.088,22.202,16752,0
20150309,22.132,22.132,22.088,22.123,4414,0
20150310,22.177,22.177,22.177,22.177,2717,0
20150311,22.256,22.264,22.069,22.096,38483,0
20150312,22.212,22.212,22.105,22.123,10413,0
20150313,22.053,22.115,21.964,21.964,27052,0
20150316,22.088,22.177,21.938,21.954,7696,0
20150317,22.088,22.22,22.044,22.044,13808,0
20150318,22.088,22.212,22.088,22.212,12563,0
20150319,22.088,22.309,22.088,22.309,14148,0
20150320,22.291,22.309,22.158,22.22,4754,0
20150323,21.92,22.309,21.92,22.088,11884,0
20150324,22.008,22.441,22.008,22.352,12791,0
20150325,22.69,22.69,22.352,22.352,2491,0
20150326,22.557,22.557,22.096,22.22,16412,0
20150327,22.247,22.619,22.247,22.256,7696,0
20150330,22.167,22.264,21.982,21.982,19467,0
20150331,22.238,22.256,22.158,22.22,18223,0
20150401,22.212,22.22,22.202,22.22,25807,0
20150402,22.177,22.22,22.016,22.22,21959,0
20150406,22.184,22.212,22.184,22.194,3057,0
20150407,22.177,22.22,22.177,22.22,4911,0
20150408,22.22,22.22,22.194,22.22,9621,0
20150409,22.22,22.264,22.212,22.238,5922,0
20150410,22.264,22.352,22.212,22.3,32937,0
20150413,22.373,22.399,22.301,22.363,11478,0
20150414,22.407,22.524,22.407,22.524,6128,0
20150415,22.516,22.516,22.489,22.489,1957,0
20150416,22.524,22.524,22.479,22.516,29607,0
20150417,22.47,22.524,22.407,22.524,4122,0
20150420,22.524,22.524,22.507,22.507,14235,0
20150421,22.524,22.542,22.479,22.524,9083,0
20150422,22.479,22.524,22.479,22.524,16844,0
20150423,22.516,22.615,22.461,22.605,4122,0
20150424,22.57,22.57,22.499,22.533,19390,0
20150427,22.57,22.57,22.562,22.57,11256,0
20150428,22.57,22.57,22.524,22.524,17717,0
20150429,22.57,22.57,22.533,22.57,9582,0
20150430,22.57,22.57,22.479,22.552,19276,0
20150501,22.562,22.57,22.499,22.499,12815,0
20150504,22.479,22.542,22.479,22.542,4792,0
20150505,22.524,22.57,22.436,22.489,7800,0
20150506,22.524,22.524,22.436,22.47,12219,0
20150507,22.562,22.57,22.479,22.562,5929,0
20150508,22.57,22.57,22.489,22.57,12815,0
20150511,22.524,22.562,22.524,22.533,1672,0
20150512,22.524,22.57,22.479,22.533,2445,0
20150513,22.57,22.668,22.444,22.444,17830,0
20150514,22.461,22.57,22.444,22.524,16157,0
20150515,22.57,22.596,22.524,22.596,2285,0
20150518,22.57,22.57,22.479,22.479,15450,0
20150519,22.524,22.524,22.453,22.507,5238,0
20150520,22.524,22.533,22.479,22.524,12593,0
20150521,22.524,22.533,22.274,22.31,50478,0
20150522,22.399,22.453,22.354,22.39,4568,0
20150526,22.436,22.47,22.436,22.461,3741,0
20150527,22.39,22.489,22.39,22.436,5683,0
20150528,22.479,22.542,22.436,22.461,12695,0
20150529,22.354,22.489,22.211,22.444,10921,0
20150601,22.479,22.516,22.479,22.489,3232,0
20150602,22.436,22.453,22.436,22.436,1413,0
20150603,22.542,22.542,22.479,22.507,3008,0
20150604,22.453,22.489,22.436,22.436,3567,0
20150605,22.417,22.516,22.417,22.444,6240,0
20150608,22.524,22.524,22.479,22.516,31647,0
20150609,22.516,22.641,22.507,22.641,5131,0
20150610,22.524,22.524,22.479,22.479,44895,0
20150611,22.552,22.552,22.552,22.552,327,0
20150612,22.444,22.542,22.444,22.533,5794,0
20150615,22.57,22.605,22.479,22.605,5683,0
20150616,22.479,22.605,22.479,22.57,9248,0
20150617,22.461,22.524,22.461,22.507,4012,0
20150618,22.587,22.587,22.587,22.587,779,0
20150619,22.47,22.605,22.373,22.552,8357,0
20150622,22.426,22.552,22.373,22.417,13929,0
20150623,22.444,22.533,22.444,22.47,10324,0
20150624,22.533,22.533,22.436,22.461,3900,0
20150625,22.436,22.533,22.399,22.533,6797,0
20150626,22.533,22.596,22.524,22.524,3567,0
20150629,22.436,22.542,22.436,22.542,2564,0
20150630,22.524,22.659,22.499,22.659,10875,0
20150701,22.615,22.659,22.615,22.615,36774,0
20150702,22.615,22.704,22.615,22.668,59282,0
20150706,22.784,23.036,22.722,23,14487,0
20150707,23.036,23.036,22.884,22.973,9248,0
20150708,22.965,22.973,22.767,22.973,1003,0
20150709,22.838,22.867,22.838,22.867,4346,0
20150710,22.965,23.053,22.928,22.955,2007,0
20150713,23.102,23.237,23.102,23.158,14485,0
20150714,23.102,23.158,23.055,23.129,6035,0
20150715,23.102,23.11,23.038,23.094,3841,0
20150716,23.065,23.065,22.966,23.011,7572,0
20150717,23.011,23.055,22.966,23.055,1974,0
20150720,23.001,23.001,22.947,22.947,14922,0
20150721,22.866,22.892,22.819,22.892,11081,0
20150722,23.102,23.102,22.802,22.802,40381,0
20150723,22.838,22.966,22.819,22.828,11411,0
20150724,22.866,22.866,22.828,22.828,5486,0
20150727,22.947,22.947,22.902,22.902,1537,0
20150728,22.91,22.92,22.873,22.91,1866,0
20150729,22.966,22.966,22.937,22.966,3402,0
20150730,22.966,23.055,22.947,23.011,5047,0
20150731,23.038,23.048,22.92,22.956,4939,0
20150803,22.966,22.966,22.966,22.966,2900,0
20150804,23.011,23.011,22.991,23.011,6474,0
20150805,22.966,22.966,22.828,22.873,6583,0
20150806,22.883,23.001,22.873,22.892,7330,0
20150807,22.892,23.055,22.892,23.03,6583,0
20150810,22.984,23.02,22.937,22.937,10095,0
20150811,23.011,23.011,22.873,22.892,19677,0
20150812,22.892,22.984,22.802,22.892,12290,0
20150813,22.819,22.974,22.819,22.892,3950,0
20150814,22.873,22.956,22.873,22.902,3621,0
20150817,22.892,22.956,22.873,22.883,6913,0
20150818,22.828,22.966,22.828,22.856,1974,0
20150819,22.802,23.048,22.802,22.966,5377,0
20150820,23.055,23.055,22.991,23.055,1866,0
20150821,22.92,22.92,22.92,22.92,1537,0
20150824,22.966,22.966,22.828,22.892,9286,0
20150825,22.892,22.92,22.883,22.892,1646,0
20150826,22.783,22.828,22.783,22.802,11742,0
20150827,22.873,22.92,22.828,22.828,2194,0
20150828,22.866,22.892,22.828,22.892,2086,0
20150831,22.838,22.902,22.774,22.783,16131,0
20150901,22.819,22.838,22.819,22.838,1097,0
