Date,Open,High,Low,Close,Volume,OpenInt
20170217,24.765,24.765,24.751,24.751,10633,0
20170221,24.819,24.833,24.819,24.833,11748,0
20170222,24.794,24.794,24.781,24.781,16203,0
20170223,24.823,24.823,24.775,24.804,11990,0
20170224,24.775,24.804,24.775,24.804,12356,0
20170227,24.804,24.804,24.793,24.804,14936,0
20170228,24.803,24.813,24.789,24.813,13064,0
20170301,24.892,24.892,24.862,24.892,12339,0
20170302,24.852,24.852,24.842,24.842,385084,0
20170303,24.892,24.892,24.892,24.892,100,0
20170306,24.833,24.833,24.823,24.823,21170,0
20170307,24.756,24.756,24.736,24.736,21892,0
20170308,24.626,24.626,24.527,24.527,20461,0
20170309,24.478,24.478,24.468,24.468,10923,0
20170310,24.478,24.478,24.429,24.429,10633,0
20170313,24.379,24.379,24.36,24.36,10633,0
20170314,24.34,24.37,24.34,24.37,10687,0
20170315,24.409,24.468,24.373,24.459,17872,0
20170316,24.656,24.656,24.586,24.586,15270,0
20170317,24.646,24.646,24.646,24.646,10127,0
20170320,24.586,24.586,24.581,24.581,10331,0
20170321,24.537,24.537,24.451,24.451,10887,0
20170322,24.478,24.498,24.478,24.498,11039,0
20170323,24.546,24.546,24.546,24.546,10127,0
20170324,24.566,24.566,24.566,24.566,10127,0
20170327,24.527,24.556,24.527,24.556,11594,0
20170328,24.576,24.626,24.576,24.616,10683,0
20170329,24.716,24.756,24.716,24.756,12053,0
20170330,24.765,24.794,24.752,24.784,11748,0
20170331,24.833,24.833,24.833,24.833,10897,0
20170403,24.785,24.843,24.78,24.834,12554,0
20170404,24.824,24.824,24.824,24.824,10155,0
20170405,24.893,24.913,24.834,24.834,11418,0
20170406,24.843,24.873,24.843,24.873,12250,0
20170407,24.863,24.863,24.863,24.863,10094,0
20170410,24.883,24.903,24.873,24.883,12088,0
20170411,24.814,24.827,24.814,24.827,10753,0
20170412,24.824,24.834,24.824,24.834,10869,0
20170413,24.834,24.834,24.824,24.824,10238,0
20170417,24.863,24.863,24.852,24.852,10365,0
20170418,24.873,24.874,24.873,24.874,10431,0
20170419,24.943,24.953,24.933,24.933,10727,0
20170420,24.933,24.933,24.933,24.933,10087,0
20170421,24.963,24.973,24.947,24.953,16086,0
20170424,25.033,25.073,25.033,25.073,12205,0
20170425,25.113,25.113,25.093,25.113,10493,0
20170426,25.103,25.142,25.103,25.123,10440,0
20170427,25.142,25.142,25.142,25.142,10087,0
20170428,25.123,25.152,25.103,25.152,22288,0
20170501,25.144,25.144,25.125,25.135,13573,0
20170502,25.144,25.154,25.144,25.154,10561,0
20170503,25.154,25.154,25.125,25.144,21930,0
20170504,25.085,25.095,25.001,25.035,11706,0
20170505,25.025,25.025,25.025,25.025,10058,0
20170508,25.075,25.075,25.017,25.017,10515,0
20170509,25.075,25.075,25.075,25.075,10059,0
20170510,25.085,25.095,25.055,25.055,15327,0
20170511,25.055,25.055,25.055,25.055,10121,0
20170512,25.065,25.075,25.065,25.075,14242,0
20170515,25.107,25.107,25.107,25.107,116,0
20170517,25.095,25.095,25.085,25.085,388,0
20170518,25.082,25.082,25.065,25.075,7159,0
20170522,25.184,25.193,25.184,25.193,915,0
20170525,25.273,25.273,25.243,25.243,801,0
20170526,25.203,25.206,25.184,25.184,4056,0
20170530,25.213,25.253,25.206,25.253,1640,0
20170531,25.29,25.293,25.274,25.293,4285,0
20170601,25.302,25.357,25.294,25.347,1804,0
20170602,25.382,25.382,25.377,25.377,301,0
20170605,25.407,25.407,25.387,25.387,1426,0
20170606,25.38,25.397,25.367,25.387,6617,0
20170607,25.379,25.379,25.357,25.357,1700,0
20170609,25.377,25.377,25.357,25.357,1270,0
20170612,25.357,25.357,25.357,25.357,956,0
20170613,25.387,25.417,25.387,25.405,1373,0
20170614,25.412,25.427,25.412,25.417,5754,0
20170615,25.367,25.387,25.367,25.387,11249,0
20170616,25.397,25.397,25.347,25.347,1388,0
20170619,25.403,25.417,25.403,25.411,1403,0
20170620,25.355,25.377,25.355,25.367,972623,0
20170621,25.377,25.377,25.247,25.247,2584,0
20170622,25.287,25.307,25.267,25.307,1405,0
20170623,25.317,25.347,25.317,25.337,3243,0
20170626,25.377,25.394,25.377,25.394,538,0
20170627,25.357,25.387,25.307,25.307,3714,0
20170628,25.347,25.387,25.337,25.387,11956,0
20170630,25.346,25.346,25.346,25.346,100,0
20170703,25.3816,25.39,25.32,25.32,4908,0
20170705,25.33,25.37,25.3,25.3,1792,0
20170706,25.28,25.28,25.28,25.28,100,0
20170707,25.23,25.23,25.23,25.23,1012,0
20170710,25.3,25.3,25.29,25.3,1005,0
20170711,25.28,25.28,25.2642,25.2792,746,0
20170712,25.39,25.39,25.36,25.38,3993,0
20170713,25.4032,25.41,25.36,25.36,642738,0
20170714,25.369,25.369,25.3599,25.3599,300,0
20170717,25.38,25.38,25.3535,25.3535,801,0
20170718,25.3738,25.3738,25.3738,25.3738,200,0
20170719,25.43,25.43,25.43,25.43,12865,0
20170721,25.4295,25.4399,25.4295,25.4399,2360,0
20170724,25.44,25.44,25.44,25.44,487,0
20170725,25.4705,25.4705,25.4705,25.4705,600,0
20170726,25.52,25.52,25.48,25.48,10100,0
20170727,25.5,25.5,25.5,25.5,304,0
20170728,25.49,25.49,25.49,25.49,0,0
20170731,25.53,25.5799,25.53,25.5799,8562,0
20170801,25.47,25.47,25.47,25.47,246,0
