Date,Open,High,Low,Close,Volume,OpenInt
20160701,25.24,25.33,25.2,25.33,72264,0
20160705,25.34,25.34,25.18,25.24,48078,0
20160706,25.25,25.29,25.2,25.25,57174,0
20160707,25.28,25.5,25.22,25.48,76895,0
20160708,25.48,25.68,25.3301,25.68,43965,0
20160711,25.65,25.75,25.55,25.7,61654,0
20160712,25.65,25.65,25.45,25.5499,39905,0
20160713,25.75,25.75,25.4201,25.53,43192,0
20160714,25.43,25.6799,25.26,25.59,48951,0
20160715,25.65,25.8,25.47,25.74,30188,0
20160718,25.78,25.79,25.72,25.79,21721,0
20160719,25.56,25.79,25.42,25.69,6958,0
20160720,25.69,25.98,25.55,25.98,14100,0
20160721,26.05,26.05,25.85,26.05,29485,0
20160722,25.99,26.099,25.9,26.049,7675,0
20160725,25.9899,26.05,25.9545,25.99,9080,0
20160726,25.95,26.0269,25.88,25.89,52500,0
20160727,25.89,25.95,25.85,25.86,10575,0
20160728,25.9312,25.94,25.79,25.79,5572,0
20160729,25.859,25.9799,25.8001,25.9539,15700,0
20160801,25.99,26.1,25.99,26.1,16494,0
20160802,26,26.238,26,26.14,21460,0
20160803,26.2399,26.2399,26.1296,26.1296,850,0
20160804,26.1448,26.1448,25.85,25.9,43726,0
20160805,25.89,25.9265,25.88,25.88,8250,0
20160808,25.88,25.91,25.8301,25.91,8100,0
20160809,25.9196,26.0399,25.9,25.9101,7178,0
20160810,25.96,26.0499,25.9286,26.0499,9839,0
20160811,26.05,26.18,25.9975,26.1,16800,0
20160812,25.98,25.98,25.76,25.81,27720,0
20160815,25.844,25.89,25.8,25.81,8688,0
20160816,25.8849,25.89,25.8,25.89,5380,0
20160817,25.89,25.9,25.8161,25.8161,7235,0
20160818,25.8262,25.96,25.8262,25.96,20812,0
20160819,25.9,26.05,25.84,25.9146,14977,0
20160822,26.0157,26.04,25.8505,25.9976,15717,0
20160823,26.05,26.33,26.04,26.04,17000,0
20160824,26.02,26.1,25.97,26.02,21166,0
20160825,26.045,26.09,26,26.05,13500,0
20160826,26.04,26.1699,26.04,26.1699,13700,0
20160829,25.9601,26.17,25.95,26.1319,8110,0
20160830,26.1,26.13,26.04,26.05,13020,0
20160831,26.13,26.13,26.04,26.06,9035,0
20160901,26.05,26.2499,26.05,26.05,8270,0
20160902,25.9999,26.38,25.872,26.38,27421,0
20160906,26.28,26.28,26.02,26.15,15548,0
20160907,26.2712,27,26.24,26.91,30680,0
20160908,26.82,26.82,26.12,26.36,15729,0
20160909,26.1845,26.1845,26.1842,26.1842,2000,0
20160912,26,26.4,25.9,26.3,7100,0
20160913,26.73,26.73,26.1,26.33,27700,0
