Date,Open,High,Low,Close,Volume,OpenInt
20170329,19.469,19.498,19.469,19.498,203,0
20170424,20.036,20.036,20.036,20.036,101,0
20170501,20.27,20.27,20.27,20.27,181,0
20170504,20.353,20.353,20.353,20.353,201,0
20170505,20.422,20.422,20.422,20.422,288,0
20170510,20.452,20.452,20.452,20.452,109,0
20170515,20.551,20.551,20.551,20.551,388,0
20170516,20.74,20.819,20.74,20.819,227,0
20170613,21.055,21.055,21.055,21.055,252,0
20170619,21.0847,21.0847,21.0847,21.0847,101,0
20170620,20.765,20.8739,20.765,20.8739,282,0
20170623,20.79,20.79,20.79,20.79,100,0
20170627,20.916,20.916,20.916,20.916,473,0
20170706,21.31,21.31,21.31,21.31,104,0
20170712,21.72,21.72,21.54,21.56,1590,0
20170713,21.47,21.5,21.47,21.5,1201,0
20170719,21.37,21.65,21.37,21.65,1100,0
20170720,21.65,21.65,21.65,21.65,0,0
20170731,21.9,21.9,21.9,21.9,400,0
20170801,22.25,22.25,22.25,22.25,300,0
