Date,Open,High,Low,Close,Volume,OpenInt
19990625,16.696,16.855,14.951,15.72,47007815,0
19990628,15.559,15.818,14.326,15.759,9636050,0
19990629,15.559,21.425,15.234,18.364,15459190,0
19990630,19.356,25.297,18.915,23.686,17698375,0
19990701,25.097,25.757,22.579,23.209,9972554,0
19990702,23.428,24.002,21.464,22.693,4109159,0
19990706,22.894,24.524,21.778,22.178,3826744,0
19990707,22.037,22.73,20.346,21.473,4460132,0
19990708,21.863,21.94,20.346,20.346,2502103,0
19990709,20.986,21.149,19.392,21.1,3109700,0
19990712,21.303,21.464,20.291,20.346,1505791,0
19990713,19.994,21.139,19.392,19.871,1958659,0
19990714,20.263,21.778,19.956,20.996,3658175,0
19990715,21.1,23.847,20.986,23.774,5392289,0
19990716,24.582,25.117,22.436,22.713,5267747,0
19990719,23.57,23.686,21.425,21.464,2146725,0
19990720,21.083,22.856,20.253,21.94,4028647,0
19990721,22.969,25.018,22.579,22.856,12693545,0
19990722,23.656,24.421,21.579,23.608,8204479,0
19990723,24.162,24.325,22.73,23.189,3822343,0
19990726,23.047,23.534,22.101,22.933,4630586,0
19990727,23.608,23.811,23.057,23.229,2385113,0
19990728,23.076,23.094,22.492,22.856,2418447,0
19990729,21.94,23.447,21.778,23.057,1727821,0
19990730,23.351,26.233,23.209,25.823,9520314,0
19990802,25.441,27.424,24.8,25.639,7226406,0
19990803,26.137,26.787,24.344,24.708,6825744,0
19990804,24.44,24.8,23.534,24.78,4731225,0
19990805,24.43,25.594,23.209,25.068,5346374,0
19990806,24.879,26.035,24.383,25.441,3586469,0
19990809,25.757,26.976,25.575,25.823,2976986,0
19990810,25.869,27.205,25.594,27.176,3260028,0
19990811,27.502,29.475,27.463,29.475,4802927,0
19990812,29.457,31.642,29.409,31.318,4830602,0
19990813,32.596,34.169,31.642,33.979,6671012,0
19990816,33.768,33.865,31.796,32.433,4399121,0
19990817,33.053,34.895,32.128,34.751,5248879,0
19990818,34.341,35.591,32.88,32.88,3901595,0
19990819,32.272,33.388,31.956,32.908,2915975,0
19990820,33.3,33.309,31.956,32.53,1525288,0
19990823,32.433,36.239,32.356,36.086,5156419,0
19990824,35.467,37.26,34.484,35.18,8084343,0
19990825,35.771,36.086,34.103,34.418,3298398,0
19990826,34.494,35.809,34.113,34.226,3538041,0
19990827,34.703,35.457,33.703,34.656,2325358,0
19990830,34.656,34.656,33.159,33.398,2120936,0
19990831,33.463,33.939,32.214,32.596,2905282,0
19990901,32.815,33.149,28.474,28.655,13147673,0
19990902,26.947,32.071,26.947,31.575,13947741,0
19990903,32.51,32.614,30.058,30.726,7411958,0
19990907,30.47,31.249,29.59,30.764,2028477,0
19990908,30.583,32.433,29.983,30.764,4119852,0
19990909,31.202,31.202,29.572,30.553,1324642,0
