Date,Open,High,Low,Close,Volume,OpenInt
19700102,3.1437,3.1437,3.1101,3.1437,29277,0
19700105,3.1437,3.1522,3.1185,3.1437,38224,0
19700106,3.1437,3.1773,3.1269,3.1773,33345,0
19700107,3.1856,3.2693,3.1856,3.2526,87837,0
19700108,3.2443,3.2443,3.2024,3.2443,26025,0
19700109,3.2191,3.2191,3.1688,3.1688,18705,0
19700112,3.1773,3.2272,3.1773,3.2272,43920,0
19700113,3.2272,3.278,3.2191,3.2191,33345,0
19700114,3.2191,3.2443,3.2024,3.2443,32530,0
19700115,3.2443,3.2526,3.2443,3.2443,17077,0
19700116,3.2443,3.2613,3.1773,3.1773,21149,0
19700119,3.1773,3.1856,3.1353,3.1856,111424,0
19700120,3.1856,3.2024,3.1522,3.2024,41479,0
19700121,3.1938,3.1938,3.1522,3.1604,57745,0
19700122,3.1604,3.1773,3.1604,3.1604,27649,0
19700123,3.1856,3.2361,3.1856,3.1856,47987,0
19700126,3.1773,3.1773,3.1437,3.1437,75644,0
19700127,3.1437,3.1437,3.1101,3.1269,41479,0
19700128,3.1269,3.1522,3.085,3.085,31715,0
19700129,3.0597,3.0597,2.9508,2.9508,82959,0
19700130,2.9508,3.0013,2.9508,3.0013,34972,0
19700202,2.976,2.976,2.976,2.976,8134,0
19700203,2.976,3.0431,2.9676,3.0347,26837,0
19700204,3.0347,3.1101,3.0347,3.0347,49613,0
19700205,3.0347,3.0597,3.0013,3.0431,31715,0
19700206,3.0431,3.0431,3.0264,3.0431,20331,0
19700209,3.0515,3.1522,3.0515,3.1269,91091,0
19700210,3.1269,3.1522,3.085,3.1101,27649,0
19700211,3.1185,3.2024,3.1185,3.2024,35787,0
19700212,3.2024,3.2191,3.1856,3.1856,9760,0
19700213,3.1856,3.2526,3.1856,3.2443,69944,0
19700216,3.2443,3.2693,3.2191,3.2693,27649,0
19700217,3.2693,3.3113,3.2693,3.303,51240,0
19700218,3.3113,3.3451,3.3113,3.3451,26837,0
19700219,3.3451,3.3869,3.3451,3.3698,61811,0
19700220,3.3869,3.4288,3.3869,3.4035,148024,0
19700224,3.4035,3.412,3.3698,3.3869,41479,0
