Date,Open,High,Low,Close,Volume,OpenInt
20170126,24.538,24.695,24.499,24.607,102284,0
20170127,24.646,24.656,24.597,24.656,44081,0
20170130,24.734,24.744,24.303,24.724,26868,0
20170131,24.744,24.793,24.695,24.754,23457,0
20170201,24.793,25.156,24.744,25.126,36711,0
20170202,25.156,25.156,24.891,25.077,20149,0
20170203,25.097,25.126,24.989,25.023,33819,0
20170206,25.087,25.136,25.032,25.067,41570,0
20170207,25.136,25.165,24.999,25.165,6350,0
20170208,24.94,25.224,24.94,25.224,8448,0
20170209,24.96,25.234,24.96,25.234,816,0
20170210,25.087,25.185,24.989,25.136,5230,0
20170213,25.009,25.087,24.832,24.891,70133,0
20170214,24.911,24.94,24.692,24.754,45462,0
20170215,24.705,24.842,24.656,24.715,40629,0
20170216,24.715,24.715,24.46,24.656,262943,0
20170217,24.666,24.989,24.626,24.675,766899,0
20170221,24.695,24.989,24.548,24.675,86489,0
20170222,24.695,24.705,24.636,24.675,51714,0
20170223,24.715,24.783,24.646,24.773,49509,0
20170224,24.783,24.862,24.783,24.862,53500,0
20170227,24.862,24.862,24.793,24.822,17247,0
20170228,24.832,24.832,24.715,24.744,23155,0
20170301,24.675,24.744,24.646,24.715,45622,0
20170302,24.685,24.773,24.668,24.705,29231,0
20170303,24.697,24.754,24.691,24.754,16364,0
20170306,24.744,24.744,24.685,24.734,21184,0
20170307,24.695,24.724,24.675,24.675,13017,0
20170308,24.646,24.685,24.587,24.606,33685,0
20170309,24.695,24.695,24.499,24.499,30060,0
20170310,24.597,24.646,24.522,24.548,13824,0
20170313,24.548,24.626,24.528,24.538,17632,0
20170314,24.61,24.666,24.597,24.597,19473,0
20170315,24.666,24.793,24.617,24.754,13892,0
20170316,24.793,24.793,24.675,24.773,17092,0
20170317,24.783,24.832,24.695,24.705,40943,0
20170320,24.783,24.783,24.732,24.773,10485,0
20170321,24.793,24.822,24.695,24.769,29001,0
20170322,24.695,24.773,24.656,24.725,11990,0
20170323,24.736,24.842,24.707,24.842,16292,0
20170324,24.842,24.842,24.744,24.793,8368,0
20170327,24.793,24.832,24.754,24.822,10269,0
20170328,24.849,24.991,24.842,24.94,22780,0
20170329,24.979,25.028,24.904,25.009,17092,0
20170330,25.027,25.058,24.891,25.048,14047,0
20170331,25.058,25.058,24.891,24.989,12824,0
20170403,24.989,25.038,24.979,25.009,12418,0
20170404,25.058,25.067,24.989,25.058,14266,0
20170405,25.058,25.116,24.891,24.901,20817,0
20170406,24.94,24.999,24.93,24.971,20620,0
20170407,25.009,25.042,24.95,24.989,7740,0
20170410,25.067,25.116,24.989,25.116,14751,0
20170411,25.16,25.26,25.12,25.25,35211,0
20170412,25.2177,25.26,25.13,25.23,15860,0
20170413,25.23,25.23,25.17,25.2199,8548,0
20170417,25.25,25.25,25.2,25.2199,4281,0
20170418,25.21,25.21,25.16,25.17,18336,0
20170419,25.2,25.21,25.16,25.16,4695,0
20170420,25.16,25.1849,25.15,25.15,6647,0
20170421,25.18,25.2001,25.16,25.2,5001,0
20170424,25.21,25.2317,25.17,25.17,14800,0
20170425,25.2199,25.2199,25.14,25.18,21221,0
20170426,25.19,25.375,25.1799,25.24,95907,0
20170427,25.3,25.3,25.21,25.3,6189,0
20170428,25.3,25.31,25.1999,25.1999,3272,0
20170501,25.31,25.38,25.2207,25.33,42801,0
20170502,25.33,25.33,25.228,25.228,3507,0
20170503,25.2887,25.2887,25.26,25.2723,2205,0
20170504,25.2613,25.3499,25.15,25.15,15340,0
20170505,25.2,25.24,25.19,25.24,2720,0
20170508,25.25,25.3,25.24,25.25,3010,0
20170509,25.3,25.3,25.15,25.15,13244,0
20170510,25.25,25.25,25.05,25.0799,8709,0
20170511,25.05,25.09,25,25.07,8825,0
20170512,25.1,25.14,25.03,25.0601,13273,0
20170515,25.05,25.1148,24.88,24.94,47941,0
20170516,24.96,25.01,24.9,25,8000,0
20170517,24.91,25,24.85,24.92,9653,0
20170518,24.972,24.9899,24.85,24.85,5555,0
20170519,24.89,24.9099,24.76,24.76,14993,0
20170522,24.88,25,24.69,24.98,20963,0
20170523,25,25,24.75,24.8601,10890,0
20170524,24.95,25,24.87,24.88,19188,0
20170525,24.95,25,24.94,24.96,3912,0
20170526,25,25,24.94,24.98,3500,0
20170530,24.99,24.99,24.885,24.885,11275,0
20170531,24.8549,24.91,24.8498,24.9,10804,0
20170601,24.87,24.94,24.85,24.94,16795,0
20170602,24.96,25.1,24.96,25.08,15112,0
20170605,25.01,25.069,24.99,25,2212,0
20170606,25.05,25.05,24.9817,24.9817,2799,0
20170607,25.054,25.07,24.95,24.9999,10948,0
