Date,Open,High,Low,Close,Volume,OpenInt
20050225,7.5257,7.5257,7.4674,7.4964,47166,0
20050228,7.5257,7.5645,7.4866,7.5158,41502,0
20050301,7.5546,7.6323,7.4674,7.613,33161,0
20050302,7.5645,7.5839,7.4866,7.4866,39955,0
20050303,7.545,7.5936,7.4284,7.5062,47679,0
20050304,7.5062,7.5158,7.4481,7.4964,43355,0
20050307,7.4866,7.5743,7.4674,7.5743,22552,0
20050308,7.5743,7.5839,7.5062,7.5062,16270,0
20050309,7.5062,7.5546,7.4576,7.477,32954,0
20050310,7.4188,7.4481,7.1857,7.215,54478,0
20050311,7.2635,7.2828,7.1762,7.1955,47062,0
20050314,7.1762,7.1857,7.0111,7.0983,61997,0
20050315,7.0402,7.0497,6.7973,6.8168,86915,0
20050316,6.7197,6.8071,6.5642,6.5838,99892,0
20050317,6.603,6.7391,6.5642,6.7002,59421,0
20050318,6.7295,6.7391,6.6809,6.7002,29658,0
20050321,6.7391,6.7877,6.7002,6.7197,67658,0
20050322,6.6615,6.7197,6.6419,6.7197,54376,0
20050323,6.6809,6.6809,6.4575,6.4673,43767,0
20050324,6.4575,6.5642,6.4575,6.5449,25024,0
20050328,6.5838,6.6419,6.5155,6.574,38102,0
20050329,6.506,6.506,6.3507,6.3507,56537,0
20050330,6.3408,6.4091,6.3215,6.3992,74868,0
20050331,6.4768,6.5254,6.4768,6.5254,49226,0
20050401,6.5934,6.6515,6.574,6.6226,29349,0
20050404,6.6128,6.6128,6.4964,6.5642,27394,0
20050405,6.574,6.6226,6.5155,6.5449,17506,0
20050406,6.5547,6.7002,6.5547,6.6711,43251,0
20050407,6.7002,6.7002,6.6226,6.6809,13491,0
20050408,6.7197,6.7489,6.6615,6.6809,25950,0
20050411,6.7002,6.7391,6.6419,6.6809,37381,0
20050412,6.6226,6.7295,6.5838,6.7295,16787,0
20050413,6.7002,6.7489,6.6615,6.6711,8136,0
20050414,6.6711,6.6903,6.5449,6.5449,7417,0
20050415,6.5155,6.5155,6.2535,6.2535,24613,0
20050418,6.1371,6.2438,6.1273,6.2147,57053,0
20050419,6.2147,6.3798,6.2147,6.3408,36147,0
20050420,6.3602,6.3895,6.3602,6.3602,33469,0
20050421,6.3701,6.4866,6.3701,6.4284,49019,0
20050422,6.4477,6.4768,6.3408,6.3602,31718,0
20050425,6.3215,6.4768,6.3119,6.4673,24305,0
20050426,6.506,6.5254,6.4575,6.4575,16065,0
20050427,6.5254,6.5254,6.4673,6.5155,24922,0
20050428,6.506,6.506,6.438,6.4768,18950,0
20050429,6.3602,6.438,6.3215,6.438,21419,0
20050502,6.3798,6.4673,6.3701,6.4284,12565,0
20050503,6.3701,6.4673,6.3701,6.4477,14006,0
20050504,6.4575,6.6226,6.4091,6.6226,20700,0
20050505,6.6323,6.6419,6.5934,6.5934,9164,0
20050506,6.6419,6.6809,6.5934,6.6323,15652,0
20050509,6.6615,6.7002,6.6128,6.6615,16375,0
20050510,6.6226,6.6419,6.4575,6.5351,16375,0
20050511,6.5254,6.5254,6.4477,6.4964,15963,0
20050512,6.4575,6.4866,6.4284,6.4284,29865,0
20050513,6.3798,6.3992,6.3602,6.3798,36763,0
20050516,6.3992,6.4768,6.3701,6.3895,13594,0
20050517,6.3895,6.3992,6.3312,6.3701,49122,0
20050518,6.4185,6.4964,6.4185,6.4964,49534,0
20050519,6.4964,6.5642,6.4964,6.5254,14521,0
20050520,6.4768,6.4768,6.4091,6.4673,36456,0
20050523,6.4768,6.506,6.4185,6.4964,17919,0
20050524,6.4866,6.4964,6.4477,6.4575,14108,0
20050525,6.438,6.4575,6.3992,6.3992,39544,0
20050526,6.4091,6.4964,6.3798,6.4866,17506,0
20050527,6.5351,6.574,6.5155,6.5642,25438,0
20050531,6.5642,6.5934,6.5449,6.5449,25438,0
20050601,6.4964,6.6515,6.4964,6.6515,42737,0
20050602,6.6515,6.7295,6.6323,6.7099,25849,0
20050603,6.7197,6.7587,6.7197,6.7489,42222,0
20050606,6.7099,6.7587,6.6809,6.6903,10196,0
20050607,6.7002,6.7682,6.6809,6.7197,18331,0
