Date,Open,High,Low,Close,Volume,OpenInt
20090326,14.913,14.913,14.913,14.913,0,0
20090327,14.913,14.989,14.913,14.913,355324,0
20090330,14.766,14.937,14.766,14.929,134047,0
20090331,13.872,14.989,13.872,14.913,30965,0
20090401,14.952,15.019,14.913,14.989,15514,0
20090402,15.027,15.027,14.913,14.913,17485,0
20090403,14.92,14.929,14.913,14.913,24542,0
20090406,15.013,15.013,14.913,14.913,48619,0
20090407,14.92,15.005,14.913,14.913,61787,0
20090408,15.013,15.013,14.913,14.913,42518,0
20090409,14.92,15.063,14.92,14.989,25819,0
20090413,14.952,15.027,14.913,14.989,37726,0
20090414,14.92,15.027,14.913,14.952,45118,0
20090415,14.952,15.027,14.913,14.92,27708,0
20090416,14.92,14.944,14.913,14.913,24478,0
20090417,14.929,14.952,14.913,14.92,8459,0
20090420,14.937,14.944,14.913,14.913,15512,0
20090421,14.92,14.92,14.913,14.913,19529,0
20090422,14.913,14.937,14.913,14.913,38026,0
20090423,14.913,14.92,14.913,14.913,5890,0
20090424,14.913,14.937,14.913,14.913,43133,0
20090427,14.913,14.937,14.913,14.913,134962,0
20090428,14.913,14.937,14.913,14.913,65546,0
20090429,14.913,14.92,14.913,14.913,47270,0
20090430,14.913,14.929,14.913,14.913,35312,0
20090501,14.913,14.913,14.913,14.913,40393,0
20090504,14.913,14.92,14.913,14.913,63866,0
20090505,14.937,14.952,14.913,14.952,8027,0
20090506,14.92,14.952,14.92,14.952,11837,0
20090507,14.929,14.944,14.929,14.944,17526,0
20090508,14.944,14.944,14.84,14.897,34104,0
20090511,14.905,14.929,14.885,14.897,13507,0
20090512,14.92,15.019,14.913,14.982,46345,0
20090513,14.937,14.937,14.897,14.897,18411,0
20090514,14.937,14.937,14.877,14.889,8190,0
20090515,14.913,14.913,14.804,14.84,12748,0
20090518,14.613,14.92,14.613,14.84,62994,0
20090519,14.84,14.92,14.84,14.913,29251,0
20090520,14.913,14.937,14.885,14.897,36547,0
20090521,14.267,14.982,14.267,14.833,47741,0
20090522,14.84,14.848,14.556,14.6,31897,0
20090526,14.543,14.726,14.474,14.726,50932,0
20090527,14.667,14.726,14.585,14.713,49642,0
20090528,14.692,14.885,14.692,14.885,52072,0
20090529,14.855,14.96,14.848,14.913,24841,0
20090601,14.905,14.96,14.868,14.905,15969,0
