Date,Open,High,Low,Close,Volume,OpenInt
20160610,25.02,25.02,24.9,24.92,337594,0
20160613,24.95,24.99,24.8897,24.97,384630,0
20160614,24.98,24.98,24.9,24.92,457653,0
20160615,24.95,25,24.915,24.99,469770,0
20160616,24.98,25.05,24.93,25.05,322822,0
20160617,25.05,25.09,25.01,25.06,443959,0
20160620,25.1,25.1,25.04,25.09,474567,0
20160621,25.12,25.14,25.1,25.12,323953,0
20160622,25.13,25.18,25.12,25.17,283523,0
20160623,25.19,25.26,25.17,25.23,294822,0
20160624,25.05,25.19,24.99,25.15,686718,0
20160627,25.15,25.17,25,25.15,630747,0
20160628,25.23,25.3,24.24,25.28,355960,0
20160629,25.35,25.42,25.334,25.4,314450,0
20160630,25.41,25.69,25.38,25.69,671344,0
20160701,25.69,25.69,25.5207,25.56,167083,0
20160705,25.59,25.6,25.35,25.39,383018,0
20160706,25.4,25.46,25.33,25.36,312965,0
20160707,25.4,25.44,25.33,25.36,271959,0
20160708,25.38,25.43,25.35,25.39,323028,0
20160711,25.43,25.5,25.395,25.41,305523,0
20160712,25.42,25.44,25.26,25.28,488516,0
20160713,25.3,25.33,25.22,25.27,241118,0
20160714,25.27,25.28,25.06,25.12,249526,0
20160715,25.13,25.15,24.94,24.94,383149,0
20160718,25.06,25.17,25.0448,25.11,243037,0
20160719,25.15,25.26,25.13,25.26,465907,0
20160720,25.26,25.3,25.24,25.3,195662,0
20160721,25.3,25.36,25.29,25.32,208918,0
20160722,25.34,25.34,25.2707,25.32,238884,0
20160725,25.33,25.4,25.3,25.39,168406,0
20160726,25.41,25.42,25.34,25.38,164921,0
20160727,25.37,25.4199,25.32,25.41,146481,0
20160728,25.42,25.47,25.4,25.47,146334,0
20160729,25.47,25.52,25.42,25.43,233872,0
20160801,25.47,25.52,25.44,25.47,115771,0
20160802,25.46,25.46,25.3801,25.44,108298,0
20160803,25.46,25.47,25.42,25.44,129498,0
20160804,25.45,25.4699,25.42,25.46,175354,0
20160805,25.48,25.52,25.45,25.5132,187015,0
20160808,25.57,25.65,25.55,25.6499,135794,0
20160809,25.67,25.74,25.54,25.58,203619,0
20160810,25.6,25.64,25.58,25.64,151324,0
20160811,25.69,25.722,25.55,25.56,271147,0
20160812,25.59,25.6,25.52,25.53,136727,0
20160815,25.61,25.63,25.5701,25.59,155418,0
20160816,25.64,25.64,25.58,25.64,203761,0
20160817,25.64,25.68,25.6127,25.65,131339,0
20160818,25.68,25.72,25.65,25.71,185780,0
20160819,25.7,25.75,25.66,25.74,116257,0
20160822,25.75,25.85,25.74,25.83,122332,0
20160823,25.83,25.87,25.8274,25.8545,86632,0
20160824,25.88,25.91,25.83,25.84,171581,0
20160825,25.86,25.88,25.84,25.85,92713,0
20160826,25.89,25.95,25.862,25.94,77320,0
20160829,25.68,25.72,25.62,25.65,144349,0
20160830,25.65,25.67,25.53,25.58,334085,0
20160831,25.58,25.6,25.57,25.58,197107,0
20160901,25.62,25.67,25.59,25.59,164647,0
20160902,25.64,25.64,25.55,25.6,72599,0
20160906,25.64,25.64,25.56,25.59,252446,0
20160907,25.62,25.79,25.62,25.68,293381,0
20160908,25.69,25.79,25.69,25.7201,175599,0
20160909,25.72,25.756,25.4,25.4,679334,0
20160912,25.54,25.55,25.2,25.25,329703,0
20160913,25.38,25.3899,25,25.05,215304,0
20160914,25.12,25.29,25.0801,25.29,192576,0
20160915,25.29,25.34,25.2201,25.29,182862,0
20160916,25.35,25.37,25.21,25.21,120991,0
20160919,25.35,25.35,25.2625,25.32,140583,0
20160920,25.41,25.42,25.3,25.42,132942,0
20160921,25.43,25.5,25.36,25.5,196761,0
20160922,25.55,25.64,25.53,25.63,213552,0
20160923,25.69,25.69,25.61,25.65,130685,0
