Date,Open,High,Low,Close,Volume,OpenInt
20050225,12.706,12.73,12.706,12.706,417643,0
20050228,12.723,12.73,12.706,12.706,565286,0
20050301,12.714,12.718,12.706,12.706,251760,0
20050302,12.714,12.714,12.706,12.711,154310,0
20050303,12.706,12.723,12.706,12.714,262545,0
20050304,12.711,12.718,12.706,12.706,314501,0
20050307,12.706,12.714,12.706,12.706,1128019,0
20050308,12.714,12.714,12.706,12.706,622146,0
20050309,12.706,12.711,12.651,12.651,749598,0
20050310,12.688,12.688,12.651,12.651,274503,0
20050311,12.67,12.67,12.627,12.644,730966,0
20050314,12.651,12.651,12.627,12.648,161368,0
20050315,12.639,12.651,12.627,12.632,130586,0
20050316,12.627,12.648,12.627,12.627,336859,0
20050317,12.627,12.632,12.627,12.632,300188,0
20050318,12.632,12.632,12.627,12.627,323522,0
20050321,12.627,12.632,12.627,12.627,479008,0
20050322,12.627,12.664,12.627,12.627,453325,0
20050323,12.627,12.632,12.627,12.627,1147237,0
20050324,12.627,12.632,12.627,12.627,651754,0
20050328,12.627,12.648,12.627,12.627,951357,0
20050329,12.627,12.632,12.627,12.627,556265,0
20050330,12.627,12.632,12.627,12.627,903905,0
20050331,12.627,12.632,12.627,12.632,355291,0
20050401,12.627,12.632,12.627,12.627,270386,0
20050404,12.627,12.632,12.627,12.627,362742,0
20050405,12.627,12.632,12.627,12.627,312542,0
20050406,12.627,12.632,12.627,12.627,244504,0
20050407,12.627,12.632,12.627,12.627,227059,0
20050408,12.627,12.632,12.627,12.632,226077,0
20050411,12.627,12.632,12.627,12.627,472543,0
20050412,12.627,12.632,12.607,12.627,462933,0
20050413,12.627,12.632,12.627,12.627,445678,0
20050414,12.578,12.584,12.451,12.451,708223,0
20050415,12.451,12.453,12.327,12.332,470386,0
20050418,12.327,12.332,12.327,12.327,253724,0
20050419,12.277,12.28,12.25,12.257,167254,0
20050420,12.25,12.257,12.25,12.25,223916,0
20050421,12.25,12.257,12.173,12.179,250783,0
20050422,12.173,12.179,12.073,12.073,309212,0
20050425,12.073,12.26,12.073,12.091,303720,0
20050426,12.121,12.149,11.996,12,327645,0
20050427,11.95,12.173,11.95,12.169,284509,0
20050428,12.169,12.169,11.693,11.858,269603,0
20050429,11.919,11.919,11.67,11.822,210387,0
20050502,11.822,11.869,11.693,11.77,195686,0
20050503,11.747,11.776,11.542,11.597,289212,0
20050504,11.597,11.846,11.597,11.792,260389,0
20050505,11.787,11.828,11.699,11.715,175484,0
20050506,11.77,11.893,11.72,11.873,160975,0
20050509,11.919,11.933,11.805,11.822,198625,0
20050510,11.817,11.869,11.699,11.72,404698,0
20050511,11.741,11.759,11.67,11.741,314113,0
20050512,11.77,11.792,11.67,11.712,195090,0
20050513,11.642,11.72,11.628,11.715,225487,0
20050516,11.715,11.72,11.591,11.634,283524,0
20050517,11.67,12.011,11.67,11.969,411954,0
20050518,11.996,12.173,11.944,12.153,333918,0
20050519,12.153,12.241,12.047,12.23,267643,0
20050520,12.23,12.25,12.138,12.2,231959,0
20050523,12.173,12.245,12.128,12.19,375092,0
20050524,12.225,12.277,12.194,12.194,337640,0
20050525,12.179,12.215,11.996,12.036,460389,0
20050526,12.032,12.159,12.032,12.086,262152,0
20050527,12.082,12.245,11.996,12.245,239799,0
20050531,12.153,12.209,12.082,12.209,312150,0
20050601,12.2,12.241,12.153,12.184,269603,0
20050602,12.149,12.316,12.149,12.225,278429,0
20050603,12.277,12.354,12.194,12.277,256078,0
20050606,12.26,12.26,12.145,12.153,294698,0
20050607,12.225,12.241,12.138,12.173,293914,0
20050608,12.184,12.316,12.173,12.272,232940,0
20050609,12.265,12.378,12.265,12.327,204896,0
