Date,Open,High,Low,Close,Volume,OpenInt
19841019,0.9463,0.9529,0.9305,0.937,6495391,0
19841022,0.937,0.9463,0.905,0.9305,1393524,0
19841023,0.937,0.937,0.9147,0.9211,1614111,0
19841024,0.9211,0.9211,0.905,0.9147,2306015,0
19841025,0.8987,0.9083,0.8892,0.8892,2711430,0
19841026,0.8892,0.8987,0.8892,0.8892,348302,0
19841029,0.8987,0.8987,0.8892,0.8987,5117862,0
19841030,0.8892,0.9147,0.8892,0.9083,243194,0
19841031,0.9083,0.9147,0.8987,0.9083,322894,0
19841101,0.9083,0.9242,0.9083,0.9147,634792,0
19841102,0.9083,0.9242,0.9083,0.9242,115160,0
19841105,0.9147,0.9305,0.9083,0.9242,229065,0
19841106,0.9242,0.9402,0.9242,0.9402,451852,0
19841107,0.9305,0.9305,0.9242,0.9305,148106,0
19841108,0.9242,0.9305,0.9147,0.9242,296534,0
19841109,0.9242,0.9305,0.9147,0.9147,203964,0
19841112,0.9147,0.9147,0.9083,0.9147,557911,0
19841113,0.9147,0.9147,0.8987,0.8987,170386,0
19841114,0.9083,0.9083,0.8987,0.9083,73749,0
19841115,0.9083,0.9147,0.8987,0.9147,1316962,0
19841116,0.9147,0.9242,0.9083,0.9083,364930,0
19841119,0.9147,0.9242,0.9147,0.9147,456556,0
19841120,0.9147,0.9242,0.9083,0.9147,836557,0
19841121,0.9147,0.9242,0.8987,0.9242,1296879,0
19841123,0.9242,0.9402,0.9147,0.9242,645461,0
19841126,0.9242,0.9305,0.9147,0.9242,362735,0
19841127,0.9147,0.9242,0.9147,0.9242,106688,0
19841128,0.9147,0.9305,0.9147,0.9242,493584,0
19841129,0.9147,0.9242,0.9147,0.9242,198000,0
19841130,0.9147,0.9242,0.9147,0.9147,235343,0
19841203,0.9242,0.9242,0.9083,0.9147,323832,0
19841204,0.9083,0.9147,0.9083,0.9083,108570,0
19841205,0.9083,0.9242,0.8987,0.9083,546304,0
19841206,0.8987,0.9083,0.8892,0.8987,108570,0
19841207,0.8892,0.8892,0.8734,0.8828,891469,0
19841210,0.8828,0.8828,0.8669,0.8828,359915,0
19841211,0.8828,0.8828,0.8734,0.8828,1157872,0
19841212,0.8734,0.8828,0.8734,0.8828,305000,0
