Date,Open,High,Low,Close,Volume,OpenInt
20050225,21.745,22.2,21.737,21.951,14188,0
20050228,21.882,22.325,21.669,22.255,18964,0
20050301,22.255,22.455,22.214,22.455,12596,0
20050302,22.518,22.642,22.394,22.49,7528,0
20050303,22.574,22.677,22.07,22.07,9555,0
20050304,22.097,22.49,22.097,22.484,5646,0
20050307,22.414,22.414,22.227,22.236,9265,0
20050308,22.283,22.332,22.097,22.097,4924,0
20050309,22.041,22.166,21.862,21.869,12740,0
20050310,21.91,22.097,21.862,21.862,7672,0
20050311,21.937,21.986,21.772,21.799,9555,0
20050314,21.826,21.994,21.826,21.897,5501,0
20050315,22.007,22.014,21.841,21.841,5357,0
20050316,21.855,21.973,21.696,21.937,11437,0
20050317,21.937,22.36,21.869,22.352,12740,0
20050318,22.463,22.463,22.166,22.283,67320,0
20050321,22.325,22.325,21.91,21.937,15200,0
20050322,21.91,22.021,21.813,21.813,11872,0
20050323,21.821,21.848,21.709,21.709,12306,0
20050324,21.669,21.751,21.633,21.696,6370,0
20050328,21.799,21.799,21.289,21.289,21572,0
20050329,21.289,21.309,21.054,21.102,19110,0
20050330,21.116,21.42,21.116,21.42,11582,0
20050331,21.454,21.585,21.379,21.427,16649,0
20050401,21.481,21.537,21.006,21.006,30112,0
20050404,21.033,21.641,21.033,21.633,10714,0
20050405,21.751,21.91,21.641,21.641,25626,0
20050406,21.751,22.084,21.751,21.91,12740,0
20050407,21.799,22.117,21.799,22.041,10569,0
20050408,22.11,22.11,21.918,21.918,9265,0
20050411,21.937,22.07,21.937,21.937,9265,0
20050412,21.937,21.979,21.724,21.91,18532,0
20050413,22.007,22.062,21.758,21.758,11437,0
20050414,21.826,22.055,21.772,21.799,13173,0
20050415,21.799,21.807,21.661,21.669,10858,0
20050418,21.772,21.959,21.655,21.683,11582,0
20050419,21.655,21.655,21.447,21.585,17517,0
20050420,21.641,21.641,21.268,21.537,19978,0
20050421,21.641,21.641,21.386,21.427,17662,0
20050422,21.503,21.503,21.075,21.137,25769,0
20050425,21.178,21.427,21.122,21.427,5067,0
20050426,21.406,21.509,21.323,21.379,14188,0
20050427,21.33,21.454,21.33,21.336,5936,0
20050428,21.323,21.358,20.729,20.764,17229,0
20050429,20.846,20.853,20.687,20.737,16794,0
20050502,20.792,20.881,20.66,20.833,9989,0
20050503,20.833,21.289,20.833,21.06,10281,0
20050504,21.158,22.842,21.158,22.704,27797,0
20050505,22.704,23.595,22.704,23.534,34022,0
20050506,23.665,23.796,23.313,23.506,17808,0
20050509,23.506,23.506,22.836,22.994,10425,0
20050510,22.946,22.981,22.76,22.767,4924,0
20050511,22.76,22.76,22.704,22.712,1881,0
20050512,22.649,22.649,22.387,22.394,12162,0
20050513,22.463,22.767,22.366,22.366,12162,0
20050516,22.332,22.587,22.332,22.574,7816,0
20050517,22.58,22.58,22.414,22.511,5791,0
20050518,22.601,23.16,22.601,23.16,8975,0
20050519,23.133,23.133,22.994,23.05,9265,0
20050520,22.953,23.223,22.953,23.223,4924,0
20050523,23.195,23.236,23.05,23.078,16504,0
20050524,22.946,22.981,22.946,22.981,3909,0
20050525,22.864,22.939,22.864,22.884,7383,0
20050526,22.926,23.154,22.926,23.146,10714,0
20050527,23.209,23.209,22.919,22.919,33877,0
20050531,22.85,22.912,22.767,22.787,27652,0
20050601,22.76,22.787,22.649,22.717,16070,0
20050602,22.76,22.891,22.463,22.49,12016,0
20050603,22.518,22.56,22.463,22.463,30981,0
20050606,22.422,22.656,22.422,22.656,13897,0
20050607,22.601,23.05,22.601,23.008,12596,0
20050608,22.932,22.932,22.78,22.919,17229,0
20050609,22.856,23.057,22.787,23.05,6660,0
20050610,22.975,23.133,22.975,23.05,4200,0
20050613,23.127,23.292,23.078,23.292,7383,0
20050614,23.23,24.176,23.23,23.885,26060,0
20050615,23.554,23.885,23.333,23.865,25045,0
20050616,23.865,23.927,23.768,23.927,15200,0
20050617,23.927,23.927,23.395,23.395,25769,0
20050620,23.395,23.554,23.292,23.513,30402,0
20050621,23.422,23.54,23.417,23.54,10281,0
20050622,23.534,23.554,23.279,23.478,12596,0
20050623,23.554,23.761,23.54,23.623,11292,0
20050624,23.574,23.63,23.32,23.32,18097,0
20050627,23.326,23.333,23.279,23.279,10858,0
20050628,23.306,24.01,23.306,23.954,14622,0
20050629,23.927,23.962,23.395,23.616,18241,0
20050630,23.692,23.768,23.437,23.437,7239,0
20050701,23.498,23.498,23.32,23.367,4055,0
20050705,23.292,23.796,23.292,23.796,11437,0
20050706,23.665,23.81,23.506,23.671,13173,0
20050707,23.581,23.768,23.484,23.742,8975,0
20050708,23.742,25.708,23.742,25.308,42997,0
20050711,25.15,25.502,24.936,25.308,44302,0
20050712,25.177,25.267,24.984,25.218,29678,0
20050713,25.102,25.102,24.638,24.915,18386,0
20050714,24.991,24.991,24.142,24.148,6660,0
