Date,Open,High,Low,Close,Volume,OpenInt
20100823,18.127,18.205,18.094,18.127,13634,0
20100825,17.866,18.119,17.746,18.119,1295,0
20100826,18.036,18.351,17.923,18.351,9405,0
20100831,18.503,18.665,18.503,18.536,7171,0
20100901,18.289,18.289,18.289,18.289,352,0
20100903,18.289,18.63,18.289,18.622,2705,0
20100908,18.757,18.757,18.757,18.757,3290,0
20100910,18.63,18.884,18.46,18.884,1760,0
20100913,19.133,19.133,18.639,18.639,2468,0
20100917,19.142,19.225,19.142,19.225,1483,0
20100921,19.225,19.225,19.225,19.225,1060,0
20100922,19.26,19.566,19.26,19.523,823,0
20100923,19.099,19.099,18.18,18.927,1882,0
20100924,19.115,19.566,19.029,19.523,2633,0
20100928,19.497,19.991,19.497,19.991,3290,0
20100930,20.033,20.033,19.949,19.949,1060,0
20101004,19.566,19.566,19.566,19.566,227,0
20101005,19.225,19.549,19.099,19.099,3113,0
20101007,19.447,19.566,19.447,19.566,941,0
20101008,19.566,19.991,19.566,19.991,2351,0
20101012,19.685,19.983,19.65,19.983,3684,0
20101013,19.991,20.153,19.991,20.153,2468,0
20101015,20.416,20.416,20.416,20.416,5760,0
20101018,20.416,20.416,19.991,19.991,584,0
20101019,20.153,20.153,20.153,20.153,1409,0
20101020,20.347,20.416,20.347,20.416,910,0
20101026,20.102,20.102,19.744,19.744,2705,0
20101027,19.557,19.905,19.557,19.905,3290,0
20101028,20.118,20.118,20.118,20.118,823,0
20101101,19.78,20.136,19.719,20.136,2823,0
20101102,20.247,21.266,20.247,20.416,11404,0
20101103,20.416,20.468,20.085,20.468,4819,0
20101104,20.604,21.046,20.416,20.416,8816,0
20101105,20.425,20.884,19.923,20.289,3797,0
20101108,20.629,20.629,20.629,20.629,227,0
20101109,20.272,20.272,19.991,19.991,2468,0
20101110,19.957,19.991,19.864,19.991,8053,0
20101112,20.033,20.033,20.033,20.033,823,0
20101115,19.609,19.821,19.514,19.821,352,0
20101116,19.752,19.752,19.395,19.48,1295,0
20101119,19.055,19.268,18.63,19.268,846,0
20101122,18.901,19.421,18.901,19.421,473,0
20101124,19.142,19.404,19.142,19.404,3526,0
20101129,19.702,19.702,19.702,19.702,227,0
20101130,19.812,19.855,19.812,19.855,352,0
20101203,19.949,20.033,19.949,20.033,1882,0
20101206,20.067,20.067,20.033,20.033,823,0
20101207,19.685,19.787,18.851,19.787,4112,0
20101209,19.78,19.78,19.78,19.78,227,0
20101210,19.991,19.991,19.991,19.991,4706,0
20101215,19.225,21.055,19.142,21.055,2412,0
20101216,19.642,19.991,18.8,19.991,5993,0
20101217,20.033,20.033,20.033,20.033,227,0
20101220,19.78,19.78,19.395,19.727,352,0
20101221,19.303,19.685,19.303,19.685,352,0
20101222,19.395,19.395,19.395,19.395,227,0
20101228,19.182,19.439,18.971,19.099,1060,0
20101229,19.15,19.15,19.142,19.142,5643,0
20110103,18.953,19.37,18.953,19.37,352,0
