Date,Open,High,Low,Close,Volume,OpenInt
20170329,23.2101,23.26,22.75,22.75,2215,0
20170330,22.07,22.21,21.49,21.53,16191,0
20170331,21.87,21.87,21,21.07,9059,0
20170403,21.15,21.66,21.15,21.6,13611,0
20170404,21.12,21.12,20.5,20.5846,26276,0
20170405,19.75,20.88,19.6264,20.75,97197,0
20170406,19.93,19.93,16.304,19.8536,1473,0
20170407,19.5788,19.5801,19.15,19.2386,12674,0
20170410,18.51,18.55,18.28,18.3,10965,0
20170411,18.29,18.5462,18,18.07,14982,0
20170412,17.7436,18.4004,17.65,18.3856,18958,0
20170413,17.99,18.36,17.9,18.26,14688,0
20170417,18.2593,18.5996,18.1977,18.5942,5092,0
20170418,18.91,19.13,18.61,18.6428,24353,0
20170419,18.7301,21.31,18.7214,20.92,114328,0
20170420,21.08,21.3,20.61,21.238,13971,0
20170421,21.26,22.9261,21.26,22.56,16678,0
20170424,22.9,23.2,22.85,23,11871,0
20170425,23.13,23.13,22.21,22.2102,21258,0
20170426,23.109,23.15,21.85,22.7603,15855,0
20170427,23.81,24.24,23.0323,23.0323,4326,0
20170428,22.801,23.58,22.47,23.15,17616,0
20170501,23.54,23.8716,23.39,23.65,18620,0
20170502,23.68,25.8,23.68,25.27,22405,0
20170503,24.9327,25.6504,24.77,24.93,52982,0
20170504,26.55,28.73,26.55,28.72,52175,0
20170505,28.62,28.62,26.48,26.99,20491,0
20170508,26.59,27.88,26.18,26.77,14083,0
20170509,27.478,28.0322,27.1199,27.62,17230,0
20170510,26.49,26.53,24.3301,25.03,54601,0
20170511,24.47,24.67,23.85,24.47,10231,0
20170512,24.3,25.08,24.24,24.32,44327,0
20170515,22,23.0304,21.99,22.8,72757,0
20170516,22.47,23.32,22.33,23.221,45763,0
20170517,22.53,23.2,21.9852,22.62,62321,0
20170518,23.25,23.25,21.92,22.25,43930,0
20170519,21.32,21.32,20.7,20.81,108962,0
20170522,20.33,20.57,20.08,20.4,86081,0
20170523,20.1,20.33,19.8,19.84,47039,0
20170524,19.95,20.35,19.48,20.04,59660,0
20170525,20.6,23.45,20.2,23.2,364461,0
20170526,22.67,22.86,21.56,21.66,83671,0
20170530,22.32,22.54,21.58,21.96,133262,0
20170531,23.54,24.25,23.24,23.65,111069,0
20170601,23.41,24,21.66,24,98162,0
20170602,24.65,25.25,23.95,24.34,128097,0
20170605,25.39,25.6105,24.74,24.88,92347,0
20170606,25.29,25.31,23.4704,23.55,77612,0
20170607,24.51,27.33,24.29,27.1799,187033,0
20170608,27.81,27.82,26.72,27.49,61276,0
20170609,27.18,27.49,26.5,26.99,40273,0
20170612,25.87,26.7,25.56,26.693,27188,0
20170613,26.84,27.47,25.94,26.1,43143,0
20170614,26.61,29.25,26.36,28.98,259019,0
20170615,29.2,29.57,28.96,29.5,31099,0
20170616,28.79,29.16,28.75,28.9,22469,0
20170619,28.492,30.03,28.37,29.93,53503,0
20170620,31.9,32.66,31.45,31.65,66672,0
20170621,31.52,34.74,30.16,34.2186,201955,0
20170622,33.24,33.5,32.0657,33.38,80653,0
20170623,33.3412,33.71,32.19,32.39,65983,0
20170626,32.28,33.47,31.6184,31.66,35540,0
20170627,31.01,31.02,29.55,29.958,62654,0
20170628,30.01,30.18,28.0762,28.9,110695,0
20170629,28.25,29.03,27.65,28.72,64360,0
20170630,27.73,28.05,26.19,26.24,125983,0
20170703,25.77,25.77,25.18,25.27,71368,0
20170705,25.56,28.1,25.5,28,208264,0
20170706,26.38,27.59,25.3,27.53,171435,0
20170707,28.7,30.22,28.54,29.36,267391,0
20170710,29.97,30.04,28.35,29.03,85108,0
20170711,29.34,29.47,27.38,27.71,118331,0
20170712,25.96,27.66,25.27,27.14,227334,0
20170713,26.75,26.89,25.7,25.98,175696,0
20170714,25.4,25.87,24.89,25.01,183897,0
20170717,25.3,26.04,25,26.02,87424,0
20170718,24.86,25.88,24.84,25.26,108490,0
20170719,25,25.1,23.99,24.2331,97167,0
20170720,23.59,24.9,23.55,24.82,90935,0
20170721,25.13,26.97,25.1,26.8,190150,0
20170724,25.8,25.92,25.4,25.52,90792,0
20170725,23.99,24.28,22.98,23.03,239353,0
20170726,22.39,22.98,21.65,21.87,201285,0
20170727,21.55,22.08,21.17,21.31,136461,0
20170728,21.05,21.09,20.41,20.56,206382,0
20170731,20.68,21.1,19.69,19.8799,122012,0
20170801,20.55,22.1,20.5,21.06,271845,0
