Date,Open,High,Low,Close,Volume,OpenInt
20160822,24.11,24.158,23.918,24.082,140947,0
20160823,23.995,24.043,23.912,24.034,65111,0
20160824,24.004,24.014,23.88,23.957,40168,0
20160825,23.87,23.937,23.841,23.908,22533,0
20160826,23.976,24.043,23.9,24.034,49140,0
20160829,24.062,24.062,23.967,24.062,79692,0
20160830,24.062,24.158,24.062,24.158,48917,0
20160831,24.197,24.197,24.014,24.043,76674,0
20160901,24.081,24.148,24.024,24.148,54124,0
20160902,24.158,24.197,24.014,24.101,30661,0
20160906,24.11,24.197,24.052,24.158,51966,0
20160907,24.148,24.148,24.014,24.024,258576,0
20160908,24.081,24.081,23.988,24.027,62237,0
20160909,24.004,24.004,23.612,23.803,61521,0
20160912,23.957,23.957,23.63,23.727,81903,0
20160913,23.823,23.823,23.487,23.621,71712,0
20160914,23.813,23.813,23.535,23.64,73603,0
20160915,23.679,23.764,23.583,23.764,53164,0
20160916,23.861,23.861,23.746,23.851,27367,0
20160919,23.87,24.014,23.823,23.976,36615,0
20160920,24.034,24.034,23.832,23.947,41968,0
20160921,24.052,24.052,23.967,24.052,45192,0
20160922,24.091,24.129,23.976,24.043,47745,0
20160923,24.12,24.129,23.964,23.995,24882,0
20160926,24.081,24.244,23.976,24.101,66099,0
20160927,23.985,24.052,23.908,23.967,50119,0
20160928,23.995,24.101,23.957,24.014,52327,0
20160929,24.004,24.004,23.832,23.851,24119,0
20160930,23.957,23.967,23.916,23.929,30863,0
20161003,23.967,23.967,23.914,23.937,13158,0
20161004,23.967,23.967,23.899,23.967,23324,0
20161005,23.967,24.014,23.851,23.957,20925,0
20161006,24.004,24.004,23.818,23.823,17448,0
20161007,23.918,24.009,23.813,23.976,16618,0
20161010,23.995,24.004,23.87,23.995,7748,0
20161011,24.004,24.004,23.689,23.707,27380,0
20161012,23.717,23.87,23.583,23.784,19960,0
20161013,23.612,23.87,23.583,23.621,182171,0
20161014,23.689,23.803,23.496,23.516,27689,0
20161017,23.563,23.758,23.535,23.748,11543,0
20161018,23.621,23.87,23.621,23.87,11906,0
20161019,23.908,23.918,23.679,23.908,15734,0
20161020,23.908,23.908,23.727,23.89,22142,0
20161021,23.908,23.908,23.689,23.813,6629,0
20161024,23.87,23.967,23.813,23.967,17164,0
20161025,24.004,24.004,23.803,23.803,21127,0
20161026,23.985,24.004,23.727,23.87,26830,0
20161027,23.861,23.918,23.774,23.774,25702,0
20161028,23.679,23.876,23.679,23.823,13796,0
20161031,23.832,23.832,23.573,23.583,25932,0
20161101,23.583,23.679,23.429,23.64,26511,0
20161102,23.679,23.679,23.429,23.602,14279,0
20161103,23.487,23.65,23.408,23.55,6167,0
20161104,23.597,23.756,23.597,23.727,7327,0
20161107,23.813,23.813,23.525,23.774,16627,0
20161108,23.565,23.774,23.565,23.727,14368,0
20161109,22.864,23.697,22.528,22.902,43598,0
20161110,22.902,22.902,21.934,22.155,38681,0
20161111,22.289,22.289,20.162,20.995,81526,0
20161114,20.899,20.899,19.317,20.046,78992,0
20161115,20.467,21.732,20.381,21.34,59692,0
20161116,21.665,22.183,21.468,22.183,55270,0
20161117,22.183,22.183,21.217,21.273,48538,0
20161118,21.57,21.627,20.755,21.244,31216,0
20161121,21.57,21.57,20.822,21.062,30308,0
20161122,21.243,21.243,20.832,20.995,33746,0
20161123,20.802,21.3,20.79,21.3,17302,0
20161125,21.512,21.656,21.426,21.512,11390,0
20161128,21.953,21.953,21.109,21.186,36878,0
20161129,21.503,21.503,21.09,21.32,25848,0
20161130,21.32,21.32,20.793,20.793,34733,0
20161201,21.052,21.08,20.339,21.013,24801,0
20161202,21.09,21.09,20.595,21.09,9234,0
20161205,20.995,21.08,20.861,20.869,13095,0
20161206,21.042,21.09,20.851,20.955,14826,0
20161207,21.08,21.09,20.889,21.08,14811,0
20161208,21.042,21.08,20.615,20.615,27096,0
20161209,20.659,20.936,19.815,20.227,42165,0
20161212,20.074,20.103,19.719,20.007,163227,0
20161213,19.997,20.258,19.988,20.083,43883,0
20161214,20.266,20.276,20.083,20.083,43051,0
20161215,20.036,20.179,19.987,20.093,25358,0
20161216,20.227,20.556,20.036,20.39,22348,0
20161219,20.572,20.688,20.333,20.544,31095,0
20161220,20.371,20.525,20.371,20.4,48342,0
20161221,20.428,20.64,20.352,20.525,86869,0
20161222,20.563,20.678,20.554,20.621,51374,0
20161223,20.621,20.687,20.563,20.601,41834,0
20161227,20.592,20.707,20.592,20.659,51189,0
20161228,20.726,20.726,20.621,20.63,31701,0
20161229,20.707,20.755,20.659,20.679,46319,0
20161230,20.668,20.918,20.668,20.822,69853,0
20170103,20.975,21.206,20.64,21.176,29621,0
20170104,21.234,21.541,21.234,21.397,13333,0
20170105,21.416,21.531,21.234,21.253,21530,0
20170106,21.34,21.387,21.273,21.273,5482,0
20170109,21.377,21.566,21.282,21.34,51115,0
20170110,21.523,21.553,21.336,21.454,51210,0
20170111,21.484,21.533,21.354,21.533,23155,0
20170112,21.652,21.767,21.557,21.669,20396,0
20170113,21.75,21.75,21.69,21.711,9777,0
20170117,21.75,21.888,21.74,21.819,62110,0
20170118,21.869,21.869,21.711,21.711,36382,0
20170119,21.701,21.701,21.314,21.642,29129,0
20170120,21.642,21.642,21.565,21.642,7365,0
20170123,21.602,21.839,21.573,21.78,24670,0
20170124,21.78,21.977,21.66,21.8,23354,0
20170125,21.563,21.681,21.415,21.454,34129,0
20170126,21.533,21.573,21.346,21.553,16214,0
20170127,21.661,21.661,21.474,21.484,11147,0
20170130,21.504,21.642,21.43,21.642,30657,0
20170131,21.671,21.671,21.513,21.563,22187,0
20170201,21.642,21.642,21.545,21.563,31619,0
20170202,21.563,21.849,21.563,21.839,32272,0
20170203,21.839,22.086,21.839,22.017,23875,0
20170206,22.017,22.066,21.888,21.928,12274,0
20170207,21.987,22.076,21.938,22.066,10160,0
20170208,22.135,22.283,22.085,22.283,21212,0
20170209,22.283,22.283,22.165,22.243,16444,0
20170210,22.194,22.469,22.194,22.46,18464,0
20170213,22.48,22.48,22.263,22.263,5949,0
20170214,22.283,22.283,22.056,22.234,26629,0
20170215,22.234,22.411,22.234,22.253,29427,0
20170216,22.372,22.391,22.253,22.263,17806,0
20170217,22.312,22.391,22.253,22.253,11176,0
20170221,22.372,22.47,22.253,22.273,16498,0
20170222,22.391,22.411,22.273,22.342,6054,0
20170223,22.46,22.599,22.342,22.401,9508,0
20170224,22.411,22.638,22.372,22.638,10537,0
20170227,22.648,22.668,22.411,22.411,19316,0
20170228,22.579,22.579,22.303,22.5,15553,0
20170301,22.391,22.599,22.293,22.569,17439,0
20170302,22.569,22.569,22.391,22.49,11981,0
20170303,22.529,22.549,22.426,22.549,6491,0
20170306,22.529,22.608,22.426,22.579,12116,0
20170307,22.529,22.529,22.441,22.441,3595,0
20170308,22.401,22.401,22.066,22.273,14801,0
20170309,21.977,22.14,21.814,21.928,18193,0
20170310,21.8,21.997,21.79,21.829,9183,0
20170313,21.829,22.068,21.829,21.888,17878,0
20170314,21.839,22.086,21.839,21.969,29983,0
20170315,21.997,22.283,21.957,22.214,25046,0
20170316,22.243,22.283,22.174,22.253,7832,0
20170317,22.293,22.421,22.25,22.342,7284,0
20170320,22.431,22.431,22.243,22.372,83317,0
20170321,22.243,22.352,22.243,22.333,19201,0
20170322,22.362,22.431,22.293,22.411,14285,0
20170323,22.411,22.451,22.352,22.362,16237,0
20170324,22.47,22.589,22.391,22.589,23771,0
20170327,22.421,22.677,22.421,22.658,12959,0
20170328,22.628,23.013,22.589,22.796,54534,0
20170329,22.934,22.983,22.786,22.786,9576,0
20170330,22.835,22.923,22.648,22.658,7181,0
20170331,22.658,22.745,22.658,22.677,5404,0
20170403,22.816,23.152,22.779,22.944,22292,0
20170404,22.944,23.171,22.944,23.171,5076,0
20170405,23.171,23.348,23.092,23.151,63654,0
20170406,23.259,23.565,23.253,23.378,6508,0
20170407,23.338,23.358,23.109,23.24,9608,0
20170410,23.5,23.54,23.21,23.32,18184,0
20170411,23.33,23.49,23.18,23.27,10200,0
20170412,23.41,23.41,23.21,23.25,11855,0
