Date,Open,High,Low,Close,Volume,OpenInt
20090729,9.4724,9.4724,9.4724,9.4724,0,0
20090730,8.9989,9.1753,8.9805,9.0452,14084382,0
20090731,9.0879,9.0879,8.9039,8.9039,3052190,0
20090803,8.9085,9.0794,8.857,8.9989,1436294,0
20090804,8.9989,9.0652,8.952,9.0452,600097,0
20090805,8.952,9.068,8.952,9.0404,313270,0
20090806,9.068,9.068,8.9556,9.0081,414083,0
20090807,9.0652,9.068,8.9269,9.032,495275,0
20090810,8.952,9.0794,8.9326,9.0652,589543,0
20090811,8.9694,9.0936,8.9694,9.0652,442893,0
20090812,9.032,9.0652,8.9989,9.0404,197513,0
20090813,9.032,9.26,8.9989,9.254,857972,0
20090814,9.235,9.2825,9.0728,9.1629,646035,0
20090817,8.9989,9.0936,8.9989,9.0224,138361,0
20090818,9.0936,9.0936,9.0081,9.0556,101637,0
20090819,9.0794,9.0879,9.0081,9.0224,146397,0
20090820,9.068,9.235,9.0282,9.2094,345405,0
20090821,9.235,9.4111,9.2113,9.3068,616116,0
20090824,9.3487,9.3526,9.2502,9.301,385961,0
20090825,9.3487,9.3487,9.2198,9.254,93607,0
20090826,9.2971,9.2971,9.0224,9.1914,76340,0
20090827,9.2727,9.3068,9.1914,9.301,186201,0
20090828,9.3068,9.3399,9.2151,9.3351,145833,0
20090831,9.235,9.3526,9.1914,9.3526,162088,0
20090901,9.3526,9.3779,9.1971,9.2113,104154,0
20090902,9.1866,9.2312,9.1183,9.1363,81676,0
20090903,9.1809,9.1866,9.1458,9.1866,117062,0
20090904,9.1591,9.1809,9.1079,9.1591,93819,0
20090908,9.2669,9.2883,9.1677,9.2883,223063,0
20090909,9.3243,9.3243,9.2094,9.2883,110773,0
20090910,9.254,9.3156,9.1022,9.2502,167293,0
20090911,9.2094,9.2825,9.1971,9.254,52221,0
20090914,9.2502,9.301,9.2028,9.301,155840,0
20090915,9.26,9.3487,9.1458,9.3195,215496,0
20090916,9.2727,9.4637,9.2727,9.4072,574760,0
20090917,9.3156,9.4354,9.0936,9.4023,336458,0
20090918,9.3156,9.4481,9.2151,9.4481,367434,0
20090921,9.414,9.414,9.0728,9.3857,207706,0
20090922,9.3974,9.4481,9.3117,9.4111,277022,0
20090923,9.4432,9.4432,9.2883,9.3487,287236,0
20090924,9.3399,9.3857,9.0728,9.2786,440177,0
20090925,9.2198,9.2198,9.0556,9.0879,262028,0
20090928,9.1753,9.2445,9.0851,9.1753,68998,0
20090929,9.1629,9.4393,9.1183,9.3974,624397,0
20090930,9.4432,9.4724,9.26,9.4305,2530717,0
20091001,9.3351,9.4247,9.2502,9.3156,221180,0
20091002,9.2265,9.2825,9.0965,9.1221,256526,0
20091005,9.1914,9.235,9.1183,9.1629,173649,0
20091006,9.1847,9.2113,9.0728,9.1079,233224,0
20091007,9.068,9.1363,9.0282,9.1135,55637,0
20091008,9.0728,9.1591,9.0728,9.1249,216832,0
20091009,9.0851,9.1221,9.0794,9.1183,61257,0
20091012,9.0851,9.1629,9.0366,9.068,130988,0
20091013,9.0728,9.1135,9.0452,9.1135,174079,0
20091014,9.1363,9.1401,9.0452,9.0879,123808,0
20091015,9.0652,9.1183,9.0224,9.1022,324039,0
20091016,9.0794,9.0965,9.0081,9.0404,115967,0
20091019,9.0452,9.1183,9.0282,9.0965,121113,0
20091020,9.0851,9.0879,8.952,9.0177,352996,0
20091021,9.0081,9.068,8.9657,8.9805,339830,0
20091022,8.9601,9.0177,8.9601,9.0177,96505,0
20091023,9.0282,9.032,8.88,8.9409,197134,0
20091026,8.9085,9.0936,8.7721,8.843,235085,0
20091027,8.843,8.8467,8.687,8.761,166359,0
20091028,8.7281,8.88,8.704,8.82,496483,0
20091029,8.8089,8.9269,8.7389,8.9178,182774,0
20091030,8.857,8.9039,8.6522,8.7191,493673,0
20091102,8.7504,8.761,8.595,8.687,266847,0
20091103,8.5914,8.7147,8.3912,8.6717,611825,0
20091104,8.6959,8.761,8.6682,8.7191,293219,0
20091105,8.8135,8.8135,8.6468,8.7997,201343,0
20091106,8.5333,8.7389,8.2983,8.4337,956070,0
20091109,8.4337,8.4677,8.2404,8.327,365938,0
20091110,8.287,8.3313,8.0844,8.0944,226233,0
20091111,8.1558,8.2262,7.9096,8.0652,310202,0
20091112,8.0325,8.1365,7.9704,8.0031,194680,0
20091113,8.0098,8.1365,7.951,8.0703,187309,0
20091116,8.1608,8.4337,8.1608,8.4069,221868,0
20091117,8.4209,8.4209,8.3313,8.3791,71697,0
20091118,8.4165,8.4165,8.3313,8.4025,72202,0
20091119,8.3105,8.3591,8.2689,8.3313,79736,0
20091120,8.2983,8.3791,8.1223,8.3348,178245,0
20091123,8.3791,8.4209,8.2178,8.3348,99150,0
20091124,8.3157,8.3313,8.0987,8.2983,63229,0
20091125,8.3912,8.3974,8.287,8.287,34763,0
20091127,8.1834,8.2783,8.1558,8.1886,61127,0
20091130,8.1834,8.3912,8.1834,8.3912,85793,0
20091201,8.4859,8.5101,8.3391,8.4069,132019,0
20091202,8.4495,8.4495,8.3826,8.4069,199015,0
20091203,8.3826,8.4399,8.2783,8.287,91124,0
20091204,8.4548,8.5199,8.3218,8.3591,154344,0
20091207,8.3504,8.3591,8.3105,8.3218,33580,0
20091208,8.2456,8.3686,8.2404,8.2983,67685,0
20091209,8.3313,8.374,8.2853,8.3504,49734,0
20091210,8.3504,8.3504,8.2506,8.2636,148280,0
