Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.768,9.86,9.735,9.86,23253,0
20050228,9.921,9.997,9.82,9.963,22812,0
20050301,9.955,9.955,9.86,9.928,20577,0
20050302,9.997,9.997,9.907,9.949,15800,0
20050303,9.928,9.976,9.915,9.928,12966,0
20050304,9.963,10.041,9.928,9.928,12074,0
20050307,9.963,10.002,9.943,10.002,7748,0
20050308,10.027,10.074,9.875,9.97,20274,0
20050309,9.86,9.889,9.825,9.825,4468,0
20050310,9.894,9.902,9.598,9.729,44872,0
20050311,9.748,9.761,9.748,9.748,8347,0
20050314,9.666,9.813,9.666,9.813,15963,0
20050315,9.813,9.813,9.729,9.735,20426,0
20050316,9.754,9.798,9.754,9.798,8950,0
20050317,9.735,9.735,9.729,9.735,3577,0
20050318,9.686,9.768,9.686,9.729,8347,0
20050321,9.694,9.715,9.579,9.579,11777,0
20050322,9.584,9.701,9.584,9.624,6410,0
20050323,9.618,9.618,9.3287,9.3572,32943,0
20050324,9.4054,9.4134,9.3778,9.4134,12225,0
20050328,9.4779,9.4779,9.3112,9.4271,30715,0
20050329,9.4401,9.4401,9.3112,9.3642,11927,0
20050330,9.3897,9.4134,9.3367,9.4134,8950,0
20050331,9.4271,9.507,9.4271,9.507,5818,0
20050401,9.526,9.565,9.514,9.565,5070,0
20050404,9.59,9.694,9.59,9.607,21021,0
20050405,9.66,9.761,9.573,9.573,42339,0
20050406,9.653,9.66,9.607,9.607,7903,0
20050407,9.579,9.653,9.579,9.638,3882,0
20050408,9.579,9.653,9.579,9.607,7456,0
20050411,9.598,9.638,9.573,9.638,18786,0
20050412,9.632,9.673,9.607,9.673,19230,0
20050413,9.686,9.768,9.624,9.768,15205,0
20050414,9.66,9.761,9.66,9.761,8200,0
20050415,9.792,9.894,9.754,9.761,12519,0
20050418,9.825,9.853,9.825,9.853,6410,0
20050419,9.853,9.894,9.82,9.825,9393,0
20050420,9.775,9.825,9.775,9.825,6112,0
20050421,9.86,9.86,9.729,9.781,14311,0
20050422,9.825,9.825,9.729,9.786,6859,0
20050425,9.748,9.86,9.748,9.768,8200,0
20050426,9.86,9.875,9.792,9.798,17887,0
20050427,9.825,9.825,9.686,9.729,29969,0
20050428,9.72,9.806,9.72,9.806,3882,0
20050429,9.792,9.82,9.792,9.82,11777,0
20050502,9.768,9.921,9.768,9.867,12820,0
20050503,9.798,9.907,9.798,9.853,20870,0
20050504,9.86,9.902,9.839,9.86,15507,0
