Date,Open,High,Low,Close,Volume,OpenInt
20160927,24.8682,24.8682,24.78,24.78,300,0
20160928,25.1178,25.1399,25.1178,25.1399,440,0
20160929,25.07,25.08,25.06,25.06,608,0
20160930,25.13,25.18,25.13,25.18,40194,0
20161003,25.14,25.14,25.14,25.14,184,0
20161004,25.14,25.14,25.14,25.14,0,0
20161005,25.14,25.14,25.14,25.14,0,0
20161006,25.14,25.14,25.14,25.14,0,0
20161007,25.08,25.08,25.08,25.08,100,0
20161010,25.08,25.08,25.08,25.08,0,0
20161011,25.08,25.08,25.08,25.08,0,0
20161012,25.08,25.08,25.08,25.08,0,0
20161013,25.08,25.08,25.08,25.08,0,0
20161014,25.08,25.08,25.08,25.08,0,0
20161017,25.08,25.08,25.08,25.08,0,0
20161018,25.08,25.08,25.08,25.08,0,0
20161019,25.14,25.14,25.13,25.13,1000,0
20161020,25.13,25.13,25.13,25.13,0,0
20161021,25.0353,25.0353,25.0353,25.0353,100,0
20161024,25.0353,25.0353,25.0353,25.0353,0,0
20161025,25.0353,25.0353,25.0353,25.0353,0,0
20161026,25.1499,25.1499,25.1499,25.1499,129,0
20161027,25.1499,25.1499,25.1499,25.1499,0,0
20161028,25.1499,25.1499,25.1499,25.1499,0,0
20161031,25.1499,25.1499,25.1499,25.1499,0,0
20161101,25.04,25.04,25.01,25.01,1189,0
20161102,25.01,25.01,25.01,25.01,0,0
20161103,25.01,25.01,25.01,25.01,0,0
20161104,24.7401,24.7401,24.7401,24.7401,206,0
20161107,24.7401,24.7401,24.7401,24.7401,0,0
20161108,25.03,25.1393,25.03,25.1393,1102,0
20161109,25.1393,25.1393,25.1393,25.1393,0,0
20161110,25.1393,25.1393,25.1393,25.1393,0,0
20161111,25.1393,25.1393,25.1393,25.1393,0,0
20161114,24.71,24.72,24.64,24.64,2000,0
20161115,24.64,24.64,24.64,24.64,0,0
20161116,24.9,24.9199,24.85,24.9199,3000,0
20161117,24.9199,24.9199,24.9199,24.9199,0,0
20161118,24.83,24.86,24.83,24.86,12100,0
20161121,24.86,24.86,24.86,24.86,0,0
20161122,24.86,24.86,24.86,24.86,0,0
20161123,25.24,25.42,25.1646,25.42,400,0
20161125,25.42,25.42,25.42,25.42,0,0
20161128,25.7,25.7,25.6699,25.6699,800,0
20161129,25.2,25.2899,25.2,25.2899,2100,0
20161130,25.2899,25.2899,25.2899,25.2899,0,0
20161201,25.7377,25.7399,25.54,25.55,2803,0
20161202,25.6599,25.66,25.6575,25.6575,900,0
20161205,25.83,25.85,25.83,25.85,19463,0
20161206,25.87,26.0999,25.87,26.09,899,0
20161207,25.9,25.9,25.9,25.9,300,0
20161208,25.65,25.65,25.65,25.65,100,0
20161209,25.7,25.7,25.7,25.7,100,0
20161212,25.95,25.95,25.95,25.95,100,0
20161213,25.6519,25.6784,25.6519,25.6784,287,0
20161214,25.68,25.68,25.68,25.68,1000,0
20161215,25.56,25.56,25.56,25.56,209,0
20161216,25.55,25.55,25.55,25.55,100,0
20161219,25.55,25.55,25.55,25.55,0,0
20161220,25.42,25.42,25.42,25.42,100,0
20161221,25.39,25.39,25.2899,25.2899,224,0
20161222,25.24,25.24,25.17,25.17,2324,0
20161223,25.04,25.04,25.04,25.04,1300,0
20161227,25.24,25.24,25.24,25.24,1100,0
20161228,25.33,25.33,25.33,25.33,100,0
20161229,25.31,25.41,25.31,25.41,1400,0
20161230,25.3399,25.34,25.29,25.29,800,0
20170103,25.41,25.41,25.18,25.25,600,0
20170104,25.39,25.46,25.36,25.46,979,0
20170105,25.58,25.59,25.58,25.59,2095,0
20170106,25.46,25.46,25.46,25.46,300,0
20170109,25.5,25.54,25.49,25.5,1447,0
20170110,25.24,25.25,25.24,25.25,9000,0
20170111,25.25,25.25,25.25,25.25,0,0
20170112,25.25,25.25,25.25,25.25,0,0
20170113,25.69,26.25,25.69,26.25,2100,0
20170117,26.34,26.34,26.08,26.08,800,0
20170118,26,26.14,25.86,25.9,1182,0
20170119,27,27,25.81,25.81,4601,0
20170120,25.98,25.98,25.98,25.98,139,0
20170123,25.98,25.98,25.98,25.98,0,0
20170124,25.98,25.98,25.98,25.98,0,0
20170125,25.95,25.95,25.95,25.95,2227,0
20170126,25.95,25.95,25.95,25.95,648,0
20170127,25.8,25.81,25.8,25.81,9700,0
20170130,26.25,26.25,25.8483,25.8483,55400,0
20170131,25.8483,25.8483,25.8483,25.8483,0,0
20170201,25.8483,25.8483,25.8483,25.8483,0,0
20170202,25.8483,25.8483,25.8483,25.8483,0,0
20170203,26.195,26.2,26.161,26.161,1901,0
20170206,26.096,26.12,26.096,26.12,1809,0
20170207,25.87,25.88,25.87,25.88,22800,0
20170208,25.88,25.88,25.88,25.88,0,0
20170209,25.88,25.88,25.88,25.88,0,0
20170210,26.5,26.5999,26.5,26.5999,860,0
20170213,26.42,26.46,26.3,26.3,610,0
20170214,26.3899,26.3899,26.3899,26.3899,101,0
20170215,26.35,26.38,26.25,26.3,1654,0
20170216,26.3,26.3,26.3,26.3,0,0
20170217,25.95,26.25,25.95,26.25,388,0
20170221,26.19,26.25,26.16,26.25,9809,0
20170222,26.25,26.25,26.25,26.25,0,0
20170223,26.25,26.25,26.25,26.25,0,0
20170224,25.82,25.9312,25.82,25.9312,3200,0
20170227,25.9312,25.9312,25.9312,25.9312,0,0
20170228,26.019,26.019,26.019,26.019,100,0
20170301,26.21,26.21,26.21,26.21,1600,0
20170302,26.08,26.09,26.08,26.09,3600,0
20170303,26.09,26.09,26.09,26.09,0,0
20170306,26.08,26.2,26.08,26.2,8772,0
20170307,26.2,26.2,26.2,26.2,0,0
20170308,26.2,26.2,26.2,26.2,0,0
20170309,25.06,25.06,25.06,25.06,100,0
20170310,25.06,25.06,25.06,25.06,0,0
20170313,25.06,25.06,25.06,25.06,0,0
20170314,24.91,24.91,24.91,24.91,200,0
20170315,25.15,25.15,25.09,25.09,800,0
20170316,25.09,25.09,25.09,25.09,0,0
20170317,25.1277,25.1277,25.1277,25.1277,129,0
20170320,25.15,25.15,25.15,25.15,600,0
20170321,25.15,25.15,25.14,25.15,1263,0
20170322,25.15,25.15,25.15,25.15,0,0
20170323,25.15,25.15,25.15,25.15,0,0
20170324,25.15,25.15,25.15,25.15,0,0
20170327,24.76,24.91,24.76,24.91,2000,0
20170328,25.1164,25.1164,25.1164,25.1164,100,0
20170329,25.17,25.21,25.16,25.21,1165,0
20170330,25.22,25.22,25.21,25.21,800,0
20170331,25.21,25.22,25.21,25.22,518,0
20170405,25.51,25.51,25.45,25.46,1200,0
20170406,25.46,25.46,25.46,25.46,0,0
20170407,25.44,25.44,25.4399,25.4399,1038,0
20170410,25.56,25.56,25.45,25.45,400,0
20170411,25.45,25.45,25.45,25.45,0,0
20170412,25.81,25.81,25.51,25.51,2400,0
20170413,25.51,25.51,25.51,25.51,0,0
20170417,25.51,25.51,25.51,25.51,0,0
20170418,25.51,25.51,25.51,25.51,0,0
20170419,25.5699,25.5699,25.5699,25.5699,454,0
20170420,25.5699,25.5699,25.5699,25.5699,0,0
20170421,25.26,25.26,25.25,25.25,2533,0
20170424,25.09,25.09,25.09,25.09,32263,0
20170425,25.09,25.09,25.09,25.09,0,0
20170426,25.09,25.09,25.09,25.09,0,0
20170427,24.79,24.8412,24.79,24.8412,600,0
20170428,25.0982,25.0982,25.0982,25.0982,889,0
20170501,25.1,25.12,25.06,25.06,2568,0
20170502,25.06,25.06,25.06,25.06,0,0
20170503,25.04,25.04,24.86,24.9299,1221,0
20170504,24.9299,24.9299,24.9299,24.9299,0,0
20170505,25.61,25.61,25.61,25.61,270,0
20170508,24.66,24.66,24.57,24.57,200,0
20170509,24.5299,24.5299,24.529,24.529,1150,0
20170510,24.6,24.61,24.6,24.61,200,0
20170511,24.61,24.61,24.61,24.61,0,0
20170512,24.63,24.63,24.63,24.63,2400,0
20170515,24.63,24.63,24.63,24.63,0,0
20170516,24.9,25.13,24.9,25.13,1136,0
20170517,24.61,25.1,24.61,25.1,427,0
20170518,25.1,25.1,25.1,25.1,0,0
20170519,25.1,25.1,25.1,25.1,0,0
20170522,25.1401,25.3353,25.1401,25.3353,447,0
20170523,25.1,25.1,25.0931,25.0931,900,0
20170524,25.0931,25.0931,25.0931,25.0931,0,0
20170525,25.0931,25.0931,25.0931,25.0931,0,0
20170526,25.0931,25.0931,25.0931,25.0931,0,0
20170530,25.0931,25.0931,25.0931,25.0931,0,0
20170531,25.0931,25.0931,25.0931,25.0931,0,0
20170601,25.0931,25.0931,25.0931,25.0931,0,0
20170602,25.0931,25.0931,25.0931,25.0931,0,0
20170605,25.0931,25.0931,25.0931,25.0931,0,0
20170606,25.0931,25.0931,25.0931,25.0931,0,0
20170607,25.0931,25.0931,25.0931,25.0931,0,0
20170608,25.0931,25.0931,25.0931,25.0931,0,0
20170609,25.0931,25.0931,25.0931,25.0931,0,0
20170612,25.0931,25.0931,25.0931,25.0931,0,0
20170613,25.0931,25.0931,25.0931,25.0931,0,0
20170614,25.0931,25.0931,25.0931,25.0931,0,0
20170615,25.0931,25.0931,25.0931,25.0931,0,0
20170616,25.0931,25.0931,25.0931,25.0931,0,0
20170619,25.0931,25.0931,25.0931,25.0931,0,0
20170620,25.0931,25.0931,25.0931,25.0931,0,0
20170621,25.0931,25.0931,25.0931,25.0931,0,0
20170622,24.3986,24.3986,24.3986,24.3986,158,0
20170623,24.3986,24.3986,24.3986,24.3986,0,0
20170626,22.8728,24,22.8728,24,600,0
20170627,24.2,24.2,24.2,24.2,701,0
20170628,24.2,24.2,24.2,24.2,0,0
20170629,24.7999,24.7999,24.7999,24.7999,138,0
20170630,24.7999,24.7999,24.7999,24.7999,0,0
20170703,24.7999,24.7999,24.7999,24.7999,0,0
20170705,24.7999,24.7999,24.7999,24.7999,0,0
20170706,24.7999,24.7999,24.7999,24.7999,0,0
20170707,24.7999,24.7999,24.7999,24.7999,0,0
20170710,24.7999,24.7999,24.7999,24.7999,0,0
20170711,24.7999,24.7999,24.7999,24.7999,0,0
20170712,24.7999,24.7999,24.7999,24.7999,0,0
20170713,24.7999,24.7999,24.7999,24.7999,0,0
20170714,24.7999,24.7999,24.7999,24.7999,0,0
20170717,24.7999,24.7999,24.7999,24.7999,0,0
20170718,24.7999,24.7999,24.7999,24.7999,0,0
20170719,24.42,24.42,24.42,24.42,0,0
20170720,24.42,24.42,24.42,24.42,0,0
20170721,24.42,24.42,24.42,24.42,0,0
20170724,24.42,24.42,24.42,24.42,0,0
20170725,24.42,24.42,24.42,24.42,0,0
20170726,24.42,24.42,24.42,24.42,0,0
20170727,24.42,24.42,24.42,24.42,0,0
