Date,Open,High,Low,Close,Volume,OpenInt
20050225,8.1637,8.4101,8.1637,8.4101,101154,0
20050228,8.3817,8.3817,8.2868,8.3437,160495,0
20050301,8.3248,8.3532,8.2206,8.3437,85104,0
20050302,8.3152,8.3152,8.2396,8.2396,192593,0
20050303,8.249,8.2964,8.2112,8.2112,66732,0
20050304,8.2396,8.3248,8.1447,8.2584,143389,0
20050307,8.268,8.3059,8.1447,8.1827,248133,0
20050308,8.2396,8.3152,8.1922,8.1922,450864,0
20050309,8.3532,8.4007,8.3152,8.3532,168308,0
20050310,8.391,8.4101,8.3342,8.3437,233351,0
20050311,8.3532,8.3532,8.0976,8.1637,213710,0
20050314,8.1164,8.1543,8.0785,8.1543,195973,0
20050315,8.2016,8.2206,8.1258,8.1354,373994,0
20050316,8.05,8.2016,8.05,8.1637,450230,0
20050317,8.1447,8.1543,8.0976,8.1258,248133,0
20050318,8.0879,8.0879,7.9269,8.0026,459098,0
20050321,7.9933,8.0218,7.9838,8.0026,172531,0
20050322,8.0408,8.0408,7.9554,7.9933,313810,0
20050323,8.0976,8.2774,7.9933,8.1447,331971,0
20050324,8.1068,8.2299,8.1068,8.1922,90171,0
20050328,8.3342,8.3532,8.249,8.268,569546,0
20050329,8.1827,8.1827,8.0597,8.0879,209910,0
20050330,8.1354,8.2112,8.1354,8.1637,105800,0
20050331,8.1543,8.1543,8.0691,8.1164,177600,0
20050401,8.1354,8.1637,8.0879,8.1447,174222,0
20050404,8.1922,8.2016,8.1164,8.1922,136421,0
20050405,8.0976,8.2584,8.0976,8.249,136631,0
20050406,8.2396,8.2868,8.2206,8.2774,168096,0
20050407,8.1637,8.2964,8.1164,8.2964,125016,0
20050408,8.2868,8.3248,8.2016,8.249,270306,0
20050411,8.2868,8.3248,8.2396,8.2868,179499,0
20050412,8.268,8.2868,8.2206,8.2584,96086,0
20050413,8.1827,8.2774,8.0976,8.1827,514215,0
20050414,8.1447,8.1447,8.05,8.0785,231873,0
20050415,7.9365,7.9838,7.8513,7.8607,587073,0
20050418,7.8607,7.8797,7.6713,7.7849,650424,0
20050419,7.6901,7.8134,7.6901,7.8038,151203,0
20050420,7.8134,7.8323,7.766,7.8134,101575,0
20050421,7.8607,7.8607,7.6143,7.6334,728772,0
20050422,7.6334,7.6334,7.463,7.5102,605655,0
20050425,7.4156,7.5482,7.3114,7.5292,490353,0
20050426,7.5292,7.5292,7.4346,7.4913,239687,0
20050427,7.3872,7.4156,7.302,7.3493,228916,0
20050428,7.3399,7.3493,7.1977,7.2357,273685,0
20050429,7.2357,7.2925,7.1504,7.179,268829,0
20050502,7.1031,7.2167,7.0746,7.1599,397012,0
20050503,7.1031,7.302,7.0651,7.2263,426366,0
20050504,7.2642,7.605,7.2642,7.5102,529208,0
20050505,7.5102,7.5482,7.444,7.4724,271574,0
20050506,7.4724,7.4724,7.2925,7.4346,525196,0
20050509,7.4346,7.4346,7.3399,7.4251,462054,0
20050510,7.2642,7.444,7.2547,7.3967,589185,0
20050511,7.2734,7.4156,7.2734,7.3967,458888,0
20050512,7.1977,7.3399,7.1977,7.2642,346542,0
20050513,7.2547,7.2925,7.2167,7.2357,560464,0
20050516,7.2642,7.5102,7.2642,7.3778,353087,0
20050517,7.3778,7.5008,7.302,7.4346,382440,0
20050518,7.4061,7.5766,7.3872,7.5482,367869,0
20050519,7.5008,7.5766,7.4913,7.5672,246866,0
20050520,7.5102,7.5388,7.4534,7.5008,223636,0
20050523,7.463,7.5388,7.463,7.4818,313387,0
20050524,7.4061,7.5292,7.3872,7.5102,277909,0
20050525,7.5102,7.6143,7.5102,7.5859,282556,0
20050526,7.6618,7.7187,7.624,7.6997,337462,0
20050527,7.7187,7.7471,7.6618,7.7092,145290,0
20050531,7.6901,7.7187,7.643,7.6713,230184,0
20050601,7.6524,7.728,7.6524,7.7187,162183,0
20050602,7.7471,7.8038,7.7471,7.7849,344007,0
20050603,7.7471,7.8513,7.7187,7.8418,405671,0
20050606,7.8229,7.8418,7.7945,7.8323,552862,0
20050607,7.8134,7.8418,7.7756,7.8038,316131,0
20050608,7.7565,7.8038,7.6997,7.7187,250034,0
20050609,7.7187,7.7187,7.624,7.6901,224904,0
20050610,7.6901,7.6997,7.5766,7.6997,309162,0
20050613,7.5956,7.7376,7.5956,7.728,232083,0
20050614,7.6901,7.7756,7.6901,7.7756,131353,0
20050615,7.8323,7.9176,7.8323,7.9081,435448,0
20050616,7.8607,7.9081,7.8513,7.8797,312330,0
20050617,7.8418,7.8702,7.8134,7.8702,251089,0
20050620,7.8513,7.8607,7.7849,7.8323,164717,0
20050621,7.8607,7.8892,7.8513,7.8607,164717,0
20050622,7.8797,7.9554,7.8702,7.9458,617693,0
20050623,7.9365,7.9742,7.9269,7.9365,233773,0
20050624,7.9365,7.9742,7.8986,7.9176,160073,0
20050627,7.9176,7.9176,7.8229,7.8892,107912,0
20050628,7.8513,7.9365,7.8513,7.9269,78981,0
20050629,7.9649,8.0123,7.9365,7.9365,204207,0
20050630,8.0123,8.05,7.9838,8.0123,178657,0
20050701,8.05,8.0976,8.05,8.0976,108546,0
20050705,8.2206,8.4101,8.2206,8.3532,482116,0
