Date,Open,High,Low,Close,Volume,OpenInt
20161011,13.877,13.937,13.877,13.937,1539,0
20161013,14.151,14.238,14.151,14.228,1355,0
20161014,14.208,14.208,14.208,14.208,1365,0
20161025,14.297,14.297,14.297,14.297,351,0
20161026,14.131,14.131,14.131,14.131,915,0
20161027,13.994,13.994,13.77,13.77,241,0
20161101,13.841,13.841,13.841,13.841,205,0
20161104,13.528,13.528,13.528,13.528,376,0
20161108,13.723,13.723,13.723,13.723,351,0
20161128,14.181,14.181,14.181,14.181,107,0
20161202,14.058,14.058,14.058,14.058,102,0
20161207,14.501,14.501,14.501,14.501,107,0
20161212,14.728,14.728,14.722,14.722,1334,0
20161213,15.009,15.009,14.765,14.765,1436,0
20161215,14.862,14.862,14.521,14.521,1200,0
20161219,14.794,14.794,14.794,14.794,862,0
20161220,14.94,14.94,14.813,14.813,1067,0
20161221,14.959,14.959,14.715,14.715,4518,0
20161228,14.613,14.613,14.613,14.613,1240,0
20161229,14.796,14.801,14.741,14.741,1417,0
20170105,15.125,15.19,15.125,15.19,679,0
20170106,15.136,15.205,15.136,15.205,456,0
20170109,15.086,15.086,15.086,15.086,101,0
20170111,14.998,14.998,14.998,14.998,205,0
20170113,15.145,15.145,14.938,14.938,1107,0
20170119,14.928,14.928,14.909,14.918,2214,0
20170120,15.037,15.037,15.037,15.037,101,0
20170127,15.125,15.125,14.918,14.948,1115,0
20170130,14.879,14.879,14.879,14.879,507,0
20170131,14.918,14.918,14.918,14.918,113,0
20170202,14.839,14.839,14.839,14.839,2472,0
20170203,14.978,14.978,14.978,14.978,1339,0
20170206,14.978,14.978,14.978,14.978,406,0
20170207,14.928,14.928,14.918,14.918,8562,0
20170208,14.161,14.161,14.14,14.161,1753,0
20170209,14.741,15.018,14.741,14.988,17880,0
20170210,15.091,15.11,15.091,15.11,3093,0
20170213,14.998,15.135,14.998,15.106,1825,0
20170214,15.011,15.018,14.991,15.018,2150,0
20170215,14.958,14.998,14.889,14.998,4504,0
20170216,15.116,15.165,15.066,15.076,6859,0
20170217,15.125,15.125,15.086,15.086,710,0
20170221,15.135,15.293,15.135,15.293,710,0
20170222,16.033,16.033,16.033,16.033,101,0
20170223,16.033,16.033,16.033,16.033,203,0
20170227,15.461,15.461,15.461,15.461,1872,0
20170228,15.362,15.362,15.283,15.293,36510,0
20170301,15.254,15.342,15.254,15.264,5375,0
20170302,15.215,15.225,15.185,15.185,2638,0
20170303,15.018,15.018,15.018,15.018,104,0
20170306,14.988,14.988,14.988,14.988,1320,0
20170307,14.948,14.948,14.909,14.928,9787,0
20170308,14.731,14.731,14.584,14.584,710,0
20170309,14.485,14.485,14.485,14.485,2130,0
20170310,14.405,14.405,14.381,14.381,1021,0
20170313,14.465,14.465,14.425,14.425,507,0
20170314,14.415,14.435,14.415,14.435,1396,0
20170316,14.753,14.761,14.739,14.761,897,0
20170317,14.781,14.781,14.781,14.781,101,0
20170320,14.791,14.791,14.791,14.791,117,0
20170321,14.791,14.791,14.711,14.711,710,0
20170323,14.832,14.832,14.832,14.832,628,0
20170324,14.802,14.802,14.802,14.802,100,0
20170328,14.682,14.682,14.682,14.682,1710,0
20170329,14.732,14.832,14.732,14.832,1307,0
20170330,14.832,14.832,14.832,14.832,1227,0
20170404,15.07,15.07,15.07,15.07,1294,0
20170405,15.09,15.09,15.09,15.09,111,0
20170406,15.03,15.159,15.03,15.159,3365,0
20170412,15.369,15.369,15.369,15.369,100,0
20170413,15.359,15.359,15.359,15.359,88631,0
20170417,15.439,15.479,15.439,15.479,49900,0
20170418,15.503,15.503,15.503,15.503,155,0
20170419,15.588,15.588,15.558,15.558,1267,0
20170420,15.558,15.558,15.534,15.535,5178,0
20170421,15.558,15.558,15.536,15.556,2341,0
20170424,15.339,15.419,15.339,15.399,28003,0
20170425,15.459,15.459,15.431,15.459,1300,0
20170426,15.449,15.449,15.422,15.422,335,0
20170427,15.409,15.409,15.349,15.349,1258,0
20170428,15.23,15.23,15.11,15.11,2735,0
20170501,15.16,15.22,15.16,15.19,870,0
20170503,15.1,15.1,14.971,14.971,690,0
20170504,14.726,14.851,14.726,14.841,62970,0
20170505,14.991,14.991,14.991,14.991,67429,0
20170508,14.841,14.901,14.841,14.851,26710,0
20170509,14.772,14.773,14.702,14.732,50708,0
20170510,14.891,14.956,14.891,14.931,1527,0
20170511,14.782,14.841,14.782,14.802,9944,0
20170512,14.802,14.802,14.729,14.755,1823,0
20170515,14.841,14.841,14.812,14.812,519,0
20170516,14.702,14.702,14.672,14.672,22811,0
20170518,14.642,14.819,14.642,14.819,1927,0
20170519,14.921,14.941,14.921,14.941,703,0
20170522,14.931,14.975,14.931,14.975,1810,0
20170523,15.081,15.081,15.067,15.067,989,0
20170524,15.125,15.133,15.1,15.1,318,0
20170526,15.1,15.1,15.091,15.091,1153,0
20170530,15.06,15.07,14.991,14.991,3325,0
20170601,14.996,15.077,14.996,15.077,444,0
20170605,15.209,15.209,15.209,15.209,100,0
20170606,15.18,15.2,15.13,15.14,2555,0
20170607,15.239,15.239,15.229,15.229,543,0
