Date,Open,High,Low,Close,Volume,OpenInt
20050225,37.137,37.338,36.981,37.265,2313344,0
20050228,37.357,37.357,36.853,37.082,982856,0
20050301,37.2,37.247,36.882,37.082,1173677,0
20050302,36.653,36.945,36.561,36.598,1892228,0
20050303,36.935,36.945,36.524,36.762,2232860,0
20050304,37.092,37.301,36.991,37.191,1148633,0
20050307,36.953,37.311,36.899,37.2,1016209,0
20050308,37.613,37.86,37.474,37.704,1384069,0
20050309,37.374,37.76,37.374,37.458,1012818,0
20050310,37.567,37.712,37.348,37.585,1382102,0
20050311,37.594,37.887,37.239,37.357,1736401,0
20050314,37.329,37.613,37.22,37.467,1017522,0
20050315,37.449,37.449,36.945,36.945,1921318,0
20050316,37.073,37.229,36.826,36.826,1962433,0
20050317,36.899,36.991,36.662,36.809,880064,0
20050318,36.809,36.818,36.479,36.698,1594135,0
20050321,36.488,36.488,36.122,36.286,1485002,0
20050322,36.331,36.57,35.81,35.949,1450227,0
20050323,36.021,36.442,36.013,36.314,2744409,0
20050324,36.708,36.853,36.369,36.369,1022879,0
20050328,36.488,36.57,36.249,36.405,819922,0
20050329,36.36,36.58,35.893,36.103,1611959,0
20050330,36.497,36.862,36.497,36.789,1345030,0
20050331,37.063,37.127,36.615,36.653,1317582,0
20050401,36.918,36.945,36.223,36.314,1454382,0
20050404,35.884,36.249,35.711,36.132,1321411,0
20050405,35.984,36.049,35.82,35.856,1617317,0
20050406,35.583,35.619,35.399,35.454,2466436,0
20050407,35.702,35.72,35.409,35.563,2815051,0
20050408,35.409,35.629,35.253,35.463,1106316,0
20050411,35.884,35.921,35.646,35.738,1579155,0
20050412,35.51,35.839,35.234,35.81,1580467,0
20050413,35.665,35.665,35.107,35.161,1931923,0
20050414,35.115,35.171,34.631,34.695,2921342,0
20050415,34.457,34.476,33.763,33.8,4091627,0
20050418,33.671,34.211,33.47,33.974,2474967,0
20050419,34.339,34.413,34.055,34.33,2001692,0
20050420,34.676,34.86,34.11,34.284,1866531,0
20050421,36.075,36.36,35.601,36.132,3624476,0
20050422,36.423,36.488,36.03,36.213,1389101,0
20050425,36.306,36.388,36.122,36.296,1124577,0
20050426,36.194,36.396,35.984,36.049,1338252,0
20050427,35.975,36.442,35.921,36.278,1166130,0
20050428,35.975,36.194,35.755,35.765,1126984,0
20050429,36.233,36.241,35.636,36.059,2342214,0
20050502,36.03,36.186,35.866,36.113,889361,0
20050503,36.186,36.259,35.984,36.223,1146884,0
20050504,36.524,36.991,36.442,36.945,1489485,0
20050505,37.301,37.384,36.928,37.145,1251972,0
20050506,37.539,37.613,37.22,37.512,1518572,0
20050509,37.22,37.402,37.119,37.374,1667073,0
20050510,36.708,37.239,36.689,36.899,1665215,0
20050511,36.991,37.255,36.771,37.145,970391,0
20050512,36.679,37.11,36.671,36.818,1770301,0
20050513,36.853,37.338,36.725,37.054,1821807,0
20050516,37.283,37.768,37.265,37.686,1122717,0
20050517,37.338,37.86,37.338,37.804,1463897,0
20050518,37.594,38.391,37.585,38.326,2876289,0
20050519,37.933,38.226,37.905,38.161,4078615,0
20050520,38.034,38.198,37.85,38.133,1289918,0
20050523,37.996,38.28,37.978,38.189,1387898,0
20050524,38.043,38.463,37.97,38.408,2176762,0
20050525,38.371,38.436,38.115,38.179,1281389,0
20050526,38.143,38.408,38.143,38.28,1600041,0
20050527,38.28,38.6,38.233,38.499,1048578,0
20050531,38.179,38.243,37.695,37.722,2181793,0
20050601,37.483,38.189,37.449,38.043,1360231,0
20050602,37.84,38.352,37.768,38.289,2594050,0
20050603,38.179,38.362,38.088,38.161,2746050,0
20050606,38.271,38.352,38.152,38.271,949724,0
20050607,38.408,39.112,38.408,38.856,3164541,0
20050608,38.947,38.985,38.683,38.801,2843920,0
20050609,38.663,38.967,38.499,38.938,1836130,0
20050610,38.463,38.463,38.133,38.243,1217854,0
20050613,37.832,37.978,37.712,37.887,1643453,0
20050614,37.731,37.795,37.493,37.603,895156,0
