Date,Open,High,Low,Close,Volume,OpenInt
20141111,14.152,14.632,14.072,14.385,2107383,0
20141112,14.287,14.424,13.968,14.032,1502680,0
20141113,14.424,14.424,13.832,13.959,1440987,0
20141114,13.856,14.191,13.792,13.872,811258,0
20141117,13.68,14.24,13.671,14.041,1289822,0
20141118,14.337,14.399,14.097,14.175,1612625,0
20141119,14.072,14.392,13.792,13.881,1374304,0
20141120,13.792,14.072,13.792,13.864,791962,0
20141121,13.992,14.025,13.607,13.759,1003528,0
20141124,13.712,14.072,13.696,13.992,786546,0
20141125,13.895,14.128,13.887,14.128,1095881,0
20141126,14.128,14.385,14.041,14.128,333011,0
20141128,14.128,14.191,13.968,14.103,211694,0
20141201,14.041,14.191,13.792,14.056,741074,0
20141202,13.801,14.264,13.801,14.199,534280,0
20141203,14.103,14.312,14.032,14.144,458097,0
20141204,14.025,14.392,13.999,14.337,395323,0
20141205,14.191,14.224,13.968,14.136,492809,0
20141208,14.017,14.191,13.895,13.999,780890,0
20141209,13.832,13.959,13.671,13.847,830576,0
20141210,13.792,13.823,13.592,13.801,468789,0
20141211,13.64,13.823,13.64,13.737,401474,0
20141212,13.625,13.737,13.431,13.527,897247,0
20141215,13.536,13.577,13.136,13.239,1203562,0
20141216,13.233,13.239,13.032,13.154,801390,0
20141217,13.009,13.344,12.905,13.306,698497,0
20141218,13.306,13.385,13.009,13.154,681332,0
20141219,13.113,13.792,13.08,13.72,1971761,0
20141222,13.72,13.728,13.431,13.703,877044,0
20141223,13.64,13.753,13.521,13.607,578013,0
20141224,13.584,13.625,13.471,13.592,138433,0
20141226,13.6,13.712,13.527,13.671,286653,0
20141229,13.607,13.703,13.496,13.544,633640,0
20141230,13.553,13.577,13.357,13.374,1159302,0
20141231,13.374,13.399,13.284,13.334,1725512,0
20150102,13.324,13.667,13.212,13.601,477076,0
20150105,13.456,13.779,13.324,13.705,535035,0
20150106,13.771,13.827,13.43,13.65,540597,0
20150107,13.641,13.779,13.343,13.762,514645,0
20150108,13.779,13.787,13.568,13.626,587900,0
20150109,13.617,13.787,13.568,13.771,1366899,0
20150112,13.771,13.796,13.593,13.731,1000733,0
20150113,13.779,13.779,13.456,13.739,733168,0
20150114,13.585,13.878,13.47,13.851,394137,0
20150115,13.796,13.899,13.48,13.553,426327,0
20150116,13.503,13.585,13.461,13.527,362354,0
20150120,13.503,13.521,13.357,13.408,723633,0
20150121,13.414,13.512,13.302,13.316,379162,0
20150122,13.357,13.422,13.309,13.366,418316,0
