Date,Open,High,Low,Close,Volume,OpenInt
19850701,3.3677,3.4034,3.3677,3.3677,556172,0
19850702,3.3677,3.3764,3.3494,3.3764,429893,0
19850703,3.3764,3.4034,3.3677,3.4034,580353,0
19850705,3.4034,3.4034,3.3677,3.3677,897400,0
19850708,3.3494,3.3494,3.3318,3.3494,688722,0
19850709,3.3318,3.3318,3.3139,3.3318,577669,0
19850710,3.3318,3.3318,3.3139,3.3139,389589,0
19850711,3.3318,3.4479,3.3318,3.4392,836498,0
19850712,3.4392,3.457,3.4034,3.43,1156227,0
19850715,3.43,3.43,3.3677,3.3677,766639,0
19850716,3.3677,3.3853,3.1797,3.2602,3227770,0
19850717,3.2602,3.2782,3.2335,3.2602,2181699,0
19850718,3.2602,3.2602,3.2156,3.2247,1562835,0
19850719,3.2247,3.2514,3.1088,3.2514,1672992,0
19850722,3.2514,3.2782,3.144,3.189,888443,0
19850723,3.189,3.198,3.1264,3.144,923369,0
19850724,3.144,3.144,3.0905,3.144,507810,0
19850725,3.144,3.1621,3.1264,3.144,998602,0
19850726,3.144,3.1797,3.144,3.1621,1037110,0
19850729,3.1621,3.1621,3.0728,3.0905,1679263,0
19850730,3.0905,3.144,3.0905,3.1088,781868,0
19850731,3.1088,3.2335,3.1088,3.2247,1271761,0
19850801,3.2602,3.2962,3.2602,3.2962,1889733,0
19850802,3.2962,3.3318,3.2602,3.2962,1240418,0
19850805,3.2962,3.3318,3.2962,3.2962,978897,0
19850806,3.2782,3.2782,3.1621,3.1797,673495,0
19850807,3.1797,3.2156,3.1621,3.1797,643941,0
19850808,3.1797,3.2335,3.1797,3.2156,779180,0
19850809,3.2156,3.2247,3.1621,3.198,454076,0
19850812,3.198,3.198,3.144,3.1621,370782,0
19850813,3.1621,3.2068,3.144,3.198,629610,0
19850814,3.198,3.2068,3.1712,3.198,440637,0
19850815,3.198,3.198,3.0905,3.1264,921581,0
19850816,3.1264,3.144,3.0905,3.1088,1212653,0
19850819,3.1088,3.1264,3.0905,3.1088,454076,0
19850820,3.1088,3.144,3.1088,3.1264,817690,0
19850821,3.1532,3.1712,3.1355,3.1532,445119,0
19850822,3.1532,3.1712,3.1088,3.1088,525722,0
19850823,3.1088,3.1088,2.9656,3.0101,686035,0
19850826,3.0101,3.0192,2.9745,3.0101,437057,0
19850827,3.0101,3.055,2.9835,2.9924,963674,0
19850828,2.9924,3.0728,2.9924,3.0728,760369,0
19850829,3.0728,3.1264,3.0728,3.0728,510495,0
19850830,3.0728,3.0905,3.0101,3.0372,524826,0
19850903,3.0372,3.055,3.0192,3.0372,638568,0
19850904,3.0372,3.055,3.0192,3.0192,1126676,0
19850905,3.0192,3.0905,3.0192,3.0905,1149959,0
19850906,3.0905,3.1173,3.0728,3.0905,599161,0
19850909,3.0905,3.0905,3.0192,3.0372,506020,0
19850910,3.0372,3.055,3.0372,3.055,591103,0
19850911,3.055,3.055,3.0101,3.0192,847245,0
19850912,3.0192,3.0192,2.9924,2.9924,745145,0
19850913,2.9924,3.0192,2.9032,2.9656,1241313,0
19850916,2.9656,2.9924,2.9475,2.9745,845454,0
19850917,2.9656,2.9656,2.8675,2.9208,4088448,0
19850918,2.9208,2.9388,2.9032,2.9303,877695,0
19850919,2.9303,2.9656,2.9303,2.9656,1824351,0
19850920,2.9656,3.0372,2.9388,2.9656,1774200,0
19850923,2.9924,3.0372,2.9924,3.0372,660065,0
19850924,3.0372,3.055,2.9475,2.9656,783655,0
19850925,2.9656,2.9835,2.9303,2.9835,495272,0
19850926,2.9835,2.9924,2.9475,2.9569,444224,0
19850930,2.9569,2.9656,2.9208,2.9475,1034426,0
19851001,2.9475,2.9924,2.9303,2.9656,667226,0
19851002,2.9656,2.9745,2.8763,2.8852,613489,0
19851003,2.8763,2.8763,2.8135,2.8318,1360429,0
