Date,Open,High,Low,Close,Volume,OpenInt
20061120,25.867,25.867,25.867,25.867,0,0
20061121,27.408,29.149,27.338,28.852,27461549,0
20061122,28.95,29.488,28.393,29.199,4246712,0
20061124,28.852,28.911,28.612,28.652,717786,0
20061127,28.662,28.752,27.757,28.245,2775053,0
20061128,28.245,28.245,28.005,28.165,1086179,0
20061129,28.165,29.099,28.165,28.872,1170411,0
20061130,29,29.149,28.512,29,839813,0
20061201,29.099,29.289,28.852,29,933596,0
20061204,29.349,29.736,29.199,29.647,871978,0
20061205,29.746,30.283,29.647,30.104,744423,0
20061206,30.094,30.9,30.016,30.393,1040243,0
20061207,30.343,30.741,29.896,30.721,434130,0
20061208,30.791,31.477,30.721,30.87,514442,0
20061211,31.12,31.328,30.94,31.1,905250,0
20061212,31.338,31.537,30.691,30.89,353415,0
20061213,30.86,31.04,30.691,30.801,1175840,0
20061214,30.821,30.89,30.453,30.493,910477,0
20061215,30.393,30.593,29.349,30.543,2785809,0
20061218,30.543,31.587,30.423,30.632,918317,0
20061219,30.543,30.93,30.533,30.821,716380,0
20061220,30.741,31.288,30.721,31.1,341052,0
20061221,31.05,31.13,30.89,31.05,411915,0
20061222,30.99,31.218,30.85,31.17,381560,0
20061226,31.1,31.19,30.86,31.04,196510,0
20061227,31.04,31.567,31.01,31.338,203043,0
20061228,31.248,32.462,31.15,31.995,461672,0
20061229,32.084,33.478,31.905,33.298,951788,0
20070103,31.835,31.835,30.661,31.1,2469886,0
20070104,30.9,31.09,29.716,30.343,1150510,0
20070105,30.343,30.343,29.537,29.846,742213,0
20070108,29.746,30.343,29.089,29.826,1431453,0
20070109,29.746,30.045,29.726,29.896,842226,0
20070110,29.986,30.144,29.756,29.916,292201,0
20070111,30.164,30.89,29.996,30.473,414830,0
20070112,30.771,32.314,30.771,31.07,536958,0
20070116,31.14,31.378,30.343,30.681,585106,0
20070117,30.841,31.268,30.244,30.721,462275,0
20070118,30.651,30.841,29.896,30.144,322053,0
20070119,30.045,30.573,29.886,30.094,574552,0
20070122,30.074,30.293,29.199,29.527,423676,0
20070123,29.399,29.986,29.319,29.926,380153,0
20070124,30.144,30.293,29.607,29.866,479463,0
20070125,29.996,30.283,29.08,29.179,844136,0
20070126,29.149,29.179,28.155,28.862,1049290,0
20070129,28.802,29.099,28.403,28.911,398447,0
20070130,28.852,29.309,28.602,29.07,261844,0
20070131,29.896,31.835,29.896,30.473,1476785,0
20070201,30.473,30.513,29.976,30.194,590031,0
20070202,30.194,30.691,30.194,30.513,255211,0
20070205,30.641,30.92,30.104,30.721,422671,0
20070206,30.721,31.487,30.593,31,391712,0
20070207,31.14,31.308,30.801,30.831,391712,0
20070208,31.08,31.835,30.96,31.05,862932,0
20070209,31.09,31.428,30.841,31.288,612346,0
20070212,31.786,31.835,30.721,30.841,470831,0
20070213,30.543,31.14,30.045,30.124,434023,0
20070214,30.234,30.343,29.846,30.045,376144,0
20070215,30.343,30.543,29.667,30.194,935002,0
