Date,Open,High,Low,Close,Volume,OpenInt
20120224,71.482,71.519,70.772,71.406,146314,0
20120227,71.549,72.603,71.549,72.397,6788,0
20120228,72.322,72.322,71.629,71.657,15267,0
20120229,71.752,72.158,71.479,71.657,14370,0
20120301,71.832,72.231,71.747,71.775,8073,0
20120302,72.038,72.066,71.747,72.066,8310,0
20120305,72.066,72.066,71.775,71.914,4390,0
20120306,71.482,72.003,71.432,71.804,10334,0
20120307,71.804,71.914,71.345,71.775,3255,0
20120308,71.687,71.861,71.687,71.775,3121,0
20120309,71.629,72.486,71.629,72.231,6755,0
20120312,72.351,72.351,72.003,72.201,2941,0
20120313,72.351,72.909,72.066,72.691,20130,0
20120314,73.058,73.233,72.201,72.201,5332,0
20120315,72.263,72.892,72.201,72.892,6054,0
20120316,72.909,72.909,72.486,72.629,4981,0
20120319,72.909,73.058,72.577,72.691,9118,0
20120320,72.833,72.865,72.577,72.865,3855,0
20120321,72.909,72.909,72.486,72.909,3693,0
20120322,72.909,72.909,72.231,72.802,9239,0
20120323,72.969,74.352,72.463,72.909,7656,0
20120326,73.093,73.093,72.201,72.629,8396,0
20120327,72.577,72.577,71.629,71.747,12974,0
20120328,70.772,70.772,67.709,68.661,63133,0
20120329,68.515,69.631,67.941,69.172,11164,0
20120330,69.515,70.484,69.341,70.171,15610,0
20120402,70.348,70.458,68.88,70.458,7850,0
20120403,70.226,70.544,69.172,70.458,7631,0
20120404,70.226,70.348,69.8,69.836,8163,0
20120405,69.95,70.348,69.773,69.92,9328,0
20120409,69.341,70.026,68.57,69.319,11217,0
20120410,68.661,69.57,68.661,68.808,7194,0
20120411,68.808,68.912,67.92,68.282,8508,0
20120412,68.205,68.88,68.205,68.315,3939,0
20120413,68.541,68.57,67.887,68.001,7517,0
20120416,68.631,68.631,67.112,67.515,7130,0
20120417,67.769,68.058,66.574,67.427,11965,0
20120418,67.709,67.709,66.136,66.435,10284,0
20120419,66.542,67.427,66.485,67.427,5346,0
20120420,67.515,69.056,67.515,69.056,9741,0
20120423,68.631,69.201,68.346,69.201,11759,0
20120424,69.201,69.201,67.798,68.541,8394,0
20120425,68.428,68.57,67.74,67.887,9299,0
20120426,67.769,67.887,67.467,67.492,15969,0
20120427,67.492,68.346,67.492,68.205,3527,0
20120430,68.231,68.315,67.492,67.798,6453,0
20120501,67.632,68.282,67.191,67.769,7058,0
20120502,67.74,68.258,67.603,67.798,4928,0
20120503,67.769,67.769,67.34,67.467,4555,0
20120504,67.34,67.542,66.767,66.918,8104,0
20120507,67.34,67.37,66.516,66.825,8034,0
20120508,67.003,67.003,66.053,66.108,7562,0
20120509,66.081,67.003,65.977,66.767,9362,0
20120510,67.085,67.252,66.65,67.168,11398,0
20120511,66.767,68.168,66.372,67.941,10347,0
20120514,67.397,67.632,66.03,66.458,12473,0
20120515,66.599,67.034,63.827,64.349,17855,0
20120516,64.685,64.939,62.935,63.17,16078,0
20120517,63.058,64.055,61.973,62.428,10865,0
20120518,62.627,63.388,60.503,60.734,11899,0
20120521,61.365,62.537,60.997,62.537,12616,0
20120522,62.819,63.305,62.627,63.058,9106,0
20120523,63.058,63.567,61.789,63.533,11142,0
20120524,63.17,63.91,62.36,63.629,14784,0
20120525,63.197,64.655,63.197,64.446,6446,0
20120529,64.398,66.342,64.349,65.736,13426,0
20120530,65.46,65.622,64.567,65.199,10120,0
20120531,64.673,65.719,63.705,63.968,17448,0
20120601,63.503,63.503,61.956,62.707,10974,0
20120604,63.04,63.317,62.424,62.857,7392,0
20120605,62.605,65.34,62.605,65.319,10462,0
20120606,65.435,67.157,65.34,67.099,10042,0
20120607,68.941,69.991,67.685,68.58,20713,0
20120608,68.802,69.968,67.92,69.726,10251,0
20120611,70.748,70.748,69.09,69.09,8896,0
20120612,69.346,69.726,68.143,68.845,9016,0
20120613,68.994,69.289,67.628,67.798,8099,0
20120614,68.331,69.144,68.119,69.144,8561,0
20120615,69.144,69.205,68.008,68.709,9621,0
20120618,68.802,68.941,67.83,68.615,4750,0
20120619,68.994,69.878,67.685,68.678,10649,0
20120620,68.58,69.09,67.506,68.031,4943,0
20120621,67.538,67.538,66.516,67.538,11615,0
20120622,66.516,66.835,65.199,65.781,10322,0
20120625,65.136,65.286,60.816,60.844,17798,0
20120626,60.928,62.188,58.776,61.519,37057,0
20120627,61.282,62.94,61.159,62.857,11069,0
20120628,62.685,64.434,61.956,64.434,10716,0
20120629,64.321,64.91,62.211,62.857,22310,0
20120702,63.353,63.939,62.912,63.317,5537,0
20120703,63.597,65.608,63.597,64.819,4134,0
20120705,64.702,65.498,64.321,65.051,4837,0
20120706,64.521,66.127,64.521,65.521,5813,0
20120709,65.435,65.498,65.082,65.435,5871,0
20120710,65.017,66.741,65.017,66.485,8915,0
20120711,66.402,66.516,65.521,66.074,7576,0
20120712,65.719,65.719,64.762,65.169,6970,0
20120713,65.286,66.074,64.847,65.199,9382,0
20120716,65.232,65.808,65.232,65.808,2258,0
20120717,66.074,67.099,66.074,66.402,11123,0
20120718,66.314,67.453,65.748,67.336,10717,0
20120719,67.92,69.264,67.506,68.558,17123,0
20120720,68.558,68.966,68.29,68.29,6423,0
20120723,67.685,68.267,67.538,68.267,5298,0
20120724,68.558,68.558,67.798,67.83,7731,0
20120725,68.008,68.767,68.008,68.651,6038,0
20120726,68.802,69.376,67.453,67.484,24058,0
20120727,67.628,67.764,67.041,67.397,4540,0
20120730,67.419,68.119,67.247,68.119,8309,0
20120731,67.83,68.994,67.453,68.994,6401,0
20120801,68.822,69.582,68.412,69.582,5387,0
20120802,69.582,70.458,68.709,69.205,12077,0
20120803,70.265,70.265,68.358,68.746,8250,0
20120806,69.237,70.113,68.441,68.678,4280,0
20120807,68.412,69.696,68.267,69.176,5647,0
20120808,68.558,69.582,67.973,68.475,4682,0
20120809,68.475,70.113,68.475,69.433,8803,0
20120810,69.027,70.348,68.994,69.696,5151,0
20120813,70.051,70.287,69.549,69.756,3331,0
20120814,70.051,70.458,69.466,70.312,4560,0
20120815,70.014,70.408,69.647,70.312,6345,0
20120816,69.968,70.444,69.572,70.265,4855,0
20120817,70.162,70.376,69.582,70.198,9334,0
20120820,69.756,70.287,68.767,70.287,10069,0
20120821,70.599,71.187,70.408,70.408,18204,0
20120822,70.9,70.9,69.726,69.849,10274,0
20120823,69.908,70.139,68.441,68.737,10810,0
20120824,68.845,70.696,68.802,69.821,8728,0
20120827,70.116,70.116,68.656,68.687,8009,0
20120828,68.832,68.832,66.001,67.041,25085,0
20120829,66.893,67.34,66.533,67.157,6266,0
20120830,67.016,67.964,67.016,67.34,8118,0
20120831,67.217,68.888,67.217,68.808,6592,0
20120904,68.859,69.035,68.263,69.035,5643,0
20120905,68.687,69.942,68.508,69.942,12064,0
20120906,69.878,69.878,68.475,69.52,7992,0
20120907,69.549,69.995,68.859,68.978,5915,0
20120910,70.326,70.326,69.424,69.722,9467,0
20120911,69.337,69.849,69.035,69.133,7952,0
20120912,64.082,69.31,64.082,69.31,5832,0
20120913,69.457,70.056,68.978,69.486,8391,0
20120914,69.52,69.639,68.624,69.337,6590,0
20120917,69.133,70.116,68.978,69.007,5123,0
20120918,69.722,69.722,68.776,68.808,4591,0
