Date,Open,High,Low,Close,Volume,OpenInt
20150305,25.53,25.71,25.53,25.71,1898,0
20150306,25.6,25.6,25.5,25.6,29692,0
20150309,25.6,25.6,25.6,25.6,1450,0
20150310,25.45,25.45,25.15,25.15,1102,0
20150311,25.15,25.15,25.15,25.15,200,0
20150312,25,25,24.85,25,2680,0
20150313,24.95,25,24.95,25,6596,0
20150316,25.15,25.15,25,25.1,8000,0
20150318,25.15,25.37,25.15,25.238,2136,0
20150319,25.34,25.34,25.19,25.3,5400,0
20150320,25.13,25.24,25.03,25.2,6001,0
20150323,25.3,25.3,25.05,25.05,1804,0
20150324,25.24,25.29,25.24,25.29,300,0
20150325,25.05,25.193,25.05,25.193,922,0
20150327,25.201,25.289,25.2,25.202,1835,0
20150330,25.29,25.52,25.22,25.22,6900,0
20150331,25.58,25.58,25.58,25.58,396,0
20150401,25.23,25.58,25.23,25.58,789,0
20150402,25.2,25.2,25.06,25.11,400,0
20150406,25.27,25.5,25.27,25.5,11419,0
20150407,25.491,25.5,25.29,25.32,3353,0
20150408,25.5,25.5,25.32,25.32,3500,0
20150409,25.32,25.46,25.28,25.37,7289,0
20150410,25.5,25.78,25.461,25.461,3272,0
20150413,25.52,25.55,25.52,25.55,3115,0
20150414,25.78,25.78,25.778,25.778,230,0
20150415,25.55,25.55,25.331,25.331,1200,0
20150416,25.36,25.77,25.36,25.77,8569,0
20150420,25.73,25.78,25.3,25.34,2672,0
20150421,25.3,25.78,25.12,25.78,428,0
20150422,25.55,25.74,25.2,25.66,7762,0
20150423,25.612,25.78,25.612,25.661,2446,0
20150424,25.95,25.95,25.65,25.7,2090,0
20150427,25.91,25.93,25.78,25.9,7292,0
20150428,25.84,25.84,25.631,25.653,813,0
20150429,25.66,25.68,25.64,25.64,14500,0
20150430,25.6,25.6,25.11,25.274,2770,0
20150501,25.3,25.3,25,25.25,3828,0
20150504,25.16,25.31,25.16,25.31,4600,0
20150505,25.28,25.8,25.26,25.74,5264,0
20150506,25.64,25.73,25.4,25.43,2906,0
20150507,25.444,25.45,25.444,25.45,393,0
20150508,25.75,25.75,25.4,25.45,1676,0
20150511,25.401,25.401,25.4,25.4,1500,0
20150512,25.942,25.942,25.6,25.7,2000,0
20150514,25.768,25.95,25.4,25.4,700,0
20150515,25.4,25.76,25.3,25.35,11700,0
20150518,25.68,25.73,25.15,25.3,6979,0
20150519,25.97,25.97,25.97,25.97,345,0
20150520,25.93,25.962,25.92,25.92,600,0
20150521,25.79,25.79,25.41,25.43,5384,0
20150526,25.151,25.151,25.151,25.151,1000,0
20150527,25.47,25.75,25.47,25.75,2361,0
20150528,25.601,25.601,25.601,25.601,200,0
20150529,25.517,25.55,25.11,25.24,9200,0
20150601,25.121,25.39,25.121,25.3,2330,0
20150602,25.35,25.35,25.35,25.35,500,0
20150603,25.45,25.62,25.45,25.62,2370,0
20150604,25.6,26,25.55,25.594,2600,0
20150608,25.14,25.989,25.14,25.989,895,0
20150610,26.26,26.26,25.6,25.93,3223,0
20150611,25.92,26.85,25.92,26.1,7212,0
20150612,26.298,26.49,26.24,26.4,13100,0
20150615,26.1,26.29,26.1,26.29,3100,0
20150616,26.29,26.465,26.29,26.29,9205,0
20150617,26.29,26.42,26.193,26.3,96799,0
20150618,26.55,26.84,26.3,26.3,6850,0
20150619,26.35,26.35,26.28,26.28,47466,0
20150622,26.29,26.3,26.29,26.3,500,0
20150623,26,26,25.12,25.94,1106,0
20150624,25.54,25.54,25.22,25.5,4624,0
20150625,25.454,25.8,25.405,25.8,4150,0
20150626,25.74,25.74,25.7,25.7,955,0
20150629,25.22,25.5,25.2,25.5,618,0
20150630,25.54,25.54,25.013,25.02,14316,0
20150701,25.15,25.19,25.15,25.19,2200,0
20150702,25.5,25.5,25.5,25.5,1083,0
20150707,25.39,25.57,25.39,25.57,3614,0
20150708,25.75,25.75,25.75,25.75,1700,0
20150714,25.785,25.865,25.785,25.865,363,0
20150715,25.7,25.91,25.7,25.91,1223,0
20150717,25.21,25.21,25.21,25.21,100,0
20150721,25.3,25.53,25.3,25.53,2882,0
20150722,25.945,25.945,25.945,25.945,241,0
20150723,25.75,25.75,25.31,25.31,52950,0
20150724,25.75,25.75,25.75,25.75,15000,0
20150727,25.7,25.7,25.7,25.7,2000,0
20150728,25.37,25.37,25.335,25.335,700,0
20150729,25.27,25.27,25.27,25.27,60000,0
20150730,25.556,25.56,25.5,25.5,5734,0
20150731,25.283,25.82,25.28,25.82,1500,0
20150803,25.25,25.25,25.25,25.25,30000,0
20150804,25.5,25.5,25.5,25.5,5000,0
20150805,25.45,25.45,25.45,25.45,198,0
20150806,25.85,25.85,25.3,25.3,5607,0
20150807,25.37,25.37,25.35,25.35,700,0
20150810,25.4,25.48,25.4,25.41,4440,0
20150811,25.5,25.79,25.36,25.36,7642,0
20150812,25.76,25.76,25.38,25.381,2575,0
20150813,25.57,25.57,25.4,25.4,1615,0
20150814,25.4,25.4,25.35,25.35,1000,0
20150817,25.36,25.36,25.21,25.21,1655,0
20150818,25.27,25.45,25.22,25.35,4633,0
20150820,25.35,25.473,25.221,25.473,1476,0
20150821,25.306,25.306,25.21,25.21,3455,0
20150824,25.2,25.2,25.002,25.078,1886,0
20150825,25.03,25.03,24.8,24.8,9020,0
20150826,24.98,24.98,24.75,24.94,7874,0
20150827,25.385,25.385,24.9,24.9,3300,0
20150828,24.911,24.92,24.85,24.85,10180,0
20150831,24.85,24.85,24.46,24.5,22936,0
20150901,24.4,25.2,24.34,24.737,41850,0
20150902,24.75,24.75,24.73,24.75,7600,0
20150903,24.91,24.91,24.712,24.75,15750,0
20150904,24.62,24.75,24.62,24.65,1498,0
20150908,24.75,24.75,24.64,24.75,6399,0
20150909,24.7,24.7,24.68,24.7,170130,0
20150910,24.65,24.75,24.611,24.75,2525,0
20150911,24.5,24.7,24.41,24.7,8598,0
20150914,24.62,24.7,24.15,24.609,6086,0
20150915,24.31,24.627,24.12,24.627,1274,0
20150916,24.12,24.617,24.12,24.617,1320,0
20150917,24.65,24.65,24.35,24.35,600,0
20150918,24.3,24.76,24.15,24.4,3910,0
20150921,24.68,24.68,24.68,24.68,400,0
20150922,24.207,24.7,24.207,24.7,450,0
20150923,24.32,24.647,24.32,24.538,2300,0
20150924,24.2,24.75,24.2,24.5,2800,0
20150925,24.59,24.59,24.59,24.59,100,0
20150928,24.6,24.69,24.59,24.69,500,0
20150929,24.59,24.6,24.55,24.55,586,0
20150930,24.28,24.55,24.25,24.25,5902,0
20151001,24.23,24.23,24.21,24.217,900,0
20151002,24.67,24.67,24.3,24.3,1000,0
20151005,24.52,24.52,24.255,24.271,21986,0
20151006,24.32,24.49,24.316,24.49,2956,0
20151007,24.5,24.66,24.3,24.41,3493,0
20151008,24.581,24.6,24.45,24.6,1200,0
20151009,24.68,24.68,24.451,24.5,1670,0
20151012,24.646,24.646,24.646,24.646,400,0
20151013,24.6,24.6,24.35,24.55,6311,0
20151014,24.67,24.67,24.35,24.47,5060,0
20151015,24.49,24.591,24.33,24.591,1762,0
20151016,24.5,24.58,24.36,24.37,5080,0
20151019,24.54,24.54,24.35,24.36,3929,0
20151020,24.39,24.55,24.38,24.53,5473,0
20151021,24.53,24.6,24.39,24.39,2746,0
20151022,24.37,24.84,24.37,24.48,5121,0
20151023,24.89,24.91,24.543,24.594,5630,0
20151026,24.63,24.63,24.61,24.63,1403,0
20151027,24.6,24.68,24.594,24.68,3500,0
20151028,24.78,24.82,24.715,24.8,5450,0
20151029,24.8,24.8,24.8,24.8,220,0
20151030,24.809,24.809,24.75,24.75,900,0
20151102,24.75,25,24.75,24.97,4303,0
20151103,24.97,25.2,24.97,25.13,6190,0
20151104,25.11,25.11,25.1,25.1,1100,0
20151105,25.1,25.202,25.1,25.202,646,0
20151106,25.12,25.12,24.552,24.552,1406,0
20151109,24.807,25.08,24.59,24.59,1319,0
20151110,25.05,25.05,24.887,25,1015,0
20151111,24.66,25.299,24.66,25.297,1200,0
20151112,25,25.2,25,25.15,1950,0
20151113,25.09,25.1,25,25.078,2800,0
20151117,25.17,25.17,25.01,25.01,1000,0
20151118,25.216,25.56,25.216,25.5,1700,0
20151119,25.46,25.6,25.46,25.501,4000,0
20151120,25.4,25.7,25.4,25.55,16498,0
20151123,25.56,25.662,25.55,25.65,3394,0
20151125,25.5,25.73,25.5,25.7,2370,0
20151127,25.75,25.75,25.75,25.75,3911,0
20151130,25.2,25.69,25.17,25.55,1588,0
20151201,25.2,25.59,25.2,25.59,2100,0
20151202,25.6,25.6,25.6,25.6,700,0
20151203,25.45,25.45,25.45,25.45,967,0
20151204,25.25,25.3,25.2,25.3,1890,0
20151207,25.244,25.244,25.2,25.21,600,0
20151208,25.01,25.2,24.81,24.81,14419,0
20151209,24.81,24.91,24.8,24.85,11893,0
20151210,24.91,25.17,24.91,25.17,200,0
20151211,24.73,24.73,24.5,24.73,5355,0
20151214,24.65,24.69,24.27,24.27,1910,0
20151215,24.28,24.65,24.28,24.4,2100,0
20151216,24.8,24.8,24.14,24.45,3200,0
20151217,24.15,24.735,24.15,24.369,2627,0
20151218,24.4,24.4,24.35,24.396,1700,0
20151221,24.4,24.61,24.38,24.61,2200,0
20151222,24.512,24.73,24.5,24.62,4122,0
20151223,24.77,25.01,24.648,24.85,4817,0
20151224,24.6,25.24,24.6,25.24,1700,0
20151228,25.7,25.7,25,25,2426,0
20151229,25.4,25.4,25.198,25.198,5363,0
20151230,25.051,25.051,25.051,25.051,1020,0
20151231,25.39,25.39,25.0701,25.34,1690,0
20160104,25.01,25.21,25.01,25.2,823,0
20160105,25.436,25.44,25.2661,25.2661,2926,0
20160106,25.12,25.26,24.74,24.96,8229,0
20160107,25,25.236,24.96,25.217,2806,0
20160108,25,25.25,24.7,25.21,28083,0
20160111,25.15,25.18,24.72,25.1,1903,0
20160112,25.05,25.06,24.9999,24.9999,3700,0
20160113,25.3,25.3,24.99,24.99,3000,0
20160114,25.12,25.138,24.36,24.8,27080,0
20160115,24.9958,25,24.552,24.9,2650,0
20160119,25.1,25.1,25.1,25.1,0,0
20160120,24.587,24.79,24.587,24.79,11156,0
20160121,25.05,25.05,24.9,24.9,300,0
20160122,24.9001,25.29,24.9001,25.07,2636,0
20160125,24.9019,24.9019,24.9001,24.9001,800,0
20160126,24.72,25.07,24.72,25.07,1080,0
20160127,25.03,25.03,25,25,706,0
20160128,24.651,24.85,24.36,24.8499,4452,0
20160129,24.88,24.88,24.7918,24.88,6772,0
20160201,24.6312,25.2899,24.6312,25.05,2926,0
20160202,25.06,25.06,25,25.0499,674,0
20160203,25,25.0195,24.78,24.8614,2203,0
20160204,24.92,25,24.45,24.7954,12966,0
20160205,25,25,25,25,19760,0
20160208,25.0005,25.28,24.6501,25.28,9800,0
20160209,25.15,25.28,25,25.13,3600,0
20160210,25.296,25.296,24.65,24.65,8118,0
20160211,24.54,25,24.2393,24.75,8838,0
20160212,25.16,25.16,24.9,24.9,890,0
20160216,24.55,24.61,24.36,24.6,28743,0
20160217,24.4415,24.7818,24.441,24.7818,6333,0
20160218,24.55,24.9579,24.5405,24.9579,1443,0
20160219,24.56,24.95,24.56,24.8,2961,0
20160222,24.804,24.955,24.804,24.955,8300,0
20160223,24.7801,25,24.78,25,4874,0
20160224,25,25.1,25,25.1,8738,0
20160225,25.036,25.036,24.6118,24.865,4768,0
20160226,25,25.096,25,25.095,738,0
20160229,25.1,25.16,24.85,24.96,8024,0
20160301,25.26,25.26,25.2,25.2,1400,0
20160302,25.25,25.2872,25.25,25.2872,1300,0
20160303,25.3,25.3,25.02,25.02,900,0
20160304,25.3,25.3,25.2,25.25,1266,0
20160307,25.2999,25.3,25.201,25.29,4483,0
20160308,25.416,25.42,25.312,25.336,3190,0
20160309,25,25.39,24.95,24.95,49581,0
20160310,24.94,25.39,24.94,25.38,4941,0
20160311,25.02,25.2693,25,25.199,4501,0
20160314,25.149,25.149,24.97,24.99,13697,0
20160315,25.38,25.38,24.85,24.9258,4521,0
20160316,25.0542,25.142,24.8,25.142,6845,0
20160317,25.13,25.375,25.05,25.375,3001,0
20160318,25.3975,25.3975,25.265,25.265,10731,0
20160321,25.15,25.15,24.896,24.98,8800,0
20160322,24.98,24.98,24.893,24.91,5475,0
20160323,24.95,25.26,24.95,25.0286,9547,0
20160324,24.95,25,24.85,24.88,33387,0
20160328,24.99,25.18,24.9201,25.18,20046,0
20160329,25.13,25.13,25.02,25.089,47441,0
20160330,25.02,25.02,24.92,25,6000,0
20160331,25.09,25.09,24.894,25.05,17721,0
20160401,24.9996,25.07,24.9996,25.05,2027,0
20160404,25.057,25.11,25.0072,25.0072,3574,0
20160405,25,25.05,24.98,25.01,9778,0
20160406,25.0025,25.13,25.0025,25.1,11225,0
20160407,25.08,25.09,24.98,25.07,13550,0
20160408,25,25.38,25,25.2,27593,0
20160411,25.15,25.399,25.15,25.201,28600,0
20160412,25.29,25.3,25.26,25.2636,3450,0
20160413,25.2001,25.26,25.2,25.2,2205,0
20160414,25.2201,25.3,25.2201,25.264,1800,0
20160415,25.3,25.3,25.219,25.219,1800,0
20160418,25.2501,25.2849,25.2501,25.27,2375,0
20160419,25.3,25.35,25.3,25.35,1283,0
20160420,25.3499,25.3999,25.247,25.3999,5310,0
20160421,25.31,25.3302,25.3,25.3,2653,0
20160422,25.3,25.3,25.3,25.3,2004,0
20160425,25.3,25.309,25.29,25.2999,3678,0
20160426,25.31,25.54,25.3,25.5,9722,0
20160427,25.4499,25.53,25.4499,25.45,8200,0
20160428,25.45,25.5397,25.45,25.45,10061,0
20160429,25.68,25.68,25.4272,25.45,6580,0
20160502,25.3001,25.5672,25.3001,25.5672,800,0
20160503,25.52,25.52,25.4,25.4972,2460,0
20160504,25.61,25.61,25.46,25.54,3090,0
20160505,25.59,25.6,25.2501,25.5999,1750,0
20160506,25.6,25.6,25.5457,25.6,2132,0
20160509,25.41,25.41,25.4,25.4048,1780,0
20160510,25.27,25.46,25.27,25.46,650,0
20160511,25.38,25.6399,25.38,25.6399,400,0
20160512,25.53,25.6,25.4676,25.6,757,0
20160513,25.6199,25.6199,25.25,25.581,2018,0
20160516,25.6,25.6,25.27,25.27,219,0
20160517,25.33,25.49,25.33,25.4459,2310,0
20160518,25.5102,25.5713,25.4,25.4,2837,0
20160519,25.41,25.607,25.4001,25.607,2100,0
20160520,25.5559,25.639,25.4799,25.616,3030,0
20160524,25.6,25.74,25.6,25.733,3000,0
20160525,25.67,25.99,25.63,25.99,3902,0
20160526,25.989,25.989,25.58,25.5815,3647,0
20160527,25.735,25.8,25.735,25.8,224,0
20160531,25.8199,25.8901,25.7899,25.8801,1300,0
20160601,25.9199,25.98,25.9,25.9,1900,0
20160602,25.6599,25.77,25.6599,25.77,1002,0
20160603,25.9871,25.99,25.81,25.9,1530,0
20160606,25.9,25.9899,25.9,25.9899,2400,0
20160608,25.99,26.04,25.99,26,3101,0
20160609,26.1,26.1,26.02,26.1,1976,0
20160610,26.1,26.2,26.1,26.192,8820,0
20160613,25.97,26.1,25.9,26.1,1990,0
20160614,26,26.0826,25.99,26.0826,1925,0
20160615,25.8766,25.8766,25.8766,25.8766,300,0
20160616,26.14,26.2499,26.14,26.15,3395,0
