Date,Open,High,Low,Close,Volume,OpenInt
20150304,24.736,24.99,24.73,24.99,2331,0
20150305,24.91,24.91,24.8,24.8,200,0
20150306,24.9,24.9,24.8,24.8,1645,0
20150309,24.83,24.9,24.77,24.85,5479,0
20150311,24.89,24.89,24.77,24.77,1000,0
20150312,24.87,24.87,24.72,24.72,3276,0
20150313,24.75,24.75,24.62,24.67,1713,0
20150316,24.77,24.77,24.579,24.63,13394,0
20150317,24.7,24.7,24.6,24.6,3702,0
20150318,24.56,24.6,24.42,24.51,6100,0
20150319,24.459,24.58,24.42,24.51,2700,0
20150320,24.46,24.63,24.45,24.63,600,0
20150324,24.65,24.65,24.65,24.65,200,0
20150325,24.5,24.57,24.5,24.54,2700,0
20150326,24.5,24.6,24.5,24.59,8674,0
20150327,24.63,24.65,24.59,24.62,7629,0
20150330,24.619,24.619,24.58,24.58,200,0
20150331,24.61,24.66,24.561,24.66,780,0
20150407,24.455,24.596,24.455,24.596,660,0
20150408,24.66,24.71,24.64,24.664,2666,0
20150409,24.4,24.84,24.4,24.71,2401,0
20150410,24.53,24.75,24.53,24.75,800,0
20150413,24.7,24.79,24.7,24.7,1527,0
20150414,24.73,24.8,24.7,24.7,6998,0
20150415,24.745,24.79,24.73,24.73,6100,0
20150416,24.72,24.72,24.7,24.7,359,0
20150420,24.51,24.69,24.51,24.6,1900,0
20150421,24.51,24.65,24.5,24.54,5063,0
20150422,24.6,24.6,24.6,24.6,1000,0
20150423,24.39,24.64,24.39,24.64,1533,0
20150424,24.68,24.68,24.19,24.35,8722,0
20150427,24.35,24.89,24.35,24.59,23616,0
20150428,24.78,24.86,24.78,24.85,2973,0
20150429,24.85,24.87,24.69,24.77,18579,0
20150430,24.83,24.85,24.76,24.77,3010,0
20150501,24.76,24.77,24.55,24.55,8096,0
20150504,24.67,24.88,24.67,24.717,7600,0
20150505,24.8,24.85,24.8,24.85,5912,0
20150506,24.85,24.86,24.67,24.67,4190,0
20150507,24.71,24.71,24.62,24.62,200,0
20150508,24.69,24.69,24.69,24.69,500,0
20150511,24.621,24.621,24.621,24.621,100,0
20150512,24.67,24.85,24.67,24.85,11115,0
20150513,24.84,24.84,24.72,24.74,2968,0
