Date,Open,High,Low,Close,Volume,OpenInt
20060314,12.235,12.235,12.235,12.235,0,0
20060315,13.95,14.383,13.661,14.038,10531539,0
20060316,14.038,14.184,13.915,14.135,942743,0
20060317,14.129,14.631,14.067,14.569,416835,0
20060320,14.659,14.92,14.418,14.507,410734,0
20060321,14.5,14.5,13.977,14.094,398970,0
20060322,14.012,14.156,13.977,14.073,149596,0
20060323,14.032,14.094,13.977,14.038,154244,0
20060324,14.156,14.555,14.122,14.273,147127,0
20060327,14.356,14.996,14.239,14.418,162232,0
20060328,14.404,14.48,14.3,14.391,167606,0
20060329,14.535,14.59,14.418,14.507,118950,0
20060330,14.535,14.823,14.535,14.823,192296,0
20060331,14.852,15.121,14.852,14.996,145384,0
20060403,15.03,15.03,14.445,14.507,423806,0
20060404,14.5,14.507,14.391,14.445,319815,0
20060405,14.418,14.424,14.349,14.376,177482,0
20060406,14.273,14.376,14.012,14.129,188956,0
20060407,14.129,14.129,13.922,14.046,48945,0
20060410,14.012,14.184,13.983,14.163,63615,0
20060411,14.143,14.143,13.95,14.038,237901,0
20060412,14.768,14.768,14.018,14.038,965546,0
20060413,14.067,14.239,13.983,14.204,311826,0
20060417,14.204,14.391,14.204,14.328,294980,0
20060418,14.28,14.315,13.97,14.129,270725,0
20060419,14.129,14.562,14.129,14.418,350897,0
20060420,14.445,15.106,14.404,14.914,241677,0
20060421,14.969,15.203,14.686,14.823,583568,0
20060424,14.823,15.085,14.735,14.859,134201,0
20060425,14.844,15.258,14.844,15.03,337680,0
20060426,14.941,15.147,14.852,14.996,210597,0
20060427,15.003,15.058,14.713,14.789,75961,0
20060428,14.789,14.797,14.053,14.404,337244,0
20060501,14.404,14.659,14.404,14.645,219310,0
20060502,14.652,14.68,14.411,14.418,180096,0
20060503,14.418,14.424,14.307,14.342,159908,0
20060504,14.28,14.335,14.046,14.315,138703,0
20060505,14.273,14.349,14.108,14.3,152355,0
20060508,14.273,14.562,14.245,14.48,154244,0
20060509,14.493,14.562,14.356,14.514,124034,0
20060510,14.59,14.617,14.431,14.555,107768,0
20060511,14.617,15.03,14.562,15.03,82930,0
20060512,14.797,14.852,14.528,14.838,71602,0
20060515,14.789,14.797,14.645,14.728,104862,0
20060516,14.707,14.996,14.7,14.879,122872,0
20060517,14.823,14.823,14.707,14.797,142625,0
20060518,14.755,14.954,14.755,14.803,99924,0
20060519,14.742,14.797,14.59,14.797,240660,0
20060522,14.768,14.873,14.597,14.859,96002,0
20060523,14.768,14.823,14.692,14.707,68698,0
20060524,14.68,14.797,14.5,14.735,54610,0
20060525,14.707,14.742,14.507,14.611,72910,0
20060526,14.562,14.59,14.528,14.562,64196,0
20060530,14.549,14.611,14.431,14.549,99488,0
20060531,14.562,14.728,14.535,14.672,100215,0
