Date,Open,High,Low,Close,Volume,OpenInt
20050225,30.058,31.173,30.014,31.079,482934,0
20050228,30.993,31.018,30.229,30.48,276347,0
20050301,30.424,30.799,30.364,30.643,285036,0
20050302,30.48,30.65,30.238,30.465,177110,0
20050303,30.569,30.66,30.049,30.176,137290,0
20050304,30.269,30.799,30.229,30.569,344934,0
20050307,30.65,30.874,30.489,30.543,338124,0
20050308,30.48,31.079,29.879,30.294,274702,0
20050309,30.294,30.553,29.913,30.076,174757,0
20050310,30.184,30.238,29.843,30.04,108405,0
20050311,30.058,30.058,29.768,30.014,137059,0
20050314,30.084,30.714,30.084,30.669,293494,0
20050315,30.678,30.978,30.449,30.534,270358,0
20050316,30.534,30.722,30.229,30.525,346816,0
20050317,30.498,30.65,30.337,30.543,213983,0
20050318,30.553,30.553,29.717,30.408,376645,0
20050321,30.354,30.354,29.818,30.261,179689,0
20050322,30.176,30.612,30.098,30.211,301363,0
20050323,30.098,30.14,29.793,29.953,366429,0
20050324,29.963,30.211,29.836,30.058,198832,0
20050328,30.049,30.508,30.049,30.364,225728,0
20050329,30.364,30.781,30.328,30.399,419277,0
20050330,30.39,30.576,29.988,30.516,357385,0
20050331,30.553,30.695,30.399,30.612,497259,0
20050401,30.65,30.764,29.988,30.364,309586,0
20050404,30.399,30.65,30.106,30.328,340706,0
20050405,30.337,30.48,30.167,30.277,189321,0
20050406,30.408,30.755,30.408,30.553,303946,0
20050407,30.525,31.095,30.441,31.052,277755,0
20050408,31.052,31.095,30.799,31.018,215628,0
20050411,31.027,31.121,30.737,30.839,186971,0
20050412,30.848,31.658,30.722,31.538,625627,0
20050413,31.505,31.767,31.292,31.31,309465,0
20050414,31.336,31.632,31.149,31.292,318158,0
20050415,30.866,31.164,30.65,30.722,547409,0
20050418,30.722,30.969,30.65,30.781,397670,0
20050419,30.951,31.328,30.781,31.328,337770,0
20050420,31.31,31.383,31.052,31.205,424210,0
20050421,31.418,31.887,31.24,31.571,619991,0
20050422,31.579,31.579,30.882,31.231,394144,0
20050425,31.375,31.802,31.249,31.717,246636,0
20050426,31.505,31.538,30.585,30.585,371126,0
20050427,30.695,31.139,30.465,30.891,444056,0
20050428,30.9,30.951,30.408,30.449,389330,0
20050429,30.399,30.399,28.048,28.584,1596306,0
20050502,28.524,29.068,28.524,28.89,663797,0
20050503,28.678,29.034,28.472,28.626,369833,0
20050504,28.841,29.357,28.779,29.205,396141,0
20050505,29.18,29.392,28.975,29.163,283159,0
20050506,29.248,29.341,28.966,29.105,328023,0
20050509,29.018,29.266,28.935,29.154,215983,0
20050510,29.01,29.01,28.406,28.524,318979,0
20050511,28.524,28.822,28.406,28.702,202592,0
20050512,28.737,28.796,28.166,28.253,234064,0
20050513,28.268,28.363,27.681,27.969,317218,0
20050516,28.021,28.448,28.005,28.379,305474,0
20050517,28.346,28.755,28.064,28.72,180865,0
20050518,28.779,29.623,28.779,29.357,439715,0
20050519,29.418,29.836,29.316,29.656,281867,0
20050520,29.64,29.836,29.384,29.682,275056,0
20050523,29.606,29.793,29.059,29.418,351982,0
