Date,Open,High,Low,Close,Volume,OpenInt
20170509,24.86,24.95,24.85,24.85,1700,0
20170510,24.41,24.41,24.41,24.41,201,0
20170512,23.847,23.847,23.847,23.847,500,0
20170515,24.3801,24.52,24.38,24.3999,2650,0
20170523,23.61,23.61,23.5825,23.5825,200,0
20170524,23.99,23.9981,23.99,23.9981,200,0
20170526,25.18,25.19,25.18,25.19,213,0
20170531,24.9756,24.9756,24.9756,24.9756,200,0
20170601,25.26,25.26,25.26,25.26,500,0
20170605,26.469,26.47,26.31,26.3106,1157,0
20170607,25.989,25.989,25.989,25.989,134,0
20170614,27.53,27.53,26.77,26.77,5010,0
20170615,26.87,26.87,26.8298,26.87,1601,0
20170616,26.92,26.92,26.91,26.91,4001,0
20170619,27.3028,27.3693,27.3028,27.3693,2102,0
20170620,26.36,26.43,26.36,26.4,1095,0
20170621,26.23,26.23,26.09,26.14,2791,0
20170623,27.12,27.12,27.12,27.12,502,0
20170628,28.1599,28.1599,28.1599,28.1599,154,0
20170629,27.7984,27.7984,27.7984,27.7984,101,0
20170705,28.8801,29.32,28.8099,29.1364,1226,0
20170706,29.5,29.5,28.565,28.94,1383,0
20170707,29.3143,29.5687,29.3143,29.5687,455,0
20170710,30,30,29.29,29.38,5898,0
20170712,29.475,29.64,29.475,29.56,5427,0
20170713,30,30,29.59,29.59,8609,0
20170714,29.92,29.92,29.92,29.92,500,0
20170717,29.94,29.94,29.2899,29.2899,567,0
20170718,29,29,29,29,1175,0
20170719,28.29,28.44,28.185,28.38,17111,0
20170720,27.55,27.6,27.4835,27.6,3739,0
20170721,27.43,27.43,27.41,27.41,975,0
20170724,27.1696,27.17,27.1188,27.1188,560,0
20170725,27.39,27.7901,27.39,27.7,5135,0
20170726,27.02,27.699,27.02,27.699,916,0
20170727,25.76,25.76,24.7,24.7,2744,0
20170728,25.14,25.14,24.8399,24.8399,2336,0
20170731,25.42,25.42,24.89,24.89,1240,0
20170801,25.09,25.09,24.5,24.5,458,0
