Date,Open,High,Low,Close,Volume,OpenInt
20050225,30.652,31.003,30.652,31.003,61977,0
20050228,31.003,31.003,30.115,30.31,166175,0
20050301,30.433,30.758,30.253,30.392,135371,0
20050302,30.271,30.694,30.067,30.49,80880,0
20050303,30.433,30.743,30.32,30.66,75235,0
20050304,30.636,30.921,30.433,30.556,74988,0
20050307,30.473,30.98,30.473,30.734,59767,0
20050308,30.734,30.807,30.059,30.075,70324,0
20050309,30.147,30.31,29.741,29.772,42589,0
20050310,29.822,29.902,29.049,29.869,134635,0
20050311,29.822,30.213,29.716,30.147,42831,0
20050314,30.147,30.189,29.902,29.919,34731,0
20050315,30.067,30.351,29.886,30.271,56331,0
20050316,30.189,30.433,30.025,30.083,59031,0
20050317,30.123,30.457,30.025,30.245,270374,0
20050318,30.228,30.228,29.814,29.97,83091,0
20050321,29.97,29.97,29.535,29.544,37803,0
20050322,29.627,29.985,29.585,29.707,51054,0
20050323,29.7,29.962,29.594,29.7,76952,0
20050324,29.741,30.18,29.716,29.839,34609,0
20050328,29.839,30.025,29.659,29.886,54124,0
20050329,29.886,30.13,29.594,29.674,62962,0
20050330,29.667,29.822,29.218,29.324,62962,0
20050331,29.285,29.285,28.777,29.09,56946,0
20050401,29.171,29.268,28.397,28.812,88858,0
20050404,28.764,28.9,28.511,28.729,169118,0
20050405,28.777,29.894,28.77,29.878,161021,0
20050406,29.707,29.855,29.463,29.497,74620,0
20050407,29.471,29.627,29.454,29.522,95854,0
20050408,29.602,29.725,29.437,29.463,49215,0
20050411,29.514,29.659,29.414,29.463,53509,0
20050412,29.463,29.707,29.429,29.659,67868,0
20050413,29.62,29.659,29.187,29.259,81124,0
20050414,29.317,29.522,28.307,28.397,161266,0
20050415,28.406,28.599,27.525,27.801,179798,0
20050418,28.558,28.567,27.867,28.274,74744,0
20050419,28.232,28.9,28.232,28.859,177220,0
20050420,28.868,29.104,28.777,29.031,272826,0
20050421,29.171,29.886,29.171,29.781,122237,0
20050422,29.796,29.796,28.835,29.243,152184,0
20050425,29.252,29.62,29.252,29.61,79651,0
20050426,29.61,29.636,29.259,29.293,76584,0
20050427,28.764,29.187,28.681,28.892,158200,0
20050428,28.892,28.892,27.702,27.777,270986,0
20050429,27.939,28.102,27.482,27.947,217354,0
20050502,28.069,28.208,27.638,28.2,162126,0
20050503,28.2,28.339,27.883,28.028,150098,0
