Date,Open,High,Low,Close,Volume,OpenInt
20100823,21.726,21.795,21.579,21.593,19033,0
20100824,21.61,21.837,21.601,21.837,53776,0
20100825,21.703,21.954,21.703,21.954,20071,0
20100826,21.795,21.954,21.726,21.945,20004,0
20100827,21.86,21.945,21.795,21.837,11231,0
20100830,21.803,21.954,21.803,21.954,16001,0
20100831,21.954,22.221,21.886,22.221,56220,0
20100901,22.221,22.429,22.179,22.188,12445,0
20100902,21.929,22.472,21.929,22.03,21367,0
20100903,22.022,22.204,22.003,22.012,7076,0
20100907,22.095,22.095,22.022,22.086,6682,0
20100908,22.022,22.171,22.022,22.062,44166,0
20100909,22.062,22.229,22.062,22.086,6801,0
20100910,22.062,22.139,21.954,21.954,35608,0
20100913,21.903,22.095,21.811,21.97,43061,0
20100914,22.046,22.297,22.003,22.297,16484,0
20100915,22.336,22.336,21.97,22.13,40407,0
20100916,22.13,22.364,22.022,22.204,15431,0
20100917,22.188,22.345,22.071,22.095,22872,0
20100920,22.111,22.221,22.022,22.111,19476,0
20100921,22.171,22.179,21.977,21.977,11148,0
20100922,22.055,22.055,21.97,22.012,10962,0
20100923,21.97,22.046,21.876,22.003,8691,0
20100924,21.903,21.954,21.827,21.921,23712,0
20100927,22.012,22.012,21.876,21.929,21625,0
20100928,22.03,22.33,21.876,21.876,66414,0
20100929,21.945,22.003,21.894,21.894,15939,0
20100930,21.954,21.993,21.894,21.921,12962,0
20101001,21.912,22.003,21.903,21.912,9814,0
20101004,21.912,21.984,21.854,21.854,11109,0
20101005,21.961,22.32,21.87,22.32,40877,0
20101006,22.382,22.382,22.188,22.195,6547,0
20101007,22.421,22.421,22.095,22.33,16964,0
20101008,22.204,22.406,21.97,22.406,18165,0
20101011,22.281,22.399,22.062,22.221,26170,0
20101012,22.297,22.304,22.13,22.156,17879,0
20101013,22.139,22.139,22.012,22.046,17029,0
20101014,22.022,22.111,21.945,22.046,74794,0
20101015,22.095,22.095,21.945,21.945,15471,0
20101018,22.055,22.071,21.854,21.886,23348,0
20101019,21.903,22.012,21.886,21.912,9825,0
20101020,21.97,22.055,21.912,21.945,16946,0
20101021,22.012,22.022,21.886,22.003,8178,0
20101022,21.929,22.022,21.876,21.912,14411,0
20101025,21.97,22.012,21.876,22.012,12567,0
20101026,22.012,22.077,21.912,22.077,13725,0
20101027,21.894,22.012,21.685,21.961,39844,0
20101028,21.929,21.961,21.551,21.586,64678,0
20101029,21.619,21.67,21.393,21.501,47726,0
20101101,21.593,21.593,21.468,21.527,12826,0
20101102,21.509,21.586,21.468,21.468,19296,0
20101103,21.517,21.551,21.468,21.501,8521,0
20101104,21.517,21.579,21.476,21.517,10491,0
20101105,21.527,21.551,21.476,21.476,18468,0
20101108,21.468,21.961,21.435,21.961,52878,0
20101109,21.87,21.961,21.82,21.837,13875,0
20101110,21.938,21.938,21.644,21.718,11969,0
20101111,21.61,21.634,21.517,21.517,35939,0
20101112,21.527,21.67,21.444,21.67,14598,0
20101115,21.67,21.67,21.468,21.468,20924,0
20101116,21.517,21.517,21.182,21.267,15345,0
20101117,21.267,21.409,21.267,21.344,8155,0
20101118,21.31,21.4,21.182,21.233,38240,0
20101119,21.335,21.593,21.282,21.484,48421,0
20101122,21.536,21.593,21.351,21.418,16800,0
20101123,21.468,21.484,21.344,21.384,19435,0
20101124,21.428,21.476,21.351,21.46,14651,0
20101126,21.501,21.501,21.46,21.46,894,0
20101129,21.484,21.484,21.344,21.435,15530,0
20101130,21.358,21.501,21.344,21.493,16809,0
20101201,21.393,21.468,21.358,21.428,11520,0
20101202,21.375,21.468,21.358,21.366,14420,0
20101203,21.344,21.358,21.301,21.301,10572,0
20101206,21.366,21.428,21.259,21.327,19484,0
20101207,21.327,21.409,21.301,21.358,13803,0
20101208,21.45,21.45,21.241,21.241,11918,0
20101209,21.175,21.282,21.13,21.13,20831,0
20101210,20.94,21.007,20.773,20.967,29326,0
20101213,20.967,21.093,20.84,20.849,22065,0
20101214,20.907,21.023,20.623,20.757,23939,0
20101215,20.662,20.975,20.504,20.84,31671,0
20101216,20.816,20.957,20.716,20.857,9473,0
20101217,20.84,20.922,20.773,20.874,22386,0
20101220,20.773,20.883,20.724,20.724,19575,0
20101221,20.757,20.922,20.734,20.824,17148,0
20101222,20.922,21.057,20.799,20.799,23795,0
20101223,20.806,20.967,20.74,20.749,10240,0
20101227,20.799,20.915,20.78,20.806,9811,0
20101228,20.806,21.007,20.806,21.007,16564,0
20101229,21.007,21.049,20.892,21.049,15673,0
20101230,20.975,21.007,20.84,20.922,9684,0
20101231,20.857,20.922,20.84,20.915,17607,0
20110103,20.84,20.907,20.734,20.892,27661,0
20110104,20.806,20.915,20.806,20.874,15324,0
20110105,20.874,20.922,20.84,20.84,19518,0
20110106,20.816,20.899,20.74,20.74,15166,0
20110107,20.757,20.799,20.587,20.657,17121,0
20110110,20.74,20.849,20.67,20.74,12749,0
20110111,20.74,20.799,20.563,20.623,23801,0
20110112,20.523,20.649,20.523,20.571,10586,0
20110113,20.641,20.749,20.579,20.749,16758,0
20110114,20.74,20.74,20.587,20.67,18175,0
20110118,20.587,20.74,20.555,20.662,33936,0
20110119,20.597,20.749,20.597,20.633,20270,0
20110120,20.597,20.697,20.555,20.68,25929,0
20110121,20.706,20.907,20.706,20.773,18657,0
20110124,20.892,20.892,20.716,20.716,18722,0
20110125,20.764,21.031,20.764,21.023,16964,0
20110126,20.907,21.031,20.849,20.857,16614,0
20110127,20.571,20.832,20.571,20.757,20970,0
20110128,20.641,20.832,20.547,20.563,23016,0
20110131,20.662,20.757,20.641,20.757,18414,0
20110201,20.832,20.915,20.789,20.789,9533,0
20110202,20.84,20.84,20.734,20.799,7484,0
20110203,21.039,21.039,20.773,20.883,17368,0
20110204,20.816,20.907,20.799,20.799,10275,0
20110207,20.67,20.789,20.67,20.74,32127,0
20110208,20.789,20.957,20.749,20.84,14956,0
20110209,20.922,20.957,20.78,20.84,6798,0
