Date,Open,High,Low,Close,Volume,OpenInt
20141031,24.78,25.331,24.702,24.938,6807,0
20141103,25.302,25.302,24.859,24.888,16804,0
20141104,25.036,25.085,24.839,25.046,9886,0
20141105,25.331,25.331,24.918,25.321,3253,0
20141106,25.331,25.331,25.331,25.331,762,0
20141107,25.282,25.282,25.243,25.282,203,0
20141110,25.085,25.292,24.987,25.292,6607,0
20141111,25.046,25.085,25.036,25.036,3202,0
20141112,25.085,25.085,25.007,25.007,610,0
20141113,25.007,25.262,24.948,25.262,1321,0
20141114,24.987,25.134,24.987,25.085,6006,0
20141117,25.38,25.38,24.997,25.075,5159,0
20141118,25.085,25.085,25.056,25.056,2846,0
20141120,25.508,25.508,24.987,25.075,5815,0
20141121,25.331,25.351,24.997,25.007,5820,0
20141124,25.085,25.361,25.036,25.233,10750,0
20141125,25.41,25.41,25.085,25.105,915,0
20141126,25.282,25.41,25.282,25.41,508,0
20141128,25.666,25.666,25.666,25.666,152,0
20141202,25.557,25.557,25.557,25.557,203,0
20141203,25.489,25.489,25.469,25.489,1017,0
20141204,25.508,25.508,25.459,25.459,610,0
20141205,25.459,25.479,25.38,25.479,1321,0
20141208,25.105,25.105,25.105,25.105,508,0
20141209,25.105,25.105,25.105,25.105,813,0
20141210,25.085,25.085,25.085,25.085,1220,0
20141215,25.184,25.184,25.184,25.184,224,0
20141218,25.587,25.587,25.587,25.587,1017,0
20141219,25.557,25.587,25.528,25.528,3253,0
20141222,25.252,25.715,25.252,25.715,1321,0
20141226,25.675,25.675,25.675,25.675,203,0
20141230,25.675,25.675,25.675,25.675,2033,0
20150102,25.43,25.675,25.43,25.675,1626,0
20150105,25.774,25.774,25.774,25.774,102,0
20150106,25.803,25.803,25.803,25.803,102,0
20150107,25.803,25.823,25.725,25.734,1220,0
20150108,25.4,26.413,25.4,26.413,3253,0
20150109,26.364,26.394,25.823,26.394,3917,0
20150112,26.315,26.315,26.315,26.315,305,0
20150113,26.649,26.649,26.649,26.649,102,0
20150114,27.12,27.12,26.42,27,10760,0
20150115,27,27.21,26.55,27.21,8815,0
20150116,27.43,27.59,26.81,27.47,37987,0
20150120,27.21,27.58,27.21,27.45,21104,0
20150121,27.71,27.71,27.3,27.4,6071,0
20150122,27.4,27.4,27.25,27.25,2342,0
20150123,27.72,27.74,27.26,27.26,1658,0
20150126,27.59,27.59,27.25,27.25,2475,0
20150128,27.44,27.44,27.13,27.24,2550,0
20150129,27.93,27.93,27.2,27.25,5317,0
20150130,27.7,27.7,27.21,27.21,204,0
20150202,27.25,27.49,27.07,27.15,1422,0
20150203,27.4,27.4,27.04,27.3,5081,0
20150204,27.06,27.31,27.06,27.07,700,0
20150205,27.26,27.26,27.06,27.07,1850,0
20150206,27.4,27.4,27.1,27.3,3060,0
20150210,27.34,27.66,27.02,27.23,5200,0
20150211,27.25,27.28,27.25,27.25,7495,0
20150212,27.68,27.74,27.65,27.65,400,0
20150213,27.76,27.79,27.5,27.5,474,0
20150217,27.16,27.64,26.9,27.02,8800,0
20150218,27.2,27.2,26.81,26.81,11200,0
20150219,26.81,26.85,26.81,26.81,117979,0
20150224,27.35,27.35,26.15,26.15,2800,0
20150225,26.5,26.5,26.35,26.35,500,0
20150226,26.25,26.44,26.23,26.24,155879,0
20150227,26.31,26.31,26.05,26.07,7800,0
20150303,26.25,26.25,26.25,26.25,1400,0
20150305,26.46,26.46,26.46,26.46,100,0
20150309,26.39,26.39,25.6,25.6,2100,0
20150310,25.73,26.19,25.6,26.19,2600,0
20150311,25.81,26.32,25.8,25.91,6675,0
20150312,25.78,25.78,25.75,25.75,14900,0
20150316,26.239,26.239,26.239,26.239,100,0
20150317,26.06,26.2,26.05,26.2,575,0
20150319,25.915,26.189,25.915,26.189,700,0
20150323,25.976,26.03,25.976,26.03,700,0
20150324,25.89,26.1,25.89,26.1,1500,0
20150327,26,26,25.99,26,600,0
20150330,26,26.49,25.95,26.47,65425,0
20150331,26.42,26.42,26.42,26.42,180,0
20150401,26.2,26.45,26.2,26.45,30400,0
20150402,26.2,27.03,26.2,27.03,30400,0
20150408,26.97,26.97,26.7,26.749,1400,0
20150409,26.75,26.75,26.75,26.75,100,0
20150417,25.71,25.78,25.65,25.77,6400,0
20150420,26,26,25.8,25.8,1000,0
20150421,25.93,26.22,25.83,25.83,201,0
20150422,25.95,25.95,25.95,25.95,100,0
20150423,25.8,25.8,25.8,25.8,761,0
20150424,25.84,25.84,25.84,25.84,100,0
20150428,25.87,25.93,25.83,25.93,2100,0
20150429,25.81,25.86,25.8,25.86,3800,0
20150430,26.05,26.05,26.05,26.05,107,0
20150504,25.888,25.889,25.87,25.875,18347,0
20150505,25.8,25.8,25.75,25.75,950,0
20150506,25.75,25.755,25.7,25.7,3300,0
20150507,25.4,25.71,25.33,25.71,1100,0
20150508,26.039,26.039,25.93,25.93,1150,0
20150511,26.02,26.02,26.02,26.02,100,0
20150514,26.019,26.019,25.98,25.98,200,0
20150519,26,26.07,26,26.07,734,0
20150520,25.8,25.8,25.8,25.8,600,0
20150522,25.92,25.92,25.92,25.92,300,0
20150526,26,26,26,26,100,0
20150528,26.12,26.15,26.1,26.15,4155,0
20150601,26.36,26.36,26.36,26.36,100,0
20150602,26.46,26.74,26.46,26.5,3775,0
20150603,25.841,26.165,25.841,26.165,600,0
20150604,25.87,26.05,25.85,26.05,1740,0
20150605,25.98,26,25.98,26,2804,0
20150610,25.821,26.16,25.821,26.16,400,0
20150611,26.2,26.2,26.2,26.2,100,0
20150615,25.98,25.98,25.98,25.98,100,0
20150617,25.98,26.45,25.95,26.45,1251,0
20150618,26.44,26.55,26.44,26.5,11300,0
20150619,26.375,26.64,26.375,26.6,20441,0
20150622,26.6,26.6,26.461,26.461,500,0
20150623,26.69,26.69,26.69,26.69,100,0
20150624,26.74,27.08,26.26,26.645,3700,0
20150625,26.64,26.65,26.64,26.65,300,0
20150629,26.5,26.58,26.5,26.58,1600,0
20150630,26.65,26.65,26.47,26.48,18300,0
20150701,26.15,26.15,26.15,26.15,200,0
20150706,26.39,26.67,26.39,26.67,900,0
20150707,26.4,26.4,26.4,26.4,200,0
20150713,26.83,26.83,26.83,26.83,100,0
20150715,26.87,26.87,26.77,26.77,300,0
20150721,26.6,26.6,26.31,26.31,63327,0
20150723,26.5,26.5,26.5,26.5,60000,0
20150728,26.61,26.61,26.35,26.48,7250,0
20150730,26.5,26.5,26.5,26.5,9500,0
20150731,27.09,27.09,26.495,26.5,2700,0
20150803,26.5,26.5,26.5,26.5,5000,0
20150804,26.5,26.5,26.5,26.5,5000,0
20150805,26.2,26.6,26.2,26.6,200,0
20150806,26.04,26.04,26.04,26.04,100,0
20150807,26.2,26.2,26.06,26.06,1950,0
20150810,26.1,26.1,26.1,26.1,309,0
20150812,26.13,26.25,26.12,26.25,1300,0
20150818,26,26,26,26,400,0
20150820,26.3,26.3,26.3,26.3,56000,0
20150824,26,26,26,26,700,0
20150825,25.54,26.02,25.54,26.02,7975,0
20150826,25.65,25.65,25.65,25.65,13300,0
20150827,26.307,26.307,26.307,26.307,500,0
20150903,26.03,26.03,26.03,26.03,400,0
20150915,25.76,25.76,25.76,25.76,100,0
20150917,26,26,26,26,100,0
20150921,25.75,25.75,25.75,25.75,550,0
20150922,25.75,25.75,25.6,25.6,1250,0
20150923,25.75,25.75,25.682,25.682,1400,0
20150925,25.67,26,25.6,25.6,984,0
20150929,25.65,25.65,25.65,25.65,200,0
20150930,25.65,25.65,25.5,25.64,26350,0
20151005,25.63,25.7,25.63,25.7,90163,0
20151006,25.3,26.33,25.13,25.13,1900,0
20151007,26.2,26.2,25.62,25.62,1650,0
20151008,25.75,25.75,25.75,25.75,600,0
20151013,25.72,25.95,25.72,25.95,825,0
20151014,25.39,25.39,25.39,25.39,200,0
20151015,26.167,26.167,26.069,26.069,400,0
20151022,25.75,26,25.75,26,100000,0
20151023,25.734,26,25.734,25.95,300,0
20151027,25.75,25.75,25.75,25.75,4500,0
20151028,25.846,26.047,25.846,26.047,300,0
20151030,26.12,26.12,26.12,26.12,134,0
20151103,26.12,26.12,26.12,26.12,300,0
20151105,25.59,25.59,25.59,25.59,862,0
20151109,25.67,25.8,25.65,25.8,3052,0
20151110,25.9,25.9,25.9,25.9,200,0
20151118,26.097,26.097,26.047,26.047,600,0
20151119,25.82,25.82,25.82,25.82,100,0
20151123,25.8,25.8,25.8,25.8,600,0
20151124,25.732,26.047,25.732,25.732,440,0
20151127,25.95,26.09,25.95,26.09,300,0
20151201,25.8,26,25.8,26,53800,0
20151202,26.05,26.25,26,26,4800,0
20151203,26.6,26.6,25.691,26.6,500,0
20151204,26.66,26.82,26.25,26.42,7000,0
20151207,26.34,26.34,26.34,26.34,100,0
20151209,26.65,26.9,26.54,26.54,1800,0
20151210,26.1,26.1,26.1,26.1,10000,0
20151211,26.42,26.42,26.42,26.42,500,0
20151214,26,26,26,26,1700,0
20151215,25.8,25.83,25.8,25.8,800,0
20151216,26.072,26.072,25.42,25.42,625,0
20151217,25.832,25.832,25.832,25.832,120,0
20151218,25.5,25.5,25.5,25.5,36500,0
20151221,25.75,25.75,25.75,25.75,125,0
20151222,25.6,25.6,25.41,25.49,43400,0
20151223,25.75,25.75,25.75,25.75,300,0
20151228,25.936,26.445,25.81,26.17,7000,0
20151229,25.81,26.59,25.81,26.25,21693,0
20151230,26.13,26.56,25.82,26.37,20903,0
20151231,26.21,26.77,26.13,26.14,2508,0
20160104,26.1499,26.79,26.0499,26.41,31505,0
20160107,26.7,26.7,26.654,26.654,6114,0
20160108,26.68,26.68,26.68,26.68,300,0
20160114,26.405,26.41,26.4,26.405,1400,0
20160115,26.4,26.4,25.87,25.87,899,0
20160119,25.5,25.5,25.5,25.5,0,0
20160122,26,26,25.7,25.89,1000,0
20160125,25.8499,25.8499,25.65,25.65,4915,0
20160126,25.54,25.7999,25.54,25.7,400,0
20160129,26.2,26.2,25.63,25.63,1080,0
20160201,25.63,25.97,25.63,25.87,5606,0
20160203,25.71,26.51,25.71,26.25,75671,0
20160204,26.45,26.45,25.84,25.94,13961,0
20160205,25.86,25.86,25.86,25.86,112,0
20160208,26.2,26.2,25.9,25.9,1600,0
20160210,25.68,25.68,25.5,25.5,2200,0
20160211,25.6,25.6,25.59,25.6,300,0
20160212,25.42,25.42,25.2745,25.2745,1000,0
20160216,25.58,25.58,25.3,25.3,465,0
20160219,25.51,26.2,25.51,26.0001,23205,0
20160222,25.8,26.5,25.65,25.68,30316,0
20160223,25.6,25.6,25.6,25.6,299,0
20160225,26.04,26.31,26.04,26.31,999,0
20160226,27.02,27.02,27.02,27.02,100,0
20160229,26.1701,26.1701,26,26,59794,0
20160301,26.05,26.05,26.05,26.05,59040,0
20160302,26.862,27.07,26.75,26.75,1193,0
20160303,26.69,26.69,26.69,26.69,100,0
20160304,26.2095,26.2095,26.2,26.2,300,0
20160310,26.34,26.34,26.34,26.34,100,0
20160314,26.1158,26.1158,26.1158,26.1158,200,0
20160317,26.35,26.35,26.34,26.35,600,0
20160318,26.0125,26.35,25.81,26.35,2852,0
20160328,26.2,26.24,26.2,26.24,250,0
20160329,26.75,26.75,26.75,26.75,200,0
20160330,26.75,26.8,26.6,26.75,17000,0
20160331,26.74,26.8,26.74,26.8,600,0
20160404,26.7,26.7,26.7,26.7,500,0
20160405,26.75,26.75,26.75,26.75,300,0
20160406,26.8,26.9,26.725,26.8,3010,0
20160407,26.8,26.86,26.8,26.83,392,0
20160408,26.9299,27.0905,26.9299,27.0905,922,0
20160411,27.11,27.11,26.3105,27.11,1000,0
20160412,27.5,27.5,27.03,27.28,3700,0
20160413,27.208,27.208,26.77,26.77,1575,0
20160414,26.764,26.77,26.764,26.77,1100,0
20160415,26.43,27.05,26.43,26.96,433,0
20160418,26.8998,26.8998,26.8998,26.8998,200,0
20160419,26.91,26.91,26.91,26.91,100,0
20160420,26.08,27.055,26.08,27.055,500,0
20160429,27.2699,27.2699,27.2699,27.2699,163,0
20160502,27.28,27.47,27.26,27.26,2115,0
20160505,27.11,27.11,27,27,200,0
20160506,27.48,27.48,27.03,27.05,700,0
20160510,27.94,28.11,27.324,27.9,6345,0
20160511,27.8995,27.9,27.4,27.4,501,0
20160512,27.58,27.58,27.58,27.58,250,0
20160516,27.62,27.64,27.62,27.64,1042,0
20160517,27.55,27.55,27.55,27.55,1000,0
20160518,27.89,27.89,27.7323,27.7323,500,0
20160519,27.8,27.8,26.71,27.5,5624,0
20160520,27.93,27.93,27.56,27.56,388,0
20160526,27.57,27.57,27.57,27.57,200,0
20160606,27.15,27.15,27.15,27.15,302,0
20160607,27.94,28.02,27.332,27.95,2249,0
20160608,27.94,27.94,27.857,27.92,400,0
20160609,27.91,27.92,27.865,27.865,1000,0
20160610,27.89,27.89,27.89,27.89,300,0
20160613,28.07,28.07,28.06,28.06,500,0
20160620,28.08,28.09,28.06,28.09,1829,0
20160621,27.8,27.8,27.8,27.8,850,0
20160623,27.82,27.82,27.7738,27.8,746,0
20160627,28.06,28.1,27.3,27.3,16175,0
20160628,27.56,27.8,27.33,27.65,68050,0
20160629,27.65,28.54,27.55,27.84,50543,0
20160630,27.5,28.32,27.44,27.5,5654,0
20160701,27.6,28.0999,27.6,27.9,1900,0
20160705,27.65,28.2,27.65,27.8,4100,0
20160706,27.406,27.866,27.23,27.3501,2800,0
20160707,27.52,27.72,27.39,27.55,5872,0
20160708,27.4,27.6001,27.4,27.5501,2400,0
20160711,27.45,27.85,27.45,27.5,6659,0
20160712,27.55,28.47,27.55,28.065,9000,0
20160713,28.06,28.1,27.57,27.8,4800,0
20160714,27.65,28.72,26.97,27.05,41327,0
20160715,27.02,27.02,27.02,27.02,100,0
20160718,27.15,27.15,27.07,27.11,25445,0
20160719,27,27.1,26.86,26.86,1900,0
20160720,27.1,27.25,26.95,27,6417,0
20160727,26.94,27.4,26.92,27.4,2800,0
20160728,27.12,27.12,27.12,27.12,248,0
20160729,27.4399,27.575,27.296,27.296,1464,0
20160803,27.18,27.18,27.18,27.18,1717,0
20160804,27.198,27.198,27.198,27.198,500,0
20160808,27.482,27.482,27.482,27.482,1000,0
20160810,27.7,27.7,27.65,27.65,202502,0
20160816,27.281,27.281,27.28,27.28,300,0
20160817,27.452,27.452,27.36,27.36,1037,0
20160825,27.4574,27.4574,27.2,27.2,427,0
20160831,26.99,27,26.99,27,1000,0
20160901,26.9,26.9,26.581,26.581,1000,0
20160906,26.789,26.789,26.789,26.789,632,0
20160907,26.71,26.71,26.71,26.71,240,0
20160908,27.27,27.32,26.9894,26.9894,1400,0
20160919,27.83,27.83,27.82,27.82,350,0
20160920,27.0001,27.01,27,27,500,0
20160922,27,27,27,27,100,0
20160923,26.99,26.99,26.73,26.75,1482,0
20160926,26.85,27.66,26.46,26.46,2902,0
20160927,26.6,26.6,26.4,26.42,2393,0
20160928,26.41,26.41,26.11,26.15,3182,0
20160929,26.5,26.5,26.5,26.5,200,0
20160930,26.4999,26.4999,26.35,26.35,564,0
20161005,26.2,26.65,26.2,26.65,8978,0
20161006,26.35,26.35,26.35,26.35,225,0
20161007,26.38,26.55,26.36,26.55,336,0
20161010,26.4832,26.4832,26.4,26.4052,2949,0
20161012,26.35,26.35,26.2,26.25,1900,0
20161013,26.35,26.44,26.35,26.44,1344,0
20161018,26.75,26.78,26.74,26.78,3172,0
20161019,26.49,26.49,26.48,26.49,1738,0
20161021,27.21,27.21,27.21,27.21,200,0
20161025,27.1,27.1,27.1,27.1,200,0
20161026,26.95,27.0025,26.95,26.98,2000,0
20161027,26.99,27.081,26.98,27.0761,8001,0
20161031,27.2999,27.2999,27.08,27.0884,760,0
20161101,26.5706,26.93,26.3,26.93,1595,0
20161102,26.98,27,26.96,27,3077,0
20161103,26.95,27.09,26.93,26.995,6390,0
20161107,26.57,26.875,26.57,26.875,300,0
20161114,26.555,26.93,26.555,26.57,866,0
20161115,26.93,26.93,26.93,26.93,100,0
20161117,26.65,26.7,26.08,26.08,13898,0
20161122,26.53,26.53,26.53,26.53,141,0
20161123,26.1,26.1,26.1,26.1,6100,0
20161129,26,26.15,25.9,25.9865,5674,0
20161130,26.0773,26.0773,25.7,25.7,2000,0
20161202,26,26,26,26,262,0
20161212,25.3325,25.3325,25.25,25.25,1000,0
20161213,26.27,26.27,26.27,26.27,106,0
20161215,25.3501,25.39,25.35,25.39,324,0
20161220,25.7615,25.7615,25.43,25.44,500,0
20161221,25.48,25.48,25.3837,25.3837,4239,0
20161222,25.5989,25.5989,25.4,25.4336,500,0
20161227,25.41,25.41,25.41,25.41,100,0
20161228,25.4,25.4,25.4,25.4,400,0
20161229,25.73,25.74,25.73,25.74,200,0
20161230,25.76,25.76,25.6,25.6,1400,0
20170105,25.7958,25.7958,25.65,25.65,2440,0
20170110,25.55,25.6,25.55,25.6,100000,0
20170111,25.85,26.38,25.85,26.17,3990,0
20170112,26.17,26.17,25.7,26.16,539,0
20170117,26,26.29,25.73,26.29,1716,0
20170124,25.99,25.99,25.99,25.99,310,0
20170131,26.4899,26.4899,25.57,25.57,618,0
20170201,25.6601,25.6601,25.6601,25.6601,800,0
20170206,25.7,25.7,25.65,25.65,1300,0
20170208,26.46,26.46,26.283,26.46,957,0
20170209,26.45,26.45,26.2,26.2,923,0
20170210,26.2,26.4999,26.2,26.4741,1210,0
20170214,26.47,26.47,26.1819,26.1819,1000,0
20170215,26.22,26.2825,26.22,26.2825,966,0
20170216,26.21,26.2101,26.21,26.2101,293,0
20170222,26.25,26.25,26.25,26.25,6027,0
20170223,25.85,26.49,25.7001,26.49,1020,0
20170306,26.1573,26.1573,26.1573,26.1573,200,0
20170307,26.1,26.12,26.1,26.1,600,0
20170308,26,26.0684,26,26,800,0
20170313,25.97,26.1683,25.97,25.9706,3300,0
20170315,25.97,25.97,25.97,25.97,1000,0
20170317,25.9176,25.9176,25.8,25.8,712,0
20170321,26.397,26.4,26.397,26.4,200,0
20170322,26,26,25.82,25.82,800,0
20170323,25.83,26,25.8,26,5570,0
20170327,25.78,25.8,25.66,25.66,2000,0
20170328,25.7,25.7,25.6999,25.7,2800,0
20170329,25.7,25.7,25.7,25.7,400,0
20170330,25.99,26.1,25.75,25.75,1100,0
20170331,25.77,25.77,25.75,25.75,400,0
20170403,25.8645,25.88,25.85,25.88,820,0
20170405,25.9768,25.9768,25.8996,25.9,1500,0
20170412,25.72,25.7972,25.72,25.7972,260,0
20170413,26,26,26,26,900,0
20170417,26,26,26,26,140,0
20170418,25.68,25.68,25.68,25.68,256,0
20170421,25.9281,25.9281,25.9281,25.9281,100,0
20170424,25.8575,25.8575,25.8575,25.8575,300,0
20170427,25.85,25.85,25.85,25.85,250,0
20170428,26,26,26,26,190,0
20170501,25.8068,25.8068,25.75,25.75,201,0
20170502,25.76,25.7971,25.73,25.732,2386,0
20170503,25.76,25.77,25.6853,25.6853,5920,0
20170504,25.77,25.77,25.77,25.77,170,0
20170505,25.65,25.65,25.55,25.55,2740,0
20170508,25.5255,25.5255,25.1822,25.22,8135,0
20170509,25.4886,25.53,25.4688,25.51,5390,0
20170512,25.5,25.5,25.5,25.5,100,0
20170515,25.51,25.6,25.51,25.5783,1800,0
20170517,25.55,25.55,25.5,25.5,12675,0
20170518,25.52,25.7,25.52,25.7,10625,0
20170522,25.6215,25.679,25.6215,25.6782,1600,0
20170523,25.68,26.0699,25.68,26.03,2332,0
20170602,25.95,26,25.95,26,1099,0
20170605,26,26.0644,26,26.0404,3237,0
20170613,26.1,26.1,25.8,25.8,166400,0
20170614,25.82,25.82,25.82,25.82,114425,0
20170616,25.6,25.765,25.6,25.765,1000,0
20170620,26.06,26.6,26.03,26.4,9717,0
20170626,26.54,26.54,25.95,25.97,10720,0
20170627,26,26,26,26,200,0
20170628,26.1476,26.1525,26,26,2985,0
20170629,26.4,26.4,26.4,26.4,100,0
20170630,26.4,26.41,26.38,26.38,2340,0
20170703,26.43,26.43,26.39,26.39,1000,0
20170705,26.4,26.4,26.33,26.33,900,0
20170707,26.2,26.2,26.03,26.1,10450,0
20170710,26.1,26.43,26.1,26.2,3489,0
20170711,26.419,26.54,26.35,26.35,4820,0
20170712,26.29,26.29,25.96,26,966,0
20170713,26.19,26.2,26.1515,26.2,2000,0
