Date,Open,High,Low,Close,Volume,OpenInt
20070504,39.054,39.107,38.828,38.843,5242,0
20070507,38.914,38.914,38.88,38.88,4219,0
20070508,38.771,38.771,38.623,38.64,6396,0
20070509,39.098,39.098,38.961,38.961,5115,0
20070510,38.914,38.982,38.545,38.545,12782,0
20070511,38.757,39.038,38.757,39.038,2685,0
20070514,39.122,39.131,38.866,38.866,7668,0
20070515,39.014,39.014,38.215,38.215,8056,0
20070516,37.747,37.747,37.747,37.747,1150,0
20070517,37.341,37.349,37.153,37.24,8056,0
20070518,36.856,36.856,36.511,36.747,5370,0
20070521,36.738,37.122,36.738,36.949,9204,0
20070522,37.176,37.543,37.176,37.412,6396,0
20070523,37.676,37.676,37.058,37.058,21734,0
20070524,36.582,36.582,36.378,36.378,5370,0
20070525,37.058,37.058,36.52,36.52,26209,0
20070529,37.654,37.654,37.654,37.654,641,0
20070530,38.999,38.999,38.999,38.999,255,0
20070605,38.686,38.686,38.686,38.686,255,0
20070606,38.162,38.162,38.162,38.162,127,0
20070611,36.755,36.755,36.755,36.755,127,0
20070613,36.933,36.933,36.933,36.933,127,0
20070614,36.511,36.511,36.511,36.511,127,0
20070615,37.05,37.05,37.05,37.05,127,0
20070621,35.196,35.518,35.196,35.518,515,0
20070622,35.243,35.423,35.243,35.423,641,0
20070625,35.066,35.066,34.681,34.704,17385,0
20070626,34.776,34.776,34.776,34.776,127,0
20070627,35.512,35.512,35.385,35.385,515,0
20070628,35.548,35.548,35.548,35.548,127,0
20070629,35.205,35.205,34.822,34.884,766,0
20070702,35.673,35.76,35.673,35.76,255,0
20070703,35.879,35.879,35.717,35.728,1790,0
20070705,36.589,36.589,36.426,36.426,894,0
20070706,36.145,36.355,36.145,36.355,255,0
20070709,36.23,36.23,36.23,36.23,255,0
20070710,35.464,35.518,35.464,35.504,2047,0
20070711,35.034,35.048,35.034,35.048,766,0
20070712,35.314,35.314,35.314,35.314,127,0
20070713,35.666,36.096,35.666,36.096,2553,0
20070717,35.956,35.956,35.581,35.581,386,0
20070718,35.212,35.212,35.196,35.196,386,0
20070719,35.744,35.76,35.744,35.744,1150,0
20070720,35.322,35.338,35.322,35.338,515,0
20070723,34.752,34.752,34.65,34.65,255,0
20070724,34.43,34.43,33.652,33.76,1535,0
20070725,34.179,34.179,33.744,33.744,1535,0
20070726,32.451,32.642,32.451,32.642,255,0
20070727,32.889,32.889,32.169,32.169,766,0
20070730,31.974,32.295,31.974,32.279,3067,0
20070731,33.157,33.157,32.969,32.969,515,0
20070801,31.897,32.743,31.703,32.743,3321,0
20070802,32.946,32.946,32.781,32.781,386,0
20070803,32.633,32.633,32.56,32.592,386,0
20070806,32.328,32.328,32.312,32.312,6523,0
20070807,32.93,33.251,32.701,33.127,4219,0
20070808,34.643,34.643,33.979,33.979,766,0
20070809,34.179,34.179,34.179,34.179,2685,0
20070813,33.398,33.398,33.054,33.054,641,0
20070814,32.303,32.303,32.303,32.303,127,0
20070815,31.686,31.686,31.686,31.686,255,0
20070816,31.318,32.359,31.054,32.359,10740,0
20070817,32.905,33.251,32.905,33.251,7540,0
20070820,33.491,33.5,33.319,33.319,6649,0
20070821,34.032,34.16,33.953,34.16,22374,0
20070822,34.415,34.697,34.151,34.361,22758,0
20070823,34.407,34.407,34.407,34.407,127,0
20070824,34.088,34.088,33.767,33.829,13935,0
20070827,33.593,33.727,33.374,33.374,10995,0
20070828,33.017,33.017,32.969,32.969,894,0
20070829,32.553,33.26,32.466,33.26,28128,0
20070830,32.677,33.634,32.677,33.578,20584,0
20070831,34.064,34.268,33.821,34.211,5115,0
20070904,34.446,34.744,34.446,34.744,3193,0
20070905,33.837,33.979,33.788,33.886,1279,0
20070906,33.877,34.142,33.76,34.024,3321,0
20070907,33.556,33.556,33.507,33.507,515,0
20070910,33.412,33.412,33.28,33.295,515,0
20070911,33.516,33.539,33.516,33.539,6902,0
20070912,33.634,33.86,33.578,33.86,10486,0
20070913,34.37,34.43,34.244,34.275,2553,0
20070914,33.953,34.4,33.953,34.4,98956,0
20070917,34.16,34.236,34.16,34.236,7799,0
20070918,35.009,35.416,35.009,35.416,2427,0
20070919,36.145,36.173,35.94,35.94,1664,0
20070920,35.512,35.525,35.512,35.525,386,0
20070921,35.666,35.666,35.666,35.666,386,0
20070924,35.728,35.728,35.572,35.572,2685,0
20070925,35.409,35.456,35.409,35.456,2685,0
20070926,35.228,35.228,35.228,35.228,766,0
20070927,35.403,35.728,35.403,35.728,1919,0
20070928,35.439,35.439,35.431,35.431,1406,0
20071001,36.072,36.261,36.072,36.261,1919,0
20071002,36.55,36.832,36.55,36.832,3965,0
20071003,36.589,36.589,36.589,36.589,1279,0
20071004,36.786,36.84,36.55,36.763,7160,0
20071005,37.232,37.693,36.997,37.693,11121,0
20071008,37.232,37.232,37.232,37.232,127,0
20071009,36.925,37.514,36.925,37.514,255,0
20071010,37.341,37.341,37.341,37.341,127,0
20071011,37.45,37.45,37.45,37.45,127,0
20071015,37.1,37.1,36.035,36.066,641,0
20071016,35.627,35.666,35.627,35.666,1021,0
20071017,35.009,35.479,34.736,35.479,515,0
20071018,35.525,35.548,35.525,35.548,255,0
20071019,35.284,35.284,34.509,34.509,4858,0
20071022,34.471,34.509,34.305,34.495,2427,0
20071023,34.978,35.142,34.978,35.142,515,0
20071024,34.768,34.884,34.252,34.884,6139,0
20071025,34.783,34.963,34.697,34.963,7540,0
20071026,35.261,35.261,35.261,35.261,127,0
20071029,35.278,35.278,35.026,35.026,255,0
20071030,35.243,35.487,35.167,35.456,6775,0
20071031,35.62,35.801,35.19,35.196,20971,0
20071101,35.184,35.184,34.533,34.533,7668,0
20071102,33.899,33.899,33.899,33.899,127,0
20071105,34.352,34.352,33.491,33.6,4219,0
20071106,33.251,33.251,33.251,33.251,127,0
20071107,33.361,33.361,32.836,32.836,31582,0
20071108,32.735,32.946,32.398,32.795,5626,0
20071112,32.897,33.061,32.897,33.061,3708,0
20071113,33.319,33.319,33.319,33.319,1790,0
20071114,34.446,34.446,33.97,33.987,6649,0
20071115,33.507,33.507,33.361,33.361,1664,0
20071116,32.662,33.061,32.662,32.845,1664,0
20071119,32.234,32.234,32.052,32.052,386,0
20071120,32.116,32.21,31.28,31.419,3708,0
20071121,31.294,31.294,30.709,31.208,3193,0
20071123,31.513,31.763,31.513,31.585,641,0
20071126,32.008,32.008,30.122,30.122,4729,0
20071127,30.309,30.786,30.309,30.786,10486,0
20071130,32.499,32.694,32.499,32.617,641,0
20071203,32.649,32.649,32.16,32.32,1279,0
20071204,31.726,31.748,31.6,31.637,16623,0
20071205,32.343,32.617,31.966,32.32,31453,0
20071206,32.592,32.828,32.592,32.795,515,0
20071207,33.476,34.001,33.476,33.775,17518,0
20071210,34.219,34.219,34.047,34.117,4346,0
20071211,34.166,34.393,33.194,33.194,131047,0
20071212,32.186,32.186,32.186,32.186,127,0
20071213,32.25,32.38,31.717,31.717,48967,0
20071214,31.631,32.008,31.397,31.397,2427,0
20071217,30.717,30.717,30.573,30.573,6775,0
20071218,30.465,30.465,29.823,29.847,1279,0
20071219,30.542,30.717,30.542,30.717,5499,0
20071220,30.731,30.825,30.731,30.825,5242,0
20071221,31.16,31.2,31.16,31.2,7414,0
20071224,31.843,31.951,31.843,31.951,386,0
20071227,31.124,31.124,30.747,30.747,386,0
20071228,30.294,30.433,30.246,30.433,766,0
20071231,30.481,30.615,30.481,30.615,515,0
20080103,29.472,29.472,29.472,29.472,127,0
20080104,29.075,29.075,28.338,28.338,1919,0
20080107,29.262,29.262,27.33,28.4,4476,0
20080108,29.291,29.291,27.556,27.556,515,0
20080109,27.767,27.767,26.789,27.032,1790,0
20080114,28.001,28.001,27.759,27.759,386,0
20080115,26.984,27.931,26.984,27.931,3451,0
20080116,28.674,28.674,27.845,28.01,3579,0
20080117,27.556,27.556,27.391,27.391,7929,0
20080118,28.862,28.862,26.882,26.882,12782,0
20080122,28.371,28.371,27.603,27.735,3708,0
20080123,28.845,29.331,28.845,29.331,2302,0
20080124,30.429,30.429,29.589,29.589,1406,0
20080125,31.068,31.068,29.496,29.526,15980,0
20080128,30.027,30.433,30.027,30.433,5754,0
20080129,31.013,31.013,30.396,30.607,2685,0
20080130,30.325,30.403,30.325,30.403,2813,0
20080131,30.246,30.309,30.246,30.309,6649,0
20080201,30.277,31.499,30.277,31.474,30175,0
20080204,31.089,31.115,31.089,31.115,2176,0
20080205,30.38,30.38,30.38,30.38,127,0
20080206,29.729,29.847,29.675,29.839,21734,0
20080207,29.526,29.815,29.481,29.762,1790,0
20080208,29.897,29.897,29.283,29.323,25570,0
20080211,29.872,29.872,28.783,28.839,766,0
20080212,29.402,29.526,29.128,29.128,7414,0
20080213,29.395,29.395,29.395,29.395,1535,0
20080214,29.432,29.432,29.432,29.432,127,0
20080215,28.822,29.112,28.822,29.112,386,0
20080219,29.41,29.41,28.99,28.99,1919,0
20080220,28.159,29.181,28.159,29.167,6139,0
20080221,29.597,29.597,28.939,28.939,13682,0
20080222,29.283,29.283,28.964,29.283,4476,0
20080225,29.629,30.38,29.488,30.38,6139,0
20080226,30.754,30.754,30.082,30.302,18794,0
20080227,30.411,30.573,30.215,30.261,6523,0
20080228,29.722,30.027,29.683,29.683,14704,0
20080229,29.997,29.997,29.238,29.238,766,0
20080303,28.964,29.323,28.964,29.323,3067,0
20080304,28.822,28.909,28.822,28.909,766,0
20080305,29.41,29.481,28.99,28.99,16623,0
20080306,29.245,29.245,29.215,29.215,766,0
20080307,27.414,28.268,27.414,28.205,9204,0
20080310,28.079,28.079,27.744,27.767,3965,0
20080311,28.54,29.513,28.494,29.513,48582,0
20080312,30.167,30.167,29.291,29.291,14064,0
