Date,Open,High,Low,Close,Volume,OpenInt
20040511,9.806,10.155,9.806,10.155,169225,0
20040512,10.052,10.225,9.63,9.841,234384,0
20040513,9.834,10.147,9.806,9.985,139635,0
20040514,10.048,10.347,9.806,10.225,139799,0
20040517,10.19,10.286,9.925,10.286,122011,0
20040518,10.197,10.587,10.197,10.478,101230,0
20040519,10.451,10.7,10.22,10.347,143122,0
20040520,10.347,10.492,9.776,10.042,211612,0
20040521,10.035,10.286,9.974,10.104,148778,0
20040524,10.048,10.197,9.925,10.13,165901,0
20040525,10.197,10.216,9.925,10.104,189505,0
20040526,10.076,10.216,10.028,10.216,238373,0
20040527,10.225,10.468,10.104,10.462,178365,0
20040528,10.522,10.744,10.319,10.528,132154,0
20040601,10.503,10.784,10.409,10.714,142954,0
20040602,10.773,10.821,10.618,10.818,116031,0
20040603,10.769,10.818,10.528,10.744,116031,0
20040604,10.708,10.888,10.708,10.784,78129,0
20040607,10.721,10.826,10.587,10.648,88931,0
20040608,10.8,10.859,10.468,10.569,96578,0
20040609,10.708,10.737,10.286,10.341,104397,0
20040610,10.383,10.444,10.274,10.402,105725,0
20040614,10.376,10.498,9.985,10.137,175707,0
20040615,9.956,10.197,9.904,10.048,247682,0
20040616,9.985,10.104,9.827,9.897,244359,0
20040617,9.867,10.01,9.806,9.915,160079,0
20040618,9.827,9.979,9.827,9.956,126500,0
20040621,9.877,10.126,9.877,9.956,159248,0
20040622,9.925,10.137,9.724,9.744,329967,0
20040623,9.817,9.943,9.704,9.867,204626,0
20040624,9.925,10.028,9.75,9.862,184515,0
20040625,9.867,9.925,9.758,9.834,188835,0
20040628,9.806,9.849,9.724,9.744,207617,0
20040629,9.63,9.834,9.63,9.758,204962,0
20040630,9.862,9.904,9.758,9.884,220252,0
20040701,9.792,10.065,9.792,10.01,254501,0
20040702,10.035,10.147,9.956,10.147,113698,0
20040706,10.104,10.299,10.059,10.286,147116,0
20040707,10.409,10.409,10.21,10.319,147116,0
20040708,10.319,10.376,10.13,10.256,192495,0
20040709,10.169,10.347,10.016,10.119,140965,0
20040712,10.126,10.205,10.065,10.112,139635,0
20040713,10.048,10.104,10.016,10.088,151268,0
20040714,10.042,10.256,10.023,10.104,174380,0
20040715,10.076,10.169,10.016,10.048,177533,0
20040716,10.095,10.22,10.048,10.169,128495,0
20040719,10.197,10.197,10.016,10.126,173381,0
20040720,10.035,10.22,10.035,10.137,245193,0
20040721,10.216,10.216,10.028,10.059,209779,0
20040722,10.016,10.042,9.897,10.016,287248,0
20040723,9.985,10.01,9.856,9.931,207285,0
20040726,9.897,9.925,9.728,9.915,203962,0
20040727,9.776,9.877,9.698,9.806,318995,0
20040728,9.834,9.925,9.8,9.925,99243,0
20040729,9.925,9.974,9.867,9.956,129988,0
20040730,10.028,10.197,9.96,10.174,102731,0
20040802,10.076,10.522,10.059,10.313,272784,0
20040803,10.376,10.444,10.238,10.414,208451,0
20040804,10.376,10.478,10.244,10.478,174875,0
20040805,10.402,10.456,10.299,10.376,192662,0
20040806,10.256,10.366,10.225,10.366,168890,0
20040809,10.383,10.43,10.256,10.366,164567,0
20040810,10.371,10.468,10.319,10.371,137305,0
20040811,10.347,10.528,10.268,10.528,154928,0
20040812,10.376,10.478,10.293,10.371,185842,0
20040813,10.409,10.516,10.336,10.462,130324,0
20040816,10.468,10.764,10.468,10.751,164232,0
20040817,10.601,10.807,10.473,10.528,228732,0
20040818,10.516,10.667,10.478,10.612,219426,0
20040819,10.533,10.601,10.468,10.51,170719,0
20040820,10.473,10.608,10.473,10.516,263972,0
20040823,10.473,10.593,10.436,10.587,228732,0
20040824,10.516,10.654,10.485,10.635,265137,0
20040825,10.769,10.818,10.564,10.751,231894,0
20040826,10.714,10.826,10.714,10.821,213440,0
20040827,10.821,10.826,10.726,10.779,205293,0
20040830,10.792,10.888,10.751,10.8,185677,0
20040831,10.841,11.02,10.841,11.02,192829,0
20040901,11.117,11.371,11.093,11.298,253000,0
20040902,11.286,11.429,11.19,11.357,205794,0
20040903,11.328,11.328,11.039,11.19,164399,0
20040907,11.19,11.514,11.159,11.383,201137,0
20040908,11.334,11.461,11.196,11.219,183352,0
20040909,11.219,11.219,10.929,11.153,194820,0
20040910,11.304,11.304,11.069,11.183,159087,0
20040913,11.183,11.19,11.039,11.117,148276,0
20040914,11.17,11.19,10.917,10.923,173876,0
20040915,10.881,10.923,10.826,10.874,165237,0
20040916,10.758,11.026,10.758,10.985,180359,0
20040917,11.052,11.183,10.991,11.183,169722,0
20040920,11.183,11.249,10.95,10.956,165728,0
20040921,11.069,11.117,10.917,11.033,200644,0
20040922,10.991,11.196,10.917,11.19,164072,0
20040923,11.219,11.219,10.929,11.009,144954,0
20040924,10.929,11.087,10.888,10.95,156592,0
20040927,10.923,10.966,10.848,10.864,140796,0
20040928,10.848,10.956,10.833,10.881,146119,0
20040929,10.848,10.913,10.764,10.888,156256,0
20040930,10.985,11.056,10.896,11.014,108547,0
20041001,11.033,11.249,10.998,11.143,170053,0
20041004,11.056,11.143,11.039,11.136,105891,0
20041005,11.093,11.128,11.075,11.087,113698,0
20041006,11.044,11.149,11.044,11.128,159914,0
20041007,11.255,11.255,11.081,11.159,171051,0
20041008,11.128,11.214,11.1,11.183,185514,0
20041011,11.231,11.231,11.117,11.183,123010,0
20041012,11.128,11.238,11.081,11.238,187342,0
20041013,11.219,11.279,11.153,11.165,140796,0
20041014,11.202,11.255,11.033,11.033,186843,0
20041015,11.033,11.17,11.033,11.128,180197,0
20041018,11.17,11.19,11.11,11.19,192995,0
20041019,11.176,11.292,11.143,11.292,218095,0
20041020,11.17,11.279,11.02,11.069,276774,0
20041021,11.159,11.267,11.117,11.249,234053,0
20041022,11.286,11.405,11.219,11.279,174044,0
20041025,11.245,11.249,11.063,11.087,239368,0
20041026,11.087,11.249,11.02,11.249,275942,0
20041027,11.159,11.328,11.11,11.159,163904,0
20041028,11.136,11.19,11.087,11.149,194987,0
20041029,11.219,11.298,11.17,11.298,100569,0
20041101,11.322,11.573,11.31,11.419,217097,0
20041102,11.423,11.52,11.364,11.454,145951,0
20041103,11.448,11.55,11.371,11.429,274615,0
20041104,11.472,11.581,11.429,11.55,157249,0
20041105,11.561,11.561,11.292,11.435,329300,0
20041108,11.377,11.508,11.322,11.435,184348,0
20041109,11.429,11.429,11.292,11.351,197314,0
20041110,11.357,11.371,11.208,11.357,184515,0
20041111,11.357,11.419,11.279,11.392,221586,0
20041112,11.398,11.532,11.357,11.526,163904,0
20041115,11.514,11.55,11.383,11.392,197484,0
20041116,11.364,11.412,11.279,11.298,216267,0
20041117,11.371,11.383,11.202,11.26,287248,0
20041118,11.238,11.351,11.208,11.328,199644,0
20041119,11.357,11.412,11.202,11.231,194488,0
20041122,11.245,11.317,11.219,11.298,254333,0
20041123,11.298,11.454,11.219,11.448,478410,0
20041124,11.477,11.634,11.448,11.484,286745,0
20041126,11.484,11.618,11.472,11.618,43552,0
20041129,11.646,11.719,11.503,11.618,242197,0
20041130,11.646,11.719,11.573,11.66,248183,0
20041201,11.671,11.81,11.532,11.622,282925,0
20041202,11.544,11.581,11.392,11.484,221090,0
20041203,11.611,11.671,11.526,11.591,169225,0
20041206,11.526,11.604,11.441,11.581,162741,0
20041207,11.587,11.598,11.412,11.435,209617,0
20041208,11.371,11.435,11.322,11.364,229730,0
20041209,11.345,11.364,11.279,11.364,231229,0
20041210,11.322,11.503,11.317,11.503,195654,0
20041213,11.461,11.497,11.371,11.461,226741,0
20041214,11.454,11.508,11.419,11.423,281264,0
20041215,11.491,11.561,11.477,11.55,345592,0
20041216,11.573,11.581,11.429,11.429,281099,0
20041217,11.429,11.484,11.377,11.484,275111,0
20041220,11.472,11.561,11.461,11.532,287413,0
20041221,11.568,11.604,11.52,11.537,276774,0
20041222,11.55,11.634,11.537,11.591,445331,0
20041223,11.591,11.646,11.587,11.604,262146,0
20041227,11.622,11.772,11.611,11.618,200971,0
20041228,11.622,11.712,11.591,11.618,136309,0
20041229,11.598,11.731,11.591,11.706,207951,0
20041230,11.706,11.881,11.646,11.817,266467,0
20041231,11.952,11.952,11.796,11.924,173714,0
20050103,11.863,11.935,11.724,11.778,326308,0
20050104,11.745,11.791,11.591,11.66,202634,0
20050105,11.64,11.654,11.526,11.591,196485,0
20050106,11.598,11.622,11.537,11.622,128164,0
20050107,11.66,11.731,11.64,11.712,161576,0
20050110,11.681,11.731,11.598,11.731,256326,0
20050111,11.731,11.731,11.537,11.604,191329,0
20050112,11.544,11.604,11.508,11.52,210445,0
20050113,11.532,11.573,11.503,11.561,178031,0
20050114,11.598,11.622,11.568,11.587,156592,0
20050118,11.604,11.64,11.55,11.611,213771,0
20050119,11.622,11.681,11.587,11.646,182683,0
20050120,11.604,11.622,11.503,11.568,196984,0
20050121,11.556,11.581,11.497,11.544,186509,0
20050124,11.561,11.587,11.435,11.461,201968,0
20050125,11.461,11.508,11.398,11.419,253665,0
20050126,11.435,11.52,11.419,11.503,268958,0
20050127,11.514,11.618,11.497,11.581,231229,0
20050128,11.622,11.687,11.591,11.687,197817,0
20050131,11.724,11.869,11.671,11.85,241197,0
20050201,11.863,12.008,11.796,11.972,349748,0
20050202,11.992,12.064,11.96,12.024,422721,0
20050203,11.988,12,11.887,11.976,269127,0
20050204,11.972,12.042,11.972,12.031,417238,0
20050207,12.008,12.031,11.982,11.982,291241,0
20050208,11.976,12.024,11.972,11.982,399785,0
20050209,11.972,11.988,11.94,11.952,289238,0
20050210,11.952,11.988,11.935,11.976,331467,0
20050211,11.887,11.976,11.874,11.972,441674,0
20050214,11.972,12.021,11.947,11.992,330960,0
20050215,11.988,12.024,11.966,11.982,455972,0
20050216,11.976,12.058,11.947,12.031,442504,0
20050217,12.008,12.064,12,12.024,541578,0
20050218,12.008,12.024,11.81,11.881,297719,0
20050222,11.822,11.822,11.598,11.654,477413,0
20050223,11.66,11.94,11.66,11.94,445666,0
20050224,11.85,11.881,11.81,11.869,228569,0
20050225,11.894,12,11.857,11.952,259317,0
20050228,11.982,12.021,11.772,11.831,303866,0
20050301,11.837,12.008,11.81,11.93,306029,0
20050302,11.887,11.96,11.874,11.93,196984,0
20050303,11.952,12.016,11.924,11.988,258986,0
20050304,12.016,12.126,12.016,12.099,353903,0
20050307,12.109,12.17,12.099,12.114,339606,0
20050308,12.105,12.133,12.024,12.079,283920,0
20050309,12.133,12.212,12.092,12.133,504512,0
20050310,12.151,12.158,11.96,12.031,345096,0
20050311,11.952,12.008,11.924,11.924,164232,0
20050314,11.94,12,11.92,11.982,175541,0
20050315,11.982,12.024,11.901,11.912,257661,0
20050316,11.92,11.92,11.785,11.837,251840,0
20050317,11.837,11.92,11.817,11.85,206129,0
20050318,11.843,11.874,11.699,11.791,217097,0
20050321,11.745,11.785,11.677,11.706,274615,0
20050322,11.681,11.755,11.556,11.556,176202,0
20050323,11.537,11.537,11.214,11.484,308854,0
20050324,11.461,11.66,11.429,11.448,231061,0
20050328,11.441,11.454,11.17,11.219,367037,0
