Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.968,10.008,9.962,10.002,13023,0
20050228,10.021,10.035,9.955,9.955,24271,0
20050301,9.968,9.994,9.962,9.994,13320,0
20050302,9.962,9.987,9.962,9.987,2809,0
20050303,9.994,10.027,9.987,10.002,18940,0
20050304,10.008,10.035,9.979,10.027,15092,0
20050307,10.049,10.055,10.042,10.055,19094,0
20050308,10.021,10.042,10.021,10.042,22343,0
20050309,10.002,10.049,9.962,10.042,21013,0
20050310,9.979,10.021,9.979,10.021,19680,0
20050311,9.979,10.008,9.979,9.987,14799,0
20050314,10.008,10.013,9.987,9.987,7985,0
20050315,9.987,10.075,9.987,10.042,14060,0
20050316,9.994,10.021,9.994,10.008,11394,0
20050317,9.994,10.062,9.987,10.062,7696,0
20050318,10.035,10.042,10.027,10.027,10062,0
20050321,10.027,10.049,10.027,10.027,9175,0
20050322,10.049,10.049,9.949,10.002,18053,0
20050323,9.949,9.962,9.859,9.905,11693,0
20050324,9.941,9.941,9.794,9.831,13023,0
20050328,9.817,9.831,9.669,9.687,27376,0
20050329,9.717,9.724,9.673,9.702,4878,0
20050330,9.687,9.746,9.669,9.71,17311,0
20050331,9.729,9.772,9.687,9.695,16724,0
20050401,9.752,9.825,9.717,9.825,7850,0
20050404,9.772,9.772,9.679,9.746,17609,0
20050405,9.71,9.787,9.71,9.787,14799,0
20050406,9.78,9.825,9.759,9.817,4587,0
20050407,9.825,9.825,9.772,9.817,7108,0
20050408,9.817,9.933,9.817,9.933,14355,0
20050411,9.919,10.062,9.879,10.042,8583,0
20050412,10.002,10.055,9.871,9.962,9322,0
20050413,9.892,9.949,9.871,9.871,8430,0
20050414,9.866,9.941,9.866,9.866,7985,0
20050415,9.905,9.955,9.905,9.955,3699,0
20050419,9.974,10.055,9.955,10.013,14799,0
20050420,9.949,9.949,9.866,9.912,11693,0
20050421,9.912,9.949,9.859,9.859,7108,0
20050422,9.859,9.926,9.859,9.866,6213,0
20050425,9.892,9.933,9.866,9.879,6069,0
20050426,9.884,9.899,9.837,9.871,19533,0
20050427,9.879,9.899,9.866,9.866,8728,0
20050428,9.899,9.949,9.899,9.949,4444,0
20050429,9.955,9.979,9.949,9.962,4142,0
20050502,9.955,10.013,9.955,10.002,10947,0
20050503,10.021,10.027,9.987,9.994,5920,0
20050504,10.002,10.008,9.987,9.987,11249,0
20050505,10.008,10.042,9.987,10.013,8728,0
20050506,10.013,10.055,10.002,10.055,9771,0
20050509,10.069,10.122,10.049,10.122,21608,0
20050510,10.153,10.245,10.095,10.245,23093,0
20050511,10.218,10.315,10.182,10.253,25602,0
20050512,10.262,10.262,10.21,10.218,15833,0
20050513,10.225,10.287,10.225,10.225,6069,0
20050516,10.281,10.281,10.225,10.24,23827,0
20050517,10.233,10.292,10.233,10.287,22199,0
20050518,10.315,10.37,10.305,10.305,17909,0
20050519,10.315,10.386,10.315,10.386,9472,0
20050520,10.386,10.386,10.315,10.315,2809,0
20050523,10.355,10.355,10.315,10.348,13023,0
20050524,10.362,10.362,10.343,10.343,4444,0
20050525,10.348,10.4,10.315,10.4,31669,0
20050526,10.393,10.422,10.329,10.343,8728,0
20050527,10.4,10.422,10.348,10.362,11249,0
20050531,10.414,10.422,10.386,10.386,3399,0
20050601,10.386,10.468,10.275,10.348,30037,0
20050602,10.312,10.37,10.297,10.323,20716,0
20050603,10.312,10.37,10.305,10.323,10807,0
20050606,10.315,10.323,10.245,10.245,28411,0
20050607,10.287,10.305,10.253,10.253,29305,0
20050608,10.287,10.292,10.245,10.292,3103,0
20050609,10.266,10.281,10.195,10.21,18796,0
20050610,10.218,10.233,10.161,10.204,9914,0
20050613,10.195,10.195,10.095,10.135,16724,0
20050614,10.153,10.153,10.09,10.09,5768,0
20050615,10.09,10.102,10.035,10.049,21158,0
20050616,10.021,10.062,10.013,10.062,5920,0
20050617,10.062,10.082,10.055,10.069,8291,0
20050620,10.102,10.102,10.069,10.075,7696,0
20050621,10.069,10.161,10.069,10.127,18495,0
20050622,10.143,10.143,10.114,10.114,6658,0
20050623,10.108,10.127,10.09,10.127,10062,0
20050624,10.149,10.161,10.122,10.161,15833,0
20050627,10.161,10.182,10.161,10.182,4142,0
20050628,10.182,10.204,10.176,10.176,9175,0
20050629,10.182,10.21,10.176,10.176,8583,0
20050630,10.176,10.21,10.176,10.204,3699,0
20050701,10.218,10.281,10.204,10.281,14503,0
20050705,10.24,10.266,10.182,10.253,12580,0
20050706,10.262,10.266,10.21,10.266,10215,0
20050707,10.266,10.292,10.266,10.292,8142,0
20050708,10.297,10.323,10.275,10.323,17019,0
20050711,10.315,10.323,10.315,10.315,2664,0
20050712,10.323,10.355,10.323,10.336,11693,0
20050713,10.323,10.393,10.323,10.348,17757,0
20050714,10.355,10.355,10.336,10.343,8728,0
20050715,10.336,10.436,10.329,10.378,9617,0
20050718,10.343,10.43,10.343,10.4,13466,0
20050719,10.4,10.422,10.329,10.329,7850,0
20050720,10.329,10.408,10.323,10.362,14355,0
20050721,10.329,10.386,10.329,10.378,3699,0
20050722,10.393,10.436,10.336,10.343,9028,0
20050725,10.386,10.408,10.37,10.4,4444,0
20050726,10.414,10.43,10.329,10.4,6658,0
20050727,10.4,10.43,10.393,10.4,10655,0
20050728,10.422,10.481,10.414,10.448,25748,0
20050729,10.475,10.489,10.442,10.489,8142,0
20050801,10.502,10.544,10.43,10.43,7850,0
20050802,10.43,10.507,10.393,10.462,14799,0
20050803,10.462,10.544,10.462,10.495,51940,0
20050804,10.495,10.567,10.442,10.537,39365,0
20050805,10.475,10.475,10.393,10.408,27376,0
20050808,10.386,10.422,10.297,10.378,68223,0
20050809,10.386,10.386,10.253,10.355,51052,0
20050810,10.329,10.393,10.281,10.305,22495,0
20050811,10.287,10.287,10.225,10.225,14503,0
20050812,10.225,10.253,10.055,10.188,57419,0
20050815,10.188,10.281,10.188,10.253,51052,0
20050816,10.24,10.287,10.24,10.24,11394,0
20050817,10.275,10.292,10.233,10.275,30786,0
20050818,10.245,10.292,10.245,10.287,16872,0
20050819,10.275,10.281,10.195,10.195,19094,0
20050822,10.188,10.188,10.161,10.169,52240,0
20050823,10.176,10.204,10.169,10.182,22343,0
20050824,10.182,10.188,10.161,10.169,33891,0
20050825,10.161,10.188,10.149,10.149,22199,0
20050826,10.075,10.182,10.075,10.169,66747,0
20050829,10.176,10.182,10.122,10.161,56090,0
20050830,10.135,10.195,10.135,10.195,58901,0
20050831,10.195,10.245,10.153,10.245,41879,0
20050901,10.218,10.292,10.218,10.262,27823,0
20050902,10.253,10.315,10.218,10.305,35224,0
20050906,10.315,10.43,10.315,10.422,55648,0
20050907,10.43,10.524,10.414,10.524,44543,0
20050908,10.489,10.531,10.456,10.524,48836,0
20050909,10.524,10.544,10.475,10.524,30193,0
20050912,10.475,10.537,10.475,10.531,19977,0
20050913,10.52,10.537,10.43,10.462,67038,0
20050914,10.462,10.507,10.43,10.448,38475,0
20050915,10.43,10.489,10.329,10.386,34335,0
20050916,10.386,10.468,10.362,10.393,35366,0
20050919,10.414,10.448,10.348,10.422,32849,0
20050920,10.386,10.448,10.343,10.348,59493,0
20050921,10.343,10.43,10.343,10.362,29005,0
20050922,10.408,10.422,9.987,10.114,178476,0
20050923,10.114,10.182,10.09,10.182,118689,0
20050926,10.082,10.122,10.013,10.122,104780,0
20050927,10.127,10.127,9.919,10.055,133486,0
20050928,10.055,10.09,10.042,10.049,37442,0
20050929,10.049,10.09,10.035,10.035,32849,0
20050930,10.082,10.082,9.994,10.027,41585,0
20051003,10.055,10.082,10.021,10.055,95746,0
20051004,10.062,10.122,10.062,10.09,75179,0
20051005,10.069,10.102,10.027,10.069,49428,0
20051006,10.082,10.095,10.002,10.095,35516,0
20051007,10.035,10.09,9.994,10.082,27228,0
20051010,10.09,10.102,10.008,10.09,36260,0
20051011,10.055,10.095,9.968,10.055,57419,0
20051012,9.974,10.021,9.962,9.974,40553,0
20051013,9.941,10.008,9.859,9.884,51350,0
20051014,9.941,9.974,9.859,9.879,17168,0
20051017,9.844,9.884,9.811,9.884,21458,0
20051018,9.933,9.941,9.866,9.871,58157,0
20051019,9.852,9.884,9.794,9.831,73548,0
20051020,9.817,9.825,9.787,9.8,34926,0
20051021,9.825,9.852,9.817,9.852,17168,0
20051024,9.844,9.866,9.825,9.844,25602,0
20051025,9.844,9.852,9.817,9.825,21013,0
20051026,9.825,9.852,9.752,9.794,42177,0
20051027,9.78,9.844,9.78,9.831,16432,0
20051028,9.837,9.979,9.825,9.974,37442,0
20051031,10.002,10.002,9.852,9.859,71189,0
20051101,9.837,9.933,9.837,9.926,29592,0
20051102,9.899,9.933,9.892,9.912,21903,0
