Date,Open,High,Low,Close,Volume,OpenInt
20170622,25.2,25.29,25.19,25.27,387974,0
20170623,25.34,25.38,25.26,25.355,310002,0
20170626,25.4,25.47,25.35,25.47,169000,0
20170627,25.44,25.44,25.33,25.4,408349,0
20170628,25.4,25.45,25.36,25.4,204131,0
20170629,25.36,25.37,25.12,25.21,614495,0
20170630,25.23,25.4,25.18,25.34,278851,0
20170703,25.35,25.45,25.35,25.35,37783,0
20170705,25.38,25.48,25.32,25.48,63814,0
20170706,25.37,25.42,25.34,25.34,161857,0
20170707,25.34,25.42,25.31,25.32,128666,0
20170710,25.38,25.44,25.34,25.39,166399,0
20170711,25.39,25.39,25.28,25.32,168618,0
20170712,25.38,25.43,25.33,25.38,141274,0
20170713,25.4,25.4,25.2,25.26,421525,0
20170714,25.28,25.35,25.27,25.35,233281,0
20170717,25.37,25.39,25.31,25.33,275863,0
20170718,25.36,25.38,25.32,25.33,204466,0
20170719,25.38,25.47,25.33,25.43,169636,0
20170720,25.44,25.49,25.4,25.41,164845,0
20170721,25.46,25.5,25.41,25.5,1368277,0
20170724,25.51,25.54,25.4,25.41,106510,0
20170725,25.45,25.45,25.24,25.24,116170,0
20170726,25.37,25.37,25.2201,25.31,297605,0
20170727,25.32,25.32,25.2,25.26,203111,0
20170728,25.26,25.32,25.26,25.31,157763,0
20170731,25.31,25.34,25.25,25.25,228651,0
20170801,25.28,25.369,25.25,25.35,517020,0
