Date,Open,High,Low,Close,Volume,OpenInt
20050225,20.82,21.226,20.82,21.226,262759,0
20050228,21.407,21.407,20.93,21.101,190436,0
20050301,21.248,21.29,21.093,21.172,313414,0
20050302,21.365,21.365,21.016,21.234,170685,0
20050303,21.156,21.328,21.007,21.211,148884,0
20050304,21.29,21.548,21.202,21.444,146962,0
20050307,21.568,21.717,21.429,21.617,143370,0
20050308,21.459,21.592,21.29,21.438,242115,0
20050309,21.365,21.429,21.164,21.281,268659,0
20050310,21.32,21.335,21.016,21.273,217237,0
20050311,21.328,21.365,21.139,21.234,159272,0
20050314,21.241,21.656,21.241,21.617,355093,0
20050315,21.772,21.772,21.303,21.312,252372,0
20050316,21.219,21.468,21.117,21.125,240703,0
20050317,21.046,21.139,20.892,21.11,223266,0
20050318,21.117,21.117,20.727,20.959,359709,0
20050321,20.959,20.959,20.587,20.93,197230,0
20050322,20.842,21.031,20.447,20.47,182613,0
20050323,20.47,20.478,20.244,20.313,269815,0
20050324,20.509,20.859,20.354,20.361,167351,0
20050328,20.354,20.462,20.189,20.282,216082,0
20050329,20.289,20.604,20.134,20.134,186202,0
20050330,20.236,20.523,20.159,20.439,110669,0
20050331,20.447,20.773,20.447,20.773,244425,0
20050401,20.85,20.976,20.633,20.697,194922,0
20050404,20.797,21.046,20.596,21.031,184150,0
20050405,20.509,21.139,20.509,21.016,275202,0
20050406,21.134,21.194,20.993,21.031,260711,0
20050407,21.117,21.32,21.064,21.202,246347,0
20050408,21.303,21.328,21.031,21.069,192871,0
20050411,21.187,21.29,21.055,21.076,203644,0
20050412,21.101,21.407,20.9,21.344,174149,0
20050413,21.35,21.35,21.069,21.139,144267,0
20050414,21.219,21.241,20.814,20.842,166712,0
20050415,20.85,21.11,20.587,20.587,246603,0
20050418,20.587,20.945,20.47,20.727,230703,0
20050419,20.805,20.9,20.633,20.875,182741,0
20050420,20.875,20.968,20.555,20.555,194026,0
20050421,20.742,20.797,20.509,20.664,353300,0
20050422,20.664,20.968,20.572,20.968,444091,0
20050425,21.031,21.211,20.945,21.187,228267,0
20050426,20.952,21.18,20.688,20.797,214930,0
20050427,20.875,20.945,20.398,20.759,431651,0
20050428,20.767,20.782,20.454,20.75,382279,0
20050429,20.859,21.069,20.664,21.064,262248,0
20050502,21.093,21.226,20.968,21.172,185048,0
20050503,21.093,21.373,20.875,20.923,199411,0
20050504,20.923,21.037,20.773,20.915,183892,0
20050505,20.9,21.046,20.767,20.884,186586,0
20050506,20.993,21.031,20.82,20.906,156194,0
20050509,20.976,21.037,20.82,21.025,165685,0
20050510,20.9,21.076,20.82,20.859,233394,0
20050511,20.82,20.836,20.478,20.688,211724,0
20050512,20.697,20.789,20.502,20.61,210569,0
20050513,20.618,20.664,20.282,20.564,312775,0
20050516,20.564,21.093,20.515,21.085,405491,0
20050517,21.016,21.241,20.859,21.202,288280,0
20050518,21.29,21.407,21.194,21.312,136705,0
20050519,21.303,21.35,21.007,21.164,146448,0
20050520,21.18,21.18,20.937,21.172,197744,0
20050523,21.172,21.29,21.055,21.187,166583,0
20050524,21.202,21.202,20.976,21.055,187870,0
20050525,20.984,21.18,20.915,20.945,173508,0
20050526,21.055,21.194,21.055,21.093,160939,0
20050527,21.101,21.312,21.046,21.211,159017,0
20050531,21.303,21.407,21.055,21.281,264557,0
20050601,21.365,21.818,21.35,21.717,330728,0
20050602,21.765,21.826,21.553,21.639,217237,0
20050603,21.725,21.835,21.484,21.632,160811,0
20050606,21.656,21.678,21.451,21.56,206593,0
20050607,21.617,21.826,21.53,21.608,194411,0
20050608,21.648,21.757,21.548,21.592,170301,0
20050609,21.568,21.648,21.328,21.648,199666,0
20050610,21.742,21.742,21.601,21.692,113749,0
20050613,21.71,22.077,21.662,22.07,184150,0
20050614,22.07,22.07,21.843,21.929,139010,0
20050615,21.987,22.056,21.787,21.944,229805,0
20050616,22.012,22.194,22.005,22.194,197744,0
20050617,22.264,22.325,22.18,22.256,337013,0
20050620,22.121,22.296,22.082,22.222,107592,0
20050621,22.222,22.256,22.062,22.147,162992,0
20050622,22.213,22.325,22.021,22.156,146703,0
20050623,22.147,22.213,22.03,22.147,139395,0
20050624,22.062,22.156,21.944,21.953,227881,0
20050627,21.96,22.186,21.92,22.156,110669,0
20050628,22.213,22.419,22.205,22.404,181074,0
20050629,22.481,22.56,22.413,22.552,149143,0
20050630,22.552,22.598,22.404,22.404,226340,0
20050701,22.474,22.74,22.474,22.731,249297,0
20050705,22.731,22.77,22.614,22.731,191972,0
20050706,22.707,22.707,22.264,22.281,240320,0
20050707,22.222,22.614,22.077,22.582,201206,0
20050708,22.605,22.74,22.496,22.699,226726,0
20050711,22.723,22.865,22.662,22.85,223773,0
20050712,22.8,22.974,22.8,22.865,148244,0
20050713,22.865,22.974,22.707,22.784,131445,0
20050714,22.886,22.966,22.459,22.614,184663,0
20050715,22.545,22.69,22.521,22.623,195947,0
20050718,22.591,22.715,22.442,22.614,149524,0
20050719,22.662,22.723,22.442,22.614,340859,0
20050720,22.545,22.723,22.466,22.536,409980,0
20050721,22.574,22.574,22.104,22.248,518857,0
20050722,22.281,22.529,22.222,22.529,198512,0
20050725,22.45,22.662,22.38,22.504,243139,0
20050726,22.683,22.683,22.427,22.504,369070,0
20050727,22.419,22.529,22.147,22.296,341115,0
