Date,Open,High,Low,Close,Volume,OpenInt
20161222,24.602,24.641,24.602,24.622,711,0
20161223,24.56,24.591,24.543,24.591,437529,0
20161227,24.672,24.672,24.582,24.651,137623,0
20161228,24.654,24.654,24.369,24.379,362482,0
20161229,24.477,24.477,24.418,24.437,6160,0
20161230,24.516,24.516,24.241,24.28,7039,0
20170103,25.008,25.008,24.465,24.546,6754,0
20170104,24.752,24.842,24.704,24.802,13879,0
20170105,24.566,24.566,24.113,24.241,22094,0
20170106,24.133,24.191,24.133,24.161,11329,0
20170109,24.006,24.006,23.886,23.886,7716,0
20170110,24.043,24.113,23.964,23.964,2459,0
20170111,23.984,24.022,23.96,24.004,3482,0
20170112,23.962,23.977,23.886,23.975,6402,0
20170113,24.06,24.06,23.915,23.95,10018,0
20170117,24.033,24.033,23.886,23.935,1989,0
20170118,23.896,23.896,23.807,23.894,7158,0
20170119,23.896,23.896,23.699,23.725,3518,0
20170120,23.896,23.915,23.777,23.827,3667,0
20170123,23.718,23.736,23.689,23.689,2140,0
20170124,23.945,24.018,23.945,23.985,16806,0
20170125,24.171,24.171,24.142,24.142,2373,0
20170126,24.083,24.098,23.975,23.975,3518,0
20170127,24.023,24.023,23.847,23.876,4896,0
20170130,23.711,23.728,23.65,23.728,2899,0
20170131,23.659,23.837,23.659,23.827,12846,0
20170201,23.689,23.709,23.63,23.672,3963,0
20170202,23.512,23.679,23.512,23.679,4878,0
20170203,23.787,23.91,23.768,23.876,6911,0
20170206,23.837,23.837,23.758,23.807,5073,0
20170207,23.768,23.777,23.659,23.7,6071,0
20170208,23.669,23.847,23.669,23.827,15140,0
20170209,23.975,24.004,23.947,23.975,8733,0
20170210,24.043,24.083,23.975,24.083,5804,0
20170213,24.088,24.141,24.079,24.114,13425,0
20170214,24.123,24.171,24.093,24.161,8056,0
20170215,24.138,24.201,24.123,24.171,11265,0
20170216,24.166,24.171,24.093,24.133,4422,0
20170217,24.093,24.141,24.083,24.141,5039,0
20170221,24.398,24.465,24.398,24.431,9704,0
20170222,24.566,24.566,24.38,24.437,5273,0
20170223,24.541,24.599,24.512,24.512,13845,0
20170224,24.592,24.624,24.556,24.624,19123,0
20170227,24.624,24.644,24.546,24.634,7509,0
20170228,24.519,24.519,24.427,24.427,1277,0
20170301,24.624,24.674,24.585,24.615,17370,0
