Date,Open,High,Low,Close,Volume,OpenInt
20050301,24.124,24.124,24.098,24.124,1158,0
20050302,23.845,23.845,23.845,23.845,87,0
20050304,24.849,24.849,24.764,24.849,2573,0
20050307,25.029,25.029,25.029,25.029,333,0
20050308,25.367,25.367,25.367,25.367,161,0
20050310,24.931,24.931,24.931,24.931,161,0
20050311,25.055,25.055,25.055,25.055,9920,0
20050316,25.189,25.355,25.189,25.189,12381,0
20050317,25.332,25.332,25.27,25.332,6284,0
20050318,25.355,25.355,25.355,25.355,1712,0
20050321,25.431,25.431,25.431,25.431,2219,0
20050328,23.881,23.881,23.881,23.881,341,0
20050329,23.093,23.155,23.059,23.093,1658,0
20050401,23.906,23.906,23.531,23.906,1095,0
20050407,24.571,24.571,24.571,24.571,293,0
20050411,24.265,24.461,24.265,24.265,2559,0
20050412,24.025,24.025,24.025,24.025,122,0
20050413,24.265,24.265,24.265,24.265,194,0
20050414,24.171,24.171,24.171,24.171,161,0
20050419,24.411,24.411,24.159,24.411,3452,0
20050420,24.278,24.278,24.278,24.278,569,0
20050427,24.801,24.801,24.801,24.801,1794,0
20050428,24.969,24.969,24.931,24.969,330,0
20050429,24.525,24.525,24.525,24.525,1863,0
20050502,24.548,24.548,24.548,24.548,378,0
20050509,26.286,26.286,26.286,26.286,414,0
20050510,26.275,26.275,25.66,26.275,10250,0
20050511,25.477,25.913,25.477,25.477,909,0
20050516,24.183,24.183,24.183,24.183,161,0
20050517,24.253,24.253,24.253,24.253,414,0
20050524,24.305,24.305,24.305,24.305,498,0
20050525,23.941,23.941,23.941,23.941,330,0
20050526,23.746,23.746,23.746,23.746,4133,0
20050527,23.977,23.977,23.977,23.977,414,0
20050601,24.461,24.461,24.461,24.461,414,0
20050602,24.075,24.075,24.075,24.075,581,0
20050606,24.159,24.159,24.135,24.159,452,0
20050622,24.862,24.862,24.862,24.862,207,0
20050624,24.801,24.801,24.801,24.801,998,0
20050627,25.27,25.27,25.27,25.27,87,0
20050705,25.597,25.597,25.597,25.597,827,0
20050711,26.423,26.423,26.423,26.423,248,0
20050715,26.807,26.807,26.807,26.807,414,0
20050718,27.012,27.012,27.012,27.012,7854,0
20050720,27.524,27.594,27.524,27.524,1074,0
20050804,28.138,28.138,27.485,28.138,330,0
20050808,28.439,28.781,28.439,28.439,3341,0
20050809,27.789,28.913,27.789,27.789,45711,0
20050812,28.273,28.273,28.273,28.273,3968,0
20050819,27.244,27.51,27.183,27.244,2171,0
20050822,26.807,26.807,26.807,26.807,827,0
20050823,26.322,27.037,26.322,26.322,1242,0
20050825,28.539,28.539,28.539,28.539,1158,0
20050830,29.037,29.037,29.037,29.037,123,0
20050831,28.948,28.948,28.948,28.948,330,0
20050902,28.682,28.682,28.682,28.682,87,0
20050907,29.555,29.555,29.555,29.555,5456,0
20050908,29.505,29.871,29.505,29.505,3698,0
20050912,29.555,29.555,29.555,29.555,87,0
20050913,29.651,29.651,29.327,29.651,5954,0
20050914,29.517,29.881,29.517,29.517,3471,0
20050916,29.604,29.688,29.604,29.604,3141,0
20050919,30.911,31.105,30.644,30.911,4353,0
20050920,31.029,31.029,31.029,31.029,827,0
20050921,30.972,30.972,30.972,30.972,248,0
20050922,28.901,28.901,28.901,28.901,414,0
20050923,28.913,28.913,28.854,28.913,1986,0
20050927,29.267,29.267,29.267,29.267,4133,0
20051004,28.464,28.464,28.464,28.464,87,0
20051006,26.807,26.807,26.757,26.807,2604,0
20051013,26.614,26.614,26.614,26.614,414,0
20051018,26.181,26.181,26.059,26.181,1242,0
20051019,24.498,25.669,24.498,24.498,3638,0
20051020,22.96,24.702,22.96,22.96,5583,0
20051021,23.965,23.965,22.658,23.965,2537,0
20051024,23.917,23.917,23.917,23.917,827,0
20051025,24.498,24.537,24.498,24.498,4958,0
20051028,24.764,24.764,24.764,24.764,414,0
20051031,24.45,24.45,24.45,24.45,3101,0
20051101,24.23,24.253,24.098,24.23,3489,0
20051107,24.789,24.789,24.789,24.789,414,0
20051108,24.957,24.957,24.571,24.957,2882,0
20051109,25.937,25.937,25.937,25.937,248,0
20051114,26.93,26.93,26.93,26.93,827,0
20051116,27.207,27.207,26.963,27.207,498,0
20051121,27.257,27.767,27.257,27.257,1734,0
20051125,29.29,29.29,29.29,29.29,171,0
20051128,30.048,30.048,29.735,30.048,690,0
20051130,29.35,29.35,29.314,29.35,7800,0
20051202,29.469,29.469,29.469,29.469,908,0
20051207,29.35,29.35,29.35,29.35,827,0
20051212,29.457,29.457,29.457,29.457,87,0
20051220,27.983,27.983,27.983,27.983,4133,0
20051229,27.983,27.983,27.983,27.983,581,0
20051230,27.896,27.896,27.896,27.896,248,0
20060103,28.285,28.285,28.041,28.285,1488,0
20060105,27.922,27.922,27.922,27.922,195,0
20060110,28.539,28.539,28.539,28.539,537,0
20060112,29.105,29.105,29.105,29.105,414,0
20060120,29.35,29.35,29.35,29.35,248,0
20060123,29.327,29.327,29.327,29.327,285,0
20060125,29.177,29.177,29.177,29.177,270,0
20060126,29.362,29.362,29.35,29.362,744,0
20060131,29.407,29.445,29.397,29.407,1406,0
20060201,29.07,29.129,28.999,29.07,1655,0
20060210,29.371,29.371,29.371,29.371,32958,0
20060213,29.165,29.165,29.141,29.165,161,0
20060215,28.769,28.806,28.512,28.769,39353,0
20060216,28.611,28.611,28.611,28.611,270,0
20060221,29.662,29.662,29.662,29.662,248,0
20060227,30.449,30.449,30.449,30.449,330,0
20060301,29.834,29.834,29.834,29.834,248,0
20060302,30.074,30.074,30.074,30.074,1242,0
20060303,29.847,29.847,29.847,29.847,1533,0
20060308,29.081,29.081,29.081,29.081,414,0
20060313,28.464,28.563,28.464,28.464,1074,0
20060315,28.831,28.831,28.831,28.831,248,0
20060320,28.322,28.322,28.322,28.322,330,0
20060321,28.439,28.489,28.439,28.439,908,0
20060322,28.625,28.625,28.501,28.625,581,0
20060323,28.707,28.707,28.707,28.707,87,0
20060324,28.464,28.464,28.464,28.464,248,0
20060327,28.636,28.636,28.539,28.636,1406,0
20060330,29.567,29.567,29.567,29.567,3720,0
20060403,29.241,29.241,29.241,29.241,119,0
20060407,29.905,29.905,29.905,29.905,87,0
20060411,29.592,29.604,29.592,29.592,744,0
20060413,29.037,29.037,29.037,29.037,660,0
20060418,29.105,29.105,29.105,29.105,161,0
20060424,29.165,29.177,29.165,29.165,330,0
20060502,28.973,28.973,28.973,28.973,87,0
20060503,29.105,29.105,29.105,29.105,161,0
20060505,29.28,29.327,29.28,29.28,330,0
20060508,28.999,28.999,28.999,28.999,330,0
20060511,28.285,28.297,28.273,28.285,1734,0
20060512,27.922,27.922,27.922,27.922,248,0
20060519,27.51,27.51,27.51,27.51,161,0
20060523,28.103,28.103,28.103,28.103,330,0
20060601,28.451,28.589,28.451,28.451,2478,0
20060608,28.213,28.213,28.213,28.213,498,0
20060613,26.855,27.364,26.855,26.855,459,0
20060614,27.291,27.291,27.291,27.291,414,0
20060622,27.778,27.778,27.778,27.778,1074,0
20060629,29.457,29.457,29.457,29.457,4133,0
20060630,30.168,30.168,30.168,30.168,161,0
20060705,29.662,29.662,29.662,29.662,2478,0
20060707,29.327,29.327,29.327,29.327,158,0
20060710,28.793,28.793,28.793,28.793,248,0
20060712,28.417,28.417,28.417,28.417,330,0
20060717,27.922,27.922,27.922,27.922,161,0
20060804,29.419,29.419,29.419,29.419,248,0
20060815,29.327,29.327,29.327,29.327,1208,0
20060822,29.604,29.604,29.604,29.604,87,0
20060825,30.412,30.412,30.257,30.412,1370,0
20060830,30.195,30.195,30.195,30.195,87,0
20060912,30.644,30.644,30.644,30.644,248,0
20060915,30.46,30.46,30.46,30.46,908,0
20060922,30.435,30.473,30.435,30.435,744,0
20060928,30.763,30.763,30.763,30.763,248,0
20060929,30.644,30.644,30.644,30.644,3303,0
20061002,30.498,30.498,30.498,30.498,87,0
20061010,30.595,30.595,30.331,30.595,330,0
20061011,30.46,30.46,30.435,30.46,1655,0
20061012,30.656,30.667,30.51,30.656,6743,0
20061013,30.366,30.366,30.366,30.366,161,0
20061030,31.127,31.138,31.127,31.127,330,0
20061101,25.502,25.768,23.423,25.502,2808,0
20061102,22.951,24.087,22.573,22.951,2885,0
20061103,25.199,2.6239,25.199,25.199,3885,0
20061106,25.718,26.083,25.526,25.718,3303,0
20061107,27.343,27.354,27.329,27.343,566,0
20061108,27.113,27.343,27.113,27.113,744,0
20061110,25.851,26.011,25.851,25.851,2478,0
20061114,24.778,24.778,24.764,24.778,1655,0
20061115,25.985,26.011,25.925,25.985,9129,0
20061117,26.371,26.371,26.371,26.371,1242,0
20061124,27.025,27.025,27.025,27.025,87,0
20061129,26.528,26.567,26.528,26.528,1242,0
20061130,26.515,26.515,26.227,26.515,990,0
20061201,26.515,26.515,26.359,26.515,744,0
20061204,26.578,26.578,26.578,26.578,248,0
20061205,27.305,27.305,27.305,27.305,414,0
20061207,27.389,27.389,27.389,27.389,827,0
20061208,27.51,27.51,27.413,27.51,1655,0
20061211,27.716,27.716,27.716,27.716,2478,0
20061212,28.174,28.174,28.174,28.174,2478,0
20061213,27.742,27.742,27.742,27.742,2478,0
20061214,27.789,27.789,27.789,27.789,2478,0
20061215,27.343,27.343,27.343,27.343,1655,0
20061218,27.922,27.922,27.922,27.922,8265,0
20061220,28.357,28.357,28.357,28.357,8265,0
20061222,28.357,28.357,28.357,28.357,168,0
20061228,27.631,27.643,27.547,27.631,498,0
20070104,25.139,25.139,25.139,25.139,1655,0
20070105,24.931,24.969,24.931,24.931,1613,0
20070108,24.944,24.957,24.944,24.944,2894,0
20070111,26.193,26.193,26.193,26.193,1242,0
20070220,25.973,26.145,25.973,25.973,2306,0
20070223,26.411,26.411,26.411,26.411,330,0
20070227,25.791,25.791,25.526,25.791,414,0
20070301,25.406,25.406,25.406,25.406,581,0
20070305,25.243,25.243,25.243,25.243,330,0
20070309,26.204,26.204,26.204,26.204,25652,0
20070312,26.286,26.286,26.286,26.286,372,0
20070315,26.046,26.046,26.033,26.046,498,0
20070316,26.275,26.275,26.157,26.275,1734,0
20070319,25.851,25.851,25.841,25.851,581,0
20070327,26.217,26.217,26.217,26.217,87,0
20070328,26.023,26.023,26.023,26.023,827,0
20070330,26.046,26.046,26.023,26.046,827,0
20070402,25.635,25.635,25.406,25.635,1242,0
20070403,25.877,25.877,25.877,25.877,87,0
20070405,26.157,26.157,26.157,26.157,827,0
20070411,26.309,26.322,26.309,26.309,827,0
20070412,26.614,26.614,26.614,26.614,2478,0
20070413,26.701,26.701,26.701,26.701,1655,0
20070420,28.394,28.394,28.394,28.394,87,0
20070423,28.213,28.357,28.213,28.213,1323,0
20070424,28.563,28.563,28.563,28.563,660,0
20070430,27.983,27.983,27.983,27.983,827,0
20070510,29.129,29.129,29.129,29.129,161,0
20070511,29.419,29.419,29.327,29.419,827,0
20070516,30.571,30.571,30.498,30.571,3303,0
20070517,30.993,31.003,30.595,30.993,4380,0
20070518,31.235,31.235,31.235,31.235,2813,0
20070522,31.613,31.613,31.416,31.613,1323,0
20070529,31.359,31.527,31.359,31.359,3059,0
20070531,31.755,31.769,31.755,31.755,660,0
20070604,32.093,32.093,31.999,32.093,7770,0
20070605,31.938,31.949,31.938,31.938,4301,0
20070606,31.913,31.974,31.864,31.913,2399,0
20070607,31.591,31.591,31.591,31.591,498,0
20070608,31.017,31.017,31.003,31.017,660,0
20070611,31.017,31.041,31.003,31.017,2645,0
20070612,30.825,30.993,30.825,30.825,1242,0
20070618,30.667,30.703,30.667,30.667,3303,0
20070625,30.875,30.875,30.875,30.875,248,0
20070626,30.775,30.775,30.775,30.775,2478,0
20070628,30.595,30.703,30.595,30.595,1815,0
20070709,31.591,31.591,31.591,31.591,827,0
20070710,31.718,31.718,31.681,31.718,1323,0
20070712,31.9,31.962,31.875,31.9,5540,0
20070713,31.9,31.9,31.829,31.9,5291,0
20070716,31.974,32.083,31.875,31.974,4208,0
20070717,32.073,32.073,31.987,32.073,330,0
20070720,32.166,32.166,32.166,32.166,161,0
20070723,32.107,32.153,32.093,32.107,1323,0
20070725,31.259,31.259,31.259,31.259,414,0
20070731,30.559,30.559,30.343,30.559,1815,0
20070802,30.775,30.787,30.547,30.775,3222,0
20070807,31.565,31.565,31.565,31.565,87,0
20070814,30.798,30.798,30.798,30.798,87,0
20070817,29.432,29.432,29.432,29.432,2478,0
20070831,29.581,29.581,29.581,29.581,161,0
20070910,31.187,31.187,31.187,31.187,87,0
20070911,31.416,31.416,31.162,31.416,3141,0
20070912,31.416,31.416,31.416,31.416,1815,0
20070917,31.116,31.116,31.116,31.116,498,0
20070921,31.451,31.451,31.439,31.451,2478,0
20070926,31.464,31.464,31.416,31.464,8265,0
20070927,32.117,32.117,31.503,32.117,6486,0
20070928,32.447,32.447,32.447,32.447,8265,0
20071002,30.714,30.875,30.679,30.714,4133,0
20071004,31.476,31.476,31.003,31.476,3303,0
20071009,31.842,31.949,31.842,31.842,5174,0
20071010,31.613,31.781,31.613,31.613,8696,0
20071017,31.987,31.987,31.949,31.987,660,0
20071023,32.059,32.059,32.059,32.059,414,0
20071029,33.16,33.183,33.16,33.16,330,0
20071105,33.883,33.883,33.883,33.883,87,0
20071106,34.153,34.153,34.153,34.153,498,0
20071107,34.357,34.357,34.357,34.357,498,0
20071113,32.965,32.965,32.965,32.965,161,0
20071114,33.413,33.413,33.33,33.413,1734,0
20071121,31.405,31.416,31.405,31.405,1734,0
20071126,31.091,31.21,31.091,31.091,1406,0
20071129,30.207,30.207,30.207,30.207,1815,0
20071130,30.306,30.306,30.306,30.306,330,0
20071206,28.743,28.781,28.743,28.743,2645,0
20071207,29.059,29.141,29.059,29.059,2234,0
20071212,29.215,29.215,29.215,29.215,827,0
20071224,29.639,29.639,29.639,29.639,87,0
20071231,30.559,30.737,30.559,30.559,2067,0
20080103,30.074,30.268,30.062,30.074,990,0
20080104,29.362,29.362,29.19,29.362,1655,0
20080108,28.475,28.475,28.475,28.475,87,0
20080110,27.755,27.755,27.755,27.755,161,0
20080114,27.703,27.703,27.703,27.703,161,0
20080116,27.667,27.716,27.667,27.667,161,0
20080117,27.354,27.354,27.354,27.354,87,0
20080122,27.146,27.146,26.783,27.146,4217,0
20080123,26.93,26.93,26.93,26.93,161,0
20080128,28.285,28.285,28.273,28.285,414,0
20080129,28.297,28.322,28.297,28.297,414,0
20080131,27.908,27.908,27.908,27.908,248,0
