Date,Open,High,Low,Close,Volume,OpenInt
20100823,24.142,24.209,24.081,24.081,190437,0
20100824,24.116,24.175,24.047,24.149,137529,0
20100825,24.149,24.312,24.098,24.287,156536,0
20100826,24.287,24.38,24.081,24.149,318588,0
20100827,23.661,23.953,23.661,23.859,181739,0
20100830,23.781,23.962,23.721,23.748,232559,0
20100831,23.807,23.815,23.696,23.815,294424,0
20100901,23.859,24.037,23.815,23.859,122015,0
20100902,23.883,23.919,23.85,23.859,121267,0
20100903,23.85,23.883,23.764,23.799,239937,0
20100907,23.799,23.883,23.73,23.799,208338,0
20100908,23.799,23.996,23.781,23.996,134937,0
20100909,24.013,24.089,23.893,23.893,207856,0
20100910,23.977,24.133,23.977,24.133,160305,0
20100913,23.953,24.184,23.935,23.996,245573,0
20100914,24.021,24.037,23.883,23.883,291984,0
20100915,24.133,24.133,23.91,23.953,173735,0
20100916,23.986,23.996,23.738,23.764,1036667,0
20100917,23.815,23.91,23.438,23.85,1024024,0
20100920,23.824,23.832,23.627,23.781,186521,0
20100921,23.721,23.986,23.721,23.832,142719,0
20100922,23.875,23.91,23.627,23.644,370642,0
20100923,23.678,23.755,23.524,23.541,125272,0
20100924,23.61,23.712,23.499,23.507,189988,0
20100927,23.627,23.687,23.532,23.55,82067,0
20100928,23.635,23.635,23.396,23.396,180325,0
20100929,23.473,23.532,23.438,23.532,280147,0
20100930,23.567,23.601,23.42,23.42,249578,0
20101001,23.473,23.584,23.438,23.448,104760,0
20101004,23.507,23.507,23.361,23.361,138412,0
20101005,23.369,23.541,23.361,23.396,159044,0
20101006,23.42,23.448,23.293,23.293,169494,0
20101007,23.327,23.438,23.189,23.267,145686,0
20101008,23.309,23.353,23.224,23.258,443703,0
20101011,23.258,23.413,23.242,23.413,211931,0
20101012,23.429,23.448,23.224,23.267,1437068,0
20101013,23.327,23.353,23.242,23.335,175472,0
20101014,23.318,23.369,23.164,23.224,111945,0
20101015,23.242,23.242,22.642,23.035,850798,0
20101018,22.898,23.027,22.624,22.942,263345,0
20101019,22.933,23.002,22.659,22.778,202626,0
20101020,22.624,23.035,22.607,22.907,189718,0
20101021,22.984,23.233,22.958,22.967,217106,0
20101022,23.086,23.173,22.967,23.078,148667,0
20101025,23.129,23.173,22.984,22.984,229563,0
20101026,23.027,23.138,22.967,23.053,143641,0
20101027,23.078,23.121,22.967,22.975,159690,0
20101028,23.045,23.293,22.993,23.121,173421,0
20101029,23.129,23.258,23.113,23.147,113890,0
20101101,23.147,23.284,23.129,23.207,78563,0
20101102,23.224,23.309,23.147,23.147,203073,0
20101103,23.198,23.302,23.173,23.267,137848,0
20101104,23.293,23.567,23.293,23.516,121702,0
20101105,23.48,23.601,23.369,23.378,161696,0
20101108,23.438,23.438,23.258,23.258,218151,0
20101109,23.309,23.42,23.267,23.267,352092,0
20101110,23.327,23.369,23.096,23.121,187144,0
20101111,23.121,23.121,22.916,22.967,193270,0
20101112,22.958,23.078,22.958,23.07,135545,0
20101115,23.096,23.096,22.967,22.993,226946,0
20101116,22.95,22.958,22.71,22.735,871823,0
20101117,22.77,22.916,22.582,22.762,2482974,0
20101118,22.838,23.01,22.778,22.984,240853,0
20101119,23.002,23.207,22.942,23.129,118377,0
20101122,23.138,23.207,23.027,23.129,171641,0
20101123,23.113,23.345,22.975,23.276,160231,0
20101124,23.276,23.516,23.25,23.456,131747,0
20101126,23.105,23.113,23.002,23.086,87192,0
20101129,22.984,23.086,22.813,22.924,262105,0
20101130,22.847,22.95,22.847,22.907,230600,0
20101201,23.078,23.335,22.856,22.856,171288,0
20101202,22.856,22.924,22.735,22.753,209422,0
20101203,22.538,22.924,22.538,22.881,94536,0
20101206,22.83,22.958,22.762,22.805,159249,0
20101207,22.942,23.01,22.856,22.993,196131,0
20101208,23.045,23.061,22.924,22.975,144396,0
20101209,22.984,23.138,22.984,23.129,138487,0
20101210,23.121,23.224,23.061,23.147,96931,0
20101213,23.216,23.267,23.096,23.258,82851,0
20101214,23.276,23.284,23.181,23.198,106874,0
20101215,23.258,23.456,23.164,23.353,188578,0
20101216,23.404,23.438,23.164,23.284,128390,0
20101217,23.233,23.302,23.113,23.181,134770,0
20101220,23.181,23.267,23.105,23.224,215660,0
20101221,23.224,23.25,23.105,23.113,198046,0
20101222,23.113,23.242,23.07,23.147,92184,0
20101223,23.173,23.309,23.061,23.164,197904,0
20101227,23.242,23.267,23.173,23.207,82140,0
20101228,23.198,23.335,23.173,23.302,121278,0
20101229,23.309,23.335,23.224,23.302,105128,0
20101230,23.258,23.335,23.121,23.138,162258,0
20101231,23.181,23.309,23.164,23.302,44932,0
20110103,23.302,23.327,23.138,23.156,194844,0
20110104,23.216,23.267,23.138,23.216,176075,0
20110105,23.189,23.25,23.121,23.138,245628,0
20110106,23.189,23.198,23.07,23.07,178406,0
20110107,23.078,23.181,23.035,23.138,110743,0
20110110,23.096,23.207,23.053,23.173,75688,0
20110111,23.207,23.267,23.164,23.224,84645,0
20110112,23.224,23.327,23.198,23.207,201830,0
20110113,23.258,23.345,23.207,23.302,144159,0
20110114,23.293,23.42,23.224,23.309,119747,0
20110118,23.369,23.42,23.224,23.233,149267,0
20110119,23.284,23.353,23.198,23.309,83307,0
20110120,23.335,23.413,23.318,23.345,128052,0
20110121,23.404,23.516,23.138,23.387,152038,0
20110124,23.309,23.559,23.284,23.448,137301,0
20110125,23.448,23.61,23.438,23.601,122481,0
20110126,23.567,23.619,23.516,23.55,118005,0
20110127,23.635,23.755,23.593,23.73,174553,0
20110128,23.678,23.738,23.42,23.42,139582,0
20110131,23.438,23.635,23.396,23.489,208964,0
20110201,23.516,23.704,23.516,23.567,104752,0
20110202,23.627,23.721,23.559,23.635,87850,0
20110203,23.696,23.755,23.635,23.696,86902,0
20110204,23.704,23.926,23.67,23.926,93907,0
20110207,23.91,24.073,23.902,24.073,161357,0
20110208,24.073,24.201,24.073,24.167,94722,0
20110209,24.107,24.158,24.021,24.073,114130,0
20110210,24.03,24.116,23.944,23.977,91240,0
20110211,23.986,24.047,23.781,23.996,96457,0
20110214,24.064,24.089,23.883,23.986,199064,0
20110215,23.944,23.996,23.866,23.883,122404,0
20110216,23.944,24.098,23.935,24.098,100026,0
20110218,24.047,24.184,24.047,24.107,58733,0
20110222,24.116,24.142,24.004,24.004,123858,0
20110223,24.073,24.081,24.021,24.056,107320,0
20110224,23.696,23.799,23.678,23.781,150938,0
20110225,23.755,23.859,23.619,23.635,169226,0
20110228,23.678,23.738,23.635,23.635,62162,0
20110301,23.652,23.755,23.593,23.593,130659,0
20110302,23.652,23.85,23.619,23.824,189254,0
20110303,23.807,24.013,23.79,24.013,170602,0
20110304,23.996,24.209,23.935,24.193,196171,0
20110307,24.133,24.201,24.107,24.124,190206,0
20110308,24.158,24.209,24.116,24.184,165199,0
20110309,24.158,24.193,23.977,23.996,150159,0
20110310,24.03,24.03,23.824,23.824,125040,0
20110311,23.824,24.013,23.799,23.893,69694,0
20110314,23.832,23.926,23.781,23.781,102717,0
20110315,23.764,23.919,23.678,23.824,175395,0
20110316,23.953,23.953,23.781,23.893,104526,0
20110317,23.807,23.944,23.807,23.91,63495,0
20110318,23.919,24.047,23.919,23.919,78796,0
20110321,23.996,24.03,23.859,23.953,93298,0
20110322,23.893,24.013,23.893,23.986,387422,0
20110323,24.013,24.013,23.926,23.97,161236,0
20110324,23.996,23.996,23.91,23.919,133380,0
20110325,23.91,23.953,23.875,23.935,113823,0
20110328,23.953,24.073,23.91,23.996,436892,0
20110329,23.977,24.064,23.977,24.004,136596,0
20110330,24.021,24.081,23.926,24.004,137042,0
20110331,23.996,24.142,23.996,24.064,138037,0
20110401,24.064,24.184,24.047,24.098,89469,0
20110404,24.073,24.209,23.962,24.142,282835,0
20110405,24.158,24.329,24.133,24.269,238991,0
20110406,24.321,24.493,24.261,24.493,287519,0
20110407,24.475,24.475,24.278,24.304,443701,0
20110408,24.329,24.459,24.269,24.399,79091,0
20110411,24.372,24.407,24.287,24.321,89386,0
20110412,24.312,24.364,24.235,24.329,99412,0
20110413,24.278,24.338,24.218,24.296,128817,0
20110414,24.235,24.364,24.235,24.278,119326,0
20110415,24.338,24.501,24.321,24.45,120309,0
20110418,24.407,24.432,24.338,24.364,126436,0
20110419,24.399,24.51,24.364,24.467,101350,0
20110420,24.51,24.723,24.467,24.723,169917,0
20110421,24.638,24.766,24.595,24.63,103332,0
20110425,24.579,24.655,24.51,24.612,124595,0
20110426,24.604,24.621,24.501,24.544,170782,0
20110427,24.519,24.621,24.501,24.552,252292,0
20110428,24.527,24.638,24.51,24.612,184267,0
20110429,24.612,24.766,24.612,24.758,114079,0
20110502,24.706,24.751,24.612,24.751,156494,0
20110503,24.723,24.835,24.699,24.802,142480,0
20110504,24.783,24.802,24.655,24.732,109346,0
20110505,24.766,24.766,24.646,24.706,107326,0
20110506,24.766,24.793,24.699,24.751,245070,0
20110509,24.742,24.895,24.715,24.817,124183,0
20110510,24.826,24.853,24.706,24.775,100347,0
20110511,24.835,24.87,24.775,24.793,81479,0
20110512,24.783,24.817,24.706,24.793,104743,0
20110513,24.811,24.87,24.751,24.87,95535,0
20110516,24.853,24.87,24.723,24.758,128173,0
20110517,24.811,24.981,24.751,24.981,188529,0
20110518,24.964,24.964,24.646,24.904,193913,0
20110519,24.922,24.964,24.783,24.947,158024,0
20110520,24.947,25.049,24.895,24.988,142188,0
20110523,24.964,25.033,24.937,25.033,102186,0
20110524,25.033,25.049,24.895,25.049,103349,0
