Date,Open,High,Low,Close,Volume,OpenInt
20161206,24.309,24.837,24.301,24.837,2780,0
20161207,24.593,24.71,24.593,24.71,427,0
20161208,24.759,25.012,24.713,25.012,1065,0
20161209,26.285,26.285,25.109,25.245,7393,0
20161212,25.333,25.333,25.099,25.099,2716,0
20161213,25.323,26.393,25.09,25.129,5034,0
20161214,25.227,25.302,24.885,24.885,6202,0
20161215,25.105,25.193,24.978,25.007,9474,0
20161216,25.154,25.625,24.978,25.046,11858,0
20161219,25.135,25.301,25.135,25.251,2680,0
20161220,25.487,25.516,25.379,25.398,5749,0
20161221,25.169,25.477,25.169,25.428,1048,0
20161222,25.353,25.353,25.16,25.172,7807,0
20161223,25.34,25.34,25.271,25.271,515,0
20161227,26.317,26.317,25.456,25.487,5613,0
20161228,25.257,25.35,25.145,25.145,4197,0
20161229,25.359,25.359,25.33,25.336,2546,0
20161230,25.301,25.775,25.251,25.271,108918,0
20170103,25.49,25.497,25.311,25.438,17264,0
20170104,26.709,26.729,25.569,25.716,33543,0
20170105,25.643,25.643,25.357,25.447,18748,0
20170106,26.621,26.621,25.155,25.198,26820,0
20170109,25.203,25.203,25.017,25.027,7265,0
20170110,25.135,25.271,24.965,25.145,16522,0
20170111,25.117,25.408,25.117,25.291,19407,0
20170112,25.135,25.135,24.846,25.076,5920,0
20170113,25.625,26.548,25.183,25.193,9842,0
20170117,25.184,25.242,25.017,25.115,13921,0
20170118,25.203,25.203,25.018,25.203,8706,0
20170119,25.351,25.36,24.948,24.968,20157,0
20170120,25.135,25.145,24.997,24.997,8476,0
20170123,25.115,25.115,25.015,25.046,7336,0
20170124,25.203,25.409,25.116,25.272,100378,0
20170125,25.468,25.468,24.831,25.282,10604,0
20170126,25.468,25.468,25.179,25.184,11121,0
20170127,25.301,25.302,25.158,25.174,3324,0
20170130,24.919,24.928,24.798,24.889,13545,0
20170131,24.697,24.969,24.697,24.969,4687,0
20170201,25.252,25.252,24.704,24.853,6075,0
20170202,24.85,24.938,24.845,24.879,2638,0
20170203,25.252,25.252,25.05,25.135,7118,0
20170206,25.468,25.468,24.879,24.879,6604,0
20170207,24.928,25.027,24.855,24.87,13056,0
20170208,24.948,24.948,24.722,24.732,3631,0
20170209,24.848,25.037,24.848,24.968,21026,0
20170210,25.135,25.174,25.112,25.174,1231,0
20170213,25.478,25.478,25.193,25.193,5588,0
20170214,25.311,25.311,25.037,25.145,3821,0
20170215,25.233,25.233,25.095,25.095,3520,0
20170216,25.095,25.095,25.095,25.095,0,0
20170217,25.154,25.154,24.997,25.076,5744,0
20170221,25.169,25.247,25.169,25.233,1783,0
20170222,25.332,25.341,25.312,25.312,4268,0
20170223,25.312,25.312,25.193,25.252,1278,0
20170224,25.459,25.459,25.154,25.154,1067,0
20170227,25.297,25.297,25.205,25.223,1059,0
20170228,25.154,25.174,24.82,24.82,4627,0
20170301,25.105,25.135,24.964,25.085,7705,0
20170302,24.997,24.997,24.947,24.957,2233,0
20170303,24.775,24.813,24.717,24.81,3082,0
20170306,24.603,24.603,24.505,24.554,2537,0
20170307,24.505,24.505,24.322,24.324,3479,0
20170308,24.268,24.278,24.096,24.096,6433,0
20170309,23.816,24.01,23.816,23.816,7192,0
20170310,24.002,24.04,23.876,23.999,2667,0
20170313,24.101,24.111,24.013,24.013,3341,0
20170314,23.888,24.072,23.888,24.042,7928,0
20170315,24.266,24.487,24.247,24.437,2580,0
20170316,24.674,24.674,24.397,24.477,2544,0
20170317,24.522,24.536,24.522,24.536,408,0
20170320,24.7,24.7,24.556,24.556,1322,0
20170321,24.556,24.556,24.101,24.181,4539,0
20170322,24.171,24.171,23.805,23.993,4370,0
20170323,24.269,24.318,24.181,24.181,7689,0
20170324,24.328,24.328,24.211,24.249,1874,0
20170327,23.865,24.24,23.865,24.24,4055,0
20170328,24.161,24.338,24.161,24.338,11640,0
20170329,24.335,24.427,24.294,24.427,4442,0
20170330,24.595,24.624,24.575,24.615,11862,0
20170331,24.644,24.783,24.644,24.773,11941,0
20170403,24.556,24.556,24.374,24.374,7535,0
20170404,24.407,24.457,24.344,24.362,14954,0
20170405,24.447,24.477,24.23,24.23,19166,0
20170406,24.249,24.357,24.249,24.357,3068,0
20170407,24.437,24.457,24.398,24.398,12087,0
20170410,24.575,24.575,24.406,24.406,407,0
20170411,24.753,24.753,24.753,24.753,1611,0
20170412,24.833,24.833,24.684,24.684,2373,0
20170413,24.704,24.704,24.406,24.466,5472,0
20170417,24.565,24.733,24.555,24.733,1120,0
20170418,24.714,24.714,24.704,24.704,431,0
20170419,24.895,24.904,24.743,24.803,4048,0
20170420,24.98,24.98,24.951,24.951,423,0
20170421,24.882,25.061,24.882,25.061,1436,0
20170424,25.123,25.123,25.123,25.123,1086,0
20170425,25.396,25.396,25.396,25.396,203,0
20170426,25.506,25.625,25.46,25.545,3465,0
20170427,25.516,25.536,25.298,25.333,45673,0
20170428,24.961,24.961,24.871,24.895,3348,0
20170501,24.991,25.001,24.872,24.971,2766,0
20170502,24.743,24.864,24.743,24.809,812,0
20170503,24.72,24.72,24.719,24.719,1413,0
20170504,24.504,24.54,24.504,24.54,421,0
20170505,24.644,24.664,24.561,24.664,506,0
20170508,24.516,24.526,24.456,24.456,905,0
20170509,24.406,24.506,24.357,24.486,2968,0
20170510,24.471,24.471,24.471,24.471,511,0
20170511,24.248,24.248,24.169,24.169,3768,0
20170512,24.089,24.12,24.089,24.12,2221,0
20170515,24.325,24.373,24.276,24.341,2264,0
20170516,24.176,24.226,24.057,24.077,7738,0
20170517,23.908,23.948,23.764,23.798,1927,0
20170518,23.898,23.978,23.817,23.898,37089,0
20170519,24.027,24.027,23.978,23.978,1006,0
20170522,24.024,24.034,23.988,23.988,984,0
20170523,24.149,24.149,24.104,24.104,629,0
20170524,24.156,24.156,24.156,24.156,306,0
20170525,24.106,24.286,24.091,24.196,1510,0
20170526,24.033,24.033,24.031,24.031,1074,0
20170530,24.029,24.047,24.017,24.047,4126,0
20170531,23.896,23.896,23.896,23.896,317,0
20170601,23.988,24.306,23.988,24.306,2462,0
20170602,24.594,24.633,24.532,24.532,3196,0
20170605,24.325,24.325,24.287,24.287,948,0
20170606,24.256,24.296,24.063,24.173,6107,0
20170607,24.146,24.355,24.077,24.303,4680,0
20170608,24.248,24.614,24.248,24.614,3037,0
20170609,24.594,24.842,24.524,24.842,604,0
20170612,24.991,24.991,24.891,24.922,521,0
20170613,24.822,24.86,24.822,24.86,1409,0
