Date,Open,High,Low,Close,Volume,OpenInt
20050225,10.427,10.463,10.273,10.463,5606,0
20050228,10.463,10.463,10.281,10.342,11038,0
20050301,10.368,10.471,10.368,10.427,8236,0
20050302,10.463,10.471,10.435,10.463,16469,0
20050303,10.463,10.471,10.463,10.471,12790,0
20050304,10.377,10.471,10.377,10.471,8410,0
20050307,10.435,10.435,10.256,10.256,5432,0
20050308,10.214,10.214,10.059,10.077,8236,0
20050309,10.102,10.128,9.889,10.111,18048,0
20050310,10.059,10.077,10.001,10.043,5782,0
20050311,10.093,10.128,10.059,10.128,7533,0
20050314,10.128,10.154,10.128,10.128,5432,0
20050315,10.128,10.137,9.931,9.931,37495,0
20050316,9.846,9.896,9.743,9.786,10511,0
20050317,9.838,10.043,9.829,9.992,6832,0
20050318,9.931,9.931,9.588,9.768,17345,0
20050321,9.889,9.956,9.786,9.905,6306,0
20050322,9.802,9.896,9.794,9.794,4905,0
20050323,9.794,9.802,9.751,9.751,9111,0
20050324,9.786,9.786,9.786,9.786,702,0
20050328,9.751,9.786,9.717,9.726,4905,0
20050329,9.699,9.699,9.505,9.513,7183,0
20050330,9.528,9.648,9.4858,9.631,5080,0
20050331,9.519,9.624,9.1872,9.4435,160664,0
20050401,9.3923,9.4169,9.3923,9.3923,4030,0
20050404,9.2468,9.2468,9.1263,9.1689,25755,0
20050405,9.2468,9.332,9.2208,9.3059,4380,0
20050406,9.3834,9.3834,9.2895,9.2981,3854,0
20050407,9.272,9.4769,9.2546,9.4612,12615,0
20050408,9.546,9.699,9.505,9.615,42400,0
20050411,9.648,9.648,9.615,9.631,3504,0
20050412,9.606,9.699,9.4858,9.699,14367,0
20050413,9.639,9.717,9.4769,9.564,64650,0
20050414,9.4957,9.4957,9.2546,9.3059,23127,0
20050415,9.2468,9.2468,9.1433,9.1433,9811,0
20050418,9.2208,9.2208,9.2208,9.2208,1052,0
20050419,9.2807,9.3233,9.1433,9.2033,10337,0
20050420,9.1348,9.1348,8.6727,8.7497,36793,0
20050421,8.6898,8.6898,8.4843,8.5871,33465,0
20050422,8.5957,8.7411,8.5957,8.6384,4380,0
20050425,8.6042,8.6042,8.5101,8.5615,9811,0
20050426,8.4929,8.5014,8.3988,8.3988,13491,0
20050427,8.8782,8.9295,8.8182,8.9295,45028,0
20050428,8.9976,9.0497,8.8524,8.8782,22951,0
20050429,9.4169,9.631,9.4169,9.597,41874,0
20050502,9.597,9.667,9.546,9.564,9986,0
20050503,9.528,9.606,9.528,9.571,9111,0
20050504,9.4612,9.528,9.4011,9.4769,7710,0
20050505,9.4169,9.4435,9.4169,9.4257,1928,0
20050506,9.3923,9.513,9.3834,9.4169,4905,0
20050509,9.4769,9.4858,9.3923,9.4858,12265,0
20050510,9.4257,9.4612,9.4169,9.4257,13142,0
20050511,9.513,9.579,9.4346,9.4769,9287,0
20050512,9.624,9.699,9.4612,9.606,25230,0
20050513,9.717,9.88,9.717,9.734,50810,0
20050516,9.76,9.872,9.734,9.872,2979,0
20050517,9.889,9.889,9.648,9.658,4380,0
20050518,9.4769,9.571,9.4769,9.528,4380,0
20050519,9.4769,9.606,9.4769,9.606,526,0
20050520,9.639,9.639,9.528,9.639,5080,0
20050523,9.639,9.639,9.4523,9.4523,4905,0
20050524,9.4769,9.631,9.4346,9.528,13491,0
20050525,9.4169,9.4435,9.2895,9.3146,4030,0
20050526,9.3923,9.564,9.2807,9.3923,12615,0
20050527,9.409,9.579,9.409,9.528,10687,0
20050531,9.546,9.546,9.4257,9.4957,8410,0
20050601,9.4169,9.4435,9.4169,9.4257,1226,0
20050602,9.4435,9.505,9.4169,9.4169,8059,0
20050603,9.409,9.409,9.3568,9.3568,526,0
20050606,9.272,9.3146,9.272,9.3146,3504,0
20050607,9.3568,9.513,9.3568,9.4257,2979,0
20050608,9.4435,9.4858,9.409,9.409,4380,0
20050609,9.409,9.4257,9.3233,9.3657,4030,0
20050610,9.519,9.692,9.519,9.615,42400,0
20050613,9.528,9.639,9.519,9.615,5959,0
20050614,9.588,9.615,9.4957,9.615,1928,0
20050615,9.579,9.606,9.4769,9.505,7885,0
20050616,9.588,9.631,9.588,9.631,5782,0
20050617,9.597,9.597,9.588,9.597,2278,0
20050620,9.546,9.546,9.4169,9.4169,4030,0
20050621,9.3923,9.546,9.3923,9.546,2102,0
20050622,9.537,9.615,9.513,9.513,3854,0
20050623,9.615,9.615,9.513,9.513,5432,0
20050624,9.4523,9.4957,9.3657,9.4769,3854,0
20050627,9.3923,9.579,9.3059,9.528,18922,0
20050628,9.537,9.537,9.4435,9.4769,3152,0
20050629,9.4769,9.838,9.4169,9.564,156459,0
20050630,9.648,9.648,9.3568,9.3923,15068,0
20050701,9.332,9.624,9.3233,9.528,29960,0
20050705,9.528,9.528,9.2895,9.3568,19096,0
20050706,8.7071,8.7583,8.6469,8.7241,56416,0
20050707,7.7053,8.1248,7.7053,7.9878,197633,0
20050708,7.9964,8.1419,7.9192,8.039,44853,0
20050711,8.0478,8.0734,7.9878,8.0478,29434,0
20050712,8.0478,8.0478,7.9878,8.0049,40648,0
20050713,7.9878,8.022,7.9451,7.9878,19799,0
20050714,7.9451,7.9534,7.8508,7.9534,31712,0
20050715,7.9878,8.022,7.9363,7.9964,10862,0
20050718,8.022,8.1763,8.022,8.1419,20324,0
20050719,8.6384,8.7326,8.6384,8.7071,41874,0
20050720,8.7583,8.784,8.6213,8.784,10162,0
20050721,8.9038,9.513,8.9038,9.3408,179234,0
20050722,9.2895,9.2895,9.1263,9.2033,21727,0
20050725,9.2033,9.2033,8.9976,9.0668,5080,0
20050726,8.8439,8.8439,8.6898,8.7583,35565,0
20050727,8.5014,8.5014,8.3473,8.4758,29083,0
20050728,8.5185,8.5615,8.4501,8.5615,10687,0
20050729,8.5014,8.5615,8.4073,8.5615,7710,0
20050801,8.6213,8.6213,8.4501,8.4758,24705,0
20050802,8.4158,8.6213,8.4158,8.5357,8585,0
20050803,8.433,8.5615,8.433,8.5101,6306,0
20050804,8.4587,8.4587,8.3815,8.4073,3679,0
20050805,8.4158,8.4501,8.2961,8.3644,5080,0
20050808,8.5014,8.6983,8.5014,8.5871,4905,0
20050809,8.4158,8.6042,8.373,8.5699,18746,0
20050810,8.664,8.664,8.4587,8.5699,19448,0
20050811,8.5699,8.5699,8.5357,8.5357,2278,0
20050812,8.4501,8.5014,8.373,8.5014,13142,0
20050815,8.4758,8.5185,8.4758,8.5185,2979,0
20050816,8.4158,8.5014,8.3217,8.3217,5257,0
20050817,8.3815,8.5357,8.3815,8.4843,5782,0
20050818,8.3988,8.4671,8.3815,8.3815,6131,0
20050819,8.3901,8.4073,8.3217,8.4073,12615,0
20050822,8.3901,8.3901,8.2874,8.2874,7359,0
20050823,8.2617,8.2617,8.1333,8.159,9463,0
20050824,8.1419,8.159,8.1333,8.1333,8236,0
20050825,8.1076,8.1076,7.9964,8.0478,8410,0
20050826,8.0734,8.0906,7.9878,7.9878,5080,0
20050829,7.8764,7.8764,7.7138,7.8423,28733,0
20050830,7.9022,7.9192,7.8252,7.8252,12965,0
20050831,7.8593,8.0734,7.8593,8.0478,10687,0
20050901,7.868,8.0478,7.868,7.9451,18922,0
20050902,7.9278,7.9534,7.9022,7.9278,20850,0
20050906,7.9792,7.9878,7.8593,7.9878,16469,0
20050907,7.9878,8.0049,7.9451,7.9964,10337,0
20050908,8.039,8.039,8.0049,8.0049,1226,0
20050909,8.0049,8.0906,7.9278,7.9878,12790,0
20050912,8.0478,8.099,8.0478,8.0734,9111,0
20050913,8.0734,8.1419,8.0734,8.1248,4730,0
20050914,8.022,8.0647,8.022,8.039,5782,0
20050915,8.0478,8.0478,7.9022,7.9022,7885,0
20050916,7.9621,8.1076,7.9621,8.0906,9287,0
20050919,8.0478,8.0478,7.9792,7.9878,10162,0
20050920,7.9621,8.0135,7.9192,7.9792,6131,0
20050921,8.022,8.0734,7.9363,7.9451,4205,0
20050922,7.9964,8.0478,7.9964,8.0478,1226,0
20050923,8.0478,8.0478,7.9964,8.022,9111,0
20050926,8.0478,8.0734,8.039,8.0647,13142,0
20050927,8.0647,8.1419,8.0647,8.1248,11739,0
20050928,8.0818,8.0906,7.9621,7.9621,7710,0
20050929,8.0906,8.1846,8.0906,8.1419,22600,0
20050930,8.159,8.2103,8.159,8.1933,8236,0
20051003,8.159,8.2532,8.159,8.2446,18397,0
20051004,8.3388,8.4671,8.3388,8.433,9463,0
20051005,8.4073,8.4073,8.3302,8.3473,2979,0
20051006,8.4758,8.6556,8.4758,8.5615,42223,0
20051007,8.2532,8.3644,8.236,8.2617,19623,0
20051010,8.2532,8.2532,8.1076,8.1846,5432,0
20051011,8.1248,8.1846,8.1248,8.1846,3854,0
20051012,8.1248,8.1333,7.9534,7.9621,11388,0
20051013,8.0906,8.159,8.0561,8.1161,4205,0
20051014,8.0561,8.0561,7.9534,8.0049,8236,0
20051017,7.9451,7.9451,7.8508,7.8508,4555,0
20051018,7.8851,7.9107,7.8165,7.8165,7183,0
20051019,7.8764,7.9964,7.8764,7.9964,11212,0
20051020,7.9363,7.9363,7.7995,7.7995,8585,0
20051021,7.7396,7.7396,7.5769,7.6197,42750,0
20051024,7.4997,7.5254,7.4313,7.4913,25230,0
20051025,7.4398,7.4398,7.106,7.1231,55014,0
20051026,6.849,6.9433,6.849,6.8748,12790,0
20051027,6.8748,6.8834,6.6692,6.8405,4730,0
20051028,6.9605,7.2515,6.9605,7.2344,14192,0
20051031,7.4741,7.4913,7.4484,7.4826,11563,0
20051101,7.5426,7.5426,7.3629,7.3629,8236,0
20051102,7.3712,7.5598,7.3712,7.5426,20850,0
20051103,7.5598,7.5598,7.4913,7.5426,3504,0
20051104,7.4913,7.5426,7.4226,7.4484,5606,0
20051107,7.5769,7.6112,7.5598,7.5682,13491,0
20051108,7.671,7.7307,7.671,7.6795,9811,0
20051109,7.6282,7.6453,7.5339,7.5941,8761,0
20051110,7.6967,7.7995,7.6967,7.7396,11563,0
20051111,8.0734,8.236,8.0734,8.2188,26806,0
20051114,8.2703,8.3644,8.2617,8.3388,57643,0
20051115,8.279,8.2874,8.159,8.159,7183,0
20051116,8.279,8.3901,8.279,8.3046,6657,0
20051117,8.3046,8.4671,8.279,8.4671,36267,0
20051118,8.4501,8.4501,8.2874,8.2874,24705,0
20051121,8.3046,8.4929,8.3046,8.4929,12439,0
20051122,8.159,8.279,8.0818,8.0818,113707,0
20051123,8.1419,8.2874,8.0818,8.279,37495,0
20051125,8.279,8.279,8.279,8.279,1052,0
20051128,8.3302,8.3473,8.279,8.3302,36968,0
20051129,8.3901,8.3901,8.2446,8.2446,10862,0
20051130,8.3302,8.3302,8.2275,8.2532,8236,0
20051201,8.3901,8.5615,8.3901,8.5615,23828,0
20051202,8.6213,8.8182,8.6213,8.8097,27331,0
20051205,8.7071,8.7071,8.5615,8.6727,34166,0
20051206,8.4416,8.5615,8.4073,8.4244,20149,0
20051207,8.3988,8.3988,8.3302,8.3988,4555,0
20051208,8.3644,8.3901,8.3302,8.3302,2102,0
20051209,8.279,8.3302,8.279,8.2961,8936,0
20051212,8.279,8.279,8.1675,8.2275,13842,0
20051213,8.2275,8.2275,8.2017,8.2017,1226,0
20051214,8.1161,8.1248,7.9707,8.0306,22600,0
20051215,7.9878,8.0135,7.808,7.9192,10862,0
20051216,7.9792,8.1076,7.9792,8.039,12615,0
20051219,8.279,8.279,8.1333,8.1933,20149,0
20051220,8.1933,8.2703,8.0478,8.1333,9811,0
20051221,8.1076,8.1248,8.0049,8.0734,6306,0
20051222,8.039,8.039,7.9363,7.9451,8059,0
20051223,7.9878,7.9878,7.9278,7.9878,14192,0
20051227,7.9792,8.1333,7.9792,8.1333,9111,0
20051228,8.0734,8.1076,7.9107,7.9792,23828,0
20051229,8.0306,8.2617,8.0306,8.1076,16294,0
20051230,8.1076,8.1333,8.1076,8.1076,7885,0
20060103,8.0478,8.0478,7.9363,7.9878,5782,0
