Date,Open,High,Low,Close,Volume,OpenInt
20060113,34.48,34.48,34.48,34.48,15,0
20061117,36.12,36.12,36.12,36.12,15,0
20070427,16.75,36.12,16.75,16.75,244,0
20070430,34.48,34.48,31.2,31.2,247,0
20070501,31.2,31.2,31.2,31.2,152,0
20070502,18.39,18.39,18.06,18.06,18,0
20070504,18.06,18.06,18.06,18.06,6,0
20070508,18.06,18.06,16.75,18.06,152,0
20070509,14.78,14.78,13.14,13.14,305,0
20070510,16.75,16.75,11.49,11.49,298,0
20070511,11.49,11.49,8.21,8.21,518,0
20070517,8.21,8.21,8.21,8.21,579,0
20070518,8.21,8.21,8.21,8.21,158,0
20070523,9.85,9.85,9.85,9.85,152,0
20070524,13.14,13.14,13.14,13.14,305,0
20070525,14.78,14.78,14.78,14.78,1370,0
20070529,14.78,14.78,14.78,14.78,152,0
20070530,14.78,14.78,14.78,14.78,609,0
20070531,14.78,14.78,14.78,14.78,609,0
20070604,11.49,11.49,11.49,11.49,609,0
20070605,13.14,14.78,13.14,13.14,2284,0
20070606,14.78,14.78,14.78,14.78,1072,0
20070607,14.78,14.78,14.78,14.78,609,0
20070611,16.09,18.06,13.14,13.14,1946,0
20070612,16.42,16.42,11.82,14.45,251,0
20070613,14.78,14.78,14.45,14.78,594,0
20070614,14.78,14.78,14.78,14.78,350,0
20070615,13.14,13.14,13.14,13.14,24,0
20070618,13.14,14.78,13.14,14.78,457,0
20070619,15.11,15.11,11.49,15.11,536,0
20070620,10.18,10.51,9.85,10.51,1078,0
20070626,9.2,9.2,9.2,9.2,3,0
20070629,10.51,10.51,10.51,10.51,152,0
20070702,9.85,9.85,9.85,9.85,152,0
20070710,9.85,10.51,8.54,8.54,776,0
20070711,8.54,8.54,8.21,8.21,1218,0
20070717,6.57,6.57,6.57,6.57,746,0
20070718,7.22,7.22,7.22,7.22,609,0
20070724,6.57,6.57,6.57,6.57,67,0
20070817,7,7,7,7,2500,0
20070824,9,9,9,9,100,0
20070829,7,7,7,7,500,0
20070907,4,6.9,4,6.9,2286,0
20071022,3,3,3,3,250,0
20071023,6.9,8,6.9,8,1000,0
20080131,10.01,10.01,9.51,9.51,200,0
20080221,2.3,9,2.3,9,10975,0
20080222,8,9,7.6,7.9,51700,0
20080225,8,8.75,8,8,16470,0
20080226,8,9,8,9,10890,0
20080228,8,9,8,9,6200,0
20080304,8,9,8,9,6500,0
20080305,8,10,8,9,5500,0
20080306,9,9.01,9,9.01,2000,0
20080307,10,11,10,11,1800,0
20080311,12,20,12,20,13501,0
20080312,20,20,19,19.5,3004,0
20080314,20,20,20,20,1200,0
20080317,21,21,21,21,200,0
20080318,20,23,20,23,4663,0
20080319,20,20,20,20,100,0
20080320,23,24,23,23,1899,0
20080324,20,20,20,20,121,0
20080325,20,20,20,20,1667,0
20080326,20,20,20,20,200,0
20080331,19.5,19.5,18.5,18.5,1200,0
20080402,15,18.5,15,18.5,1900,0
20080411,19.5,19.5,19.5,19.5,100,0
20080416,19.5,19.5,19.5,19.5,200,0
20080429,14,15,10,15,224300,0
20080430,11.53,16,11.53,15,174968,0
20080501,11,15,10.5,15,50580,0
20080502,14,15,11,13.5,38100,0
20080505,11,11,8.1,10.3,69579,0
20080506,9.5,10,9,10,4000,0
20080507,8.51,8.51,7.5,8,67046,0
20080508,7.51,7.9,6.9,6.9,52200,0
20080509,6.57,6.57,4.55,5.5,351084,0
20080512,5.05,5.05,3.65,4.2,246550,0
20080513,4.45,4.5,3.8,4.45,226174,0
20080514,4.45,4.65,3.85,3.85,110212,0
20080515,3.88,3.88,3.3,3.3,30100,0
20080516,3.3,3.6,3.3,3.6,24740,0
20080519,3.7,3.7,3.31,3.31,8620,0
20080520,3.31,3.32,2.9,3,80300,0
20080521,3,3.06,2.95,3,81800,0
20080522,3,3.04,3,3,55000,0
20080523,3,3.04,3,3.04,19600,0
20080527,3,3,3,3,100,0
20080528,2.98,3.25,2.98,3.16,71990,0
20080529,3.15,3.15,3.01,3.01,12808,0
20080530,3.01,3.01,2.95,2.95,15000,0
20080602,2.95,2.95,2.9,2.9,9000,0
20080603,2.86,2.88,2.24,2.3,231291,0
20080604,2.25,2.3,1.85,2,194556,0
20080605,2,2.45,1.95,2.18,128375,0
20080606,2.25,2.25,2.15,2.2,11719,0
20080609,2.2,2.2,2.01,2.15,13681,0
