Date,Open,High,Low,Close,Volume,OpenInt
20050225,32.676,32.981,32.676,32.981,20654,0
20050228,32.981,33.316,32.583,32.756,26666,0
20050301,32.676,33.795,32.676,33.795,28324,0
20050302,33.711,34.494,33.666,34.494,30858,0
20050303,34.494,34.574,34.271,34.414,13094,0
20050304,34.271,34.574,34.06,34.271,12701,0
20050307,34.574,34.574,32.535,33.711,25419,0
20050308,32.848,34.019,32.848,33.535,16736,0
20050309,33.407,33.407,32.331,32.676,33851,0
20050310,32.404,32.711,32.331,32.711,18946,0
20050311,32.278,32.278,31.5,31.578,24062,0
20050314,30.943,31.578,30.367,31.195,51555,0
20050315,31.018,31.628,29.941,30.496,32039,0
20050316,30.162,30.367,28.987,29.063,69165,0
20050317,28.987,30.894,28.937,30.633,42343,0
20050318,30.59,31.454,30.496,31.018,34043,0
20050321,31.018,31.578,30.59,30.763,27868,0
20050322,29.719,31.454,29.588,30.802,21852,0
20050323,29.719,29.941,28.937,29.632,35977,0
20050324,29.285,30.367,29.285,29.941,18761,0
20050328,29.941,30.24,29.891,30.162,13302,0
20050329,30.162,30.162,29.507,29.588,7928,0
20050330,29.156,29.859,29.156,29.382,15695,0
20050331,29.719,30.367,29.588,30.02,12167,0
20050401,30.367,31.195,29.507,29.891,29965,0
20050404,30.162,30.673,29.941,30.162,9981,0
20050405,30.321,30.415,30.162,30.415,15673,0
20050406,30.415,30.545,30.193,30.321,5575,0
20050407,30.46,30.633,30.24,30.46,5902,0
20050408,30.367,30.633,30.367,30.633,6039,0
20050411,30.367,30.802,30.367,30.673,14844,0
20050412,30.59,30.802,30.415,30.719,17698,0
20050413,30.46,30.496,29.985,30.415,14175,0
20050414,30.496,30.496,29.507,29.539,15603,0
20050415,29.859,30.11,28.73,29.333,19521,0
20050418,28.73,29.333,24.076,25.732,175785,0
20050419,25.732,26.898,25.606,26.515,43447,0
20050420,26.725,27.076,26.548,26.725,18528,0
20050421,26.689,26.945,26.515,26.725,23276,0
20050422,26.246,27.118,26.167,26.689,36045,0
20050425,26.641,26.991,25.513,26.593,29364,0
20050426,26.768,26.82,26.463,26.82,13622,0
20050427,26.82,26.898,26.463,26.768,13392,0
20050428,26.246,26.82,26.246,26.335,19335,0
20050429,25.812,26.209,25.43,26.068,49348,0
20050502,25.383,25.939,25.337,25.383,32889,0
20050503,25.383,26.068,25.383,25.812,26234,0
20050504,26.041,26.593,25.939,26.463,21371,0
20050505,26.641,26.991,26.515,26.859,22704,0
20050506,27.118,27.645,26.689,27.118,27123,0
20050509,27.546,27.645,26.859,27.118,22264,0
20050510,27.118,28.158,26.898,27.418,28651,0
20050511,26.898,27.508,26.768,26.945,24549,0
20050512,27.33,27.98,25.606,26.768,37590,0
20050513,27.076,28.551,26.859,28.201,41695,0
20050516,28.201,28.937,28.073,28.379,15972,0
20050517,28.504,28.987,28.463,28.806,13184,0
