Date,Open,High,Low,Close,Volume,OpenInt
20070320,13.78,13.78,13.78,13.78,0,0
20070321,14.434,14.794,14.105,14.242,10034521,0
20070322,14.368,14.434,14.118,14.218,1201384,0
20070323,14.269,14.304,14.118,14.269,905079,0
20070326,14.269,14.297,13.641,13.909,965893,0
20070327,13.942,14.074,13.78,13.942,1411879,0
20070328,13.974,13.994,13.78,13.786,843652,0
20070329,13.861,13.909,13.78,13.896,76822,0
20070330,13.994,14.04,13.78,14.009,283809,0
20070402,13.994,13.994,13.78,13.916,110354,0
20070403,13.884,13.884,13.78,13.786,228023,0
20070404,13.79,13.934,13.79,13.902,87946,0
20070405,13.916,13.916,13.844,13.909,62188,0
20070409,13.909,13.916,13.844,13.889,47713,0
20070410,13.861,13.876,13.802,13.844,117058,0
20070411,13.909,13.916,13.81,13.916,37496,0
20070412,13.796,13.942,13.796,13.916,151812,0
20070413,13.902,13.961,13.85,13.909,267194,0
20070416,13.837,14.06,13.831,14.04,76057,0
20070417,14.099,14.368,14.02,14.276,439431,0
20070418,14.177,14.342,13.869,14.171,172388,0
20070419,14.171,14.238,13.844,14.074,125136,0
20070420,14.138,14.166,13.78,14.105,150134,0
20070423,14.074,14.166,13.85,13.942,418856,0
20070424,14.04,14.105,13.922,13.974,322525,0
20070425,13.974,14.105,13.967,13.994,387301,0
20070426,14.125,14.297,13.981,14.269,471897,0
20070427,14.105,14.348,13.928,14.238,415197,0
20070430,14.009,14.105,13.796,13.861,381362,0
20070501,13.909,14.38,13.121,13.353,777961,0
20070502,13.429,13.436,12.951,13.429,596732,0
20070503,13.384,13.713,13.318,13.678,293562,0
20070504,13.698,13.736,13.353,13.678,309719,0
20070507,13.678,13.78,13.478,13.713,248600,0
20070508,13.661,13.78,13.546,13.772,189004,0
20070509,13.78,13.78,13.581,13.772,237012,0
20070510,13.686,13.772,13.587,13.648,207749,0
20070511,13.648,13.713,13.448,13.613,218422,0
20070514,13.546,13.546,13.353,13.417,120870,0
20070515,13.22,13.543,13.121,13.166,334871,0
20070516,13.134,13.456,13.121,13.456,268412,0
20070517,13.298,13.648,13.155,13.488,413825,0
20070518,13.581,13.581,13.155,13.478,246314,0
20070521,13.581,13.595,13.292,13.502,295399,0
20070522,13.384,13.471,13.232,13.391,205311,0
20070523,13.267,13.502,13.267,13.384,284726,0
20070524,13.353,13.405,13.286,13.353,228023,0
20070525,13.318,13.423,13.286,13.384,275426,0
20070529,13.384,13.483,13.286,13.384,174216,0
20070530,13.384,13.412,13.253,13.318,324353,0
20070531,13.318,13.463,13.121,13.194,365508,0
20070601,13.166,13.318,13.121,13.267,181227,0
20070604,13.286,13.456,13.149,13.253,356818,0
20070605,13.194,13.238,13.121,13.22,102426,0
20070606,13.187,13.286,13.134,13.194,157603,0
20070607,13.134,13.215,13.056,13.083,167206,0
20070608,13.063,13.208,13.03,13.171,63101,0
20070611,13.208,13.22,13.056,13.166,43134,0
20070612,13.056,13.161,13.03,13.141,42525,0
20070613,13.107,13.187,13.03,13.128,65845,0
20070614,13.09,13.18,13.037,13.128,75448,0
20070615,13.121,13.187,13.102,13.134,46945,0
20070618,13.141,13.155,13.09,13.134,78645,0
20070619,13.096,13.161,13.056,13.113,93438,0
20070620,13.083,13.161,12.923,12.965,145104,0
20070621,12.93,13.149,12.596,12.733,348589,0
20070622,12.827,12.845,12.466,12.615,160350,0
20070625,12.532,12.63,12.301,12.348,706166,0
20070626,12.412,12.466,12.104,12.136,420074,0
20070627,12.136,12.49,12.136,12.49,84291,0
20070628,12.602,12.727,12.596,12.623,42525,0
20070629,12.644,12.852,12.596,12.793,77433,0
20070702,12.793,12.977,12.767,12.84,31702,0
20070703,12.93,13.134,12.93,13.056,48470,0
20070705,13.056,13.056,12.977,13.042,45421,0
20070706,13.048,13.121,12.367,12.65,149832,0
20070709,12.695,12.833,12.367,12.466,714247,0
20070710,12.52,12.52,12.433,12.466,280455,0
20070711,12.512,12.899,12.46,12.859,80172,0
20070712,12.977,13.01,11.743,12.727,80325,0
20070713,12.615,12.923,12.615,12.807,59752,0
20070716,12.748,12.886,12.471,12.526,76516,0
20070717,12.565,12.793,12.466,12.733,74686,0
20070718,12.799,12.799,12.374,12.418,75906,0
20070719,12.52,12.793,12.466,12.688,131693,0
20070720,12.662,12.727,12.466,12.602,77122,0
20070723,12.688,12.957,12.662,12.793,96941,0
20070724,12.892,12.899,12.549,12.892,69657,0
20070725,12.865,12.917,12.807,12.911,73924,0
20070726,12.815,12.944,12.387,12.668,133981,0
20070727,12.609,12.727,12.466,12.709,96330,0
20070730,12.556,12.609,12.454,12.476,150440,0
20070731,12.476,12.49,12.194,12.21,84137,0
20070801,12.327,12.327,11.94,12.136,118127,0
20070802,12.19,12.217,11.974,12.128,48470,0
20070803,12.248,12.248,12.005,12.093,1720229,0
20070806,11.763,11.862,11.087,11.435,238690,0
20070807,11.677,11.843,11.428,11.803,56396,0
20070808,11.743,12.136,11.685,12.136,149066,0
20070809,11.94,13.113,11.645,11.803,193879,0
20070810,11.514,11.561,11.087,11.284,303928,0
20070813,11.546,11.578,11.158,11.245,150134,0
20070814,11.165,11.361,10.988,11.219,333348,0
20070815,11.023,11.318,10.957,11.284,192051,0
20070816,11.224,11.224,10.76,11.081,198912,0
20070817,12.526,12.526,9.645,11.152,14483,0
20070820,11.35,11.501,11.055,11.087,97852,0
20070821,11.148,11.546,11.121,11.2,45575,0
20070822,11.186,11.448,11.087,11.389,77736,0
20070823,11.455,11.546,10.957,11.389,381816,0
20070824,11.448,11.704,11.318,11.514,67372,0
20070827,11.645,11.999,11.612,11.979,90389,0
20070828,11.94,12.04,11.79,11.809,29873,0
20070829,11.914,11.94,11.777,11.94,42371,0
20070830,11.979,12.123,11.947,12.099,41152,0
20070831,12.123,12.294,12.078,12.294,45575,0
20070904,12.294,12.433,12.248,12.4,1714438,0
20070905,12.433,12.466,12.374,12.466,37036,0
20070906,12.4,12.466,11.928,11.967,67674,0
20070907,11.967,12.471,11.874,12.268,39936,0
20070910,12.387,12.596,12.387,12.498,42067,0
20070911,12.476,12.537,12.078,12.334,57465,0
20070912,12.283,12.466,12.283,12.454,60509,0
20070913,12.454,12.466,11.809,12.334,88100,0
20070914,12.334,12.591,12.308,12.46,66758,0
20070917,12.715,12.727,12.471,12.532,235946,0
20070918,12.512,12.63,12.301,12.466,169644,0
20070919,12.596,12.727,12.532,12.565,91604,0
20070920,12.498,12.63,12.301,12.44,96788,0
20070921,12.46,12.565,12.21,12.359,111422,0
20070924,12.374,12.466,12.23,12.23,45575,0
20070925,12.268,12.466,11.94,11.94,82917,0
20070926,11.994,12.093,11.928,12.086,79564,0
20070927,12.104,12.301,11.88,11.88,49386,0
20070928,11.914,12.17,11.908,12.093,61425,0
20071001,12.093,12.118,11.809,11.947,1676336,0
20071002,12.026,12.034,11.677,11.743,122245,0
20071003,11.803,11.809,11.619,11.67,76211,0
20071004,11.743,11.869,11.619,11.645,61275,0
20071005,11.704,11.803,11.578,11.718,121476,0
20071008,11.979,12.294,11.612,11.751,106392,0
20071009,11.908,12.02,11.751,11.959,39021,0
20071010,12.046,12.07,11.77,11.914,102124,0
20071011,12.07,12.078,11.763,11.967,152730,0
20071012,12.123,12.49,11.999,12.086,99378,0
20071015,12.615,12.615,12.275,12.466,1754830,0
20071016,12.52,12.526,12.367,12.393,166598,0
20071017,12.46,12.52,12.387,12.4,167057,0
20071018,12.512,12.512,12.158,12.17,167662,0
20071019,12.433,12.433,12.07,12.07,96330,0
20071022,11.974,12.058,11.94,11.999,71942,0
20071023,11.974,12.165,11.974,11.979,88557,0
20071024,11.974,12.202,11.974,12.158,47248,0
20071025,12.128,12.268,11.987,12.086,50606,0
20071026,12.034,12.532,12.034,12.466,211408,0
20071029,12.466,12.793,12.46,12.709,356211,0
20071030,12.466,12.602,12.327,12.466,84442,0
20071031,12.596,12.596,12.308,12.483,82306,0
20071101,12.44,12.446,12.194,12.327,29113,0
20071102,12.289,12.289,12.012,12.099,62945,0
20071105,11.979,12.21,11.979,12.07,70877,0
20071106,12.202,12.268,11.979,12.026,74232,0
20071107,11.809,12.046,11.809,11.908,47248,0
20071108,12.04,12.136,11.645,11.822,67521,0
20071109,11.743,11.928,11.561,11.573,28499,0
20071112,11.534,11.578,11.396,11.481,105562,0
20071113,11.546,11.546,11.33,11.338,93349,0
20071114,11.469,11.501,11.237,11.273,40389,0
20071115,11.469,11.469,11.224,11.289,16309,0
20071116,11.455,11.455,11.029,11.152,93890,0
20071119,11.152,11.194,11.023,11.048,73622,0
20071120,11.148,11.273,11.029,11.128,42679,0
20071121,11.14,11.148,10.904,11.048,53042,0
20071123,10.963,11.158,10.917,11.158,56094,0
20071126,11.152,11.186,11.113,11.113,101055,0
20071127,11.121,11.121,10.988,11.01,63101,0
20071128,11.121,11.152,11.087,11.152,51976,0
20071129,11.055,11.481,11.023,11.113,132452,0
20071130,11.186,11.357,11.087,11.252,95569,0
20071203,12.136,12.136,11.158,11.186,52890,0
20071204,11.35,11.35,11.087,11.158,163244,0
20071205,11.245,11.289,11.1,11.121,57769,0
20071206,11.148,11.194,11.106,11.148,53803,0
20071207,11.121,11.152,10.988,11.075,49842,0
20071210,10.97,11.003,10.811,10.826,185804,0
20071211,10.826,10.948,10.826,10.838,142972,0
20071212,10.89,10.89,10.662,10.693,263383,0
20071213,10.72,10.752,10.682,10.693,55325,0
20071214,10.662,11.35,10.662,10.72,41004,0
20071217,10.662,10.806,10.38,10.529,720387,0
20071218,10.662,10.705,10.236,10.353,174216,0
20071219,10.452,10.452,10.136,10.15,163356,0
20071220,10.15,10.214,10.104,10.17,116197,0
20071221,10.17,10.557,10.165,10.426,100600,0
20071224,10.368,10.596,10.368,10.503,45878,0
20071226,10.517,10.713,10.492,10.529,58984,0
20071227,10.536,10.536,10.492,10.492,59940,0
20071228,10.492,10.51,10.177,10.194,113065,0
20071231,10.17,10.536,10.077,10.536,191637,0
20080102,11.273,11.289,10.74,10.859,252412,0
20080103,10.977,10.996,10.838,10.89,134488,0
20080104,10.911,10.911,10.794,10.832,66879,0
20080107,10.984,10.988,10.897,10.938,47101,0
20080108,10.924,11.113,10.911,10.988,58760,0
20080109,10.924,11.055,10.89,10.93,57982,0
20080110,10.924,10.948,10.832,10.865,42220,0
20080111,10.917,10.988,10.832,10.938,51826,0
20080114,10.988,11.023,10.963,11.003,36550,0
20080115,11.148,11.148,10.852,10.859,115933,0
20080116,10.924,11.023,10.794,10.852,172998,0
20080117,10.699,10.957,10.699,10.872,98161,0
20080118,10.838,11.023,10.76,10.76,134712,0
20080122,10.418,11.186,10.411,10.76,263306,0
20080123,10.503,10.859,10.499,10.693,134925,0
20080124,10.811,11.152,10.727,10.826,117518,0
20080125,11.14,11.148,10.859,11.075,71642,0
20080128,11.736,11.736,10.93,10.988,123183,0
20080129,11.134,11.134,10.826,10.884,201439,0
20080130,10.779,10.779,10.59,10.601,79110,0
20080131,10.529,10.811,10.499,10.734,115611,0
20080201,10.734,10.832,10.734,10.832,80172,0
20080204,10.826,11.121,10.76,11.087,103613,0
20080205,11.023,11.152,11.01,11.128,104176,0
20080206,11.266,11.266,11.1,11.252,177193,0
20080207,11.266,11.273,10.943,10.943,78498,0
20080208,10.943,11.134,10.943,11.023,36577,0
20080211,11.087,11.214,11.023,11.165,76400,0
20080212,11.28,11.28,11.055,11.219,66609,0
20080213,11.121,11.2,10.963,11.186,61479,0
20080214,11.28,11.284,10.832,10.832,78280,0
20080215,10.859,11.023,10.693,10.752,85201,0
20080219,10.963,11.284,10.943,11.121,114614,0
20080220,11.093,11.148,10.988,11.035,36577,0
20080221,11.152,11.152,11.041,11.106,20729,0
20080222,11.152,11.152,11.035,11.128,25134,0
20080225,11.23,11.318,11.152,11.266,95569,0
20080226,11.296,11.435,11.237,11.411,95020,0
20080227,11.266,11.527,11.134,11.152,60636,0
20080228,11.003,11.345,11.003,11.14,46451,0
20080229,11.1,11.158,11.015,11.015,67674,0
20080303,10.963,11.055,10.832,10.838,73058,0
20080304,10.811,10.988,10.74,10.74,68728,0
20080305,10.852,10.884,10.76,10.76,76822,0
20080306,10.826,10.826,10.499,10.503,61275,0
20080307,10.499,10.662,10.38,10.38,73313,0
20080310,10.339,10.452,10.177,10.177,136749,0
20080311,10.326,10.373,10.052,10.052,77949,0
20080312,10.031,10.188,9.938,10.157,245933,0
20080313,10.077,10.28,9.992,10.267,2842288,0
20080314,10.267,10.326,10.202,10.302,694130,0
20080317,10.157,10.302,8.9042,9.741,967800,0
20080318,9.853,10.045,9.1924,10.045,143735,0
20080319,10.202,10.202,9.841,9.868,66076,0
20080320,9.841,10.005,9.795,10.005,116351,0
20080324,10.17,10.499,10.005,10.025,80078,0
20080325,10.111,10.222,10.005,10.091,76704,0
20080326,10.02,10.062,9.777,9.841,114488,0
20080327,9.938,9.96,9.808,9.841,102426,0
20080328,9.841,9.873,9.795,9.829,28353,0
20080331,9.868,9.868,9.741,9.788,25747,0
20080401,9.841,9.914,9.711,9.907,46337,0
20080402,9.985,10.069,9.887,9.979,29394,0
20080403,9.979,10.17,9.979,10.117,22864,0
20080404,10.17,10.294,10.02,10.165,19587,0
20080407,10.294,10.713,10.294,10.36,116757,0
20080408,10.426,10.59,10.331,10.523,60060,0
20080409,10.529,10.616,10.484,10.59,76057,0
20080410,10.662,10.662,10.244,10.393,48773,0
20080411,10.346,10.418,10.085,10.117,85471,0
20080414,10.165,10.21,10.104,10.17,79503,0
20080415,10.165,10.188,9.835,9.853,171055,0
20080416,9.677,9.9,8.9879,9.0673,486022,0
