Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.817,11.817,11.817,11.817,176,0
20050228,11.732,11.925,11.732,11.925,8930,0
20050301,11.881,11.925,11.881,11.925,1852,0
20050302,11.925,11.925,11.925,11.925,2697,0
20050303,11.925,12.029,11.925,12.029,1694,0
20050304,12.063,12.135,12.063,12.135,1277,0
20050307,11.997,12.036,11.817,11.887,6234,0
20050309,11.959,12.063,11.678,11.713,11195,0
20050310,11.7,11.713,11.7,11.713,988,0
20050311,11.678,11.824,11.678,11.817,6094,0
20050315,11.762,11.762,11.762,11.762,276,0
20050316,11.817,11.817,11.713,11.713,555,0
20050317,11.678,11.748,11.662,11.662,3680,0
20050318,11.713,11.782,11.713,11.782,1277,0
20050321,11.887,11.887,11.662,11.662,4391,0
20050322,11.707,11.707,11.707,11.707,2130,0
20050324,11.662,11.67,11.655,11.655,4391,0
20050329,11.655,11.662,11.655,11.662,2550,0
20050331,11.713,11.748,11.713,11.748,1419,0
20050401,11.655,11.655,11.655,11.655,1852,0
20050407,11.599,11.713,11.599,11.713,8499,0
20050408,11.607,11.607,11.607,11.607,176,0
20050411,11.634,11.713,11.634,11.707,1560,0
20050412,11.64,11.64,11.566,11.577,3966,0
20050413,11.577,11.577,11.577,11.577,709,0
20050414,11.507,11.507,11.507,11.507,555,0
20050415,11.515,11.529,11.409,11.409,4391,0
20050418,11.5,11.5,11.5,11.5,176,0
20050419,11.434,11.456,11.434,11.456,864,0
20050420,11.495,11.495,11.495,11.495,176,0
20050421,11.5,11.607,11.5,11.607,1419,0
20050425,11.536,11.536,11.536,11.536,176,0
20050426,11.464,11.464,11.464,11.464,176,0
20050427,11.472,11.507,11.472,11.507,2261,0
20050428,11.536,11.607,11.5,11.5,1852,0
20050429,11.429,11.429,11.429,11.429,864,0
20050502,11.536,11.536,11.536,11.536,276,0
20050503,11.464,11.464,11.464,11.464,276,0
20050504,11.394,11.394,11.394,11.394,1419,0
20050510,11.394,11.394,11.394,11.394,176,0
20050511,11.387,11.387,11.387,11.387,176,0
20050513,11.36,11.36,11.36,11.36,2261,0
20050516,11.429,11.429,11.429,11.429,1419,0
20050517,11.374,11.374,11.374,11.374,2130,0
20050519,11.429,11.429,11.422,11.429,1852,0
20050523,11.38,11.387,11.34,11.387,6377,0
20050524,11.387,11.394,11.325,11.394,9496,0
20050526,11.29,11.332,11.282,11.282,8218,0
20050527,11.245,11.245,11.231,11.238,2261,0
20050531,11.238,11.261,11.238,11.261,864,0
20050601,11.231,11.275,11.231,11.275,1979,0
20050603,11.297,11.318,11.297,11.318,2697,0
20050606,11.325,11.325,11.325,11.325,176,0
20050607,11.181,11.29,11.181,11.216,7797,0
20050608,11.2,11.325,11.186,11.186,7652,0
20050609,11.186,11.186,11.04,11.107,3966,0
20050610,11.101,11.101,11.101,11.101,176,0
20050613,11.095,11.101,11.086,11.086,1277,0
20050614,11.004,11.019,10.959,11.012,4967,0
20050615,10.938,10.938,10.837,10.871,7082,0
20050616,10.871,10.871,10.83,10.849,1852,0
20050617,10.837,10.837,10.837,10.837,709,0
20050620,10.83,10.83,10.83,10.83,276,0
20050621,10.83,10.83,10.822,10.822,1142,0
20050622,10.822,10.899,10.822,10.899,6094,0
20050624,10.907,10.907,10.907,10.907,176,0
20050627,10.923,10.923,10.923,10.923,1419,0
20050629,10.899,10.899,10.899,10.899,988,0
20050701,10.864,10.864,10.808,10.815,6094,0
20050705,10.808,10.808,10.65,10.762,19556,0
20050706,10.742,10.747,10.728,10.747,3258,0
20050708,10.742,10.742,10.581,10.581,6377,0
20050711,10.563,10.728,10.563,10.696,13748,0
20050712,10.581,10.623,10.556,10.623,2261,0
20050713,10.642,10.642,10.642,10.642,709,0
20050714,10.623,10.72,10.623,10.623,4677,0
20050715,10.575,10.575,10.537,10.537,2832,0
20050718,10.581,10.65,10.537,10.635,1979,0
20050719,10.629,10.642,10.575,10.575,4258,0
20050720,10.515,10.589,10.515,10.589,7082,0
20050721,10.563,10.563,10.563,10.563,176,0
20050722,10.57,10.57,10.47,10.47,4677,0
20050725,10.47,10.47,10.385,10.385,3966,0
20050726,10.515,10.521,10.515,10.515,5250,0
20050727,10.499,10.499,10.485,10.485,1560,0
20050728,10.377,10.455,10.356,10.455,2832,0
20050729,10.416,10.416,10.291,10.328,6377,0
20050802,10.291,10.299,10.285,10.291,1979,0
20050803,10.239,10.334,10.239,10.328,1277,0
20050804,10.299,10.299,10.291,10.291,1277,0
20050805,10.244,10.244,10.123,10.161,4110,0
20050808,10.115,10.123,10.115,10.115,7652,0
20050809,10.115,10.161,10.088,10.154,5382,0
20050810,10.038,10.115,10.033,10.108,8499,0
20050811,10.067,10.101,10.047,10.101,5813,0
20050812,10.131,10.139,10.081,10.108,6660,0
20050815,10.115,10.115,10.047,10.101,8499,0
20050816,10.101,10.147,10.101,10.147,2130,0
20050817,10.115,10.161,10.115,10.161,2415,0
20050818,10.17,10.17,10.115,10.115,5382,0
20050819,10.17,10.17,10.123,10.139,4540,0
20050822,10.185,10.225,10.161,10.161,4391,0
20050823,10.178,10.178,10.094,10.178,6094,0
20050824,10.185,10.185,10.185,10.185,435,0
20050825,10.197,10.197,10.197,10.197,176,0
20050829,10.225,10.225,10.225,10.225,1419,0
20050831,10.161,10.197,10.161,10.197,1419,0
20050901,10.197,10.197,10.197,10.197,1142,0
20050902,10.205,10.225,10.205,10.225,1852,0
