Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.2713,9.2713,9.1379,9.1814,127889,0
20050228,9.2141,9.2209,9.1311,9.1814,48537,0
20050301,9.2141,9.282,9.1492,9.2772,116869,0
20050302,9.2772,9.2986,9.2324,9.2461,99308,0
20050303,9.3054,9.3122,9.2266,9.2324,76638,0
20050304,9.2713,9.2772,9.163,9.1881,105048,0
20050307,9.2461,9.3054,9.1765,9.2986,91013,0
20050308,9.3054,9.3054,9.2141,9.2655,88925,0
20050309,9.3054,9.3054,9.1235,9.156,147845,0
20050310,9.1765,9.2539,9.1311,9.1814,95156,0
20050311,9.2461,9.2461,9.1435,9.156,76160,0
20050314,9.156,9.2083,9.1235,9.1379,73446,0
20050315,9.1814,9.2141,9.0761,9.0761,109999,0
20050316,9.1235,9.2141,8.9994,9.0638,175783,0
20050317,9.1235,9.1311,8.915,8.9816,107930,0
20050318,9.0468,9.0468,8.8167,8.9741,85738,0
20050321,8.9666,9.0515,8.96,9.0136,63382,0
20050322,9.0468,9.0515,8.8575,9.0468,113041,0
20050323,9.0592,9.0592,8.8444,8.9077,98675,0
20050324,8.8519,8.915,8.7124,8.8113,108084,0
20050328,8.8444,8.8575,8.4362,8.6758,183600,0
20050329,8.6184,8.6239,8.405,8.4797,86696,0
20050330,8.5261,8.5863,8.4362,8.5333,84460,0
20050331,8.5926,8.6239,8.5395,8.6184,75358,0
20050401,8.6239,8.7514,8.6112,8.683,56846,0
20050404,8.6356,8.7251,8.6356,8.6894,60027,0
20050405,8.7514,8.7734,8.6301,8.7014,48373,0
20050406,8.7807,8.7918,8.6684,8.7124,61463,0
20050407,8.6758,8.8049,8.6684,8.7918,60356,0
20050408,8.7974,8.8388,8.7078,8.8316,29861,0
20050411,8.8519,8.8519,8.5694,8.5863,113041,0
20050412,8.5694,8.7568,8.5554,8.6184,89571,0
20050413,8.683,8.683,8.5395,8.5694,62262,0
20050414,8.6112,8.6112,8.3767,8.4734,109999,0
20050415,8.6112,8.6112,8.4121,8.431,79191,0
20050418,8.3108,8.6894,8.2811,8.641,246193,0
20050419,8.5999,8.7734,8.5127,8.7078,71369,0
20050420,8.606,8.6539,8.606,8.6112,45021,0
20050421,8.6758,8.6758,8.5863,8.5863,62262,0
20050422,8.6239,8.6894,8.5554,8.606,100107,0
20050425,8.683,8.683,8.5618,8.6356,87174,0
20050426,8.6758,8.6758,8.5127,8.641,90206,0
20050427,8.6539,8.6539,8.5261,8.581,78233,0
20050428,8.581,8.5926,8.4549,8.4549,62111,0
20050429,8.4985,8.5618,8.4734,8.4734,75678,0
20050502,8.4673,8.5196,8.4121,8.5055,54602,0
20050503,8.4673,8.5055,8.4184,8.4673,53008,0
20050504,8.5694,8.5863,8.4621,8.4673,52682,0
20050505,8.5196,8.6684,8.4797,8.5333,75515,0
20050506,8.5554,8.6758,8.4985,8.6112,61783,0
20050509,8.6356,8.6894,8.5999,8.5999,48851,0
20050510,8.6539,8.683,8.5618,8.5863,34486,0
20050511,8.5754,8.6356,8.5618,8.5863,86051,0
20050512,8.5926,8.683,8.5448,8.6112,82860,0
20050513,8.6539,8.6539,8.5333,8.5333,60191,0
20050516,8.5754,8.718,8.5618,8.5999,135705,0
20050517,8.6894,8.7124,8.5754,8.6239,41040,0
20050518,8.6239,8.6894,8.5694,8.641,57954,0
20050519,8.6684,8.6684,8.5554,8.5863,46944,0
20050520,8.6112,8.6184,8.5448,8.5618,56994,0
20050523,8.5618,8.6239,8.5196,8.6239,51892,0
20050524,8.6474,8.6684,8.5694,8.6474,72491,0
20050525,8.5999,8.6758,8.5618,8.5618,92762,0
20050526,8.5333,8.5863,8.3767,8.486,104255,0
20050527,8.486,8.486,8.405,8.4549,78712,0
20050531,8.4673,8.486,8.4184,8.4362,49014,0
20050601,8.4417,8.5333,8.405,8.4417,102183,0
20050602,8.4417,8.5618,8.4417,8.5261,110486,0
20050603,8.5333,8.581,8.4985,8.5055,49653,0
20050606,8.4673,8.5863,8.4673,8.5554,46140,0
20050607,8.581,8.606,8.5496,8.5926,48537,0
20050608,8.5618,8.5618,8.4621,8.5055,172745,0
20050609,8.5261,8.5496,8.4184,8.5196,113194,0
20050610,8.5127,8.5196,8.4362,8.4549,64500,0
20050613,8.486,8.5261,8.4417,8.4417,53967,0
20050614,8.4362,8.5196,8.405,8.405,96590,0
20050615,8.4362,8.4362,8.3767,8.398,139863,0
20050616,8.4121,8.5261,8.3767,8.4621,166045,0
20050617,8.4734,8.5196,8.4549,8.4985,54286,0
20050620,8.5261,8.5261,8.4549,8.4912,39595,0
20050621,8.4912,8.5496,8.4673,8.5448,84936,0
20050622,8.5496,8.5618,8.5196,8.5261,85901,0
20050623,8.5333,8.5618,8.4673,8.486,86219,0
20050624,8.4673,8.5261,8.4549,8.4797,70255,0
20050627,8.4797,8.5333,8.4673,8.5127,66575,0
20050628,8.4985,8.4985,8.3926,8.4478,84618,0
20050629,8.4417,8.486,8.4121,8.4417,90848,0
20050630,8.4673,8.4673,8.405,8.4417,44380,0
20050701,8.4121,8.5055,8.405,8.5055,113041,0
20050705,8.5055,8.5261,8.4417,8.486,58754,0
20050706,8.5261,8.5261,8.4478,8.486,41993,0
20050707,8.4478,8.4985,8.4121,8.4478,102025,0
20050708,8.4797,8.5055,8.4362,8.4985,30499,0
20050711,8.4673,8.5261,8.4478,8.4912,60027,0
20050712,8.5127,8.5395,8.4673,8.5333,48698,0
20050713,8.4734,8.5333,8.4734,8.4734,73761,0
20050714,8.5127,8.5333,8.4673,8.4985,119266,0
20050715,8.5261,8.5333,8.486,8.5261,58597,0
20050718,8.5333,8.6611,8.4912,8.5754,182170,0
20050719,8.6184,8.6611,8.5618,8.6239,92440,0
20050720,8.6474,8.6894,8.5754,8.6539,63862,0
20050721,8.6894,8.7014,8.5863,8.6949,71690,0
20050722,8.6611,8.718,8.5999,8.6611,62111,0
20050725,8.718,8.7734,8.5999,8.6184,97714,0
20050726,8.6611,8.6611,8.606,8.6301,52053,0
20050727,8.5754,8.6301,8.5395,8.5999,43266,0
20050728,8.6301,8.6301,8.5618,8.5618,68330,0
20050729,8.5618,8.5926,8.5196,8.5926,68175,0
20050801,8.5999,8.606,8.5554,8.5694,57954,0
20050802,8.5694,8.5999,8.5395,8.5554,49980,0
20050803,8.5618,8.5754,8.5261,8.5333,89571,0
20050804,8.5261,8.5618,8.5055,8.5261,52848,0
20050805,8.5395,8.5754,8.4797,8.5333,87971,0
20050808,8.4985,8.581,8.486,8.5261,52848,0
20050809,8.5554,8.5863,8.486,8.486,60191,0
20050810,8.5333,8.5554,8.4362,8.4362,102340,0
20050811,8.4985,8.5196,8.4184,8.4245,78392,0
20050812,8.4673,8.4734,8.4362,8.4478,41345,0
20050815,8.5127,8.5127,8.4417,8.4673,57954,0
20050816,8.5127,8.6684,8.4673,8.6112,151196,0
20050817,8.6356,8.6356,8.5395,8.5554,56846,0
20050818,8.5618,8.5754,8.5261,8.5395,62586,0
20050819,8.5448,8.581,8.5395,8.5395,31932,0
20050822,8.5395,8.581,8.4985,8.5055,82221,0
20050823,8.4985,8.5333,8.4673,8.4673,101223,0
20050824,8.4912,8.5496,8.4734,8.5055,95796,0
20050825,8.5055,8.5333,8.4797,8.5127,94996,0
20050826,8.5055,8.5554,8.4912,8.5333,81744,0
20050829,8.4912,8.4912,8.4245,8.4549,70883,0
20050830,8.4478,8.4673,8.4245,8.4673,67222,0
20050831,8.4673,8.4673,8.431,8.4549,96435,0
20050901,8.4362,8.4621,8.4184,8.4362,75678,0
20050902,8.4478,8.4621,8.3926,8.4184,96754,0
20050906,8.4184,8.4673,8.405,8.4417,56994,0
20050907,8.4673,8.5127,8.431,8.4673,105048,0
20050908,8.405,8.4673,8.3873,8.405,117036,0
20050909,8.4621,8.4621,8.398,8.4417,109046,0
20050912,8.4478,8.4549,8.3873,8.4245,54123,0
20050913,8.431,8.4673,8.398,8.4417,59232,0
20050914,8.4673,8.4673,8.382,8.4184,95958,0
20050915,8.4478,8.4549,8.382,8.3873,100426,0
20050916,8.382,8.4985,8.382,8.3926,140976,0
20050919,8.4121,8.4673,8.382,8.4417,89891,0
20050920,8.4478,8.4549,8.382,8.431,79034,0
20050921,8.4478,8.4621,8.3926,8.4621,57474,0
20050922,8.4621,8.4673,8.3926,8.398,96114,0
20050923,8.431,8.4417,8.382,8.4184,70088,0
20050926,8.4417,8.4549,8.3432,8.3492,168920,0
20050927,8.3767,8.3767,8.2435,8.2861,126292,0
20050928,8.2253,8.2984,8.2193,8.2193,97069,0
20050929,8.158,8.2193,8.1189,8.1795,100426,0
20050930,8.1925,8.2062,8.13,8.1925,77116,0
20051003,8.1411,8.1864,8.106,8.1727,98352,0
20051004,8.1864,8.2861,8.1727,8.1795,82545,0
20051005,8.2062,8.2062,8.113,8.1529,119104,0
20051006,8.1411,8.158,8.106,8.113,120225,0
20051007,8.106,8.1411,8.0733,8.1233,88131,0
20051010,8.1411,8.1727,8.106,8.1233,71525,0
20051011,8.158,8.1727,8.0863,8.1002,96273,0
20051012,8.0863,8.1189,7.986,8.0228,123411,0
20051013,7.9909,8.0362,7.7535,7.904,215857,0
20051014,7.9909,7.9909,7.8229,7.8229,100907,0
20051017,7.8726,8.1925,7.7227,7.7983,241083,0
20051018,7.8354,7.8354,7.7284,7.7983,75358,0
20051019,7.7983,7.8229,7.6794,7.7535,110962,0
20051020,7.786,7.8038,7.6914,7.7731,123108,0
20051021,7.7925,7.9561,7.7535,7.923,152627,0
20051024,7.936,7.961,7.8354,7.8925,88925,0
