Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.274,11.654,11.23,11.626,34222,0
20050228,11.626,11.674,11.436,11.519,29981,0
20050301,11.519,11.851,11.256,11.724,117917,0
20050302,11.851,11.851,11.487,11.528,90141,0
20050303,11.481,11.481,11.355,11.406,59974,0
20050304,11.43,11.43,11.329,11.371,43231,0
20050307,11.355,11.503,11.329,11.406,57026,0
20050308,11.406,11.453,11.375,11.43,141280,0
20050309,11.43,11.43,11.375,11.43,54637,0
20050310,11.453,11.578,11.406,11.406,45251,0
20050311,11.447,11.481,11.355,11.406,28520,0
20050314,11.355,11.406,11.056,11.154,71748,0
20050315,11.184,11.43,11.091,11.39,62914,0
20050316,11.43,11.43,11.086,11.131,82232,0
20050317,11.105,11.131,11.028,11.105,31644,0
20050318,11.131,11.184,11.056,11.105,25018,0
20050321,11.086,11.086,10.964,11.013,27781,0
20050322,11.051,11.204,10.937,11.105,56477,0
20050323,11.056,11.177,10.937,11.109,37711,0
20050324,10.986,11.105,10.931,10.975,51329,0
20050328,10.981,11.008,10.681,10.691,45444,0
20050329,10.633,10.659,10.188,10.237,102100,0
20050330,10.283,10.681,10.283,10.437,70094,0
20050331,10.508,10.834,10.508,10.648,36977,0
20050401,10.738,10.883,10.443,10.583,48933,0
20050404,10.643,10.648,10.508,10.643,26123,0
20050405,10.691,10.783,10.456,10.652,54454,0
20050406,10.698,10.926,10.314,10.711,61068,0
20050407,10.757,10.922,10.747,10.904,30166,0
20050408,10.904,10.922,10.72,10.747,31825,0
20050411,10.711,10.834,10.56,10.783,36237,0
20050412,10.783,11.069,10.711,11.028,51510,0
20050413,10.883,10.922,10.583,10.731,42861,0
20050414,10.583,10.681,10.583,10.601,25939,0
20050415,10.659,10.834,10.613,10.711,34404,0
20050418,10.731,10.931,10.715,10.738,16554,0
20050419,10.738,10.829,10.613,10.648,29067,0
20050420,10.681,10.757,10.41,10.652,51145,0
20050421,10.613,10.795,10.613,10.795,48752,0
20050422,10.795,10.795,10.583,10.633,30907,0
20050425,10.681,10.738,10.437,10.534,69721,0
20050426,10.534,10.534,10.277,10.437,105778,0
20050427,10.487,10.738,10.437,10.686,24833,0
20050428,10.663,10.886,10.659,10.883,28329,0
20050429,10.851,10.857,10.681,10.686,25939,0
20050502,10.686,10.757,10.583,10.681,26858,0
20050503,10.62,10.738,10.508,10.613,56660,0
20050504,10.613,10.931,10.613,10.857,49666,0
20050505,10.904,10.922,10.807,10.911,37711,0
20050506,10.931,11.086,10.931,11.056,36613,0
20050509,11.056,11.091,10.857,10.857,22259,0
20050510,10.931,11.051,10.857,11.028,42861,0
20050511,11.028,11.105,10.883,11.105,45444,0
20050512,11.105,11.184,11.105,11.184,15638,0
20050513,11.184,11.184,10.981,11.086,22808,0
20050516,11.008,11.127,10.931,11.127,43596,0
20050517,11.086,11.127,10.981,11.109,38814,0
20050518,11.056,11.109,10.961,11.109,29252,0
20050519,11.109,11.109,10.937,11.051,17293,0
20050520,11.177,11.329,11.091,11.329,44333,0
20050523,11.279,11.279,10.961,11.154,41397,0
20050524,11.105,11.308,11.028,11.308,29801,0
20050525,11.279,11.308,10.937,11.184,87749,0
20050526,11.177,11.256,10.981,11.184,36056,0
20050527,11.222,11.375,11.184,11.256,23366,0
20050531,11.256,11.256,11.086,11.227,50587,0
20050601,11.154,11.222,10.961,11.056,56111,0
20050602,11.105,11.371,11.105,11.29,44703,0
20050603,11.279,11.321,11.143,11.143,20788,0
20050606,11.204,11.204,11.028,11.086,25754,0
20050607,11.056,11.086,10.686,10.857,37711,0
20050608,10.931,11.074,10.757,10.757,32742,0
20050609,10.681,11.105,10.681,11.039,22259,0
20050610,11.131,11.256,11.008,11.164,30166,0
20050613,11.131,11.724,11.056,11.308,41028,0
20050614,11.375,11.43,11.279,11.43,16741,0
20050615,11.43,11.43,11.138,11.329,22075,0
20050616,11.279,11.43,11.184,11.256,22808,0
20050617,11.329,11.411,11.308,11.411,18028,0
20050620,11.43,11.43,11.279,11.426,17664,0
20050621,11.481,11.578,11.355,11.43,27408,0
20050622,11.375,11.487,11.234,11.444,36237,0
20050623,11.528,11.528,11.105,11.164,19312,0
20050624,11.23,11.43,11.184,11.198,41397,0
20050627,10.981,11.375,10.961,11.256,46545,0
20050628,11.23,11.298,11.028,11.279,30722,0
20050629,11.375,11.406,11.188,11.406,45067,0
20050630,11.279,11.355,11.256,11.355,9745,0
20050701,11.308,11.406,11.279,11.406,22999,0
20050705,11.42,11.578,11.39,11.545,44523,0
20050706,11.59,11.617,11.481,11.528,11406,0
20050707,11.572,11.67,11.545,11.67,20421,0
20050708,11.714,11.844,11.492,11.72,51329,0
20050711,11.664,11.664,11.43,11.664,34585,0
20050712,11.664,11.779,11.608,11.779,25382,0
20050713,11.528,11.626,11.394,11.59,23914,0
20050714,11.552,11.724,11.453,11.453,25939,0
20050715,11.43,11.503,11.279,11.355,16007,0
20050718,11.375,11.444,11.329,11.43,13246,0
20050719,11.308,11.674,11.308,11.674,26308,0
20050720,11.626,11.704,11.528,11.674,29981,0
20050721,11.704,11.704,11.578,11.626,15269,0
20050722,11.664,11.851,11.528,11.851,16928,0
20050725,11.802,11.822,11.704,11.776,20604,0
20050726,11.779,11.779,11.572,11.779,36423,0
20050727,11.779,11.822,11.608,11.654,19869,0
20050728,11.674,11.72,11.406,11.503,47279,0
20050729,11.503,11.556,11.308,11.503,64389,0
20050801,11.481,11.626,11.43,11.481,17474,0
20050802,11.503,11.674,11.453,11.664,34951,0
20050803,11.704,11.879,11.626,11.735,33300,0
20050804,11.802,12.093,11.674,12.003,43965,0
20050805,11.955,12.027,11.674,11.724,27408,0
20050808,11.779,11.779,11.355,11.515,37896,0
20050809,11.578,11.608,11.355,11.566,102838,0
20050810,11.528,11.735,11.519,11.654,32742,0
20050811,11.674,11.927,11.674,11.735,22808,0
20050812,11.927,12.373,11.831,12.027,66596,0
20050815,11.975,12.073,11.751,11.927,75242,0
20050816,11.802,12.132,11.802,12.132,32015,0
20050817,12.132,12.132,11.897,12.003,25205,0
20050818,11.927,12.073,11.779,12.04,32376,0
20050819,11.975,12.132,11.975,12.118,18394,0
20050822,12.149,12.149,11.724,11.802,35133,0
20050823,11.879,12.052,11.724,11.879,41948,0
20050824,11.879,12.052,11.724,12.052,64203,0
20050825,11.927,11.927,11.67,11.758,36792,0
20050826,11.807,11.807,11.481,11.487,27591,0
20050829,11.532,11.868,11.308,11.681,61442,0
20050830,11.681,12.02,11.56,11.796,68618,0
20050831,11.802,11.927,11.704,11.879,29801,0
20050901,11.893,11.893,11.704,11.844,29801,0
20050902,11.893,12.149,11.851,12.098,26678,0
20050906,12.195,12.373,12.052,12.35,28329,0
20050907,12.322,12.327,12.052,12.098,54454,0
20050908,12.225,12.794,12.132,12.446,86273,0
20050909,12.487,12.943,12.487,12.905,67149,0
20050912,12.893,12.921,12.497,12.573,33667,0
20050913,12.497,12.824,12.497,12.65,33113,0
20050914,12.593,12.824,12.421,12.824,45067,0
20050915,12.873,12.921,12.747,12.921,25572,0
20050916,12.963,12.969,12.824,12.873,30166,0
20050919,12.773,12.963,12.532,12.845,45251,0
20050920,12.773,13.019,12.672,12.998,47464,0
20050921,12.969,12.998,12.845,12.921,23366,0
20050922,12.998,13.019,12.829,13.019,24285,0
20050923,13.067,13.192,12.867,12.931,42677,0
20050926,12.998,13.047,12.525,12.672,48195,0
20050927,12.672,12.773,12.421,12.593,92718,0
20050928,12.672,13.047,12.623,13.047,41948,0
20050929,13.29,13.523,13.269,13.461,57026,0
20050930,13.523,13.717,13.417,13.582,32376,0
20051003,13.665,13.686,13.128,13.128,50778,0
20051004,13.019,13.143,12.773,13.095,52248,0
20051005,13.095,13.192,12.697,13.171,40840,0
20051006,12.873,13.318,12.845,13.143,34768,0
20051007,13.119,13.128,12.824,12.824,40282,0
20051010,12.845,12.867,12.824,12.863,10116,0
20051011,12.873,13.269,12.873,13.221,26678,0
20051012,12.993,13.143,12.623,12.676,42495,0
20051013,12.824,12.824,12.491,12.503,22075,0
20051014,12.497,12.867,12.421,12.867,39736,0
20051017,12.794,12.921,12.794,12.893,18028,0
20051018,12.845,13.067,12.446,12.573,43785,0
20051019,12.446,12.719,12.421,12.672,36792,0
20051020,12.672,12.719,12.503,12.522,18394,0
20051021,12.503,12.593,12.434,12.497,13430,0
20051024,12.476,12.61,12.3,12.525,26494,0
20051025,12.476,12.545,12.4,12.545,41759,0
20051026,12.545,12.812,12.545,12.633,24650,0
20051027,12.633,12.773,12.633,12.747,17108,0
20051028,12.794,12.794,12.525,12.672,34222,0
20051031,12.497,12.806,12.497,12.794,33480,0
20051101,12.794,12.921,12.697,12.845,43419,0
20051102,12.893,12.893,12.599,12.766,29432,0
20051103,12.697,12.873,12.669,12.672,19497,0
20051104,12.545,12.558,12.4,12.4,20048,0
20051107,12.421,12.446,12.052,12.35,39917,0
20051108,12.476,12.476,12.149,12.322,29616,0
20051109,12.3,12.322,12.082,12.322,13800,0
20051110,12.4,12.4,12.277,12.373,15085,0
20051111,12.373,12.373,12.098,12.3,17293,0
20051114,12.35,12.421,12.052,12.132,50409,0
20051115,12.149,12.545,12.069,12.545,29432,0
20051116,12.593,12.593,12.35,12.35,7172,0
20051117,12.421,12.593,12.2,12.373,29981,0
20051118,12.421,12.599,12.195,12.35,25205,0
20051121,12.623,13.417,12.545,12.921,130062,0
20051122,12.921,13.047,12.794,12.921,87019,0
20051123,12.921,13.566,12.921,13.346,49123,0
20051125,13.417,14.09,13.417,13.717,16928,0
20051128,13.789,13.789,12.969,13.221,92351,0
20051129,13.221,13.523,13.095,13.417,58316,0
20051130,13.461,13.742,13.461,13.665,80209,0
20051201,13.742,13.887,13.143,13.323,80026,0
20051202,13.221,13.461,13.067,13.366,49666,0
20051205,13.412,13.422,13.192,13.221,64014,0
20051206,13.095,13.192,12.921,13.162,45251,0
20051207,13.221,13.362,13.095,13.29,65679,0
20051208,13.243,13.64,13.047,13.566,57394,0
20051209,13.366,13.92,13.366,13.523,84256,0
20051212,13.461,13.665,13.243,13.29,35870,0
20051213,13.461,13.789,13.29,13.686,74139,0
20051214,13.859,13.92,13.686,13.789,38632,0
20051215,13.859,13.959,13.717,13.729,23914,0
20051216,13.841,13.841,13.64,13.814,39917,0
20051219,13.814,13.959,13.618,13.789,40282,0
20051220,13.859,13.959,13.444,13.444,35133,0
20051221,13.49,13.523,13.185,13.29,29067,0
20051222,13.346,13.523,13.171,13.171,37346,0
20051223,13.366,13.49,13.318,13.461,27591,0
20051227,13.542,13.821,13.37,13.679,25205,0
20051228,13.497,13.733,13.497,13.703,13430,0
20051229,13.779,13.779,13.63,13.709,14530,0
20051230,13.756,13.836,13.756,13.81,14530,0
20060103,13.913,14.264,13.503,14.264,56111,0
20060104,14.264,14.264,13.717,13.764,49666,0
20060105,13.756,13.756,13.248,13.366,44880,0
20060106,13.43,13.602,13.248,13.37,48195,0
20060109,13.401,13.528,13.192,13.401,39179,0
20060110,13.296,13.551,13.296,13.43,25205,0
20060111,13.503,13.551,13.296,13.318,26123,0
20060112,13.35,13.401,13.237,13.248,21157,0
20060113,13.37,13.37,13.248,13.296,28150,0
20060117,13.35,13.756,13.296,13.733,37525,0
20060118,13.63,13.745,13.511,13.703,22259,0
20060119,13.703,13.75,13.192,13.473,77812,0
