Date,Open,High,Low,Close,Volume,OpenInt
20050225,192.7,195.4,191,195.3,104230,0
20050228,195.5,195.6,190.1,192.5,94940,0
20050301,192.8,196.7,191.3,195.4,92580,0
20050302,195.4,195.4,192.5,193.6,83750,0
20050303,193.8,194.6,190.6,192,80120,0
20050304,193.3,194,192.1,193.8,76210,0
20050307,193,193.6,191.5,191.7,97360,0
20050308,191,191.7,189.4,189.6,120550,0
20050309,189.6,189.6,178,183,180670,0
20050310,183,184.1,181.5,183.5,86220,0
20050311,183.8,183.9,180,180.9,63140,0
20050314,180.1,180.2,171.9,175.5,188540,0
20050315,177,180.9,176,176.2,89490,0
20050316,177.1,182,176,176.2,132800,0
20050317,176.2,181,175,179.7,118250,0
20050318,181,181.2,174.6,176.2,170650,0
20050321,176,176.1,171.1,172.9,130840,0
20050322,173,175,167.5,167.6,138110,0
20050323,160.2,165.3,160,161.1,264590,0
20050324,160.5,165.3,160.5,164.2,124310,0
20050328,166.5,174.3,166.5,172,146960,0
20050329,172.7,174,165.9,168.4,107700,0
20050330,190,190,180.5,187,336790,0
20050331,188.8,192.9,187.3,191.8,253590,0
20050401,192.6,198,189.5,191.3,223880,0
20050404,194.8,194.8,190.2,190.7,169860,0
20050405,190.7,190.9,185,189.1,179510,0
20050406,185.3,185.3,174.5,178.1,166740,0
20050407,178.5,180.2,178,180,81400,0
20050408,179.7,179.7,175.2,175.5,90070,0
20050411,175,175,156,172.2,133880,0
20050412,171.3,177,170.2,175.5,111350,0
20050413,175.5,176.2,172,173,87460,0
20050414,174,174,169.5,170.1,83900,0
20050415,171,171,168.8,169.1,79170,0
20050418,169.2,173.6,169.2,172.9,67960,0
20050419,173.7,174,172.5,174,89010,0
20050420,174,174.4,172.5,172.9,55530,0
20050421,172,175.5,171,174,79530,0
20050422,174.5,175.2,172.5,175.2,45780,0
20050425,177.5,180,175.5,180,99520,0
20050426,180.4,182.7,178.7,181.8,75110,0
20050427,181.8,186.9,180.8,186.7,100160,0
20050428,187,188.4,182,182.5,92050,0
20050429,186.5,186.5,181,183.2,61760,0
20050502,184,184.6,181.7,183.5,41850,0
20050503,183.5,185.4,181.6,183.2,55640,0
20050504,182.6,186.6,182.5,186,58510,0
20050505,185.5,186.9,183.6,185.6,59060,0
20050506,185.6,185.6,182.1,184.3,46320,0
20050509,186.3,186.3,184,185.8,35220,0
20050510,186.3,186.4,183,185.5,56010,0
20050511,185.6,186.9,184,185.5,49580,0
20050512,186.6,188.2,182.9,182.9,57680,0
20050513,183.5,184.8,180,181,107110,0
20050516,188.6,190.3,186.1,190.2,188220,0
20050517,191.2,196.7,191,196,160060,0
20050518,198,203.3,197.5,199.8,175000,0
20050519,201.8,204.5,201.2,202.4,102210,0
20050520,204.4,204.4,200.1,201.9,85200,0
20050523,201.9,204.1,200.8,201.5,71110,0
20050524,201.8,201.8,196,199.6,94950,0
20050525,199.6,199.6,196.6,197.3,79550,0
20050526,196.8,197.7,195.3,195.7,82080,0
20050527,196.9,198.5,193.3,198,56700,0
20050531,199.5,200.3,198.1,199,56040,0
20050601,199.8,203,199.1,202,61810,0
20050602,202.5,206.4,202.1,205.8,68920,0
20050603,206.4,209.5,202,204.1,83320,0
20050606,205.7,206.9,204.2,206.6,50370,0
20050607,207.5,208.8,206.6,207.8,63850,0
20050608,209,211,208.1,209.2,89880,0
