Date,Open,High,Low,Close,Volume,OpenInt
20160812,4.08,4.08,0.8,2,12508,0
20160816,1.6,1.64,1.6,1.6,4942,0
20160817,1.6,1.6,1.404,1.6,5289,0
20160818,1.6,1.8,1.6,1.6,4750,0
20160822,1.6,1.96,1.6,1.96,8118,0
20160823,1.8,2,1.8,1.96,3780,0
20160824,1.96,1.96,1.96,1.96,650,0
20160825,1.8,1.8,1.604,1.604,906,0
20160826,1.8,1.8,1.8,1.8,496,0
20160831,2,2.4,1.96,2.328,4708,0
20160901,2.4,2.4,1.6,1.96,3576,0
20160906,2,2.2,1.216,2.2,572,0
20160907,2.2,2.3,2.16,2.3,445,0
20160908,2.3,2.3,2.3,2.3,783,0
20160928,2.1,2.1,2,2,880,0
20161005,1.604,1.604,1.2,1.6,2105,0
20161006,1.4,1.4,1.4,1.4,254,0
20161010,1.32,1.32,1.2,1.2,1063,0
20161020,1.4,1.4,1.4,1.4,246,0
20161024,1.4,1.4,1.3,1.3,1125,0
20161025,1.56,1.56,1.56,1.56,3,0
20161026,1.2,1.3,1.2,1.2,917,0
20161101,0.8,1.4,0.8,1.2,110,0
20161103,1,1.2,1,1.2,100,0
20161104,1.2,1.38,1.2,1.32,260,0
20161109,1,1,1,1,6,0
20161111,1.42,1.6,1.4,1.6,880,0
20161114,1.6,1.6,1.6,1.6,50,0
20161117,1,1,1,1,1870,0
20161118,0.848,1.6,0.796,1.6,175,0
20161122,1.5,1.5,1.5,1.5,1215,0
20161201,1.1,1.1,1.1,1.1,1000,0
20161202,1.45,1.45,1.4,1.4,10100,0
20161205,1.13,1.13,0.91,1,7201,0
20161207,0.78,0.78,0.7125,0.7125,1038,0
20161208,0.8761,0.8761,0.85,0.85,3900,0
20161214,0.782,0.8157,0.782,0.8157,1000,0
20161219,0.7,0.7,0.6647,0.7,3412,0
20170103,0.5,0.5,0.47,0.5,956,0
20170110,0.5,0.5001,0.475,0.5,937,0
20170111,0.8,0.8,0.6375,0.6375,20201,0
20170112,0.5,0.5,0.5,0.5,3374,0
20170113,0.6,0.6,0.5,0.5,600,0
20170126,0.5,0.5,0.5,0.5,1875,0
20170209,0.46,0.46,0.46,0.46,200,0
20170214,0.6458,0.65,0.6458,0.65,4149,0
20170217,0.6258,0.65,0.6258,0.65,1000,0
20170224,0.46,0.46,0.45,0.45,14974,0
20170227,0.42,0.42,0.42,0.42,225,0
20170405,0.42,0.444,0.42,0.444,3000,0
20170406,0.45,0.5,0.3825,0.3894,3190,0
20170410,0.5,0.5,0.5,0.5,100,0
20170411,0.5,0.5,0.5,0.5,100,0
20170413,0.58,0.58,0.5,0.5,300,0
20170418,0.5,0.5,0.425,0.425,1500,0
20170421,0.322,0.322,0.1337,0.26,2600,0
20170424,0.2,0.21584,0.2,0.21584,10100,0
20170427,0.23,0.23,0.23,0.23,100,0
20170428,0.24,0.24,0.24,0.24,400,0
20170501,0.29,0.65,0.29,0.6,9239,0
20170504,0.32,0.32,0.3011,0.3011,9599,0
20170505,0.3269,0.3269,0.3269,0.3269,100,0
20170508,0.4,0.4,0.3,0.3,501,0
20170509,0.3,0.3,0.3,0.3,100,0
20170510,0.24,0.24,0.24,0.24,100,0
20170511,0.28,0.28,0.28,0.28,100,0
20170519,0.21,0.21,0.1423,0.15,22624,0
20170522,0.12,0.12,0.1,0.1,12100,0
20170523,0.1012,0.1012,0.0508,0.0608,11377,0
20170524,0.1,0.1,0.1,0.1,100,0
20170525,0.0653,0.0653,0.0653,0.0653,100,0
20170526,0.07,0.08,0.07,0.07,5680,0
20170530,0.0608,0.0608,0.0508,0.0508,10200,0
20170531,0.0508,0.0508,0.0265,0.04,5900,0
20170602,0.0328,0.033,0.03,0.033,10500,0
20170605,0.03,0.03,0.03,0.03,100,0
20170606,0.03,0.03,0.03,0.03,12499,0
20170607,0.03,0.03,0.03,0.03,100,0
20170608,0.03,0.03,0.03,0.03,662,0
20170609,0.03,0.03,0.03,0.03,100,0
20170612,0.03,0.03,0.03,0.03,100,0
20170613,0.03,0.03,0.03,0.03,100,0
20170615,0.03,0.03,0.03,0.03,100,0
20170616,0.03,0.03,0.03,0.03,100,0
20170621,0.03,0.03,0.03,0.03,100,0
20170622,0.03,0.0315,0.03,0.03,9000,0
20170623,0.03,0.0316,0.018,0.02,14487,0
20170626,0.03,0.044999,0.03,0.03,2700,0
20170627,0.03,0.03,0.03,0.03,100,0
20170630,0.0207,0.0207,0.0207,0.0207,100,0
20170705,0.0535,0.059,0.0535,0.0535,10028,0
20170706,0.055,0.082,0.055,0.082,3900,0
20170707,0.07,0.07,0.07,0.07,100,0
20170710,0.08,0.08,0.08,0.08,300,0
20170711,0.08,0.08,0.08,0.08,100,0
20170712,0.08,0.08,0.08,0.08,200,0
20170713,0.095,0.095,0.07,0.07,700,0
20170714,0.07,0.07,0.07,0.07,100,0
20170717,0.0475,0.06,0.0475,0.06,581,0
20170718,0.07,0.07,0.07,0.07,4000,0
20170719,0.075,0.075,0.075,0.075,100,0
20170721,0.075,0.075,0.075,0.075,100,0
20170726,0.075,0.075,0.075,0.075,1900,0
