Date,Open,High,Low,Close,Volume,OpenInt
20050225,2.3983,2.6948,2.3983,2.6948,32452,0
20050228,2.8295,3.0631,2.6588,2.7038,54126,0
20050301,2.7576,2.8475,2.6768,2.6768,9967,0
20050302,2.6319,2.6319,2.5061,2.5421,11358,0
20050303,2.578,2.6319,2.5421,2.6139,6838,0
20050304,2.569,2.6319,2.4882,2.5241,13908,0
20050307,2.5241,2.569,2.5061,2.5151,4171,0
20050308,2.4882,2.4882,2.4882,2.4882,1738,0
20050309,2.4612,2.4612,2.3804,2.3894,11126,0
20050310,2.3894,2.3983,2.2995,2.3894,7765,0
20050311,2.3355,2.3714,2.3355,2.3714,6258,0
20050314,2.2546,2.2816,2.1109,2.2816,31873,0
20050315,2.2726,2.2726,2.2277,2.2367,4288,0
20050316,2.2007,2.2456,2.0929,2.2367,31409,0
20050317,2.2277,2.2277,2.1199,2.1917,27585,0
20050318,2.1378,2.1828,2.1378,2.1378,10546,0
20050321,2.1648,2.1828,2.075,2.1828,6258,0
20050322,2.1648,2.2367,2.1648,2.2007,11242,0
20050323,2.1558,2.1558,1.9043,1.9762,23644,0
20050324,1.9762,2.066,1.9762,2.066,16573,0
20050328,2.1109,2.1468,2.1109,2.1109,5910,0
20050329,2.1109,2.1109,1.9492,1.9851,19007,0
20050330,1.9941,2.075,1.9851,1.9851,1275,0
20050331,2.0121,2.066,2.0031,2.0031,7069,0
20050401,2.075,2.1468,2.057,2.066,2434,0
20050404,2.1109,2.1917,2.1109,2.1917,4751,0
20050406,2.1019,2.1019,2.1019,2.1019,1622,0
20050407,1.9851,2.0211,1.9402,1.9402,16342,0
20050408,1.9582,2.0301,1.9492,2.0301,1390,0
20050411,1.9043,2.0301,1.9043,2.0301,2897,0
20050412,1.9672,1.9672,1.9402,1.9492,2085,0
20050413,1.9313,1.9402,1.9313,1.9402,1390,0
20050414,1.9851,1.9851,1.9851,1.9851,1738,0
20050415,1.9762,1.9941,1.9762,1.9941,463,0
20050418,1.9492,1.9672,1.9492,1.9672,463,0
20050420,1.9402,1.9402,1.9402,1.9402,347,0
20050421,1.9402,1.9851,1.9402,1.9492,2202,0
20050422,1.9402,1.9402,1.9223,1.9223,810,0
20050426,1.9672,1.9762,1.8953,1.8953,7533,0
20050427,2.0211,2.0211,1.9941,2.0121,579,0
20050428,1.9672,1.9672,1.9402,1.9402,1390,0
20050429,1.9402,1.9402,1.9043,1.9043,1390,0
20050502,1.9672,2.0301,1.9043,2.0301,5331,0
20050504,1.9402,1.9402,1.9402,1.9402,2434,0
20050505,1.9402,1.9941,1.9402,1.9941,2085,0
20050506,2.0031,2.0031,2.0031,2.0031,1159,0
20050510,2.0031,2.0031,2.0031,2.0031,116,0
20050511,1.9851,1.9851,1.9851,1.9851,232,0
20050512,1.9402,2.057,1.9043,1.9851,31524,0
20050513,1.9402,1.9402,1.9043,1.9043,463,0
20050516,1.9672,1.9762,1.9672,1.9672,12053,0
20050517,1.9043,1.9402,1.8774,1.8774,44738,0
20050518,1.8594,1.8684,1.8594,1.8684,2434,0
20050519,1.8594,1.8594,1.7247,1.8145,10199,0
20050520,1.7696,1.8055,1.7067,1.7247,20746,0
20050523,1.6887,1.7247,1.6887,1.7247,3361,0
20050524,1.7247,1.7606,1.7247,1.7606,3128,0
20050525,1.7516,1.7606,1.7247,1.7247,4171,0
20050526,1.7696,1.8055,1.7696,1.7965,3477,0
20050527,1.8504,1.8504,1.8145,1.8145,1738,0
20050531,1.7606,1.7965,1.7247,1.7875,10894,0
20050602,1.7426,1.7426,1.7426,1.7426,1390,0
20050603,1.7336,1.8145,1.7336,1.8055,5215,0
20050606,1.8504,1.8594,1.8145,1.8145,6375,0
20050607,1.7696,1.7696,1.7696,1.7696,1275,0
20050608,1.7696,1.7785,1.7696,1.7696,4171,0
20050609,1.7696,1.7696,1.7696,1.7696,232,0
20050610,1.7606,1.8145,1.7606,1.8145,4288,0
20050613,1.7965,1.7965,1.7696,1.7696,347,0
20050614,1.8055,1.8055,1.7606,1.7606,810,0
20050615,1.7606,1.7606,1.7606,1.7606,1275,0
20050616,1.7606,1.7606,1.7606,1.7606,1506,0
20050617,1.8055,1.8055,1.7426,1.7426,2897,0
20050620,1.7336,1.7426,1.7336,1.7426,2897,0
20050621,1.7426,1.7606,1.7426,1.7606,5099,0
20050622,1.7516,1.7516,1.7516,1.7516,232,0
20050623,1.7426,1.7426,1.7426,1.7426,3824,0
20050624,1.7785,1.8055,1.7785,1.8055,3708,0
20050627,1.7426,1.7426,1.7426,1.7426,116,0
20050628,1.7336,1.7336,1.7336,1.7336,463,0
20050629,1.7696,1.7696,1.7516,1.7516,2318,0
20050630,1.7516,1.7516,1.7336,1.7336,1390,0
20050701,1.7696,1.7696,1.7606,1.7606,1390,0
20050705,1.7785,1.7875,1.7516,1.7875,5331,0
20050706,1.7785,1.7785,1.7426,1.7516,3128,0
20050707,1.7516,1.7516,1.7336,1.7426,2202,0
20050708,1.7426,1.7426,1.7426,1.7426,116,0
20050711,1.7516,1.7785,1.7516,1.7516,4171,0
20050712,1.7426,1.7426,1.7426,1.7426,9387,0
20050713,1.7426,1.7426,1.7336,1.7336,1738,0
20050715,1.7785,1.7785,1.7696,1.7696,3361,0
20050718,1.7606,1.7875,1.7426,1.7426,1969,0
20050719,1.7426,1.7696,1.7426,1.7696,6838,0
20050720,1.8145,2.2995,1.8145,2.2995,53546,0
20050721,2.2995,2.2995,2.1558,2.2726,9851,0
20050722,2.2995,2.5151,2.2007,2.2636,24687,0
20050725,2.2636,2.2636,1.8953,2.0301,51460,0
20050726,1.9851,2.0211,1.9133,1.9133,5447,0
20050727,1.9043,1.9941,1.9043,1.9851,1738,0
20050728,1.9313,1.9851,1.9043,1.9762,1275,0
20050729,1.9762,1.9762,1.8953,1.8953,3940,0
20050801,1.8953,1.9851,1.8953,1.9851,347,0
20050802,1.8594,1.9402,1.8594,1.9402,7997,0
20050803,1.9043,1.9043,1.9043,1.9043,232,0
20050804,1.8953,1.9402,1.8953,1.9402,1969,0
20050805,1.9043,1.9043,1.8953,1.8953,2549,0
20050808,1.8684,1.8953,1.8145,1.8863,11358,0
20050809,1.8235,1.8324,1.8235,1.8235,2781,0
20050810,1.7696,1.7875,1.7606,1.7875,4983,0
20050811,1.8684,2.569,1.8684,2.569,129694,0
20050812,2.5151,2.7576,2.4163,2.587,47403,0
20050815,2.587,2.6499,2.4882,2.569,19007,0
20050816,2.569,2.569,2.2906,2.2906,24455,0
20050817,2.3265,2.3265,2.1917,2.2456,7533,0
20050818,2.1558,2.1558,2.075,2.1019,9503,0
20050819,2.0929,2.4163,2.0929,2.2636,17616,0
20050822,2.3894,2.5061,2.3444,2.4163,10314,0
20050823,2.3265,2.4163,2.3265,2.4163,2434,0
20050824,2.3714,2.6768,2.2995,2.587,31409,0
20050825,2.6678,2.6768,2.4792,2.4792,6953,0
20050826,2.5061,2.5331,2.5061,2.5061,1622,0
20050829,2.5151,2.6768,2.5061,2.587,19124,0
20050830,2.5331,2.5331,2.5331,2.5331,1275,0
20050831,2.5331,2.5331,2.4972,2.4972,695,0
20050901,2.4972,2.4972,2.4253,2.4343,1738,0
20050902,2.3444,2.3714,2.3355,2.3355,3245,0
20050906,2.3714,2.5421,2.3714,2.5421,6606,0
20050907,2.5061,2.5061,2.4253,2.4612,810,0
20050909,2.3714,2.5151,2.3355,2.3355,1622,0
20050912,2.3534,2.4433,2.3444,2.3444,810,0
20050913,2.3355,2.3355,2.3355,2.3355,579,0
20050914,2.3714,2.3714,2.3444,2.3444,579,0
20050915,2.3265,2.3265,2.2906,2.2995,4867,0
20050920,2.2995,2.2995,2.2995,2.2995,1159,0
20050921,2.2636,2.2726,2.2546,2.2546,3477,0
20050922,2.2456,2.3714,2.2456,2.3714,8344,0
20050923,2.3624,2.4882,2.3624,2.4882,5795,0
20050926,2.4612,2.4972,2.4343,2.4343,9156,0
20050927,2.4522,2.4972,2.4522,2.4972,2318,0
20050928,2.4972,2.4972,2.4612,2.4702,5679,0
20050930,2.4612,2.4612,2.4343,2.4433,579,0
20051003,2.4163,2.4163,2.3894,2.3894,6258,0
20051004,2.3714,2.3714,2.3355,2.3355,3013,0
20051006,2.3714,2.3714,2.3085,2.3085,1969,0
20051007,2.2906,2.2906,2.2726,2.2726,695,0
20051010,2.2546,2.2546,2.2456,2.2456,1042,0
20051011,2.2546,2.2546,2.2546,2.2546,232,0
20051012,2.2456,2.3265,2.1648,2.2726,15067,0
20051013,2.2456,2.2456,2.2456,2.2456,116,0
20051014,2.2277,2.2277,2.1648,2.1648,4056,0
20051017,2.1648,2.1648,2.1648,2.1648,579,0
20051018,2.1648,2.3265,2.1648,2.2995,9040,0
20051019,2.2726,2.6499,2.2726,2.5151,20398,0
20051020,2.4253,2.4702,2.4253,2.4702,2434,0
20051021,2.4253,2.4253,2.4253,2.4253,116,0
20051024,2.4702,2.4702,2.4702,2.4702,1159,0
20051025,2.4163,2.5421,2.4163,2.5421,1159,0
20051027,2.5421,2.5421,2.5151,2.5151,2665,0
20051028,2.587,2.6319,2.5061,2.5061,3477,0
20051031,2.5421,3.0002,2.5421,2.9103,27236,0
20051101,2.9373,2.9373,2.8565,2.8565,3128,0
20051102,2.9373,3.1169,2.9373,3.108,20050,0
20051103,3.0181,3.0181,2.4163,2.4163,55053,0
20051104,2.4163,2.4522,2.4163,2.4522,5679,0
20051107,2.3804,2.3804,2.3804,2.3804,232,0
20051108,2.4343,2.4343,2.4343,2.4343,2318,0
20051109,2.4433,2.4433,2.4343,2.4343,1738,0
20051110,2.4343,2.4343,2.4163,2.4163,926,0
20051111,2.3355,2.3444,2.3355,2.3355,4636,0
20051114,2.3265,2.3265,2.2456,2.3175,4056,0
20051115,2.3265,2.3265,2.3265,2.3265,347,0
20051116,2.2456,2.2456,2.2456,2.2456,347,0
20051117,2.2995,2.3444,2.2546,2.2546,4288,0
20051118,2.2995,2.2995,2.1648,2.1917,5099,0
20051121,2.2456,2.4163,2.2097,2.2097,41144,0
20051122,2.2277,2.2367,2.1738,2.2007,2665,0
20051128,2.1648,2.1828,2.1558,2.1738,4751,0
20051129,2.0929,2.1558,1.9851,2.075,35002,0
20051130,2.0301,2.0301,2.0301,2.0301,2434,0
20051201,1.9941,2.0031,1.9941,2.0031,1622,0
20051205,2.039,2.039,2.0211,2.0301,5331,0
20051207,1.9851,1.9941,1.9582,1.9851,3361,0
20051208,1.9582,1.9582,1.9582,1.9582,463,0
20051209,1.9402,1.9492,1.8594,1.8594,6838,0
20051212,1.8414,1.9402,1.8414,1.9402,5795,0
20051213,1.9133,1.9133,1.9133,1.9133,926,0
20051214,1.8684,1.8953,1.8684,1.8953,9156,0
20051215,1.8953,1.9672,1.8953,1.9672,3477,0
20051216,1.9402,1.9402,1.8953,1.8953,926,0
20051219,1.8953,1.9043,1.7247,1.8594,102109,0
20051221,1.8953,1.9043,1.8953,1.8953,2897,0
20051222,1.8953,1.9402,1.8953,1.9402,1969,0
20051223,1.8953,1.8953,1.7696,1.8235,7649,0
20051227,1.7875,1.7875,1.7785,1.7785,2897,0
20051228,1.7875,1.8235,1.7875,1.8235,11473,0
20051229,1.8235,1.8594,1.8235,1.8504,3708,0
20051230,1.8324,1.8504,1.8235,1.8504,5910,0
20060103,1.8504,1.8863,1.8324,1.8324,1159,0
20060104,1.8504,1.8594,1.8504,1.8594,1042,0
20060105,1.8324,1.8414,1.8324,1.8414,1506,0
20060106,1.8953,1.9762,1.8953,1.9402,7069,0
20060109,1.9582,1.9582,1.9582,1.9582,1159,0
20060110,1.9851,2.1109,1.9851,2.1109,10430,0
20060111,2.1109,2.1109,2.1109,2.1109,116,0
20060112,2.1019,2.1019,2.0929,2.0929,1390,0
20060113,2.0929,2.0929,2.057,2.057,2202,0
