Date,Open,High,Low,Close,Volume,OpenInt
20050303,5.37,5.37,5.37,5.37,900,0
20050311,5.4,5.43,5.4,5.43,900,0
20050315,5.47,5.57,5.47,5.57,1800,0
20050317,5.52,5.52,5.52,5.52,600,0
20050318,5.47,5.47,5.43,5.43,600,0
20050401,5.47,5.53,5.47,5.53,1200,0
20050404,5.57,5.59,5.57,5.59,1200,0
20050405,5.63,5.63,5.63,5.63,300,0
20050411,5.67,5.75,5.67,5.74,4500,0
20050413,5.77,5.97,5.77,5.97,10500,0
20050414,5.97,5.97,5.97,5.97,900,0
20050415,5.88,5.88,5.73,5.73,3000,0
20050419,5.7,5.77,5.7,5.77,900,0
20050420,5.8,5.83,5.8,5.83,31200,0
20050422,5.87,5.92,5.82,5.92,1500,0
20050425,5.95,5.95,5.95,5.95,600,0
20050503,5.98,5.98,5.98,5.98,1200,0
20050504,6.13,6.38,6.13,6.38,8700,0
20050506,6.38,6.38,6.38,6.38,300,0
20050509,6.5,6.5,6.38,6.38,3000,0
20050510,6.38,6.38,6.38,6.38,5400,0
20050516,6.5,6.5,6.38,6.5,2100,0
20050517,6.53,7.28,6.53,7.28,15900,0
20050518,7.42,7.67,7.17,7.48,12600,0
20050519,7.85,7.85,7.43,7.72,13200,0
20050520,7.83,7.83,7.43,7.55,8700,0
20050523,7.65,7.8,7.53,7.67,10200,0
20050524,7.93,8.1,7.7,7.7,13200,0
20050525,7.87,7.97,7.87,7.97,3000,0
20050526,7.72,7.92,7.72,7.92,4200,0
20050527,7.92,7.92,7.92,7.92,1500,0
20050531,8.12,8.53,8.12,8.53,11400,0
20050601,8.85,8.85,8.4,8.4,11400,0
20050602,8.41,8.41,8,8.14,3600,0
20050603,8.14,8.5,8.14,8.5,4200,0
20050606,8.67,9.17,8.67,9.08,15300,0
20050607,9.17,9.42,9.17,9.23,24600,0
20050608,9.17,9.17,8.83,9,8700,0
20050609,9,9,8.75,8.95,4800,0
20050610,9,9,8.95,8.95,600,0
20050613,9,9.4,9,9.4,6900,0
20050614,9.4,9.4,9.23,9.33,1200,0
20050615,9.6,11.7,9.4,10.75,16600,0
20050616,11.15,11.15,9.55,10.2,20800,0
20050617,10.3,11,10.3,10.85,9100,0
20050620,11.38,11.5,11.1,11.17,6000,0
20050621,11.11,11.7,11.03,11.7,7400,0
20050622,11.7,11.7,10.8,10.8,5200,0
20050623,10.45,10.7,10.4,10.4,3800,0
20050624,10,10.2,9.52,9.52,8700,0
20050627,9.52,10,9.52,9.99,2800,0
20050628,9.99,10.4,9.57,9.95,7000,0
20050629,10.1,10.1,10,10,3100,0
20050701,9.53,9.7,9.5,9.5,4500,0
20050705,9.46,10,9.45,10,4900,0
20050706,10,10,9.65,9.65,2300,0
20050707,9.55,9.6,9.55,9.6,1600,0
20050708,9.25,9.25,9.02,9.06,5600,0
20050711,9.01,9.11,8.67,8.75,4800,0
20050712,9.45,9.45,8.68,8.68,2100,0
20050713,9.35,9.35,8.66,8.75,3800,0
20050714,8.88,8.88,8.54,8.54,3500,0
20050715,8.51,8.51,7.4,7.4,6900,0
20050718,7.65,8,6.8,7.2,10700,0
20050719,7.3,7.5,7.3,7.4,4800,0
20050720,7.4,7.4,7.2,7.2,2000,0
20050721,7,7,6.67,6.95,3700,0
20050722,6.9,6.95,6.6,6.95,9500,0
20050725,7.2,7.2,7,7.05,4400,0
20050726,7.05,7.05,7.05,7.05,1100,0
20050727,7.4,7.4,7,7.02,7800,0
20050728,6.9,7.05,6.9,7.05,500,0
20050729,7,7.2,7,7.2,2200,0
20050802,7.2,7.25,7.13,7.15,1800,0
20050803,7.05,7.05,7.05,7.05,200,0
20050804,7.05,7.05,7,7.05,1500,0
20050805,7,7,6.5,6.7,4900,0
20050808,6.2,6.35,6.2,6.35,1300,0
20050809,6.65,7.25,6.5,6.8,7000,0
20050810,7,8,7,7.9,1800,0
20050811,7.95,7.95,7.25,7.5,1300,0
20050812,7.1,7.1,6.95,6.95,5400,0
20050815,6.7,6.8,6.1,6.8,3600,0
20050816,6.6,6.6,6.6,6.6,200,0
20050817,6.2,6.4,6.2,6.4,1100,0
20050818,6.3,6.5,6.3,6.5,1200,0
20050819,6.6,6.6,6.6,6.6,100,0
20050823,6.68,6.8,6.68,6.8,2000,0
20050824,7.05,7.3,7.05,7.3,700,0
20050825,7.35,7.35,7.35,7.35,300,0
20050826,7.35,7.35,7.05,7.3,1400,0
20050830,7.3,7.3,7.3,7.3,1200,0
20050831,7.27,7.3,7.25,7.3,1900,0
20050901,7.3,7.4,7.3,7.4,1700,0
20050906,7.2,7.4,7.2,7.4,500,0
20050908,7.1,7.2,7.1,7.2,1500,0
20050912,7,7.1,6.95,7.1,1100,0
20050914,7.28,7.4,7.2,7.2,600,0
20050915,7.1,7.1,6.3,7,7300,0
20050919,6.9,6.9,6.7,6.7,700,0
20050920,6.6,6.6,6.6,6.6,100,0
20050921,6.55,6.55,6.55,6.55,100,0
20050922,6.6,7,6.6,7,2100,0
20050927,7,7.1,7,7.1,200,0
20050928,7.1,7.1,7.1,7.1,500,0
20050929,7.25,7.25,7.25,7.25,100,0
20051003,7.25,7.25,7.1,7.25,4000,0
20051007,7.5,7.5,7.25,7.25,2700,0
20051010,7.3,7.3,7.3,7.3,100,0
20051011,7.25,7.25,7.25,7.25,2000,0
20051017,7.25,7.25,7.21,7.25,8100,0
20051018,7.25,7.25,7.25,7.25,3500,0
20051019,7.25,7.25,7.05,7.05,200,0
20051020,7.12,7.12,7.12,7.12,100,0
20051021,7.25,7.25,7.2,7.2,2300,0
20051024,7.1,7.2,7.1,7.2,500,0
20051102,7.1,7.1,6.9,6.95,800,0
20051103,6.9,6.9,6.9,6.9,100,0
20051104,6.8,6.8,6.8,6.8,200,0
20051108,6.9,7,6.9,7,300,0
20051111,7,7,7,7,300,0
20051115,7.2,7.28,7.2,7.28,900,0
20051118,7.2,7.21,7.2,7.21,300,0
20051121,7.15,7.15,7.15,7.15,100,0
20051125,7.1,7.1,6.8,6.8,3000,0
20051129,6.8,6.8,6.8,6.8,100,0
20051130,6.9,6.9,6.9,6.9,1500,0
20051201,7,7,7,7,300,0
20051202,6.8,6.8,6.5,6.5,1700,0
20051205,6.5,6.5,6.5,6.5,200,0
20051207,6.45,6.45,6.45,6.45,300,0
20051208,6.55,6.6,6.55,6.6,1500,0
20051209,6.75,6.81,6.75,6.81,1300,0
20051212,6.7,6.7,6.4,6.45,6000,0
20051213,6.6,6.6,6.6,6.6,500,0
20051214,6.5,6.6,6.3,6.3,4000,0
20051216,6.25,6.3,6.25,6.3,500,0
20051219,6.15,6.15,6.15,6.15,300,0
20051220,6.25,6.25,6.25,6.25,2900,0
20051221,6.3,6.3,6.26,6.26,1100,0
20051222,6.1,6.1,5.6,6.09,5900,0
20051227,6,6.02,6,6.02,1800,0
20051228,6.02,6.2,6.02,6.2,1800,0
20051230,6.1,6.3,6.1,6.3,2000,0
20060103,6.2,6.2,6.2,6.2,100,0
20060110,6.1,6.25,6.1,6.25,700,0
20060119,6.2,6.2,6.2,6.2,200,0
20060124,6.2,6.25,6.2,6.25,2700,0
20060125,6.2,6.2,6.2,6.2,200,0
20060127,6.16,6.16,6.16,6.16,100,0
20060202,6.16,6.16,6.1,6.1,600,0
20060206,6.25,6.3,6.25,6.3,1000,0
20060208,6.35,6.38,6.35,6.38,300,0
20060209,6.45,6.7,6.45,6.7,1600,0
20060213,6.8,6.8,6.8,6.8,500,0
20060216,6.7,6.71,6.7,6.71,1200,0
20060223,6.65,6.65,6.65,6.65,400,0
20060224,6.6,6.6,6.6,6.6,100,0
20060227,6.55,6.55,6.5,6.5,1800,0
20060302,6.6,6.6,6.6,6.6,2100,0
20060308,6.6,6.6,6.6,6.6,100,0
20060309,6.6,6.6,6.55,6.55,2900,0
20060315,6.55,6.8,6.55,6.8,6600,0
20060316,6.81,7.1,6.81,7.1,2600,0
20060322,7,7.1,7,7.1,700,0
20060323,7,7,7,7,500,0
20060327,7,7,7,7,100,0
20060328,6.96,6.96,6.96,6.96,500,0
20060329,6.9,7.05,6.9,7.05,1600,0
