Date,Open,High,Low,Close,Volume,OpenInt
20050225,8.3666,8.3666,8.3261,8.3505,20432,0
20050228,8.4231,8.5523,8.3828,8.5038,78630,0
20050301,8.5766,8.6008,8.5038,8.6008,193290,0
20050302,8.5766,8.5927,8.5523,8.5766,27737,0
20050303,8.6008,8.6008,8.5523,8.5766,50149,0
20050304,8.5927,8.6412,8.5927,8.6251,68722,0
20050307,8.6493,8.6735,8.6251,8.6735,30832,0
20050308,8.6815,8.6978,8.6815,8.6978,28108,0
20050309,8.7139,8.7139,8.5523,8.5523,14735,0
20050310,8.5523,8.7214,8.5523,8.633,31948,0
20050311,8.633,8.7214,8.5927,8.6493,11885,0
20050314,8.6978,8.7545,8.5686,8.6493,17955,0
20050315,8.6735,8.7059,8.5605,8.5605,13744,0
20050316,8.5686,8.5686,8.3828,8.4231,31080,0
20050317,8.3747,8.6008,8.084,8.5523,59808,0
20050318,8.5523,8.5766,8.5202,8.5766,6563,0
20050321,8.5523,8.5766,8.4715,8.5119,26995,0
20050322,8.5927,8.6008,8.5523,8.5523,24765,0
20050323,8.5523,8.5523,8.3989,8.3989,52504,0
20050324,8.4231,8.4635,8.1485,8.197,40368,0
20050328,8.1244,8.3101,8.1082,8.205,14984,0
20050329,8.2455,8.2455,8.0436,8.189,13497,0
20050330,8.0596,8.1728,8.0596,8.1001,16963,0
20050331,8.1485,8.2697,8.1162,8.2697,8050,0
20050401,8.3021,8.3021,8.2697,8.2697,247,0
20050404,8.1648,8.1648,7.9952,7.9952,14117,0
20050405,8.0517,8.1082,8.0113,8.1082,12012,0
20050406,8.1485,8.2778,8.1485,8.2455,9658,0
20050407,8.3021,8.3505,8.2213,8.3261,22039,0
20050408,8.3585,8.3585,8.2778,8.2778,2104,0
20050411,8.3505,8.4231,8.3021,8.3505,9907,0
20050412,8.3747,8.4231,8.3505,8.3989,18575,0
20050413,8.5038,8.6493,8.5038,8.5927,46310,0
20050414,8.6493,8.6655,8.6008,8.6493,34795,0
20050415,8.6493,8.6493,8.4715,8.5523,30213,0
20050418,8.5038,8.5523,8.0759,8.1728,71201,0
20050419,8.2213,8.3425,8.1808,8.2455,13993,0
20050420,8.3021,8.3261,8.2455,8.3021,9411,0
20050421,8.3505,8.3828,8.2617,8.3182,17583,0
20050422,8.2617,8.3261,8.1808,8.1808,12877,0
20050425,8.2374,8.3182,8.2213,8.2455,10650,0
20050426,8.3021,8.3021,8.1485,8.3021,14240,0
20050427,8.3182,8.3182,8.197,8.197,4581,0
20050428,8.2778,8.2778,8.1567,8.1567,3714,0
20050429,8.1485,8.1567,7.9224,7.9952,31080,0
20050502,8.1244,8.189,8.0356,8.0356,24270,0
20050503,8.0596,8.092,7.9548,7.9628,15232,0
20050504,7.9952,7.9952,7.9145,7.9145,43215,0
20050505,7.9224,7.9709,7.9145,7.9548,12755,0
20050506,7.8094,7.9063,7.8094,7.874,28232,0
20050509,7.9224,8.084,7.8981,8.0356,18203,0
20050510,7.9952,8.0193,7.8902,7.9952,8421,0
20050511,8.0113,8.0436,7.9305,8.0113,7305,0
20050512,7.9063,7.9385,7.874,7.9385,23404,0
20050513,7.9709,7.9952,7.9709,7.9789,3591,0
20050516,8.1001,8.1001,7.9468,8.0436,9162,0
20050517,8.0436,8.0436,7.9952,8.0274,5324,0
20050518,8.0193,8.0193,7.9468,7.9952,4088,0
20050519,7.9952,7.9952,7.8981,7.9628,7059,0
20050520,7.8497,7.8497,7.4621,7.6802,82592,0
20050523,7.664,7.6883,7.648,7.648,19194,0
20050524,7.6963,7.6963,7.6236,7.6398,26869,0
20050525,7.672,7.6963,7.672,7.6883,2601,0
20050526,7.7771,7.8902,7.7771,7.8902,16592,0
20050527,7.874,7.9789,7.874,7.9789,4706,0
20050531,7.9789,7.9789,7.9385,7.9709,1733,0
20050601,7.9548,7.9548,7.9305,7.9468,10029,0
20050602,7.9709,7.9709,7.9063,7.9709,9783,0
20050603,7.9224,7.9628,7.7931,7.7931,15232,0
20050606,7.8174,7.8174,7.6076,7.6398,23155,0
20050607,7.664,7.7529,7.648,7.7448,66125,0
20050608,7.7367,7.7448,7.6883,7.6883,6810,0
20050609,7.648,7.6883,7.6398,7.6883,9783,0
20050610,7.672,7.7124,7.6316,7.7044,7925,0
20050613,7.7044,7.7044,7.672,7.7044,3219,0
20050614,7.648,7.7205,7.6236,7.7205,11516,0
