Date,Open,High,Low,Close,Volume,OpenInt
20170303,3.6,3.85,3.6,3.79,173434,0
20170306,3.85,3.95,3.65,3.88,277079,0
20170307,3.88,3.88,3.7,3.73,182674,0
20170308,3.92,3.92,3.42,3.68,280301,0
20170309,3.57,3.67,3.4,3.51,241113,0
20170310,3.55,3.7,3.48,3.59,319320,0
20170313,3.48,3.61,3.33,3.5,201499,0
20170314,3.42,3.6,3.35,3.49,458900,0
20170315,3.43,3.4638,3.05,3.31,364583,0
20170316,3.37,3.4,2.87,3.2,446571,0
20170317,3.25,3.3,3.1,3.24,253861,0
20170320,3.17,3.32,3.17,3.24,289611,0
20170321,3.39,3.39,3.15,3.2,252028,0
20170322,3.19,3.39,2.97,3.25,354791,0
20170323,3.36,3.36,2.61,2.81,865909,0
20170324,2.9,2.9,1.5,2.5,3191740,0
20170327,2.64,2.7,2.51,2.55,894064,0
20170328,2.66,3.09,2.58,2.95,684632,0
20170329,2.92,3.1758,2.82,2.96,370025,0
20170330,2.94,2.99,2.56,2.75,306064,0
20170331,2.76,2.77,2.6601,2.77,326244,0
20170403,2.95,2.99,2.69,2.92,607870,0
20170404,2.94,2.95,2.62,2.84,402603,0
20170405,2.89,2.91,2.72,2.75,381761,0
20170406,2.77,2.9,2.77,2.9,231377,0
20170407,2.89,2.89,2.85,2.86,140847,0
20170410,2.86,2.91,2.76,2.86,253307,0
20170411,2.87,2.95,2.8,2.85,314907,0
20170412,2.9,3,2.85,3,158692,0
20170413,3,3,2.8854,2.95,124700,0
20170417,2.95,2.98,2.8,2.95,96624,0
20170418,2.97,2.9846,2.92,2.97,124732,0
20170419,2.95,2.98,2.8052,2.86,131227,0
20170420,2.89,2.9,2.8401,2.87,41237,0
20170421,2.86,3,2.85,2.93,397837,0
20170424,2.97,3.2,2.88,2.93,1036938,0
20170425,2.94,3,2.89,2.9,129822,0
20170426,2.9,2.98,2.84,2.88,242464,0
20170427,2.88,2.89,2.75,2.84,205467,0
20170428,2.89,2.89,2.65,2.73,219939,0
20170501,2.66,2.78,2.65,2.74,228958,0
20170502,2.79,2.8,2.71,2.8,320315,0
20170503,2.75,2.82,2.73,2.78,243051,0
20170504,2.7,2.7899,2.69,2.69,121926,0
20170505,2.69,2.73,2.6,2.73,235968,0
20170508,2.73,2.75,2.63,2.69,175937,0
20170509,2.69,2.72,2.65,2.72,203151,0
20170510,2.73,2.73,2.51,2.6699,262169,0
20170511,2.67,2.77,2.64,2.75,291479,0
20170512,2.75,2.8,2.7,2.75,250402,0
20170515,2.8,2.9,2.75,2.83,507177,0
20170516,2.85,2.98,2.83,2.97,734274,0
20170517,3,3,2.83,2.93,699372,0
20170518,2.95,2.97,2.81,2.94,259386,0
20170519,2.95,2.98,2.8928,2.96,223772,0
20170522,2.98,3.0749,2.955,3.01,490046,0
20170523,3,3.05,2.985,3.05,311341,0
20170524,3.05,3.05,3.01,3.04,179592,0
20170525,3.05,3.06,3.02,3.03,296697,0
20170526,3.04,3.05,2.97,3,297736,0
20170530,3,3.03,2.5001,2.66,1100832,0
20170531,2.67,2.71,2.02,2.31,1197179,0
20170601,2.31,2.35,2.13,2.34,1108219,0
20170602,2.39,2.56,2.3,2.41,621476,0
20170605,2.43,2.76,2.251,2.62,967101,0
20170606,2.59,2.68,2.45,2.5,363478,0
20170607,2.52,2.63,2.36,2.49,350150,0
20170608,2.47,2.54,2.26,2.37,348115,0
20170609,2.37,2.47,2.27,2.35,296789,0
20170612,2.32,2.45,2.16,2.27,614346,0
20170613,2.34,2.79,2.3,2.43,1387391,0
20170614,2.45,2.65,2.43,2.55,606113,0
20170615,2.5,2.85,2.47,2.73,1441594,0
20170616,2.7,2.85,2.7,2.85,3374290,0
20170619,2.88,2.89,2.6,2.76,360422,0
20170620,2.79,2.81,2.58,2.72,418526,0
20170621,2.76,2.76,2.51,2.7,348005,0
20170622,2.68,2.7,2.52,2.52,355388,0
20170623,2.5,2.79,2.27,2.77,4625579,0
20170626,1.55,2.47,1.4,2,3291193,0
20170627,2,2.07,1.57,1.81,1161606,0
20170628,1.79,1.84,1.59,1.67,556717,0
20170629,1.65,1.85,1.63,1.77,497757,0
20170630,1.76,1.77,1.66,1.69,180538,0
20170703,1.68,1.69,1.63,1.69,181376,0
20170705,1.55,1.8,1.52,1.67,541929,0
20170706,1.64,1.67,1.5618,1.57,464521,0
20170707,1.56,1.6,1.5448,1.6,365049,0
20170710,1.65,1.68,1.56,1.57,306174,0
20170711,1.55,1.74,1.51,1.72,460185,0
20170712,1.71,1.75,1.55,1.62,319008,0
20170713,1.6,1.6,1.41,1.45,584751,0
20170714,1.44,1.45,1.4,1.41,274553,0
20170717,1.4,1.49,1.31,1.34,394829,0
20170718,1.33,1.34,1.25,1.32,554549,0
20170719,1.32,1.46,1.3,1.45,181409,0
20170720,1.46,1.5,1.31,1.34,321922,0
20170721,1.29,1.36,1.27,1.33,270386,0
20170724,1.34,1.37,1.28,1.32,204744,0
20170725,1.33,1.36,1.19,1.26,500911,0
20170726,1.29,1.3,1.24,1.26,126575,0
20170727,1.26,1.3,1.23,1.24,122017,0
20170728,1.23,1.24,1.2,1.2,128116,0
20170731,1.21,1.22,1.12,1.12,237044,0
20170801,1.14,1.14,1.02,1.08,360283,0
