Date,Open,High,Low,Close,Volume,OpenInt
20050225,6.9388,6.9826,6.9388,6.9458,14178,0
20050228,6.9607,6.9607,6.8723,6.9239,21408,0
20050301,6.8944,6.9607,6.887,6.9607,23860,0
20050302,6.9022,6.9676,6.9022,6.9676,9136,0
20050303,6.9388,6.9826,6.9388,6.9676,13226,0
20050304,6.9309,6.9607,6.9022,6.909,29582,0
20050307,6.9022,6.9388,6.8944,6.9388,23860,0
20050308,6.9388,6.9607,6.887,6.8944,76074,0
20050309,6.8654,6.8654,6.8283,6.8283,37222,0
20050310,6.8283,6.8654,6.8064,6.8359,53453,0
20050311,6.8283,6.8359,6.7773,6.7844,14178,0
20050314,6.7994,6.8502,6.7773,6.7773,26587,0
20050315,6.7994,6.8141,6.7551,6.7551,26042,0
20050316,6.7475,6.7475,6.6816,6.7257,27404,0
20050317,6.6892,6.7625,6.6892,6.7112,15950,0
20050318,6.6892,6.6892,6.6816,6.6816,2731,0
20050321,6.6963,6.7332,6.6451,6.7332,43765,0
20050322,6.7037,6.7406,6.6451,6.6451,18953,0
20050323,6.5573,6.6525,6.5573,6.6525,34082,0
20050324,6.6305,6.6892,6.6162,6.6816,25225,0
20050328,6.6816,6.6892,6.5937,6.6525,15409,0
20050329,6.6011,6.6673,6.5495,6.6011,40762,0
20050330,6.5717,6.6599,6.5646,6.6011,34082,0
20050331,6.6305,6.6743,6.6305,6.6743,13633,0
20050401,6.6892,6.7475,6.6892,6.7475,61759,0
20050404,6.7625,6.7625,6.7406,6.7406,4640,0
20050405,6.6892,6.7844,6.6892,6.7844,16905,0
20050406,6.7475,6.7844,6.7406,6.7551,11315,0
20050407,6.6892,6.7406,6.6892,6.7112,6953,0
20050408,6.7037,6.7112,6.7037,6.7112,8590,0
20050411,6.6816,6.7625,6.6816,6.6816,34901,0
20050412,6.7184,6.7257,6.6963,6.7257,9684,0
20050413,6.7625,6.7625,6.6816,6.6816,20453,0
20050414,6.6673,6.7332,6.6451,6.6673,92576,0
20050415,6.7037,6.7257,6.6963,6.7112,14046,0
20050418,6.7112,6.7406,6.6892,6.7406,18408,0
20050419,6.7406,6.7625,6.7184,6.7184,11727,0
20050420,6.7332,6.7551,6.7112,6.7551,23721,0
20050421,6.7184,6.7257,6.6673,6.6816,33678,0
20050422,6.6451,6.6892,6.6231,6.6892,8183,0
20050425,6.6743,6.6963,6.6379,6.6963,48674,0
20050426,6.7112,6.7551,6.6963,6.7551,18132,0
20050427,6.7625,6.7844,6.7332,6.7406,26991,0
20050428,6.7699,6.7994,6.7332,6.7332,7359,0
20050429,6.7625,6.8141,6.7332,6.7994,20038,0
20050502,6.8141,6.8141,6.7994,6.8064,2588,0
20050503,6.8141,6.8359,6.8141,6.8359,9545,0
20050504,6.7994,6.7994,6.7406,6.7475,32317,0
20050505,6.7699,6.8141,6.7551,6.792,25357,0
20050506,6.7551,6.792,6.7551,6.7551,9136,0
20050509,6.7699,6.8283,6.7475,6.8283,21813,0
20050510,6.8359,6.8359,6.7551,6.7625,19630,0
20050511,6.792,6.8141,6.7475,6.7625,17451,0
20050512,6.7625,6.7994,6.7625,6.7625,6824,0
20050513,6.7625,6.7625,6.7332,6.7332,11315,0
20050516,6.792,6.8141,6.7406,6.7551,8997,0
20050517,6.7844,6.8283,6.7551,6.8215,12267,0
20050518,6.8064,6.8064,6.7773,6.8064,25087,0
20050519,6.8359,6.8359,6.7625,6.8283,25087,0
20050520,6.792,6.792,6.7406,6.7475,29307,0
20050523,6.7332,6.7475,6.7332,6.7475,19630,0
20050524,6.7773,6.8064,6.7625,6.7994,20992,0
20050525,6.7551,6.8359,6.7475,6.7844,50312,0
20050526,6.7844,6.792,6.7475,6.792,48131,0
